config_id,round_no,parent_config_id,imbalance_strong,momentum_extension_max,reversion_extension_min,exhaustion_flat_max,spread_max,min_trades,min_notional,consecutive_required,stop_loss_pct,take_profit_pct,max_hold_sec,exploration_gross_pnl,exploration_realized_pnl,exploration_total_exits,exploration_timeout_ratio,passed_exploration,final_decision,reject_reason
r1_imbalance_looser,1,,0.75,0.0002,0.0005,0.0001,5.0,10,100000.0,3,0.003,0.001,90,0.12640000000009602,-1.6137568599999044,50,0.82,no,REJECT,realized_pnl_not_better_than_baseline
r1_imbalance_stricter,1,,0.85,0.0002,0.0005,0.0001,5.0,10,100000.0,3,0.003,0.001,90,-0.08010000000002038,-0.6071547350000203,15,0.7333333333333333,no,REJECT,gross_pnl_not_better_than_baseline
r1_momentum_tighter,1,,0.8,0.00015,0.0005,0.0001,5.0,10,100000.0,3,0.003,0.001,90,0.014600000000078571,-0.8955076399999216,26,0.8461538461538461,no,REJECT,gross_pnl_not_better_than_baseline
r1_momentum_looser,1,,0.8,0.00025,0.0005,0.0001,5.0,10,100000.0,3,0.003,0.001,90,0.10330000000009025,-0.87482621999991,28,0.8571428571428571,no,REJECT,exploration_timeout_ratio_too_high
r1_reversion_stricter,1,,0.8,0.0002,0.0007,5e-05,5.0,10,100000.0,3,0.003,0.001,90,-0.03499999999994181,-0.8755662999999418,24,0.7916666666666666,no,REJECT,gross_pnl_not_better_than_baseline
r1_reversion_looser,1,,0.8,0.0002,0.0009,0.00015,5.0,10,100000.0,3,0.003,0.001,90,-0.050799999999959246,-0.8559168049999593,23,0.8260869565217391,no,REJECT,gross_pnl_not_better_than_baseline
r1_faster_entry_shorter_hold,1,,0.8,0.0002,0.0005,0.0001,5.0,10,100000.0,2,0.003,0.001,60,0.02000000000004363,-0.9255513249999565,27,0.8888888888888888,no,REJECT,realized_pnl_not_better_than_baseline
r1_faster_entry_normal_hold,1,,0.8,0.0002,0.0005,0.0001,5.0,10,100000.0,2,0.003,0.001,90,-0.017999999999941854,-0.9635361249999418,27,0.8518518518518519,no,REJECT,gross_pnl_not_better_than_baseline
r1_longer_hold,1,,0.8,0.0002,0.0005,0.0001,5.0,10,100000.0,3,0.003,0.001,120,-0.23599999999997087,-1.1460073999999705,26,0.8461538461538461,no,REJECT,gross_pnl_not_better_than_baseline
r2_r1_imbalance_stricter_imbalance_down,2,r1_imbalance_stricter,0.7999999999999999,0.0002,0.0005,0.0001,5.0,10,100000.0,3,0.003,0.001,90,0.014700000000084389,-0.8954076799999158,26,0.8461538461538461,no,REJECT,gross_pnl_not_better_than_baseline
r2_r1_imbalance_stricter_imbalance_up,2,r1_imbalance_stricter,0.9,0.0002,0.0005,0.0001,5.0,10,100000.0,3,0.003,0.001,90,0.027299999999988354,-0.21930109500001163,7,0.7142857142857143,no,REJECT,too_few_exits_for_exploration_floor_10
r2_r1_imbalance_stricter_momentum_tighter,2,r1_imbalance_stricter,0.85,0.00015000000000000001,0.0005,0.0001,5.0,10,100000.0,3,0.003,0.001,90,-0.007100000000005827,-0.42945456000000587,12,0.8333333333333334,no,REJECT,gross_pnl_not_better_than_baseline
r2_r1_imbalance_stricter_reversion_tighter,2,r1_imbalance_stricter,0.85,0.0002,0.0007,5e-05,5.0,10,100000.0,3,0.003,0.001,90,-0.08330000000003203,-0.6103535550000321,15,0.7333333333333333,no,REJECT,gross_pnl_not_better_than_baseline
r2_r1_imbalance_stricter_hold_adjust,2,r1_imbalance_stricter,0.85,0.0002,0.0005,0.0001,5.0,10,100000.0,2,0.003,0.001,60,-0.13150000000001458,-0.6585340250000146,15,0.7333333333333333,no,REJECT,gross_pnl_not_better_than_baseline
