symbol,horizon,features,model,final_holdout,observations,directional_accuracy,auc,ic,gross_sharpe,net_sharpe,annualized_return,max_drawdown,turnover_roundtrips_per_year,trade_count,gross_edge_bp,all_in_cost_bp,net_edge_bp,long_net_edge_bp,short_net_edge_bp,top_5pct_net_pnl_share
BTCUSDT,5m,price_volume,unconditional,False,103680,0.5008198302469136,0.5029369291921908,0.0056305815621835184,1.8199651373408003,-176.53956708548967,-114.53049298997729,-1.0,104323.64252030264,103680,0.11224304224871837,11.0,-10.887756957751282,-10.887756957751282,,-0.16607271455996983
BTCUSDT,5m,price_volume,unconditional,True,25920,0.49780092592592595,0.5,-1.3184481993709465e-17,0.8483535640990216,-265.37095400994923,-115.34246638026107,-0.9999999999995641,105196.05848991088,25920,0.03505338996681747,11.0,-10.964946610033184,-10.964946610033184,,-0.09228945050088132
BTCUSDT,5m,price_volume,momentum,False,103680,0.48638117283950616,0.4799572810434631,-0.01489395844726149,-0.40462913172596404,-178.7120992448597,-115.94133099456106,-1.0,104323.64252030264,103680,-0.024954008184498496,10.996923225308642,-11.021877233493141,-10.914088125395514,-11.139754954717038,-0.17206799642833318
BTCUSDT,5m,price_volume,momentum,True,25920,0.4908564814814815,0.4849992722302924,-0.007185806760829386,-1.4576177262704186,-267.61031542347285,-116.3179246051631,-0.9999999999996573,105196.05848991088,25920,-0.060224123998316524,10.997453703703703,-11.05767782770202,-11.024110368749271,-11.096376922069826,-0.09293267265880657
BTCUSDT,5m,price_volume,ridge,False,103680,0.4925443672839506,0.4899888941020447,-0.009547618429854998,-1.4064670573032554,-179.76486825684506,-116.62365486540864,-1.0,104323.64252030264,103680,-0.08674184970422102,11.0,-11.08674184970422,-10.971545806683025,-11.180275721755336,-0.16508569289654515
BTCUSDT,5m,price_volume,ridge,True,25920,0.5013503086419753,0.4988760398106076,0.004990330101578961,1.7814533089944284,-264.44095946821415,-114.93690718979916,-0.9999999999995162,105196.05848991088,25920,0.07360757569024758,11.0,-10.926392424309753,-10.832570905372066,-10.971462548005276,-0.09128544546598893
BTCUSDT,5m,plus_basis,unconditional,False,103680,0.5008198302469136,0.5029369291921908,0.0056305815621835184,1.8199651373408003,-176.53956708548967,-114.53049298997729,-1.0,104323.64252030264,103680,0.11224304224871837,11.0,-10.887756957751282,-10.887756957751282,,-0.16607271455996983
BTCUSDT,5m,plus_basis,unconditional,True,25920,0.49780092592592595,0.5,-1.3184481993709465e-17,0.8483535640990216,-265.37095400994923,-115.34246638026107,-0.9999999999995641,105196.05848991088,25920,0.03505338996681747,11.0,-10.964946610033184,-10.964946610033184,,-0.09228945050088132
BTCUSDT,5m,plus_basis,momentum,False,103680,0.48638117283950616,0.4799572810434631,-0.01489395844726149,-0.40462913172596404,-178.7120992448597,-115.94133099456106,-1.0,104323.64252030264,103680,-0.024954008184498496,10.996923225308642,-11.021877233493141,-10.914088125395514,-11.139754954717038,-0.17206799642833318
BTCUSDT,5m,plus_basis,momentum,True,25920,0.4908564814814815,0.4849992722302924,-0.007185806760829386,-1.4576177262704186,-267.61031542347285,-116.3179246051631,-0.9999999999996573,105196.05848991088,25920,-0.060224123998316524,10.997453703703703,-11.05767782770202,-11.024110368749271,-11.096376922069826,-0.09293267265880657
BTCUSDT,5m,plus_basis,ridge,False,103680,0.4928337191358025,0.4897901345953935,-0.007986515591482644,-1.956255725436124,-180.31622425995968,-116.9803227709724,-1.0,104323.64252030264,103680,-0.1206482214400714,11.0,-11.120648221440073,-11.013063243570071,-11.171675550794552,-0.16490212293866935
BTCUSDT,5m,plus_basis,ridge,True,25920,0.5005015432098765,0.49662748832298315,-0.005016999383737711,-0.6421344135657998,-266.8610530334604,-115.99030166542703,-0.999999999999627,105196.05848991088,25920,-0.026532594249280162,11.0,-11.02653259424928,-10.984378340288686,-11.042340159961839,-0.0881497599686278
BTCUSDT,5m,plus_oi,unconditional,False,103565,0.5007386665379231,0.5027200037834858,0.006296940403547513,1.7464526305420212,-176.73396545408735,-114.57895181394211,-1.0,104207.92860354112,103565,0.10763633984123139,11.0,-10.892363660158768,-10.892363660158768,,-0.16577882435192187
BTCUSDT,5m,plus_oi,unconditional,True,25876,0.4977585407327253,0.5,,0.783744876379536,-265.4732420041663,-115.37059650560074,-0.9999999999995457,105017.48493383233,25876,0.03237922032086515,11.0,-10.967620779679134,-10.967620779679134,,-0.09216489408778704
BTCUSDT,5m,plus_oi,momentum,False,103565,0.4864288128228649,0.4799971959201009,-0.014388719070988328,-0.2776733028900651,-178.70610489301473,-115.85881246386857,-1.0,104207.92860354112,103565,-0.017112861336818098,10.99691980881572,-11.014032670152538,-10.910905365887634,-11.12707984046608,-0.1721749579584523
BTCUSDT,5m,plus_oi,momentum,True,25876,0.4909182253825939,0.48499840610297673,-0.006601665858448658,-1.3125824738751495,-267.50249124579017,-116.2547638709593,-0.9999999999996345,105017.48493383233,25876,-0.05422412508923579,10.99744937393724,-11.051673499026474,-11.020769635648264,-11.087755553372714,-0.09302106114676394
BTCUSDT,5m,plus_oi,ridge,False,103565,0.49792883696229423,0.4971947617601183,-0.008847744490469685,-0.07284335732390428,-178.55067840841298,-115.75842598907347,-1.0,104207.92860354112,103565,-0.004489503866592635,11.0,-11.004489503866592,-10.924258695757787,-11.175699222350673,-0.1655257290167498
BTCUSDT,5m,plus_oi,ridge,True,25876,0.4982995826248261,0.4949957906302751,-0.010106550656846056,-2.6802493378011527,-268.9455505395573,-116.87595885433221,-0.9999999999996864,105017.48493383233,25876,-0.11072694257473989,11.0,-11.11072694257474,-11.059441906439961,-11.209850111701614,-0.08814271175100255
BTCUSDT,5m,full,unconditional,False,103565,0.5007386665379231,0.5027200037834858,0.006296940403547513,1.7464526305420212,-176.73396545408735,-114.57895181394211,-1.0,104207.92860354112,103565,0.10763633984123139,11.0,-10.892363660158768,-10.892363660158768,,-0.16577882435192187
BTCUSDT,5m,full,unconditional,True,25876,0.4977585407327253,0.5,,0.783744876379536,-265.4732420041663,-115.37059650560074,-0.9999999999995457,105017.48493383233,25876,0.03237922032086515,11.0,-10.967620779679134,-10.967620779679134,,-0.09216489408778704
BTCUSDT,5m,full,momentum,False,103565,0.4864288128228649,0.4799971959201009,-0.014388719070988328,-0.2776733028900651,-178.70610489301473,-115.85881246386857,-1.0,104207.92860354112,103565,-0.017112861336818098,10.99691980881572,-11.014032670152538,-10.910905365887634,-11.12707984046608,-0.1721749579584523
BTCUSDT,5m,full,momentum,True,25876,0.4909182253825939,0.48499840610297673,-0.006601665858448658,-1.3125824738751495,-267.50249124579017,-116.2547638709593,-0.9999999999996345,105017.48493383233,25876,-0.05422412508923579,10.99744937393724,-11.051673499026474,-11.020769635648264,-11.087755553372714,-0.09302106114676394
BTCUSDT,5m,full,logistic,False,103565,0.513291169796746,0.5185079107672419,0.009957153472810003,3.6247798621338836,-174.86419685267487,-113.36132027463461,-1.0,104207.92860354112,103565,0.22338958526935515,11.0,-10.776610414730644,-10.760889549617245,-10.811964976899276,-0.16143162755086504
BTCUSDT,5m,full,logistic,True,25876,0.5161539650641521,0.5197404684002148,0.006150018674063444,5.2163728093563595,-261.0742726791669,-113.44453097634477,-0.9999999999992695,105017.48493383233,25876,0.21547922120077986,11.0,-10.784520778799221,-10.748486861458272,-10.819522488847758,-0.0895391712050043
BTCUSDT,5m,full,ridge,False,103565,0.4966735866364119,0.49772570477837313,-0.009664561259828609,-0.5728365617388179,-179.05094549060934,-116.08258227405294,-1.0,104207.92860354112,103565,-0.03530518233829021,11.0,-11.03530518233829,-10.946725152359063,-11.222545681667503,-0.16440206970648577
BTCUSDT,5m,full,ridge,True,25876,0.49273458030607514,0.4928492570098014,-0.011974339861266685,-3.475277251554509,-269.7467718875312,-117.22141986660583,-0.999999999999712,105017.48493383233,25876,-0.14356793925448788,11.0,-11.14356793925449,-11.087275353125234,-11.242351149854779,-0.0893667837368394
BTCUSDT,15m,price_volume,unconditional,False,34560,0.5034143518518519,0.5057583703715394,0.0061969775455164204,3.0769035725918004,-69.50443846417356,-36.93530483330854,-0.9999949191385712,11592.402927249246,11520,0.4663173530377199,11.0,-10.533682646962282,-10.533682646962282,,-0.28065705197074775
BTCUSDT,15m,price_volume,unconditional,True,8640,0.49444444444444446,0.5,-1.6467623871858776e-17,1.0516351720082076,-107.24220342640866,-38.19584508751934,-0.9571521012872645,11692.059742966308,2880,0.1068203606207694,11.0,-10.893179639379232,-10.893179639379232,,-0.15761124501247223
BTCUSDT,15m,price_volume,momentum,False,34560,0.48616898148148147,0.47972466927584,-0.014475313091458929,0.01934724701889567,-72.53326347015164,-38.546725960773024,-0.9999970108920267,11592.402927249246,11520,0.002932220860992661,10.996180555555556,-10.993248334694565,-10.542561289858044,-11.467311290154184,-0.26681331880472275
BTCUSDT,15m,price_volume,momentum,True,8640,0.49039351851851853,0.483153275310052,-0.0035011375377027054,2.982557992099642,-105.32331285760887,-37.50823731319502,-0.9543916942759759,11692.059742966308,2880,0.30292114043035145,11.0,-10.697078859569649,-10.585071897669751,-10.806320217472019,-0.17085352207250673
BTCUSDT,15m,price_volume,ridge,False,34560,0.4890625,0.48781103073824905,-0.011297332241103493,-2.828350557581504,-75.40817373989391,-40.07344323657718,-0.9999981895107681,11592.402927249246,11520,-0.4286570946204572,11.0,-11.428657094620458,-10.964508656988968,-11.953227222357825,-0.2481699025465347
