queue_cell,threshold,latency_ms,policy,eligible_opportunities,baseline_fills,baseline_unfilled,cancelled_opportunities,cancel_rate,fills_prevented,surviving_fills,adverse_fills_avoided,favourable_fills_sacrificed,non_negative_fills_sacrificed,prevented_fills_markout_censored,total_baseline_negative_ticks,total_baseline_positive_ticks,adverse_markout_avoided,favourable_markout_sacrificed,net_markout_preserved,net_per_eligible_opportunity,net_per_baseline_fill,net_per_cancelled_order,avoidance_efficiency_ticks,fraction_baseline_negative_removed,fraction_baseline_positive_removed,prevented_share_of_baseline_fills,baseline_negative_to_positive_ratio,random_match_adverse_avoided,random_match_favourable_sacrificed,random_match_net_markout,net_markout_lift_over_random,avoidance_efficiency_lift,catastrophic_25_avoidance_efficiency,catastrophic_25_random_match,catastrophic_25_avoidance_lift,catastrophic_50_avoidance_efficiency,catastrophic_50_random_match,catastrophic_50_avoidance_lift,catastrophic_100_avoidance_efficiency,catastrophic_100_random_match,catastrophic_100_avoidance_lift
conservative,,,never,428534,276955,151579,0,0,0,276955,0,0,0,0,17381933,1613046,0,0,0,0,0,,,0,0,0,10.77584458,0,0,0,,,,0,,,0,,,0,
conservative,0.1,0,cancel,428534,276955,151579,253139,0.5907092553,182177,94778,157413,24753,24753,11,17381933,1613046,11072644.5,891386.5,10181258,23.75834356,36.76141611,40.22002931,12.42182207,0.6370203187,0.5526107129,0.6577855608,10.77584458,11433584.55,1061038.368,10372546.18,0.9815582234,1.152746959,4.824627318,120802.976,0.9885849167,3.180422575,80362.31975,0.9796257779,1.41558599,36185.44149,0.9683452394
conservative,0.1,25,cancel,428534,276955,151579,253139,0.5907092553,177877,99078,153534,24332,24332,11,17381933,1613046,10807947,863549,9944398,23.20562196,35.90618693,39.28433785,12.51573101,0.6217920067,0.5353529906,0.6422595729,10.77584458,11163712.86,1035994.235,10127718.63,0.9818991191,1.161461723,4.784892323,117951.6128,0.987065774,3.156871609,78465.49428,0.9789398602,1.407364787,35331.34136,0.9692244528
conservative,0.1,50,cancel,428534,276955,151579,253139,0.5907092553,173810,103145,149825,23974,23974,11,17381933,1613046,10538515,845436,9693079,22.61915974,34.9987507,38.29152758,12.46518364,0.6062913141,0.5241239246,0.6275748768,10.77584458,10908464.46,1012307.145,9896157.316,0.9794790736,1.156770919,4.733669809,115254.7537,0.9846448529,3.122048886,76671.45027,0.9762173499,1.393551347,34523.52155,0.9677170376
conservative,0.1,100,cancel,428534,276955,151579,253139,0.5907092553,167017,109938,143759,23247,23247,11,17381933,1613046,10097625,808725,9288900,21.67599304,33.53938365,36.69485935,12.48585737,0.5809264712,0.5013651192,0.6030474265,10.77584458,10482129.96,972743.2391,9509386.724,0.9768137809,1.158689444,4.676345335,110750.2629,0.9815868345,3.082591302,73674.90714,0.9726649518,1.375747408,33174.24198,0.9640612142
conservative,0.2,0,cancel,428534,276955,151579,189233,0.4415822315,122070,154885,104442,17623,17623,5,17381933,1613046,7438870.5,725741,6713129.5,15.66533694,24.2390623,35.47546939,10.25003479,0.4279656641,0.4499195931,0.4407575238,10.77584458,7661217.748,710962.1607,6950255.587,0.9658823932,0.9512047723,4.48323214,80945.56,0.9760634184,2.990353515,53847.78744,0.9786660234,1.34403904,24246.51214,0.9768827723
conservative,0.2,25,cancel,428534,276955,151579,189233,0.4415822315,117372,159583,100194,17173,17173,5,17381933,1613046,7149002.5,696875,6452127.5,15.05627908,23.29666372,34.09620679,10.2586583,0.411289268,0.4320242572,0.4237944792,10.77584458,7366367.244,683599.9896,6682767.254,0.9654873878,0.9520050347,4.412624469,77830.27991,0.9736313436,2.948756769,51775.39532,0.9780514409,1.327432598,23313.3581,0.9778085124
conservative,0.2,50,cancel,428534,276955,151579,189233,0.4415822315,112943,164012,96105,16833,16833,5,17381933,1613046,6869587,677680,6191907,14.44904488,22.35708689,32.72107402,10.1369186,0.3952142147,0.4201244106,0.4078027116,10.77584458,7088399.411,657804.5328,6430594.878,0.9628824576,0.9407075731,4.315511198,74893.37579,0.9699522719,2.890275055,49821.66508,0.9765229628,1.304699103,22433.63497,0.9789764356
conservative,0.2,100,cancel,428534,276955,151579,189233,0.4415822315,106294,170661,90112,16177,16177,5,17381933,1613046,6443358,642238,5801120,13.53712891,20.94607427,30.65596381,10.0326639,0.3706928338,0.3981523156,0.3837952014,10.77584458,6671102.476,619079.3144,6052023.162,0.9585422668,0.9310327211,4.199789825,70484.37253,0.9639016077,2.82023861,46888.64355,0.9730074608,1.273783767,21112.95782,0.9759883088
conservative,0.3,0,cancel,428534,276955,151579,148335,0.34614523,76509,200446,64847,11661,11661,1,17381933,1613046,4696474,560236.5,4136237.5,9.65206378,14.93469156,27.88443388,8.383020385,0.2701928491,0.3473158856,0.2762506544,10.77584458,4801770.367,445605.0131,4356165.354,0.9495134285,0.7779455542,4.203841866,50733.70894,0.9662412038,2.81862619,33749.8187,0.9738718981,1.300746077,15196.82475,0.9981032386
