queue_cell,threshold,latency_ms,block,eligible_opportunities,baseline_fills,cancelled_opportunities,cancel_rate,fills_prevented,surviving_fills,favourable_fills_sacrificed,adverse_markout_avoided,favourable_markout_sacrificed,net_markout_preserved,net_per_eligible_opportunity,avoidance_efficiency_ticks,avoidance_efficiency_lift,net_markout_lift_over_random,cancel_too_late_rate,catastrophic_25_avoided,catastrophic_25_avoidance_lift,catastrophic_50_avoided,catastrophic_50_avoidance_lift,catastrophic_100_avoided,catastrophic_100_avoidance_lift
conservative,0.1,0,992801,614,180,244,0.3973941368,80,100,19,3613.5,9.5,3604,5.86970684,380.3684211,1.027254829,0.9344318968,0.5238095238,61,1.031954887,57,1.308673469,1,0.2045454545
conservative,0.1,0,992802,3600,1508,1774,0.4927777778,1001,507,126,39322.5,63,39259.5,10.90541667,624.1666667,0.8582039254,0.9580332359,0.1581160639,679,0.9695820767,369,1.083618136,16,0.4017316017
conservative,0.1,0,992803,3600,1492,1708,0.4744444444,958,534,59,33207.5,50.5,33157,9.210277778,657.5742574,1.206181559,1.009522318,0.1976549414,610,1.011736823,161,1.05354292,9,0.467223382
conservative,0.1,0,992804,3600,1417,1605,0.4458333333,911,506,88,32932.5,44,32888.5,9.135694444,748.4659091,0.6787904674,0.9380977528,0.2119377163,531,1.018415827,213,0.8061006194,35,0.9721459934
conservative,0.1,0,992805,3600,1042,1241,0.3447222222,698,344,53,21798.5,26.5,21772,6.047777778,822.5849057,1.019368291,0.8961630119,0.1921296296,393,0.9843704929,128,0.8455004184,43,0.558191105
conservative,0.1,0,992806,3600,1786,1834,0.5094444444,1163,623,168,52898.5,190,52708.5,14.64125,278.4131579,1.033089513,0.8687916218,0.1196063588,622,0.9410789999,360,0.8624743958,162,0.8668318448
conservative,0.1,0,992807,3600,1593,1671,0.4641666667,917,676,141,26108,70.5,26037.5,7.232638889,370.3262411,0.7818166803,0.8431175692,0.2658126501,391,0.8775709467,168,0.8197958659,21,0.334687303
conservative,0.1,0,992808,3600,1284,1564,0.4344444444,821,463,113,38095,56.5,38038.5,10.56625,674.2477876,0.9745141636,1.025091763,0.1596724667,454,1.017237348,267,1.011074311,101,1.019087659
conservative,0.1,0,992809,3600,1682,1631,0.4530555556,885,797,83,31701,77.5,31623.5,8.784305556,409.0451613,0.4889808035,0.8316040068,0.2914331465,484,0.9473464947,199,0.7671651712,65,0.6677660712
conservative,0.1,0,992810,3600,1894,1757,0.4880555556,1113,781,122,41902.5,449,41453.5,11.51486111,93.32405345,0.8823914858,0.9457134934,0.2183988764,683,0.9808151459,304,0.8452924147,49,1.111781971
conservative,0.1,0,992811,3600,2730,2087,0.5797222222,1610,1120,114,97896,2739,95157,26.4325,35.7415115,1.231983559,1.054899278,0.1192560175,1197,1.025098814,671,0.9980549199,259,1.111832691
conservative,0.1,0,992812,3600,2804,2167,0.6019444444,1630,1174,143,99862.5,5480.5,94382,26.21722222,18.2214214,1.012309965,0.9935695958,0.1593604951,1178,1.009187789,764,0.998683499,263,0.8888497836
conservative,0.1,0,992813,3600,2818,2263,0.6286111111,1761,1057,198,97993.5,3145,94848.5,26.34680556,31.15850556,1.075788646,0.9735922938,0.1277860327,1220,0.9965682059,762,0.9778452955,255,0.881334604
conservative,0.1,0,992814,3600,2731,2201,0.6113888889,1713,1018,90,92936.5,990,91946.5,25.54069444,93.87525253,1.128553875,1.03493265,0.1040794979,1201,1.032755734,699,1.027097743,279,1.071816513
conservative,0.1,0,992815,3600,2311,2041,0.5669444444,1393,918,88,57727.5,494,57233.5,15.89819444,116.8572874,1.208460187,0.9531023019,0.1562689279,765,0.929774461,403,0.8336418466,108,0.9737663473
conservative,0.1,0,992816,3600,2303,1991,0.5530555556,1448,855,114,55394,780,54614,15.17055556,71.01794872,0.7033565488,0.8530969751,0.1282360024,891,0.932921939,413,0.8961309008,106,0.752632942
conservative,0.1,0,992817,3600,2023,2005,0.5569444444,1283,740,88,46703.5,576,46127.5,12.81319444,81.08246528,0.8835353479,0.8993045597,0.1480743692,703,0.9252684066,415,0.9126372008,41,0.5621539191
conservative,0.1,0,992818,3600,1673,1771,0.4919444444,1113,560,85,38801,42.5,38758.5,10.76625,912.9647059,0.7301714891,0.8882327788,0.08919803601,610,0.9033677231,241,0.8233133219,13,0.205693479
conservative,0.1,0,992819,3600,1702,1700,0.4722222222,906,796,59,31191.5,29.5,31162,8.656111111,1057.338983,5.333838093,0.7374163482,0.2646103896,554,0.9275733573,170,0.691255029,15,0.2709500764
conservative,0.1,0,992820,3600,1614,1674,0.465,892,722,111,28960.5,271.5,28689,7.969166667,106.6685083,0.5358412191,0.8027086467,0.2021466905,500,0.9212917721,183,0.7407680501,13,0.2904002657
conservative,0.1,0,992821,3600,1322,1655,0.4597222222,864,458,108,33516,54,33462,9.295,620.6666667,0.9723903533,0.8780346813,0.1692307692,467,0.9044977731,234,0.8484399684,69,0.567614994
conservative,0.1,0,992822,3600,1236,1587,0.4408333333,797,439,75,34219,70.5,34148.5,9.485694444,485.3758865,0.7474323491,0.912581639,0.2299516908,541,0.9721798575,227,0.75221182,69,1.20231768
conservative,0.1,0,992823,3600,1544,1640,0.4555555556,845,699,70,29652.5,35,29617.5,8.227083333,847.2142857,3.448209793,0.8707167282,0.2204797048,432,0.8969983862,199,0.7853489591,64,0.6533073287
conservative,0.1,0,992824,3600,1310,1265,0.3513888889,677,633,81,28804,160.5,28643.5,7.956527778,179.4641745,0.7102414178,0.9637688718,0.1901913876,493,1.01162104,134,0.7007864585,55,1.085973533
conservative,0.1,0,992825,3600,1373,1592,0.4422222222,799,574,85,35500,42.5,35457.5,9.849305556,835.2941176,0.8893903459,0.9147221083,0.181352459,545,1.01685875,243,0.9665988736,76,0.782025436
conservative,0.1,0,992826,3600,822,1002,0.2783333333,456,366,20,16842,10,16832,4.675555556,1684.2,1.779670723,1.035347531,0.2487644152,249,0.946952032,120,1.076197958,1,0.1060371517
