queue_cell,threshold,latency_ms,statistic,blocks,block_mean,block_median,block_worst,block_best,frac_blocks_positive,block_bootstrap_p05,block_bootstrap_p95
conservative,0.1,0,net_per_eligible_opportunity,120,23.75834356,26.28201389,3.559861111,49.45833333,1,21.69226381,25.80657488
conservative,0.1,25,net_per_eligible_opportunity,120,23.20562196,25.51631944,3.348194444,48.46611111,1,21.15175641,25.19401338
conservative,0.1,50,net_per_eligible_opportunity,120,22.61915974,24.81430556,3.338055556,47.04638889,1,20.59643871,24.63474367
conservative,0.1,100,net_per_eligible_opportunity,120,21.67599304,23.93090278,3.169305556,44.44027778,1,19.7235108,23.65495682
conservative,0.2,0,net_per_eligible_opportunity,120,15.66533694,15.83895833,0.6808333333,35.80277778,1,13.93279452,17.36966301
conservative,0.2,25,net_per_eligible_opportunity,120,15.05627908,15.00027778,0.66375,34.35569444,1,13.3677394,16.69018401
conservative,0.2,50,net_per_eligible_opportunity,120,14.44904488,14.25769816,0.66375,33.18263889,1,12.84968656,16.02360165
conservative,0.2,100,net_per_eligible_opportunity,120,13.53712891,13.36447364,0.55125,30.63111111,1,12.01377344,15.00718054
conservative,0.3,0,net_per_eligible_opportunity,120,9.65206378,8.104027778,0.1921824104,28.89208333,1,8.372015934,10.82596152
conservative,0.3,25,net_per_eligible_opportunity,120,9.147763071,7.606041667,0.1866666667,27.93166667,1,7.91422766,10.25522989
conservative,0.3,50,net_per_eligible_opportunity,120,8.674111039,7.262986111,0.1111111111,26.71347222,1,7.515493385,9.717548576
conservative,0.3,100,net_per_eligible_opportunity,120,7.916003164,6.530902778,0.03972222222,23.95819444,1,6.853648098,8.874168229
conservative,0.4,0,net_per_eligible_opportunity,120,5.634359234,3.945416667,0,19.86958333,0.9916666667,4.770908878,6.447263955
conservative,0.4,25,net_per_eligible_opportunity,120,5.252804912,3.716666667,0,18.56930556,0.9916666667,4.449437572,6.015044438
conservative,0.4,50,net_per_eligible_opportunity,120,4.885523669,3.514583333,0,17.35791667,0.9916666667,4.139647136,5.584871846
conservative,0.4,100,net_per_eligible_opportunity,120,4.332658552,3.106180556,0,15.60361111,0.9916666667,3.671233272,4.961671421
conservative,0.5,0,net_per_eligible_opportunity,120,3.024129941,1.549305556,-0.003333333333,13.94722222,0.9583333333,2.524181963,3.534918636
conservative,0.5,25,net_per_eligible_opportunity,120,2.758490575,1.365833333,-0.1173611111,13.20986111,0.95,2.303488293,3.22206325
conservative,0.5,50,net_per_eligible_opportunity,120,2.519650716,1.271875,-0.1686111111,12.00027778,0.95,2.099335117,2.943538106
conservative,0.5,100,net_per_eligible_opportunity,120,2.155410072,1.145625,-0.1734722222,10.19777778,0.9416666667,1.786020862,2.520672329
conservative,0.6,0,net_per_eligible_opportunity,120,1.376048342,0.5660416667,-0.1323611111,7.675,0.8916666667,1.127019335,1.643546993
conservative,0.6,25,net_per_eligible_opportunity,120,1.220784115,0.4486111111,-0.1323611111,7.147083333,0.875,1.002904855,1.466074531
conservative,0.6,50,net_per_eligible_opportunity,120,1.093760355,0.3715972222,-0.2788888889,6.49,0.85,0.891441102,1.316173396
