queue_cell,threshold,latency_ms,utc_day,eligible_opportunities,baseline_fills,cancelled_opportunities,cancel_rate,fills_prevented,surviving_fills,favourable_fills_sacrificed,adverse_markout_avoided,favourable_markout_sacrificed,net_markout_preserved,net_per_eligible_opportunity,avoidance_efficiency_ticks,avoidance_efficiency_lift,net_markout_lift_over_random,cancel_too_late_rate,catastrophic_25_avoided,catastrophic_25_avoidance_lift,catastrophic_50_avoided,catastrophic_50_avoidance_lift,catastrophic_100_avoided,catastrophic_100_avoidance_lift
conservative,0.1,0,2026-08-18,108614,50678,50806,0.4677665863,30213,20465,3021,1286394,17173.5,1269220.5,11.68560683,74.90575596,0.9779160143,0.9247538609,0.1798637314,18410,0.9636194928,9161,0.9039514916,2516,0.8047733202
conservative,0.1,0,2026-08-19,172796,107550,96438,0.5581031968,67639,39911,8650,4026892.5,341108.5,3685784,21.33026227,11.80531268,1.249413471,0.973884109,0.1519471401,43886,0.9879283181,27980,0.9648424569,12319,0.9505015864
conservative,0.1,0,2026-08-20,147124,118727,105895,0.7197669993,84325,34402,13082,5759358,533104.5,5226253.5,35.5227801,10.8034316,1.130200127,0.9878446979,0.08987393688,57128,0.9933737087,41584,0.9913308247,20205,0.9756170314
conservative,0.1,25,2026-08-18,108614,50678,50806,0.4677665863,29522,21156,2971,1247124.5,16696.5,1230428,11.32844753,74.69376816,0.975148453,0.9174731332,0.1986210266,17897,0.9586942024,8898,0.898550973,2416,0.7908751653
conservative,0.1,25,2026-08-19,172796,107550,96438,0.5581031968,65813,41737,8487,3923891,326433.5,3597457.5,20.81910172,12.02049116,1.272186852,0.976919011,0.1748413952,42662,0.9870204186,27249,0.9657056112,12049,0.9554630256
conservative,0.1,25,2026-08-20,147124,118727,105895,0.7197669993,82542,36185,12874,5636931.5,520419,5116512.5,34.77687189,10.83152517,1.133139134,0.9879923991,0.1091179899,55867,0.992431075,40666,0.9903875376,19779,0.975677323
conservative,0.1,50,2026-08-18,108614,50678,50806,0.4677665863,28759,21919,2926,1213067.5,16357,1196710.5,11.01801333,74.16197958,0.9682058014,0.9160058486,0.2193327723,17394,0.9564699361,8666,0.8983405366,2359,0.7927038076
conservative,0.1,50,2026-08-19,172796,107550,96438,0.5581031968,64212,43338,8364,3821203.5,317917,3503286.5,20.27411804,12.01950037,1.272081993,0.9750660508,0.1949146167,41470,0.9833643326,26439,0.9603614126,11750,0.954984315
conservative,0.1,50,2026-08-20,147124,118727,105895,0.7197669993,80839,37888,12684,5504244,511162,4993082,33.93791632,10.76810092,1.126504011,0.9844696173,0.1274985969,54621,0.9907377374,39743,0.9882991284,19300,0.9721051518
conservative,0.1,100,2026-08-18,108614,50678,50806,0.4677665863,27497,23181,2825,1150275.5,15047.5,1135228,10.4519491,76.44296395,0.9979847031,0.9088259236,0.2535899454,16515,0.949814736,8158,0.8844931638,2191,0.7700409977
conservative,0.1,100,2026-08-19,172796,107550,96438,0.5581031968,61668,45882,8118,3651923.5,303842.5,3348081,19.37591727,12.01913327,1.27204314,0.9703103632,0.2268111036,39723,0.9807962355,25280,0.9561435062,11205,0.948258111
conservative,0.1,100,2026-08-20,147124,118727,105895,0.7197669993,77852,40875,12304,5295426,489835,4805591,32.66354232,10.81063215,1.130953413,0.9838561014,0.1597375124,52473,0.9882938932,38223,0.986969415,18586,0.9720598986
conservative,0.2,0,2026-08-18,108614,50678,33456,0.3080265896,16354,34324,1491,680203.5,11234.5,668969,6.159141547,60.5459522,0.7904446794,0.9004610367,0.4196593329,9720,0.9399135496,4845,0.8832138713,1332,0.7871128737
conservative,0.2,0,2026-08-19,172796,107550,70748,0.4094307739,43017,64533,5869,2621081,286722,2334359,13.50933471,9.141541284,0.9674936305,0.9698444939,0.3283945606,27842,0.9855006689,18016,0.9768415581,8054,0.9771158876
conservative,0.2,0,2026-08-20,147124,118727,85029,0.5779410565,62699,56028,10263,4137586,427784.5,3709801.5,25.2154747,9.67212697,1.011848785,0.9430714769,0.1966198555,41446,0.9692638149,29838,0.9566603921,14300,0.9286504885
conservative,0.2,25,2026-08-18,108614,50678,33456,0.3080265896,15705,34973,1434,645743.5,10638,635105.5,5.847363139,60.70158864,0.7924765576,0.8902067005,0.442689851,9293,0.9357581865,4616,0.8762417715,1259,0.7747196535
conservative,0.2,25,2026-08-19,172796,107550,70748,0.4094307739,41226,66324,5705,2517452.5,271686.5,2245766,12.99663187,9.266019843,0.9806677999,0.9735715645,0.3563566533,26651,0.984325926,17296,0.9785439848,7757,0.981967607
conservative,0.2,25,2026-08-20,147124,118727,85029,0.5779410565,60441,58286,10034,3985806.5,414550.5,3571256,24.27378266,9.614767079,1.005848084,0.9417679217,0.2255522526,39834,0.9663673964,28727,0.9554486066,13780,0.9283130265
conservative,0.2,50,2026-08-18,108614,50678,33456,0.3080265896,15016,35662,1426,613361,10515,602846,5.550352625,58.3320019,0.7615409266,0.8837614425,0.4671398155,8837,0.9306711132,4414,0.8763430818,1202,0.7735831335
conservative,0.2,50,2026-08-19,172796,107550,70748,0.4094307739,39493,68057,5586,2414200,263002,2151198,12.44935068,9.179397875,0.9715001771,0.973497493,0.3834132176,25436,0.9806754531,16576,0.9789612167,7454,0.9850172412
conservative,0.2,50,2026-08-20,147124,118727,85029,0.5779410565,58434,60293,9821,3842026,404163,3437863,23.3671121,9.506129953,0.99448302,0.937729333,0.2512685152,38370,0.962822375,27662,0.9516267883,13306,0.9271687196
conservative,0.2,100,2026-08-18,108614,50678,33456,0.3080265896,13989,36689,1372,559915,10164,549751,5.061511407,55.08805588,0.7191902859,0.8650919757,0.5035841022,8111,0.9169240628,4008,0.8541558821,1039,0.7177705933
conservative,0.2,100,2026-08-19,172796,107550,70748,0.4094307739,37197,70353,5365,2266407,248840.5,2017566.5,11.67600234,9.107870302,0.9639300673,0.9693810389,0.4192596525,23832,0.9755492271,15589,0.9774987625,7002,0.9824009206
conservative,0.2,100,2026-08-20,147124,118727,85029,0.5779410565,55108,63619,9440,3617036,383233.5,3233802.5,21.98011541,9.438204124,0.9873769648,0.9353052979,0.2938855005,35997,0.9577929799,26026,0.9493830504,12565,0.9283777246
conservative,0.3,0,2026-08-18,108614,50678,24005,0.2210120242,8016,42662,696,332384.5,7567,324817.5,2.990567514,43.92553191,0.5734603508,0.891999553,0.6444286728,4824,0.9516893941,2322,0.8635760716,695,0.837883967
conservative,0.3,0,2026-08-19,172796,107550,55880,0.3233871154,25971,81579,3779,1635920,226826.5,1409093.5,8.154665039,7.21220845,0.7633029837,0.9696739231,0.5090641009,16679,0.9778628567,11040,0.9914852897,5163,1.0374998
conservative,0.3,0,2026-08-20,147124,118727,68450,0.4652537995,42522,76205,7186,2728169.5,325843,2402326.5,16.32858337,8.372650325,0.87590414,0.9004775722,0.3441707667,27518,0.9489059601,19506,0.9221535339,9310,0.8914825899
conservative,0.3,25,2026-08-18,108614,50678,24005,0.2210120242,7580,43098,678,308088.5,7371,300717.5,2.768680833,41.79738163,0.5456767417,0.873318022,0.6637686302,4521,0.9432155245,2166,0.8518935694,631,0.8044831233
