fold,block,train_rows,validation_rows,train_end_ns,validation_start_ns,validation_end_ns,train_end_utc,validation_start_utc,validation_end_utc,purge_seconds,validation_hours
0,2,427131,214277,1787043232966666752,1787043292966666752,1787064720649999872,2026-08-18T08:53:52.966Z,2026-08-18T08:54:52.966Z,2026-08-18T14:52:00.649Z,60,5.952134259
1,3,641408,214277,1787064660649999872,1787064720649999872,1787086148333333248,2026-08-18T14:51:00.649Z,2026-08-18T14:52:00.649Z,2026-08-18T20:49:08.333Z,60,5.952134259
2,4,855685,214277,1787086088333333248,1787086148333333248,1787107576016666624,2026-08-18T20:48:08.333Z,2026-08-18T20:49:08.333Z,2026-08-19T02:46:16.016Z,60,5.952134259
3,5,1069962,214250,1787107516016666624,1787107576016666624,1787129003700000000,2026-08-19T02:45:16.016Z,2026-08-19T02:46:16.016Z,2026-08-19T08:43:23.700Z,60,5.952134259
4,6,1284213,214277,1787128943700000000,1787129003700000000,1787150431383333376,2026-08-19T08:42:23.700Z,2026-08-19T08:43:23.700Z,2026-08-19T14:40:31.383Z,60,5.952134259
5,7,1498489,214277,1787150371383333376,1787150431383333376,1787171859066666752,2026-08-19T14:39:31.383Z,2026-08-19T14:40:31.383Z,2026-08-19T20:37:39.066Z,60,5.952134259
6,8,1712766,214229,1787171799066666752,1787171859066666752,1787193286750000128,2026-08-19T20:36:39.066Z,2026-08-19T20:37:39.066Z,2026-08-20T02:34:46.750Z,60,5.952134259
7,9,1926995,214255,1787193226750000128,1787193286750000128,1787214714433333248,2026-08-20T02:33:46.750Z,2026-08-20T02:34:46.750Z,2026-08-20T08:31:54.433Z,60,5.952134259
8,10,2141250,214252,1787214654433333248,1787214714433333248,1787236142116666624,2026-08-20T08:30:54.433Z,2026-08-20T08:31:54.433Z,2026-08-20T14:29:02.116Z,60,5.952134259
9,11,2355502,214276,1787236082116666624,1787236142116666624,1787257569800000000,2026-08-20T14:28:02.116Z,2026-08-20T14:29:02.116Z,2026-08-20T20:26:09.800Z,60,5.952134259
