queue_cell,threshold,latency_ms,policy,eligible_opportunities,baseline_fills,baseline_fill_rate,baseline_unfilled,cancelled_opportunities,cancel_rate,orders_unaffected,fills_prevented,surviving_fills,surviving_fill_rate,fill_rate_reduction,adverse_fills_avoided,favourable_fills_sacrificed,non_negative_fills_sacrificed,prevented_fills_markout_censored,cancel_too_late,cancel_too_late_rate,cancel_without_baseline_fill,unnecessary_cancel_rate,total_baseline_negative_ticks,total_baseline_positive_ticks,adverse_markout_avoided,favourable_markout_sacrificed,net_markout_preserved,net_per_eligible_opportunity,net_per_baseline_fill,net_per_cancelled_order,avoidance_efficiency_ticks,fraction_baseline_negative_removed,fraction_baseline_positive_removed,prevented_share_of_baseline_fills,baseline_negative_to_positive_ratio,random_match_adverse_avoided,random_match_favourable_sacrificed,random_match_net_markout,net_markout_lift_over_random,avoidance_efficiency_lift,catastrophic_25_avoided,catastrophic_25_avoidance_efficiency,catastrophic_25_random_match,catastrophic_25_avoidance_lift,catastrophic_50_avoided,catastrophic_50_avoidance_efficiency,catastrophic_50_random_match,catastrophic_50_avoidance_lift,catastrophic_100_avoided,catastrophic_100_avoidance_efficiency,catastrophic_100_random_match,catastrophic_100_avoidance_lift,baseline_observed,baseline_mean,baseline_median,baseline_p1,baseline_p5,baseline_p10,baseline_p25,baseline_p50,baseline_p75,baseline_p90,baseline_frac_favourable,baseline_cat_25_rate,baseline_cat_50_rate,baseline_cat_100_rate,surviving_observed,surviving_mean,surviving_median,surviving_p1,surviving_p5,surviving_p10,surviving_p25,surviving_p50,surviving_p75,surviving_p90,surviving_frac_favourable,surviving_cat_25_rate,surviving_cat_50_rate,surviving_cat_100_rate,baseline_cat_25_per_opportunity,surviving_cat_25_per_opportunity,baseline_cat_50_per_opportunity,surviving_cat_50_per_opportunity,baseline_cat_100_per_opportunity,surviving_cat_100_per_opportunity
conservative,0.3,0,cancel,428534,276955,0.6462847755,151579,148335,0.34614523,280199,76509,200446,0.4677481833,0.1785365922,64847,11661,11661,1,63773,0.4546057228,8053,0.05428927765,17381933,1613046,4696474,560236.5,4136237.5,9.65206378,14.93469156,27.88443388,8.383020385,0.2701928491,0.3473158856,0.2762506544,10.77584458,4801770.367,445605.0131,4356165.354,0.9495134285,0.7779455542,49021,4.203841866,50733.70894,0.9662412038,32868,2.81862619,33749.8187,0.9738718981,15168,1.300746077,15196.82475,0.9981032386,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,200431,-58.03817523,-42.5,-325.2,-193.5,-145.5,-86.5,-42.5,-16.5,0.5,0.1189835904,0.6717024812,0.4455548293,0.1987866148,0.4285564273,0.3141641037,0.2850905646,0.2083918662,0.128370211,0.09297511983
conservative,0.3,50,cancel,428534,276955,0.6462847755,151579,148335,0.34614523,280199,69126,207829,0.484976688,0.1613080876,58193,10932,10932,1,71156,0.5072354258,8053,0.05428927765,17381933,1613046,4229137,511985.5,3717151.5,8.674111039,13.42149988,25.05916675,8.260267136,0.2433064838,0.3174029135,0.2495928942,10.77584458,4338406.963,402604.8195,3935802.144,0.9444457227,0.7665540342,43996,4.024515185,45837.9846,0.959815323,29554,2.703439444,30493.01347,0.9692056191,13701,1.253293085,13730.3547,0.9978620581,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,207814,-57.99289509,-42.5,-324.5,-192.5,-145.5,-86.5,-42.5,-16.5,0.5,0.1182644095,0.6720192095,0.4456725726,0.1987835276,0.4285564273,0.3258901277,0.2850905646,0.2161252083,0.128370211,0.0963984188
conservative,0.3,100,cancel,428534,276955,0.6462847755,151579,148335,0.34614523,280199,63663,213292,0.4977248013,0.1485599742,53313,10349,10349,1,76619,0.5461784121,8053,0.05428927765,17381933,1613046,3872221.5,479945,3392276.5,7.916003164,12.24847538,22.86902282,8.068052589,0.2227727779,0.2975395618,0.229867668,10.77584458,3995544.405,370787.1224,3624757.282,0.935863076,0.7487164953,40262,3.890424196,42215.4271,0.9537271743,27082,2.616871195,28083.16287,0.9643500671,12528,1.210551744,12645.25029,0.9907277212,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,213277,-58.03068545,-42.5,-324.5,-193.5,-145.5,-86.5,-42.5,-16.5,0.5,0.1179686511,0.6723134703,0.4458474191,0.1991916615,0.4285564273,0.3346035554,0.2850905646,0.2218937121,0.128370211,0.09913565785
conservative,0.5,0,cancel,428534,276955,0.6462847755,151579,106019,0.2473992729,322515,24390,252565,0.589369805,0.05691497057,20299,4090,4090,1,79905,0.7661441105,1724,0.01626123619,17381933,1613046,1559324,263381.5,1295942.5,3.024129941,4.679252947,12.2236816,5.920400636,0.08970947017,0.1632820763,0.08806484808,10.77584458,1530737.289,142052.6509,1388684.638,0.9332158393,0.5494140706,15176,3.710513447,16173.19741,0.938342593,10522,2.572616137,10758.97055,0.977974607,5262,1.286552567,4844.535358,1.086172277,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,252550,-57.30724411,-41.5,-321.5,-192.5,-144.5,-86.5,-41.5,-15.5,0.5,0.1244070481,0.6670956246,0.4420867155,0.1969867353,0.4285564273,0.3931426678,0.2850905646,0.2605370869,0.128370211,0.1160911386
conservative,0.5,50,cancel,428534,276955,0.6462847755,151579,106019,0.2473992729,322515,20685,256270,0.59801556,0.04826921551,17025,3659,3659,1,83610,0.8016683446,1724,0.01626123619,17381933,1613046,1309721,229965,1079756,2.519650716,3.898669459,10.18455183,5.695305807,0.0753495598,0.1425656801,0.07468722356,10.77584458,1298208.316,120473.9272,1177734.389,0.9168077373,0.5285252366,12652,3.457775348,13716.38329,0.9224005869,8808,2.407215086,9124.612789,0.9653012356,4405,1.203880842,4108.618855,1.072136442,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,256255,-57.32231956,-41.5,-322.5,-192.5,-145.5,-86.5,-41.5,-15.5,0.5,0.1242902578,0.6673001502,0.4423835632,0.1974829759,0.4285564273,0.3990325155,0.2850905646,0.2645367695,0.128370211,0.1180909799
conservative,0.5,100,cancel,428534,276955,0.6462847755,151579,106019,0.2473992729,322515,18008,258947,0.6042624389,0.04202233662,14655,3352,3352,1,86287,0.8273359221,1724,0.01626123619,17381933,1613046,1135200.5,211534,923666.5,2.155410072,3.335077901,8.712273272,5.366515548,0.06530922079,0.1311394715,0.06502139337,10.77584458,1130197.503,104882.4985,1025315.005,0.9008611947,0.498013451,10904,3.252983294,11941.24391,0.9131376998,7618,2.272673031,7943.728649,0.9589954965,3793,1.131563246,3576.891871,1.060417854,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,258932,-57.33250622,-41.5,-322.5,-192.5,-145.5,-86.5,-41.5,-15.5,0.5,0.1241909073,0.6671519936,0.4424057281,0.1978048291,0.4285564273,0.4031115384,0.2850905646,0.2673136787,0.128370211,0.1195191047
conservative,0.7,0,cancel,428534,276955,0.6462847755,151579,86159,0.2010552255,342375,3790,273165,0.6374406698,0.008844105719,3141,649,649,0,82086,0.9558665984,283,0.003284624938,17381933,1613046,260407.5,63948.5,196459,0.4584443708,0.7093535051,2.280191274,4.072143991,0.01498150407,0.03964456066,0.01368453359,10.77584458,237863.646,22073.78217,215789.8638,0.9104181102,0.3778955756,2431,3.745762712,2513.178278,0.9673010551,1710,2.634822804,1671.853153,1.022817104,942,1.45146379,752.7998772,1.251328578,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,273149,-57.01074505,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1276226528,0.6634474225,0.4410083874,0.1979469081,0.4285564273,0.4228835985,0.2850905646,0.2811002161,0.128370211,0.126172019
conservative,0.7,50,cancel,428534,276955,0.6462847755,151579,86159,0.2010552255,342375,2899,274056,0.6395198514,0.006764924137,2369,530,530,0,82977,0.9662420234,283,0.003284624938,17381933,1613046,202649,50964.5,151684.5,0.3539614126,0.5476864473,1.760518344,3.976277605,0.01165859977,0.03159519319,0.01046740445,10.77584458,181943.7229,16884.40488,165059.318,0.9189696277,0.3689991605,1837,3.466037736,1922.349295,0.9556015677,1298,2.449056604,1278.813269,1.015003544,738,1.39245283,575.8223863,1.281645204,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,274040,-56.98876989,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1276419501,0.6634578894,0.4410779448,0.1980477303,0.4285564273,0.4242697196,0.2850905646,0.2820616334,0.128370211,0.1266480606
conservative,0.7,100,cancel,428534,276955,0.6462847755,151579,86159,0.2010552255,342375,2233,274722,0.6410739871,0.005210788409,1784,449,449,0,83643,0.9739973916,283,0.003284624938,17381933,1613046,157130,43918,113212,0.2641844054,0.4087739886,1.313989252,3.577804089,0.009039846144,0.02722674989,0.008062681663,10.77584458,140144.9925,13005.47641,127139.5161,0.8904548602,0.3320207583,1355,3.017817372,1480.71955,0.9150956371,974,2.169265033,985.0258815,0.9888065058,556,1.23830735,443.536181,1.25356177,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,274706,-56.99065546,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1276273543,0.6636039985,0.4411880338,0.1982301078,0.4285564273,0.4253944845,0.2850905646,0.2828176994,0.128370211,0.1270727644
midpoint,0.3,0,cancel,428534,305062,0.7118735036,123472,148335,0.34614523,280199,67464,237598,0.5544437548,0.1574297489,43315,24143,24143,6,78209,0.5368805475,2662,0.01794586578,14796323,1950241.5,3163535,614901.5,2548633.5,5.9473309,8.354477123,17.18160582,5.144783351,0.213805484,0.3152950545,0.2211484878,7.586918338,3272184.457,431292.9587,2840891.499,0.8971245475,0.6781123932,32888,1.362216792,34528.3557,0.9524925045,22187,0.9189827279,23031.95156,0.9633139397,10225,0.423518204,10363.23929,0.9866606101,305041,-42.11263896,-26.5,-299.5,-174.5,-127.5,-70.5,-26.5,0.5,0.5,0.3287951456,0.5118393921,0.341419678,0.1536219721,237583,-43.34252872,-27.5,-300.5,-174.5,-127.5,-71.5,-27.5,0.5,0.5,0.320532193,0.518740819,0.3449741774,0.1542029522,0.364339819,0.2875944499,0.2430308914,0.1912567031,0.1093518834,0.08549146625
