queue_cell,threshold,latency_ms,mechanism_name,eligible_opportunities,baseline_fills,baseline_fill_rate,baseline_unfilled,cancelled_opportunities,cancel_rate,orders_unaffected,fills_prevented,surviving_fills,surviving_fill_rate,fill_rate_reduction,adverse_fills_avoided,favourable_fills_sacrificed,non_negative_fills_sacrificed,prevented_fills_markout_censored,cancel_too_late,cancel_too_late_rate,cancel_without_baseline_fill,unnecessary_cancel_rate,total_baseline_negative_ticks,total_baseline_positive_ticks,adverse_markout_avoided,favourable_markout_sacrificed,net_markout_preserved,net_per_eligible_opportunity,net_per_baseline_fill,net_per_cancelled_order,avoidance_efficiency_ticks,fraction_baseline_negative_removed,fraction_baseline_positive_removed,prevented_share_of_baseline_fills,baseline_negative_to_positive_ratio,random_match_adverse_avoided,random_match_favourable_sacrificed,random_match_net_markout,net_markout_lift_over_random,avoidance_efficiency_lift,catastrophic_25_avoided,catastrophic_25_avoidance_efficiency,catastrophic_25_random_match,catastrophic_25_avoidance_lift,catastrophic_50_avoided,catastrophic_50_avoidance_efficiency,catastrophic_50_random_match,catastrophic_50_avoidance_lift,catastrophic_100_avoided,catastrophic_100_avoidance_efficiency,catastrophic_100_random_match,catastrophic_100_avoidance_lift,baseline_observed,baseline_mean,baseline_median,baseline_p1,baseline_p5,baseline_p10,baseline_p25,baseline_p50,baseline_p75,baseline_p90,baseline_frac_favourable,baseline_cat_25_rate,baseline_cat_50_rate,baseline_cat_100_rate,surviving_observed,surviving_mean,surviving_median,surviving_p1,surviving_p5,surviving_p10,surviving_p25,surviving_p50,surviving_p75,surviving_p90,surviving_frac_favourable,surviving_cat_25_rate,surviving_cat_50_rate,surviving_cat_100_rate,baseline_cat_25_per_opportunity,surviving_cat_25_per_opportunity,baseline_cat_50_per_opportunity,surviving_cat_50_per_opportunity,baseline_cat_100_per_opportunity,surviving_cat_100_per_opportunity
conservative,0.3,0,at_quote,58358,58358,1,0,35421,0.6069604853,22937,19796,38562,0.6607834401,0.3392165599,12788,7007,7007,1,15625,0.441122498,0,0,2915326,396252.5,1017048.5,201239,815809.5,13.97939443,13.97939443,23.03180317,5.053933383,0.3488627001,0.5078554709,0.3392165599,7.357243172,988926.8566,134415.4099,854511.4467,0.9547086855,0.6869330352,9728,1.38832596,9636.124816,1.009534454,6911,0.9862994149,6720.8977,1.028285254,3492,0.4983587841,3273.779019,1.066657212,58357,-43.16660384,-22.5,-319.5,-192.5,-138.5,-72.5,-22.5,0.5,0.5,0.3516459037,0.4867796494,0.339513683,0.1653786178,38562,-44.16949328,-22.5,-319.5,-190.5,-135.5,-71.5,-22.5,0.5,0.5,0.3504486282,0.4843887765,0.334578082,0.1597168197,0.4867713081,0.3200760821,0.3395078652,0.2210836561,0.165375784,0.1055382295
conservative,0.3,0,trade_through,218597,218597,1,0,104861,0.4797000874,113736,56713,161884,0.7405591111,0.2594408889,52059,4654,4654,0,48148,0.4591602216,0,0,14466607,1216793.5,3679425.5,358997.5,3320428,15.18972356,15.18972356,31.66504229,10.24916747,0.2543392172,0.2950356819,0.2594408889,11.88912252,3753229.38,315685.9873,3437543.393,0.9659304976,0.8620625667,39293,8.442844865,40276.64136,0.9755778702,25957,5.577352815,26555.85051,0.9774493944,11676,2.508809626,11768.23872,0.9921620623,218582,-60.61712996,-45.5,-324.5,-194.5,-147.5,-89.5,-45.5,-20.5,-2.5,0.0685692326,0.7102323156,0.4682819262,0.2075193749,161869,-61.34210689,-46.5,-328.5,-193.5,-146.5,-89.5,-46.5,-21.5,-3.5,0.06384174857,0.716326165,0.4719927843,0.2080941996,0.7101835798,0.5304327141,0.468249793,0.3495061689,0.207505135,0.1540917762
conservative,0.3,0,unfilled,151579,0,0,151579,8053,0.05312741211,143526,0,0,0,0,0,0,0,0,0,,8053,1,-0,0,0,0,0,0,,0,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0
conservative,0.3,50,at_quote,58358,58358,1,0,35421,0.6069604853,22937,18744,39614,0.6788101032,0.3211898968,11990,6753,6753,1,16677,0.4708223935,0,0,2915326,396252.5,951822,190178,761644,13.05123548,13.05123548,21.50261145,5.004900672,0.3264890444,0.4799414515,0.3211898968,7.357243172,936373.2572,127272.2996,809100.9576,0.9413460617,0.6802684858,9119,1.350362802,9124.0414,0.9994474598,6466,0.9575003702,6363.735426,1.016069897,3250,0.4812675848,3099.803694,1.048453489,58357,-43.16660384,-22.5,-319.5,-192.5,-138.5,-72.5,-22.5,0.5,0.5,0.3516459037,0.4867796494,0.339513683,0.1653786178,39614,-44.36384864,-23.5,-319.5,-191.5,-136.5,-71.5,-23.5,0.5,0.5,0.3475538951,0.4868985712,0.3369263392,0.1615842884,0.4867713081,0.3305116694,0.3395078652,0.2287090031,0.165375784,0.1096850475
conservative,0.3,50,trade_through,218597,218597,1,0,104861,0.4797000874,113736,50382,168215,0.7695210822,0.2304789178,46203,4179,4179,0,54479,0.5195353849,0,0,14466607,1216793.5,3277315,321807.5,2955507.5,13.52034795,13.52034795,28.18500205,10.18408521,0.2265434459,0.2644717448,0.2304789178,11.88912252,3334247.926,280445.2491,3053802.677,0.9678122042,0.8565884649,34877,8.345776502,35780.46912,0.974749657,23088,5.524766691,23591.36107,0.9786633306,10451,2.500837521,10454.52371,0.9996629485,218582,-60.61712996,-45.5,-324.5,-194.5,-147.5,-89.5,-45.5,-20.5,-2.5,0.0685692326,0.7102323156,0.4682819262,0.2075193749,168200,-61.20277051,-46.5,-327.5,-193.5,-146.5,-89.5,-46.5,-21.5,-3.5,0.0642627824,0.7156183115,0.4712841855,0.2075445898,0.7101835798,0.5506342722,0.468249793,0.3626307772,0.207505135,0.1596956957
conservative,0.3,50,unfilled,151579,0,0,151579,8053,0.05312741211,143526,0,0,0,0,0,0,0,0,0,,8053,1,-0,0,0,0,0,0,,0,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0
conservative,0.3,100,at_quote,58358,58358,1,0,35421,0.6069604853,22937,17830,40528,0.6944720518,0.3055279482,11326,6503,6503,1,17591,0.4966262951,0,0,2915326,396252.5,896053.5,179932.5,716121,12.27117105,12.27117105,20.2174134,4.979942478,0.3073596229,0.4540854632,0.3055279482,7.357243172,890713.5711,121066.2133,769647.3578,0.9304533989,0.6768761562,8612,1.324311856,8679.132424,0.9922650767,6100,0.9380286022,6053.425237,1.007693952,3059,0.4703982777,2948.650228,1.037423826,58357,-43.16660384,-22.5,-319.5,-192.5,-138.5,-72.5,-22.5,0.5,0.5,0.3516459037,0.4867796494,0.339513683,0.1653786178,40528,-44.48658952,-23.5,-319.5,-191.5,-136.5,-72.5,-23.5,0.5,0.5,0.3458843269,0.4884277537,0.3383586656,0.1626529807,0.4867713081,0.3391994242,0.3395078652,0.2349806368,0.165375784,0.1129579492
conservative,0.3,100,trade_through,218597,218597,1,0,104861,0.4797000874,113736,45833,172764,0.7903310658,0.2096689342,41987,3846,3846,0,59028,0.562916623,0,0,14466607,1216793.5,2976168,300012.5,2676155.5,12.24241641,12.24241641,25.52098015,9.920146661,0.2057267471,0.2465599134,0.2096689342,11.88912252,3033198.071,255123.7962,2778074.274,0.9633131571,0.8343884627,31650,8.229329173,32549.84401,0.9723548901,20982,5.455538222,21461.29276,0.9776671066,9469,2.462038482,9510.582853,0.9956277282,218582,-60.61712996,-45.5,-324.5,-194.5,-147.5,-89.5,-45.5,-20.5,-2.5,0.0685692326,0.7102323156,0.4682819262,0.2075193749,172749,-61.20821539,-46.5,-327.5,-193.5,-146.5,-89.5,-46.5,-21.5,-3.5,0.06449820259,0.7154542139,0.4710649555,0.2077638655,0.7101835798,0.5653965974,0.468249793,0.3722649442,0.207505135,0.1641879806
conservative,0.3,100,unfilled,151579,0,0,151579,8053,0.05312741211,143526,0,0,0,0,0,0,0,0,0,,8053,1,-0,0,0,0,0,0,,0,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,0
conservative,0.5,0,at_quote,58358,58358,1,0,25619,0.438997224,32739,5897,52461,0.8989513006,0.1010486994,3861,2035,2035,1,19722,0.7698192748,0,0,2915326,396252.5,314801.5,90363.5,224438,3.845882313,3.845882313,8.760607362,3.48372407,0.1079815774,0.2280452489,0.1010486994,7.357243172,294589.9006,40040.79976,254549.1009,0.8817080839,0.4735094367,2867,1.408845209,2870.490404,0.9987840391,2083,1.023587224,2002.077881,1.040419066,1128,0.5542997543,975.220998,1.156660903,58357,-43.16660384,-22.5,-319.5,-192.5,-138.5,-72.5,-22.5,0.5,0.5,0.3516459037,0.4867796494,0.339513683,0.1653786178,52461,-43.73983531,-23.5,-319.5,-190.5,-137.5,-71.5,-23.5,0.5,0.5,0.3523760508,0.4868378414,0.3379653457,0.1624635443,0.4867713081,0.4376435107,0.3395078652,0.3038143871,0.165375784,0.1460468145
