threshold,latency_ms,avoidance_efficiency_lift__conservative,avoidance_efficiency_lift__midpoint,avoidance_efficiency_lift__optimistic,avoidance_efficiency_ticks__conservative,avoidance_efficiency_ticks__midpoint,avoidance_efficiency_ticks__optimistic,cancel_rate__conservative,cancel_rate__midpoint,cancel_rate__optimistic,cancel_too_late_rate__conservative,cancel_too_late_rate__midpoint,cancel_too_late_rate__optimistic,catastrophic_100_avoidance_lift__conservative,catastrophic_100_avoidance_lift__midpoint,catastrophic_100_avoidance_lift__optimistic,catastrophic_25_avoidance_lift__conservative,catastrophic_25_avoidance_lift__midpoint,catastrophic_25_avoidance_lift__optimistic,catastrophic_50_avoidance_lift__conservative,catastrophic_50_avoidance_lift__midpoint,catastrophic_50_avoidance_lift__optimistic,fraction_baseline_negative_removed__conservative,fraction_baseline_negative_removed__midpoint,fraction_baseline_negative_removed__optimistic,fraction_baseline_positive_removed__conservative,fraction_baseline_positive_removed__midpoint,fraction_baseline_positive_removed__optimistic,net_markout_lift_over_random__conservative,net_markout_lift_over_random__midpoint,net_markout_lift_over_random__optimistic,net_per_eligible_opportunity__conservative,net_per_eligible_opportunity__midpoint,net_per_eligible_opportunity__optimistic,cancel_rate__min,cancel_rate__max,cancel_rate__spread,net_per_eligible_opportunity__min,net_per_eligible_opportunity__max,net_per_eligible_opportunity__spread,avoidance_efficiency_ticks__min,avoidance_efficiency_ticks__max,avoidance_efficiency_ticks__spread,fraction_baseline_negative_removed__min,fraction_baseline_negative_removed__max,fraction_baseline_negative_removed__spread,fraction_baseline_positive_removed__min,fraction_baseline_positive_removed__max,fraction_baseline_positive_removed__spread,cancel_too_late_rate__min,cancel_too_late_rate__max,cancel_too_late_rate__spread,net_markout_lift_over_random__min,net_markout_lift_over_random__max,net_markout_lift_over_random__spread,avoidance_efficiency_lift__min,avoidance_efficiency_lift__max,avoidance_efficiency_lift__spread,catastrophic_25_avoidance_lift__min,catastrophic_25_avoidance_lift__max,catastrophic_25_avoidance_lift__spread,catastrophic_50_avoidance_lift__min,catastrophic_50_avoidance_lift__max,catastrophic_50_avoidance_lift__spread,catastrophic_100_avoidance_lift__min,catastrophic_100_avoidance_lift__max,catastrophic_100_avoidance_lift__spread,net_positive_in_all_cells,net_positive_in_any_cell,net_positive_only_in_optimistic
0.1,0,1.152746959,0.994635916,1.480095355,12.42182207,7.546221471,2.425714381,0.5907092553,0.5907092553,0.5907092553,0.1293769624,0.1680237666,0.6540526395,0.9683452394,0.9145824899,1.551076443,0.9885849167,0.9390637078,1.709116654,0.9796257779,0.9305531454,1.654326251,0.6370203187,0.5738963322,0.3346287958,0.5526107129,0.5769913624,0.2260859711,0.9815582234,0.9145599316,2.395230786,23.75834356,17.18949488,2.894050414,0.5907092553,0.5907092553,0,2.894050414,23.75834356,20.86429315,2.425714381,12.42182207,9.996107691,0.3346287958,0.6370203187,0.3023915229,0.2260859711,0.5769913624,0.3509053912,0.1293769624,0.6540526395,0.5246756771,0.9145599316,2.395230786,1.480670854,0.994635916,1.480095355,0.4854594394,0.9390637078,1.709116654,0.7700529463,0.9305531454,1.654326251,0.7237731054,0.9145824899,1.551076443,0.636493953,True,True,False
0.1,25,1.161461723,0.9961429621,1.522357957,12.51573101,7.557655306,2.494978162,0.5907092553,0.5907092553,0.5907092553,0.1499266424,0.1943175788,0.6880288336,0.9692244528,0.9144160347,1.507608607,0.987065774,0.9358709809,1.681109085,0.9789398602,0.9289625933,1.621185172,0.6217920067,0.5548288923,0.295697364,0.5353529906,0.5569771744,0.1942364229,0.9818991191,0.9132405332,2.392777437,23.20562196,16.62222251,2.607146691,0.5907092553,0.5907092553,0,2.607146691,23.20562196,20.59847527,2.494978162,12.51573101,10.02075285,0.295697364,0.6217920067,0.3260946427,0.1942364229,0.5569771744,0.3627407514,0.1499266424,0.6880288336,0.5381021912,0.9132405332,2.392777437,1.479536904,0.9961429621,1.522357957,0.5262149952,0.9358709809,1.681109085,0.7452381043,0.9289625933,1.621185172,0.6922225785,0.9144160347,1.507608607,0.5931925726,True,True,False
0.1,50,1.156770919,0.9910064045,1.531999988,12.46518364,7.518684663,2.510780397,0.5907092553,0.5907092553,0.5907092553,0.1693628165,0.2199067429,0.7180320849,0.9677170376,0.9138481093,1.471701374,0.9846448529,0.9320672239,1.653691783,0.9762173499,0.926263811,1.586947793,0.6062913141,0.5357380344,0.2619064969,0.5241239246,0.5405999718,0.1709572447,0.9794790736,0.9100233841,2.354726107,22.61915974,16.03758978,2.318936187,0.5907092553,0.5907092553,0,2.318936187,22.61915974,20.30022355,2.510780397,12.46518364,9.954403248,0.2619064969,0.6062913141,0.3443848172,0.1709572447,0.5405999718,0.3696427271,0.1693628165,0.7180320849,0.5486692683,0.9100233841,2.354726107,1.444702723,0.9910064045,1.531999988,0.5409935839,0.9320672239,1.653691783,0.7216245587,0.926263811,1.586947793,0.6606839821,0.9138481093,1.471701374,0.5578532646,True,True,False
0.1,100,1.158689444,0.9885470953,1.568700052,12.48585737,7.500026085,2.570927787,0.5907092553,0.5907092553,0.5907092553,0.201826532,0.2619507442,0.7665955608,0.9640612142,0.9088946056,1.423778051,0.9815868345,0.9292233236,1.624366892,0.9726649518,0.9225973611,1.548176367,0.5809264712,0.5052244061,0.2119694357,0.5013651192,0.5110777306,0.1351242613,0.9768137809,0.9067337792,2.337930969,21.67599304,15.11837684,1.905853445,0.5907092553,0.5907092553,0,1.905853445,21.67599304,19.77013959,2.570927787,12.48585737,9.914929581,0.2119694357,0.5809264712,0.3689570355,0.1351242613,0.5110777306,0.3759534694,0.201826532,0.7665955608,0.5647690287,0.9067337792,2.337930969,1.431197189,0.9885470953,1.568700052,0.580152957,0.9292233236,1.624366892,0.6951435687,0.9225973611,1.548176367,0.6255790061,0.9088946056,1.423778051,0.5148834457,True,True,False
0.2,0,0.9512047723,0.8165186584,1.685541036,10.25003479,6.194860382,2.762417379,0.4415822315,0.4415822315,0.4415822315,0.2831008662,0.3535285625,0.7737218549,0.9768827723,0.9435546976,2.014790974,0.9760634184,0.9397108414,2.145366069,0.9786660234,0.9470854327,2.110370636,0.4279656641,0.3596153923,0.2118586634,0.4499195931,0.4404251986,0.1256917861,0.9658823932,0.9032684432,3.360296819,15.66533694,10.41235935,1.988912198,0.4415822315,0.4415822315,0,1.988912198,15.66533694,13.67642474,2.762417379,10.25003479,7.487617413,0.2118586634,0.4279656641,0.2161070007,0.1256917861,0.4499195931,0.324227807,0.2831008662,0.7737218549,0.4906209886,0.9032684432,3.360296819,2.457028375,0.8165186584,1.685541036,0.869022378,0.9397108414,2.145366069,1.205655228,0.9470854327,2.110370636,1.163285203,0.9435546976,2.014790974,1.071236277,True,True,False
0.2,25,0.9520050347,0.8077535071,1.705189189,10.2586583,6.128359896,2.794618552,0.4415822315,0.4415822315,0.4415822315,0.3106915284,0.3881253375,0.8008280083,0.9778085124,0.941147189,1.945643494,0.9736313436,0.9317285114,2.095827033,0.9780514409,0.9426764668,2.051950744,0.411289268,0.3386360584,0.1816908517,0.4320242572,0.4192319259,0.1065517262,0.9654873878,0.8967894999,3.295406267,15.05627908,9.784439508,1.716850938,0.4415822315,0.4415822315,0,1.716850938,15.05627908,13.33942814,2.794618552,10.2586583,7.464039744,0.1816908517,0.411289268,0.2295984163,0.1065517262,0.4320242572,0.325472531,0.3106915284,0.8008280083,0.4901364799,0.8967894999,3.295406267,2.398616767,0.8077535071,1.705189189,0.8974356822,0.9317285114,2.095827033,1.164098521,0.9426764668,2.051950744,1.109274277,0.941147189,1.945643494,1.004496305,True,True,False
0.2,50,0.9407075731,0.7905408013,1.684410025,10.1369186,5.997768502,2.760563774,0.4415822315,0.4415822315,0.4415822315,0.3367023932,0.4204075784,0.8246147167,0.9789764356,0.9394076745,1.890383355,0.9699522719,0.923005634,2.051484291,0.9765229628,0.9383946625,1.999989809,0.3952142147,0.3190711976,0.1565326126,0.4201244106,0.4036112963,0.09293023095,0.9628824576,0.8882534255,3.201991804,14.44904488,9.179997386,1.468955789,0.4415822315,0.4415822315,0,1.468955789,14.44904488,12.98008909,2.760563774,10.1369186,7.37635483,0.1565326126,0.3952142147,0.2386816021,0.09293023095,0.4201244106,0.3271941796,0.3367023932,0.8246147167,0.4879123235,0.8882534255,3.201991804,2.313738379,0.7905408013,1.684410025,0.8938692234,0.923005634,2.051484291,1.128478657,0.9383946625,1.999989809,1.061595147,0.9394076745,1.890383355,0.9509756801,True,True,False
0.2,100,0.9310327211,0.7727483831,1.638685743,10.0326639,5.862778878,2.685626679,0.4415822315,0.4415822315,0.4415822315,0.375750991,0.4701700632,0.8605674292,0.9759883088,0.9346044885,1.793480929,0.9639016077,0.9148920367,1.992314685,0.9730074608,0.9319019996,1.923014745,0.3706928338,0.2900221224,0.1204964058,0.3981523156,0.3753124934,0.07353234525,0.9585422668,0.8791463762,3.051266675,13.53712891,8.305784372,1.112858023,0.4415822315,0.4415822315,0,1.112858023,13.53712891,12.42427089,2.685626679,10.0326639,7.347037224,0.1204964058,0.3706928338,0.2501964279,0.07353234525,0.3981523156,0.3246199703,0.375750991,0.8605674292,0.4848164382,0.8791463762,3.051266675,2.172120299,0.7727483831,1.638685743,0.8659373604,0.9148920367,1.992314685,1.077422648,0.9319019996,1.923014745,0.9911127453,0.9346044885,1.793480929,0.8588764402,True,True,False
0.3,0,0.7779455542,0.6781123932,1.623174851,8.383020385,5.144783351,2.660206023,0.34614523,0.34614523,0.34614523,0.4546057228,0.5368805475,0.8506913749,0.9981032386,0.9866606101,2.37190931,0.9662412038,0.9524925045,2.448239408,0.9738718981,0.9633139397,2.413807945,0.2701928491,0.213805484,0.1282465822,0.3473158856,0.3152950545,0.07900971486,0.9495134285,0.8971245475,3.843844903,9.65206378,5.9473309,1.177721021,0.34614523,0.34614523,0,1.177721021,9.65206378,8.474342759,2.660206023,8.383020385,5.722814362,0.1282465822,0.2701928491,0.1419462669,0.07900971486,0.3473158856,0.2683061707,0.4546057228,0.8506913749,0.3960856521,0.8971245475,3.843844903,2.946720356,0.6781123932,1.623174851,0.9450624581,0.9524925045,2.448239408,1.495746903,0.9633139397,2.413807945,1.450494005,0.9866606101,2.37190931,1.3852487,True,True,False
0.3,25,0.7773818421,0.6636830115,1.624320913,8.376945912,5.03530881,2.662084293,0.34614523,0.34614523,0.34614523,0.4822072682,0.570229212,0.8716249502,0.9971764538,0.9782681472,2.257820194,0.9629790712,0.9399534848,2.382067253,0.97185571,0.9537066317,2.328138938,0.2561009757,0.1964668519,0.1070384821,0.3294403879,0.2960251333,0.06589737362,0.9478736763,0.8836804316,3.732920999,9.147763071,5.436363276,0.9833793818,0.34614523,0.34614523,0,0.9833793818,9.147763071,8.16438369,2.662084293,8.376945912,5.714861619,0.1070384821,0.2561009757,0.1490624936,0.06589737362,0.3294403879,0.2635430143,0.4822072682,0.8716249502,0.389417682,0.8836804316,3.732920999,2.849240567,0.6636830115,1.624320913,0.9606379015,0.9399534848,2.382067253,1.442113768,0.9537066317,2.328138938,1.374432306,0.9782681472,2.257820194,1.279552047,True,True,False
