queue_cell,threshold,latency_ms,file_index,segment_id,eligible_opportunities,baseline_fills,cancelled_opportunities,cancel_rate,fills_prevented,surviving_fills,favourable_fills_sacrificed,adverse_markout_avoided,favourable_markout_sacrificed,net_markout_preserved,net_per_eligible_opportunity,avoidance_efficiency_ticks,avoidance_efficiency_lift,net_markout_lift_over_random,cancel_too_late_rate,catastrophic_25_avoided,catastrophic_25_avoidance_lift,catastrophic_50_avoided,catastrophic_50_avoidance_lift,catastrophic_100_avoided,catastrophic_100_avoidance_lift
conservative,0.1,0,2,1,148138,70389,69547,0.469474409,42028,28361,4105,1760534.5,20381.5,1740153,11.74683741,86.37904472,1.075176291,0.9271850711,0.180037459,25668,0.9663072107,12470,0.9003278879,3357,0.7993096368
conservative,0.1,0,2,2,145274,97566,86167,0.593134353,62672,34894,8411,3965094.5,367689.5,3597405,24.76289632,10.78381216,1.237761838,0.9747944749,0.1392982215,41376,0.9906032928,27833,0.9742468468,12786,0.9592252795
conservative,0.1,0,2,3,236,189,172,0.7288135593,155,34,10,6717,236,6481,27.46186441,28.46186441,0.973249938,0.9357772303,0.03726708075,95,0.9573447081,56,0.9104516129,19,0.9653225806
conservative,0.1,0,2,4,34076,25052,22795,0.6689458857,17525,7527,2056,992014.5,40076,951938.5,27.93574657,24.75333117,1.077893738,0.9433462423,0.09201595772,11832,0.9799451008,7685,0.9639972781,2908,0.9078375353
conservative,0.1,0,2,5,32396,26415,23148,0.7145326584,18272,8143,3446,1284099,148012,1136087,35.06874305,8.675641164,1.233597504,0.9861765922,0.1024217714,11816,0.9915169609,8760,0.9885203253,4369,0.9489279964
conservative,0.1,0,2,6,68414,57344,51310,0.7499926916,41525,15819,6725,3064185,314991.5,2749193.5,40.1846625,9.727833926,1.113336078,1.008620802,0.08452567296,28637,1.000412358,21921,1.001814608,11601,1.003345354
conservative,0.1,25,2,1,148138,70389,69547,0.469474409,40839,29550,4039,1702420,19896.5,1682523.5,11.35781164,85.56379263,1.065028694,0.9225794121,0.2032347432,24828,0.9618969568,12069,0.8967454069,3243,0.7946470597
conservative,0.1,25,2,2,145274,97566,86167,0.593134353,61179,36387,8253,3871550,352523,3519027,24.22337789,10.98240398,1.260556132,0.9768266605,0.1598022385,40380,0.9903501209,27170,0.9742486393,12499,0.9605773986
conservative,0.1,25,2,3,236,189,172,0.7288135593,150,39,10,6694.5,236,6458.5,27.36652542,28.36652542,0.9699898332,0.9636127886,0.06832298137,95,0.9892561983,56,0.9408,19,0.9975
conservative,0.1,25,2,4,34076,25052,22795,0.6689458857,17127,7925,2026,966693.5,39684,927009.5,27.20417596,24.35977976,1.060756384,0.9399898105,0.112636651,11520,0.9762764045,7463,0.9579042637,2840,0.9072120327
