queue_cell,threshold,population,fills,fills_with_a_crossing,crossing_rate,lead_p1_ms,lead_p5_ms,lead_p10_ms,lead_p25_ms,lead_p50_ms,lead_p75_ms,lead_p90_ms,lead_mean_ms,frac_lead_le_0ms,frac_lead_0_25ms,frac_lead_25_50ms,frac_lead_50_100ms,frac_lead_100_250ms,frac_lead_250_500ms,frac_lead_gt_100ms,frac_lead_gt_250ms,frac_lead_gt_500ms
conservative,0.1,all_fills,276955,209249,0.7555342926,-5046.273263,-48.9838924,-14.9628976,201.61632,1343.173435,4731.237542,11328.97285,3582.211521,0.1293769624,0.02054968005,0.01943617413,0.03246371548,0.06671477522,0.07515448102,0.798173468,0.7314586928,0.6563042117
conservative,0.1,adverse_fills,241429,180641,0.7482158316,-3156.837747,-42.604075,-13.646117,189.789206,1257.028427,4512.115395,10985.02955,3492.382434,0.1285865335,0.02147353037,0.02053243727,0.03358041641,0.06975160678,0.07787822255,0.7958270824,0.7260754757,0.6481972531
conservative,0.1,catastrophic_25,183651,137884,0.7507936249,-3426.084072,-43.97272725,-15.351347,174.6747855,1205.808599,4389.985146,10902.41125,3425.529593,0.1338806533,0.02174291433,0.02132952337,0.03462330655,0.06971802385,0.07709378898,0.7884236024,0.7187055786,0.6416117896
conservative,0.1,catastrophic_50,122171,90850,0.7436298303,-4165.496688,-46.667118,-16.1764268,176.05829,1197.655753,4378.259177,10989.74408,3425.082549,0.1334617501,0.02104567969,0.02162905889,0.03507980187,0.06919097413,0.07686296092,0.7887837094,0.7195927353,0.6427297744
conservative,0.1,catastrophic_100,55011,40180,0.7303993747,-6376.739039,-50.45236,-14.193735,191.586953,1233.580868,4293.047205,11198.17923,3452.72734,0.1279243405,0.01981085117,0.02078148333,0.03551518168,0.06806869089,0.07585863614,0.7959681434,0.7278994525,0.6520408163
conservative,0.2,all_fills,276955,170275,0.6148110704,-11549.3753,-80.0221423,-49.916805,-7.455874,406.187454,2284.525934,6816.726711,1955.934337,0.2831008662,0.02759066216,0.02601086478,0.03904859786,0.07173102334,0.07776831596,0.624249009,0.5525179856,0.4747496697
conservative,0.2,adverse_fills,241429,146941,0.6086302805,-9668.280942,-66.599103,-44.799403,-8.072364,358.459164,2111.368926,6511.677858,1940.27099,0.289224927,0.02890956234,0.02782749539,0.040785077,0.0744176234,0.07922227289,0.6132529383,0.5388353149,0.459613042
conservative,0.2,catastrophic_25,183651,112564,0.6129234254,-10247.2864,-67.857994,-45.9246582,-9.82832125,333.3560025,2045.379999,6498.589714,1901.748003,0.2981059664,0.02869478697,0.02785082264,0.04178067588,0.07354926975,0.07773355602,0.6035677481,0.5300184784,0.4522849224
conservative,0.2,catastrophic_50,122171,74209,0.6074191093,-10756.21759,-70.1841414,-46.5109116,-8.394999,361.944095,2079.324287,6632.569784,1942.253306,0.2898570254,0.02775943619,0.02677572801,0.04081715156,0.07517956043,0.07980164131,0.6147906588,0.5396110984,0.4598094571
conservative,0.2,catastrophic_100,55011,32765,0.5956081511,-11802.14599,-73.271096,-48.662836,-5.754108,414.975442,2138.316798,6704.330239,1996.735628,0.2770944606,0.02716313139,0.02545399054,0.0413856249,0.0728521288,0.0820082405,0.6289027926,0.5560506638,0.4740424233
conservative,0.3,all_fills,276955,140282,0.5065154989,-14847.64892,-734.5977924,-68.14274,-29.878545,42.211977,928.1004633,3708.984565,873.7066465,0.4546057228,0.02760154546,0.02502815757,0.03894298627,0.06873298071,0.06780627593,0.4538215879,0.3850886072,0.3172823313
conservative,0.3,adverse_fills,241429,121644,0.5038499932,-13292.41754,-80.337274,-59.683778,-28.466084,29.426333,807.76812,3443.241397,939.0298373,0.4669116438,0.02849297951,0.02620762224,0.0401170629,0.06992535596,0.0676564401,0.4382706915,0.3683453356,0.3006888955
conservative,0.3,catastrophic_25,183651,93682,0.5101088478,-14038.33675,-80.551294,-59.852816,-29.497845,20.3707855,775.5873168,3410.419213,910.9908078,0.476729788,0.02815909139,0.02547981469,0.03985824385,0.06895668325,0.06573301168,0.4297730621,0.3608163788,0.2950833671
conservative,0.3,catastrophic_50,122171,61642,0.5045550908,-14452.38435,-82.310285,-60.952194,-28.46345625,29.394275,816.028637,3519.219853,938.0615508,0.4667921223,0.02803283476,0.0257292106,0.0401025275,0.06933584245,0.06686999124,0.4393433049,0.3700074624,0.3031374712
conservative,0.3,catastrophic_100,55011,27329,0.4967915508,-15635.87461,-85.963154,-61.9573,-26.653992,51.33085,927.62989,3784.541627,1022.176846,0.4449851806,0.02857770134,0.02510154049,0.04292143876,0.07036481393,0.0698525376,0.4584141388,0.3880493249,0.3181967873
conservative,0.4,all_fills,276955,118841,0.42909859,-16306.26368,-2233.652838,-80.407931,-43.589077,-12.172628,229.422349,1714.099464,189.5058817,0.6212502419,0.02480625373,0.02193687364,0.0333807356,0.05528395083,0.04954519063,0.2986258951,0.2433419443,0.1937967536
conservative,0.4,adverse_fills,241429,103867,0.4302175795,-14508.30534,-89.6733664,-68.356367,-40.500704,-12.405955,175.536407,1521.213754,318.5992477,0.6361500765,0.02515717215,0.02266359864,0.03407241954,0.05442537091,0.04796518625,0.2819567331,0.2275313622,0.179566176
conservative,0.4,catastrophic_25,183651,80339,0.4374547375,-15092.80026,-89.430378,-68.568631,-40.661577,-13.29752,155.0507715,1469.679222,298.9194921,0.6447055602,0.02521813814,0.02225569151,0.03337109001,0.05301285801,0.04594281731,0.2744495202,0.2214366621,0.1754938448
conservative,0.4,catastrophic_50,122171,52734,0.4316408968,-15583.23417,-91.000748,-69.684495,-39.98981725,-12.602849,182.9477287,1555.910058,310.0905987,0.6335191717,0.02539158797,0.02245230781,0.03341297834,0.05451890621,0.04752152312,0.2852239542,0.230705048,0.1831835249
conservative,0.4,catastrophic_100,55011,23297,0.4234971188,-16680.19604,-91.22749,-70.699661,-39.269953,-10.014854,256.146954,1795.137068,381.6129188,0.6050135211,0.02652702065,0.0247671374,0.03601322059,0.05623041593,0.05198094175,0.3076791003,0.2514486844,0.1994677426
conservative,0.5,all_fills,276955,104295,0.3765774223,-17564.38166,-3412.431338,-89.9456144,-52.106439,-22.404488,-1.356211,528.1449398,-265.493854,0.7661441105,0.01914761014,0.016376624,0.02566757754,0.03883215878,0.03144925452,0.1726640779,0.1338319191,0.1023826646
conservative,0.5,adverse_fills,241429,92107,0.3815076068,-15669.80978,-117.763541,-73.7772322,-47.642965,-21.615605,-2.136625,426.3659934,-70.73750674,0.779615013,0.01894535703,0.0166002584,0.02573094336,0.03693530351,0.02932458988,0.1591084282,0.1221731247,0.09284853486
conservative,0.5,catastrophic_25,183651,71599,0.3898644712,-16166.946,-98.785574,-73.510642,-47.8070985,-21.855574,-2.705752,382.8739156,-89.17664479,0.7880417324,0.01909244543,0.01615944357,0.0244137488,0.0354194891,0.02779368427,0.1522926298,0.1168731407,0.08907945642
conservative,0.5,catastrophic_50,122171,46918,0.3840354912,-16752.89916,-106.499887,-74.518287,-48.068881,-21.581076,-1.960811,442.3498325,-84.7274595,0.7757363912,0.01980050301,0.01673131847,0.02536339997,0.03759751055,0.02949827358,0.1623683874,0.1247708768,0.09527260327
