queue_cell,threshold,population,fills,fills_above_threshold_at_last_instant,share_above_threshold_at_last_instant,share_single_observation,share_two_or_more,share_five_or_more,mean_consecutive_observations,median_run_duration_ms,median_warning_ms
conservative,0.1,all_fills,276939,132776,0.479441321,0.140821625,0.338619696,0.198960782,6.279824667,200,366.468791
conservative,0.1,adverse_fills,241429,115485,0.4783393876,0.1383595177,0.3399798699,0.1988162151,6.299519418,200,359.254192
conservative,0.1,catastrophic_25,183651,88611,0.4824966921,0.1387523074,0.3437443847,0.2034347757,6.353082574,200,366.313628
conservative,0.1,catastrophic_50,122171,60525,0.4954121682,0.1403279011,0.3550842671,0.213962397,6.438826931,300,395.002308
conservative,0.1,catastrophic_100,55011,28281,0.5140971806,0.143898493,0.3701986875,0.2268091836,6.490470634,300,437.926361
conservative,0.2,all_fills,276939,82229,0.2969209826,0.1252514092,0.1716695734,0.07177392855,3.569446302,100,184.240581
conservative,0.2,adverse_fills,241429,70650,0.2926326166,0.1234400176,0.1691925991,0.070240112,3.565647558,100,178.870283
conservative,0.2,catastrophic_25,183651,54475,0.2966223979,0.1238054789,0.172816919,0.07305160331,3.604075264,100,179.727053
conservative,0.2,catastrophic_50,122171,37562,0.3074543058,0.1257581586,0.1816961472,0.07751430372,3.684255364,100,189.8173165
conservative,0.2,catastrophic_100,55011,18419,0.3348239443,0.1343004126,0.2005235317,0.08471033066,3.644280363,100,207.899528
conservative,0.3,all_fills,276939,52880,0.1909445762,0.1007550399,0.09018953632,0.02540270601,2.453876702,0,121.721902
conservative,0.3,adverse_fills,241429,44632,0.184865944,0.09804124608,0.08682469794,0.02403191,2.433097329,0,118.557554
conservative,0.3,catastrophic_25,183651,34230,0.1863861346,0.09801743524,0.08836869933,0.02497127704,2.448933684,0,116.664551
conservative,0.3,catastrophic_50,122171,23943,0.1959794059,0.1024465708,0.09353283512,0.02727324815,2.491041223,0,120.53329
conservative,0.3,catastrophic_100,55011,11950,0.2172292814,0.1137045318,0.1035247496,0.02955772482,2.485941423,0,127.143233
conservative,0.4,all_fills,276939,35175,0.1270135301,0.07996345766,0.0470500724,0.008294245303,1.856147832,0,93.766385
conservative,0.4,adverse_fills,241429,29235,0.121091501,0.0771738275,0.04391767352,0.007455608067,1.829758851,0,90.192745
conservative,0.4,catastrophic_25,183651,22565,0.1228689199,0.07762549619,0.04524342367,0.007628599899,1.840992688,0,87.872506
conservative,0.4,catastrophic_50,122171,15950,0.1305547143,0.08208985766,0.04846485664,0.008651807712,1.865329154,0,89.5343545
conservative,0.4,catastrophic_100,55011,8320,0.1512424788,0.0952900329,0.05595244587,0.01023431677,1.878245192,0,93.7116055
conservative,0.5,all_fills,276939,23612,0.08526065307,0.06286582966,0.02239482341,0.002357919975,1.488903947,0,72.764058
conservative,0.5,adverse_fills,241429,19354,0.08016435474,0.05988095879,0.02028339595,0.001984020147,1.464348455,0,71.359518
conservative,0.5,catastrophic_25,183651,14999,0.08167121333,0.06094167742,0.02072953591,0.001982020245,1.468364558,0,67.752966
conservative,0.5,catastrophic_50,122171,10897,0.0891946534,0.06626777222,0.02292688117,0.002414648321,1.481141599,0,66.768976
conservative,0.5,catastrophic_100,55011,5884,0.1069604261,0.0788387777,0.0281216484,0.003035756485,1.501019714,0,68.6968065
conservative,0.6,all_fills,276939,15671,0.0565864685,0.04761337334,0.008973095158,0.0004730283564,1.241465127,0,54.830033
conservative,0.6,adverse_fills,241429,12715,0.05266558698,0.0448206305,0.007844956488,0.0003893484213,1.222178529,0,54.015664
conservative,0.6,catastrophic_25,183651,10077,0.05487037914,0.04668093286,0.008189446287,0.0003757126288,1.222189144,0,49.843449
conservative,0.6,catastrophic_50,122171,7385,0.06044806051,0.05112506241,0.009322998093,0.0004993001612,1.234394042,0,46.288105
conservative,0.6,catastrophic_100,55011,4072,0.07402155932,0.06215120612,0.0118703532,0.0007453054844,1.252946955,0,46.834836
conservative,0.7,all_fills,276939,10774,0.03890387414,0.03587071521,0.003033158927,0.0001336034289,1.110636718,0,43.180075
conservative,0.7,adverse_fills,241429,8728,0.03615141512,0.03372420049,0.002427214626,9.526610308e-05,1.091773602,0,43.134817
conservative,0.7,catastrophic_25,183651,6966,0.03793064018,0.03528976156,0.002640878623,9.256687957e-05,1.094889463,0,37.7667465
conservative,0.7,catastrophic_50,122171,5182,0.04241595796,0.03918278479,0.003233173175,0.0001227787282,1.105943651,0,33.658372
conservative,0.7,catastrophic_100,55011,2909,0.05288033302,0.0481176492,0.004762683827,0.0002363163731,1.1295978,0,33.132389
conservative,0.8,all_fills,276939,8087,0.02920137648,0.02810005091,0.001101325563,5.416355226e-05,1.053790033,0,35.128554
conservative,0.8,adverse_fills,241429,6615,0.02739935965,0.02659995278,0.000799406865,3.313603585e-05,1.039304611,0,35.809283
conservative,0.8,catastrophic_25,183651,5320,0.0289679882,0.02800964874,0.0009583394591,3.811577394e-05,1.044736842,0,30.385866
conservative,0.8,catastrophic_50,122171,3989,0.03265095645,0.03139861342,0.001252343027,5.729673982e-05,1.053647531,0,25.879624
conservative,0.8,catastrophic_100,55011,2249,0.04088273254,0.03877406337,0.002108669175,0.0001272472778,1.076478435,0,23.563751
conservative,0.9,all_fills,276939,6159,0.02223955456,0.02182068975,0.0004188648042,1.083271045e-05,1.024354603,0,30.855782
conservative,0.9,adverse_fills,241429,5134,0.02126505101,0.02096268468,0.0003023663272,8.284008963e-06,1.017724971,0,31.4072355
conservative,0.9,catastrophic_25,183651,4137,0.0225264224,0.02214526466,0.0003811577394,1.089022113e-05,1.021271453,0,25.574773
conservative,0.9,catastrophic_50,122171,3077,0.02518600977,0.02467852436,0.0005074854098,1.637049709e-05,1.02599935,0,20.970033
conservative,0.9,catastrophic_100,55011,1690,0.0307211285,0.02977586301,0.0009452654924,3.635636509e-05,1.040828402,0,19.1825
midpoint,0.1,all_fills,305041,137168,0.4496707,0.1498782131,0.2997924869,0.166305513,5.499438645,200,279.861505
midpoint,0.1,adverse_fills,204744,95867,0.4682286172,0.1464316415,0.3217969757,0.1779832376,5.617981161,200,304.529549
midpoint,0.1,catastrophic_25,156132,73911,0.4733879025,0.1472728204,0.3261150821,0.1822176107,5.660388846,200,311.945641
midpoint,0.1,catastrophic_50,104147,50655,0.4863798285,0.1483192027,0.3380606258,0.1928716142,5.775323265,200,339.362514
