queue_cell,decile,state_observations,mean_sweep_p,baseline_fill_probability,trade_through_probability,markout_observed,markout_mean,markout_median,markout_p1,markout_p5,markout_p10,markout_p25,markout_p50,markout_p75,markout_p90,markout_frac_favourable,markout_cat_25_rate,markout_cat_50_rate,markout_cat_100_rate,cat_25_per_opportunity,cat_50_per_opportunity,cat_100_per_opportunity
conservative,0,42854,0.0008753263539,0.2616325197,0.0021468241,11212,-49.63173386,-38.5,-231.39,-130.5,-104.5,-67.5,-38.5,-20.5,-6.5,0.02363539065,0.6924723511,0.3672850517,0.1115768819,0.181173286,0.09609371354,0.02919214076
conservative,1,42853,0.002516272155,0.3560777542,0.004877138123,15259,-52.13041484,-39.5,-227.34,-144.5,-111.5,-73.5,-39.5,-20.5,-4.5,0.04489153942,0.691985058,0.394455731,0.1313323285,0.2464004854,0.1404569108,0.04676452057
conservative,2,42853,0.005298017977,0.4396424988,0.009684495473,18839,-54.06951006,-39.5,-255.5,-153.5,-117.5,-75.5,-39.5,-20.5,-3.5,0.05706247678,0.6888369871,0.4020383248,0.1441159297,0.3028259398,0.1767437519,0.06335612443
conservative,3,42854,0.01069032482,0.5478368414,0.01668455687,23476,-56.74060743,-40.5,-274.5,-166.5,-128.5,-78.5,-40.5,-19.5,-2.5,0.06794172772,0.6907905946,0.421920259,0.1629749531,0.3784244178,0.2311336165,0.08927988052
conservative,4,42853,0.02093115391,0.6531398035,0.0299402595,27988,-60.44781692,-44.5,-300.5,-184.5,-140.5,-85.5,-44.5,-19.5,-0.5,0.08178505074,0.6936544233,0.4532299557,0.1916892954,0.4530371269,0.2960119478,0.1251954356
conservative,5,42853,0.03795762111,0.7314540406,0.04538983921,31342,-61.00491353,-43.5,-300.5,-190.5,-148.5,-89.5,-43.5,-17.5,0.5,0.1013655797,0.6843851701,0.4564163104,0.2068789484,0.5005483863,0.3338156022,0.1513079598
conservative,6,42854,0.06567304996,0.7904279647,0.07523920653,33870,-61.19675229,-45.5,-309.5,-196.5,-151.5,-91.5,-45.5,-16.5,0.5,0.12170062,0.6763802775,0.4657809271,0.216681429,0.5345825361,0.3681336631,0.1712558921
conservative,7,42853,0.1147021706,0.8397078384,0.1187603557,35982,-59.32092435,-43.5,-309.5,-200.5,-154.5,-91.5,-43.5,-12.5,0.5,0.1501028292,0.6555777889,0.4582846979,0.218498138,0.5504632114,0.3848038644,0.1834644016
conservative,8,42853,0.2133279724,0.891582853,0.2083401395,38204,-56.83788347,-41.5,-346.47,-207.5,-157.5,-91.5,-41.5,-7.5,0.5,0.1897707046,0.6324730395,0.4488796985,0.221259554,0.5638578396,0.4001820176,0.1972557347
conservative,9,42854,0.5536949003,0.9513464321,0.5255052037,40767,-51.11527706,-40.5,-453.5,-241.5,-174.5,-96.5,-40.5,-0.5,51.5,0.2367110653,0.603650011,0.44521304,0.2382319033,0.5742521118,0.4235310589,0.2266299529
midpoint,0,42854,0.0008753263539,0.3288374481,0.0021468241,14091,-34.3852459,-22.5,-197.6,-117.5,-92.5,-51.5,-22.5,0.5,0.5,0.3263075722,0.4814420552,0.2576822085,0.08139947484,0.1583049424,0.08472954683,0.02676529612
midpoint,1,42853,0.002516272155,0.448603365,0.004877138123,19224,-35.08341136,-21.5,-204.5,-127.5,-97.5,-54.5,-21.5,0.5,0.5,0.3584581773,0.4687890137,0.2732001665,0.09274864752,0.210300329,0.122558514,0.04160735538
midpoint,2,42853,0.005298017977,0.5459127716,0.009684495473,23393,-35.96646433,-20.5,-234.5,-135.5,-99.5,-54.5,-20.5,0.5,0.5,0.3738297781,0.4615483264,0.2716624631,0.09955969735,0.2519543556,0.1482976688,0.05434858703
midpoint,3,42854,0.01069032482,0.6505343725,0.01668455687,27877,-38.69534024,-22.5,-255.5,-146.5,-107.5,-58.5,-22.5,0.5,0.5,0.3598306848,0.4785306884,0.29379058,0.1143953797,0.3112894946,0.191114015,0.07441545713
midpoint,4,42853,0.02093115391,0.7378246564,0.0299402595,31617,-42.84356517,-25.5,-279.5,-164.5,-119.5,-67.5,-25.5,0.5,0.5,0.3345668469,0.5062466395,0.3322263339,0.1409684663,0.3735094392,0.245117028,0.1040067206
midpoint,5,42853,0.03795762111,0.7971437239,0.04538983921,34155,-44.10364515,-27.5,-277.5,-173.5,-129.5,-71.5,-27.5,0.5,0.5,0.3268628312,0.5137754355,0.3437271263,0.1551749378,0.4094929176,0.2739598161,0.1236786223
midpoint,6,42854,0.06567304996,0.8443085826,0.07523920653,36178,-44.7296285,-27.5,-287.5,-177.5,-131.5,-73.5,-27.5,0.5,0.5,0.3230692686,0.5196251866,0.3558516225,0.1641605396,0.4386755029,0.3004153638,0.1385868297
midpoint,7,42853,0.1147021706,0.8817118988,0.1187603557,37781,-44.55423361,-28.5,-290.5,-182.5,-135.5,-75.5,-28.5,0.5,0.5,0.3196580292,0.5237817951,0.3650247479,0.1718059342,0.4617879728,0.3218211094,0.1514713089
midpoint,8,42853,0.2133279724,0.9204023056,0.2083401395,39439,-44.6448059,-29.5,-322.12,-191.5,-142.5,-78.5,-29.5,0.5,11.5,0.3179593803,0.5312507924,0.3769111793,0.1832196557,0.488927263,0.3468835321,0.1686229669
midpoint,9,42854,0.5536949003,0.9634573202,0.5255052037,41286,-44.6596546,-34.5,-447.8,-232.375,-167.5,-89.5,-34.5,0.5,58.5,0.2902678874,0.5596328053,0.4104296856,0.217991571,0.5391562048,0.3954123302,0.2100154011
optimistic,0,42854,0.0008753263539,0.91100014,0.0021468241,39039,1.468864469,0.5,-62.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9606803453,0.02656318041,0.0135249366,0.004047234816,0.02419844122,0.01232090353,0.003686937042
optimistic,1,42853,0.002516272155,0.9547756283,0.004877138123,40915,0.5027129415,0.5,-82.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9516069901,0.03460833435,0.01969937676,0.006696810461,0.03304319418,0.01880848482,0.006393951415
optimistic,2,42853,0.005298017977,0.9638765081,0.009684495473,41305,-0.1590001211,0.5,-99.46,-21.5,0.5,0.5,0.5,0.5,0.5,0.933785256,0.04723399104,0.02810797724,0.009635637332,0.04552773435,0.02709261895,0.009287564465
optimistic,3,42854,0.01069032482,0.9680076539,0.01668455687,41482,-0.4144568729,0.5,-125.5,-42.5,0.5,0.5,0.5,0.5,0.5,0.9027047876,0.07099464828,0.04295839159,0.0155006991,0.06872170626,0.04158304942,0.01500443366
optimistic,4,42853,0.02093115391,0.9691970224,0.0299402595,41530,-1.217096075,0.5,-153.5,-64.5,-27.5,0.5,0.5,0.5,13.5,0.859764026,0.1040211895,0.06465205875,0.02547555984,0.1008097449,0.06265605675,0.02468905328
optimistic,5,42853,0.03795762111,0.970013768,0.04538983921,41566,-2.10031035,0.5,-174.5,-79.5,-40.5,0.5,0.5,0.5,28.5,0.8186257999,0.1342924506,0.08478083049,0.03430688544,0.1302592584,0.08223461601,0.03327655007
optimistic,6,42854,0.06567304996,0.9754281981,0.07523920653,41799,-4.853668748,0.5,-190.52,-97.5,-55.5,0.5,0.5,0.5,33.5,0.7712624704,0.1708653317,0.1099787076,0.04746525036,0.1666588883,0.1072711999,0.04629672843
optimistic,7,42853,0.1147021706,0.979838051,0.1187603557,41988,-8.280889778,0.5,-212.5,-111.5,-71.5,-13.5,0.5,0.5,38.5,0.7076307516,0.2184195484,0.1442555016,0.06051729065,0.2140106877,0.1413436632,0.05929573192
optimistic,8,42853,0.2133279724,0.98455184,0.2083401395,42189,-14.17822181,0.5,-255.5,-135.5,-92.5,-35.5,0.5,0.5,46.5,0.6160610586,0.2915451895,0.1969233687,0.08850648273,0.287027746,0.1938720743,0.08713508973
optimistic,9,42854,0.5536949003,0.9893358846,0.5255052037,42395,-28.91217125,-16.5,-415.03,-208.5,-144.5,-71.5,-16.5,0.5,73.5,0.4119353697,0.4566104493,0.3288123599,0.1702323387,0.4517197928,0.3252905213,0.1684090167
