queue_cell,threshold,latency_ms,policy,eligible_opportunities,baseline_fills,cancelled_opportunities,cancel_rate,surviving_fills,baseline_fill_rate,surviving_fill_rate,fill_rate_reduction,cancel_too_late,cancel_too_late_rate,cancel_without_baseline_fill,unnecessary_cancel_rate,baseline_unfilled,baseline_negative_to_positive_ratio,baseline_observed,baseline_mean,baseline_median,baseline_p1,baseline_p5,baseline_p10,baseline_p25,baseline_p50,baseline_p75,baseline_p90,baseline_frac_favourable,baseline_cat_25_rate,baseline_cat_50_rate,baseline_cat_100_rate,surviving_observed,surviving_mean,surviving_median,surviving_p1,surviving_p5,surviving_p10,surviving_p25,surviving_p50,surviving_p75,surviving_p90,surviving_frac_favourable,surviving_cat_25_rate,surviving_cat_50_rate,surviving_cat_100_rate,baseline_cat_25_per_opportunity,surviving_cat_25_per_opportunity,baseline_cat_50_per_opportunity,surviving_cat_50_per_opportunity,baseline_cat_100_per_opportunity,surviving_cat_100_per_opportunity,catastrophic_25_avoided,catastrophic_50_avoided,catastrophic_100_avoided
conservative,,,never,428534,276955,0,0,276955,0.6462847755,0.6462847755,0,0,,0,,151579,10.77584458,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,0.4285564273,0.4285564273,0.2850905646,0.2850905646,0.128370211,0.128370211,0,0,0
conservative,0.1,0,cancel,428534,276955,253139,0.5907092553,94778,0.6462847755,0.221167982,0.4251167935,27072,0.1293769624,43890,0.173383003,151579,10.77584458,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,94773,-58.95802602,-44.5,-356.5,-202.5,-150.5,-89.5,-44.5,-17.5,0.5,0.1134922394,0.6776930138,0.4584217024,0.2107245735,0.4285564273,0.1498760892,0.2850905646,0.1013828541,0.128370211,0.04660307,119424,78725,35040
conservative,0.1,25,cancel,428534,276955,253139,0.5907092553,99078,0.6462847755,0.2312021917,0.4150825839,31372,0.1499266424,43890,0.173383003,151579,10.77584458,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,99073,-58.78987211,-44.5,-353.5,-201.5,-150.5,-89.5,-44.5,-17.5,0.5,0.1128158025,0.6785400664,0.4578240287,0.2096131136,0.4285564273,0.1568720335,0.2850905646,0.1058445771,0.128370211,0.04846056556,116426,76813,34244
conservative,0.1,50,cancel,428534,276955,253139,0.5907092553,103145,0.6462847755,0.2406926872,0.4055920884,35439,0.1693628165,43890,0.173383003,151579,10.77584458,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,103140,-58.90835757,-44.5,-350.5,-201.5,-150.5,-89.5,-44.5,-17.5,0.5,0.1118382781,0.6802986232,0.4588229591,0.2094434749,0.4285564273,0.1637349662,0.2850905646,0.1104299776,0.128370211,0.05040906906,113485,74848,33409
conservative,0.1,100,cancel,428534,276955,253139,0.5907092553,109938,0.6462847755,0.2565444049,0.3897403707,42232,0.201826532,43890,0.173383003,151579,10.77584458,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,109933,-58.94487552,-44.5,-349.5,-199.5,-149.5,-89.5,-44.5,-17.5,0.5,0.1115406657,0.6816879372,0.4594616721,0.2094821391,0.4285564273,0.1748752724,0.2850905646,0.1178669604,0.128370211,0.05373902654,108711,71661,31982
conservative,0.2,0,cancel,428534,276955,189233,0.4415822315,154885,0.6462847755,0.3614298982,0.2848548773,48205,0.2831008662,18958,0.1001833718,151579,10.77584458,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,154874,-58.47177383,-42.5,-332.5,-194.5,-146.5,-87.5,-42.5,-16.5,0.5,0.1154874285,0.6756653796,0.4485710965,0.202261193,0.4285564273,0.2441883258,0.2850905646,0.1621154914,0.128370211,0.07309805056,79008,52699,23686
conservative,0.2,25,cancel,428534,276955,189233,0.4415822315,159583,0.6462847755,0.3723928556,0.2738919199,52903,0.3106915284,18958,0.1001833718,151579,10.77584458,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,159572,-58.38592924,-42.5,-332.5,-194.5,-146.5,-87.5,-42.5,-16.5,0.5,0.1149073772,0.676014589,0.4482741333,0.2018837891,0.4285564273,0.2517256507,0.2850905646,0.1669225779,0.128370211,0.07517489861,75778,50639,22796
conservative,0.2,50,cancel,428534,276955,189233,0.4415822315,164012,0.6462847755,0.3827280916,0.263556684,57332,0.3367023932,18958,0.1001833718,151579,10.77584458,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,164001,-58.39586344,-42.5,-331.5,-194.5,-146.5,-87.5,-42.5,-16.5,0.5,0.1138773544,0.6768739215,0.4482838519,0.2015170639,0.4285564273,0.2590412896,0.2850905646,0.1715593162,0.128370211,0.07712106857,72643,48652,21962
conservative,0.2,100,cancel,428534,276955,189233,0.4415822315,170661,0.6462847755,0.39824378,0.2480409956,63981,0.375750991,18958,0.1001833718,151579,10.77584458,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,170650,-58.41058892,-43.5,-330.5,-194.5,-146.5,-87.5,-43.5,-17.5,0.5,0.1132845004,0.6780603575,0.4485672429,0.2016114855,0.4285564273,0.2700159147,0.2850905646,0.1786276001,0.128370211,0.08028534492,67940,45623,20606
conservative,0.3,0,cancel,428534,276955,148335,0.34614523,200446,0.6462847755,0.4677481833,0.1785365922,63773,0.4546057228,8053,0.05428927765,151579,10.77584458,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,200431,-58.03817523,-42.5,-325.2,-193.5,-145.5,-86.5,-42.5,-16.5,0.5,0.1189835904,0.6717024812,0.4455548293,0.1987866148,0.4285564273,0.3141641037,0.2850905646,0.2083918662,0.128370211,0.09297511983,49021,32868,15168
