queue_cell,threshold,latency_ms,policy,eligible_opportunities,baseline_fills,baseline_fill_rate,baseline_unfilled,cancelled_opportunities,cancel_rate,orders_unaffected,fills_prevented,surviving_fills,surviving_fill_rate,fill_rate_reduction,adverse_fills_avoided,favourable_fills_sacrificed,non_negative_fills_sacrificed,prevented_fills_markout_censored,cancel_too_late,cancel_too_late_rate,cancel_without_baseline_fill,unnecessary_cancel_rate,total_baseline_negative_ticks,total_baseline_positive_ticks,adverse_markout_avoided,favourable_markout_sacrificed,net_markout_preserved,net_per_eligible_opportunity,net_per_baseline_fill,net_per_cancelled_order,avoidance_efficiency_ticks,fraction_baseline_negative_removed,fraction_baseline_positive_removed,prevented_share_of_baseline_fills,baseline_negative_to_positive_ratio,random_match_adverse_avoided,random_match_favourable_sacrificed,random_match_net_markout,net_markout_lift_over_random,avoidance_efficiency_lift,catastrophic_25_avoided,catastrophic_25_avoidance_efficiency,catastrophic_25_random_match,catastrophic_25_avoidance_lift,catastrophic_50_avoided,catastrophic_50_avoidance_efficiency,catastrophic_50_random_match,catastrophic_50_avoidance_lift,catastrophic_100_avoided,catastrophic_100_avoidance_efficiency,catastrophic_100_random_match,catastrophic_100_avoidance_lift,baseline_observed,baseline_mean,baseline_median,baseline_p1,baseline_p5,baseline_p10,baseline_p25,baseline_p50,baseline_p75,baseline_p90,baseline_frac_favourable,baseline_cat_25_rate,baseline_cat_50_rate,baseline_cat_100_rate,surviving_observed,surviving_mean,surviving_median,surviving_p1,surviving_p5,surviving_p10,surviving_p25,surviving_p50,surviving_p75,surviving_p90,surviving_frac_favourable,surviving_cat_25_rate,surviving_cat_50_rate,surviving_cat_100_rate,baseline_cat_25_per_opportunity,surviving_cat_25_per_opportunity,baseline_cat_50_per_opportunity,surviving_cat_50_per_opportunity,baseline_cat_100_per_opportunity,surviving_cat_100_per_opportunity
conservative,,,never,428534,276955,0.6462847755,151579,0,0,428534,0,276955,0.6462847755,0,0,0,0,0,0,,0,,17381933,1613046,0,0,0,0,0,,,0,0,0,10.77584458,0,0,0,,,0,,0,,0,,0,,0,,0,,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,0.4285564273,0.4285564273,0.2850905646,0.2850905646,0.128370211,0.128370211
conservative,0.1,0,cancel,428534,276955,0.6462847755,151579,253139,0.5907092553,175395,182177,94778,0.221167982,0.4251167935,157413,24753,24753,11,27072,0.1293769624,43890,0.173383003,17381933,1613046,11072644.5,891386.5,10181258,23.75834356,36.76141611,40.22002931,12.42182207,0.6370203187,0.5526107129,0.6577855608,10.77584458,11433584.55,1061038.368,10372546.18,0.9815582234,1.152746959,119424,4.824627318,120802.976,0.9885849167,78725,3.180422575,80362.31975,0.9796257779,35040,1.41558599,36185.44149,0.9683452394,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,94773,-58.95802602,-44.5,-356.5,-202.5,-150.5,-89.5,-44.5,-17.5,0.5,0.1134922394,0.6776930138,0.4584217024,0.2107245735,0.4285564273,0.1498760892,0.2850905646,0.1013828541,0.128370211,0.04660307
conservative,0.1,25,cancel,428534,276955,0.6462847755,151579,253139,0.5907092553,175395,177877,99078,0.2312021917,0.4150825839,153534,24332,24332,11,31372,0.1499266424,43890,0.173383003,17381933,1613046,10807947,863549,9944398,23.20562196,35.90618693,39.28433785,12.51573101,0.6217920067,0.5353529906,0.6422595729,10.77584458,11163712.86,1035994.235,10127718.63,0.9818991191,1.161461723,116426,4.784892323,117951.6128,0.987065774,76813,3.156871609,78465.49428,0.9789398602,34244,1.407364787,35331.34136,0.9692244528,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,99073,-58.78987211,-44.5,-353.5,-201.5,-150.5,-89.5,-44.5,-17.5,0.5,0.1128158025,0.6785400664,0.4578240287,0.2096131136,0.4285564273,0.1568720335,0.2850905646,0.1058445771,0.128370211,0.04846056556
conservative,0.1,50,cancel,428534,276955,0.6462847755,151579,253139,0.5907092553,175395,173810,103145,0.2406926872,0.4055920884,149825,23974,23974,11,35439,0.1693628165,43890,0.173383003,17381933,1613046,10538515,845436,9693079,22.61915974,34.9987507,38.29152758,12.46518364,0.6062913141,0.5241239246,0.6275748768,10.77584458,10908464.46,1012307.145,9896157.316,0.9794790736,1.156770919,113485,4.733669809,115254.7537,0.9846448529,74848,3.122048886,76671.45027,0.9762173499,33409,1.393551347,34523.52155,0.9677170376,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,103140,-58.90835757,-44.5,-350.5,-201.5,-150.5,-89.5,-44.5,-17.5,0.5,0.1118382781,0.6802986232,0.4588229591,0.2094434749,0.4285564273,0.1637349662,0.2850905646,0.1104299776,0.128370211,0.05040906906
conservative,0.1,100,cancel,428534,276955,0.6462847755,151579,253139,0.5907092553,175395,167017,109938,0.2565444049,0.3897403707,143759,23247,23247,11,42232,0.201826532,43890,0.173383003,17381933,1613046,10097625,808725,9288900,21.67599304,33.53938365,36.69485935,12.48585737,0.5809264712,0.5013651192,0.6030474265,10.77584458,10482129.96,972743.2391,9509386.724,0.9768137809,1.158689444,108711,4.676345335,110750.2629,0.9815868345,71661,3.082591302,73674.90714,0.9726649518,31982,1.375747408,33174.24198,0.9640612142,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,109933,-58.94487552,-44.5,-349.5,-199.5,-149.5,-89.5,-44.5,-17.5,0.5,0.1115406657,0.6816879372,0.4594616721,0.2094821391,0.4285564273,0.1748752724,0.2850905646,0.1178669604,0.128370211,0.05373902654
conservative,0.2,0,cancel,428534,276955,0.6462847755,151579,189233,0.4415822315,239301,122070,154885,0.3614298982,0.2848548773,104442,17623,17623,5,48205,0.2831008662,18958,0.1001833718,17381933,1613046,7438870.5,725741,6713129.5,15.66533694,24.2390623,35.47546939,10.25003479,0.4279656641,0.4499195931,0.4407575238,10.77584458,7661217.748,710962.1607,6950255.587,0.9658823932,0.9512047723,79008,4.48323214,80945.56,0.9760634184,52699,2.990353515,53847.78744,0.9786660234,23686,1.34403904,24246.51214,0.9768827723,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,154874,-58.47177383,-42.5,-332.5,-194.5,-146.5,-87.5,-42.5,-16.5,0.5,0.1154874285,0.6756653796,0.4485710965,0.202261193,0.4285564273,0.2441883258,0.2850905646,0.1621154914,0.128370211,0.07309805056
conservative,0.2,25,cancel,428534,276955,0.6462847755,151579,189233,0.4415822315,239301,117372,159583,0.3723928556,0.2738919199,100194,17173,17173,5,52903,0.3106915284,18958,0.1001833718,17381933,1613046,7149002.5,696875,6452127.5,15.05627908,23.29666372,34.09620679,10.2586583,0.411289268,0.4320242572,0.4237944792,10.77584458,7366367.244,683599.9896,6682767.254,0.9654873878,0.9520050347,75778,4.412624469,77830.27991,0.9736313436,50639,2.948756769,51775.39532,0.9780514409,22796,1.327432598,23313.3581,0.9778085124,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,159572,-58.38592924,-42.5,-332.5,-194.5,-146.5,-87.5,-42.5,-16.5,0.5,0.1149073772,0.676014589,0.4482741333,0.2018837891,0.4285564273,0.2517256507,0.2850905646,0.1669225779,0.128370211,0.07517489861
conservative,0.2,50,cancel,428534,276955,0.6462847755,151579,189233,0.4415822315,239301,112943,164012,0.3827280916,0.263556684,96105,16833,16833,5,57332,0.3367023932,18958,0.1001833718,17381933,1613046,6869587,677680,6191907,14.44904488,22.35708689,32.72107402,10.1369186,0.3952142147,0.4201244106,0.4078027116,10.77584458,7088399.411,657804.5328,6430594.878,0.9628824576,0.9407075731,72643,4.315511198,74893.37579,0.9699522719,48652,2.890275055,49821.66508,0.9765229628,21962,1.304699103,22433.63497,0.9789764356,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,164001,-58.39586344,-42.5,-331.5,-194.5,-146.5,-87.5,-42.5,-16.5,0.5,0.1138773544,0.6768739215,0.4482838519,0.2015170639,0.4285564273,0.2590412896,0.2850905646,0.1715593162,0.128370211,0.07712106857
conservative,0.2,100,cancel,428534,276955,0.6462847755,151579,189233,0.4415822315,239301,106294,170661,0.39824378,0.2480409956,90112,16177,16177,5,63981,0.375750991,18958,0.1001833718,17381933,1613046,6443358,642238,5801120,13.53712891,20.94607427,30.65596381,10.0326639,0.3706928338,0.3981523156,0.3837952014,10.77584458,6671102.476,619079.3144,6052023.162,0.9585422668,0.9310327211,67940,4.199789825,70484.37253,0.9639016077,45623,2.82023861,46888.64355,0.9730074608,20606,1.273783767,21112.95782,0.9759883088,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,170650,-58.41058892,-43.5,-330.5,-194.5,-146.5,-87.5,-43.5,-17.5,0.5,0.1132845004,0.6780603575,0.4485672429,0.2016114855,0.4285564273,0.2700159147,0.2850905646,0.1786276001,0.128370211,0.08028534492
conservative,0.3,0,cancel,428534,276955,0.6462847755,151579,148335,0.34614523,280199,76509,200446,0.4677481833,0.1785365922,64847,11661,11661,1,63773,0.4546057228,8053,0.05428927765,17381933,1613046,4696474,560236.5,4136237.5,9.65206378,14.93469156,27.88443388,8.383020385,0.2701928491,0.3473158856,0.2762506544,10.77584458,4801770.367,445605.0131,4356165.354,0.9495134285,0.7779455542,49021,4.203841866,50733.70894,0.9662412038,32868,2.81862619,33749.8187,0.9738718981,15168,1.300746077,15196.82475,0.9981032386,276939,-56.93992901,-41.5,-323.5,-193.5,-145.5,-86.5,-41.5,-14.5,0.5,0.1282195718,0.6631460358,0.4411476896,0.1986394116,200431,-58.03817523,-42.5,-325.2,-193.5,-145.5,-86.5,-42.5,-16.5,0.5,0.1189835904,0.6717024812,0.4455548293,0.1987866148,0.4285564273,0.3141641037,0.2850905646,0.2083918662,0.128370211,0.09297511983
