queue_cell,latency_ms,ordered_by,statistic,steps,non_decreasing,non_increasing,frac_steps_up,spearman
conservative,0,threshold,cancel_rate,8,False,True,0,-1
conservative,25,threshold,cancel_rate,8,False,True,0,-1
conservative,50,threshold,cancel_rate,8,False,True,0,-1
conservative,100,threshold,cancel_rate,8,False,True,0,-1
midpoint,0,threshold,cancel_rate,8,False,True,0,-1
midpoint,25,threshold,cancel_rate,8,False,True,0,-1
midpoint,50,threshold,cancel_rate,8,False,True,0,-1
midpoint,100,threshold,cancel_rate,8,False,True,0,-1
optimistic,0,threshold,cancel_rate,8,False,True,0,-1
optimistic,25,threshold,cancel_rate,8,False,True,0,-1
optimistic,50,threshold,cancel_rate,8,False,True,0,-1
optimistic,100,threshold,cancel_rate,8,False,True,0,-1
conservative,0,threshold,surviving_cat_25_per_opportunity,8,True,False,1,1
conservative,25,threshold,surviving_cat_25_per_opportunity,8,True,False,1,1
conservative,50,threshold,surviving_cat_25_per_opportunity,8,True,False,1,1
conservative,100,threshold,surviving_cat_25_per_opportunity,8,True,False,1,1
midpoint,0,threshold,surviving_cat_25_per_opportunity,8,True,False,1,1
midpoint,25,threshold,surviving_cat_25_per_opportunity,8,True,False,1,1
midpoint,50,threshold,surviving_cat_25_per_opportunity,8,True,False,1,1
midpoint,100,threshold,surviving_cat_25_per_opportunity,8,True,False,1,1
optimistic,0,threshold,surviving_cat_25_per_opportunity,8,True,False,1,1
optimistic,25,threshold,surviving_cat_25_per_opportunity,8,True,False,1,1
optimistic,50,threshold,surviving_cat_25_per_opportunity,8,True,False,1,1
optimistic,100,threshold,surviving_cat_25_per_opportunity,8,True,False,1,1
conservative,0,threshold,surviving_cat_50_per_opportunity,8,True,False,1,1
conservative,25,threshold,surviving_cat_50_per_opportunity,8,True,False,1,1
conservative,50,threshold,surviving_cat_50_per_opportunity,8,True,False,1,1
conservative,100,threshold,surviving_cat_50_per_opportunity,8,True,False,1,1
midpoint,0,threshold,surviving_cat_50_per_opportunity,8,True,False,1,1
midpoint,25,threshold,surviving_cat_50_per_opportunity,8,True,False,1,1
midpoint,50,threshold,surviving_cat_50_per_opportunity,8,True,False,1,1
midpoint,100,threshold,surviving_cat_50_per_opportunity,8,True,False,1,1
optimistic,0,threshold,surviving_cat_50_per_opportunity,8,True,False,1,1
optimistic,25,threshold,surviving_cat_50_per_opportunity,8,True,False,1,1
optimistic,50,threshold,surviving_cat_50_per_opportunity,8,True,False,1,1
optimistic,100,threshold,surviving_cat_50_per_opportunity,8,True,False,1,1
conservative,0,threshold,favourable_fills_sacrificed,8,False,True,0,-1
conservative,25,threshold,favourable_fills_sacrificed,8,False,True,0,-1
conservative,50,threshold,favourable_fills_sacrificed,8,False,True,0,-1
conservative,100,threshold,favourable_fills_sacrificed,8,False,True,0,-1
midpoint,0,threshold,favourable_fills_sacrificed,8,False,True,0,-1
midpoint,25,threshold,favourable_fills_sacrificed,8,False,True,0,-1
midpoint,50,threshold,favourable_fills_sacrificed,8,False,True,0,-1
midpoint,100,threshold,favourable_fills_sacrificed,8,False,True,0,-1
optimistic,0,threshold,favourable_fills_sacrificed,8,False,True,0,-1
optimistic,25,threshold,favourable_fills_sacrificed,8,False,True,0,-1
optimistic,50,threshold,favourable_fills_sacrificed,8,False,True,0,-1
optimistic,100,threshold,favourable_fills_sacrificed,8,False,True,0,-1
conservative,0,threshold,adverse_markout_avoided,8,False,True,0,-1
conservative,25,threshold,adverse_markout_avoided,8,False,True,0,-1
conservative,50,threshold,adverse_markout_avoided,8,False,True,0,-1
conservative,100,threshold,adverse_markout_avoided,8,False,True,0,-1
midpoint,0,threshold,adverse_markout_avoided,8,False,True,0,-1
midpoint,25,threshold,adverse_markout_avoided,8,False,True,0,-1
midpoint,50,threshold,adverse_markout_avoided,8,False,True,0,-1
midpoint,100,threshold,adverse_markout_avoided,8,False,True,0,-1
optimistic,0,threshold,adverse_markout_avoided,8,False,True,0,-1
optimistic,25,threshold,adverse_markout_avoided,8,False,True,0,-1
optimistic,50,threshold,adverse_markout_avoided,8,False,True,0,-1
optimistic,100,threshold,adverse_markout_avoided,8,False,True,0,-1
conservative,0,threshold,net_per_eligible_opportunity,8,False,True,0,-1
conservative,25,threshold,net_per_eligible_opportunity,8,False,True,0,-1
conservative,50,threshold,net_per_eligible_opportunity,8,False,True,0,-1
conservative,100,threshold,net_per_eligible_opportunity,8,False,True,0,-1
midpoint,0,threshold,net_per_eligible_opportunity,8,False,True,0,-1
midpoint,25,threshold,net_per_eligible_opportunity,8,False,True,0,-1
midpoint,50,threshold,net_per_eligible_opportunity,8,False,True,0,-1
midpoint,100,threshold,net_per_eligible_opportunity,8,False,True,0,-1
optimistic,0,threshold,net_per_eligible_opportunity,8,False,True,0,-1
optimistic,25,threshold,net_per_eligible_opportunity,8,False,True,0,-1
optimistic,50,threshold,net_per_eligible_opportunity,8,False,True,0,-1
optimistic,100,threshold,net_per_eligible_opportunity,8,False,True,0,-1
conservative,0,threshold,avoidance_efficiency_ticks,8,False,True,0,-1
conservative,25,threshold,avoidance_efficiency_ticks,8,False,True,0,-1
conservative,50,threshold,avoidance_efficiency_ticks,8,False,True,0,-1
conservative,100,threshold,avoidance_efficiency_ticks,8,False,True,0,-1
midpoint,0,threshold,avoidance_efficiency_ticks,8,False,True,0,-1
midpoint,25,threshold,avoidance_efficiency_ticks,8,False,True,0,-1
midpoint,50,threshold,avoidance_efficiency_ticks,8,False,True,0,-1
midpoint,100,threshold,avoidance_efficiency_ticks,8,False,True,0,-1
optimistic,0,threshold,avoidance_efficiency_ticks,8,False,False,0.125,-0.9
