signal,horizon_s,gross_decile_spread_bps,gross_edge_per_trade_bps,break_even_all_in_cost_bps,hurdle_bps_one_way,hurdle_bps_round_trip,net_of_one_way_bps,net_of_round_trip_bps,clears_one_way,clears_round_trip
obi_l1,1,0.5666924402394541,0.28334622011972704,0.28334622011972704,1.0,2.0,-0.716653779880273,-1.716653779880273,False,False
obi_l1,1,0.5666924402394541,0.28334622011972704,0.28334622011972704,2.0,4.0,-1.716653779880273,-3.716653779880273,False,False
obi_l1,1,0.5666924402394541,0.28334622011972704,0.28334622011972704,3.0,6.0,-2.716653779880273,-5.716653779880273,False,False
obi_l1,1,0.5666924402394541,0.28334622011972704,0.28334622011972704,5.0,10.0,-4.716653779880273,-9.716653779880273,False,False
obi_l1,1,0.5666924402394541,0.28334622011972704,0.28334622011972704,7.5,15.0,-7.216653779880273,-14.716653779880273,False,False
obi_l1,1,0.5666924402394541,0.28334622011972704,0.28334622011972704,10.0,20.0,-9.716653779880273,-19.71665377988027,False,False
obi_l1,1,0.5028856135780325,0.25144280678901626,0.25144280678901626,1.0,2.0,-0.7485571932109838,-1.7485571932109838,False,False
obi_l1,1,0.5028856135780325,0.25144280678901626,0.25144280678901626,2.0,4.0,-1.7485571932109838,-3.7485571932109836,False,False
obi_l1,1,0.5028856135780325,0.25144280678901626,0.25144280678901626,3.0,6.0,-2.7485571932109836,-5.748557193210984,False,False
obi_l1,1,0.5028856135780325,0.25144280678901626,0.25144280678901626,5.0,10.0,-4.748557193210984,-9.748557193210983,False,False
obi_l1,1,0.5028856135780325,0.25144280678901626,0.25144280678901626,7.5,15.0,-7.248557193210984,-14.748557193210983,False,False
obi_l1,1,0.5028856135780325,0.25144280678901626,0.25144280678901626,10.0,20.0,-9.748557193210983,-19.748557193210985,False,False
obi_l1,2,0.7403576844638162,0.3701788422319081,0.3701788422319081,1.0,2.0,-0.6298211577680919,-1.6298211577680919,False,False
obi_l1,2,0.7403576844638162,0.3701788422319081,0.3701788422319081,2.0,4.0,-1.6298211577680919,-3.6298211577680917,False,False
obi_l1,2,0.7403576844638162,0.3701788422319081,0.3701788422319081,3.0,6.0,-2.6298211577680917,-5.629821157768092,False,False
obi_l1,2,0.7403576844638162,0.3701788422319081,0.3701788422319081,5.0,10.0,-4.629821157768092,-9.629821157768092,False,False
obi_l1,2,0.7403576844638162,0.3701788422319081,0.3701788422319081,7.5,15.0,-7.129821157768092,-14.629821157768092,False,False
obi_l1,2,0.7403576844638162,0.3701788422319081,0.3701788422319081,10.0,20.0,-9.629821157768092,-19.62982115776809,False,False
obi_l1,2,0.6673312383110173,0.33366561915550863,0.33366561915550863,1.0,2.0,-0.6663343808444914,-1.6663343808444915,False,False
obi_l1,2,0.6673312383110173,0.33366561915550863,0.33366561915550863,2.0,4.0,-1.6663343808444915,-3.6663343808444915,False,False
obi_l1,2,0.6673312383110173,0.33366561915550863,0.33366561915550863,3.0,6.0,-2.6663343808444915,-5.666334380844491,False,False
obi_l1,2,0.6673312383110173,0.33366561915550863,0.33366561915550863,5.0,10.0,-4.666334380844491,-9.666334380844491,False,False
obi_l1,2,0.6673312383110173,0.33366561915550863,0.33366561915550863,7.5,15.0,-7.166334380844491,-14.666334380844491,False,False
obi_l1,2,0.6673312383110173,0.33366561915550863,0.33366561915550863,10.0,20.0,-9.666334380844491,-19.666334380844493,False,False
obi_l1,5,0.9780539594160278,0.4890269797080139,0.4890269797080139,1.0,2.0,-0.5109730202919861,-1.5109730202919862,False,False
obi_l1,5,0.9780539594160278,0.4890269797080139,0.4890269797080139,2.0,4.0,-1.5109730202919862,-3.510973020291986,False,False
obi_l1,5,0.9780539594160278,0.4890269797080139,0.4890269797080139,3.0,6.0,-2.510973020291986,-5.510973020291986,False,False
obi_l1,5,0.9780539594160278,0.4890269797080139,0.4890269797080139,5.0,10.0,-4.510973020291986,-9.510973020291987,False,False
obi_l1,5,0.9780539594160278,0.4890269797080139,0.4890269797080139,7.5,15.0,-7.010973020291986,-14.510973020291987,False,False
obi_l1,5,0.9780539594160278,0.4890269797080139,0.4890269797080139,10.0,20.0,-9.510973020291987,-19.510973020291985,False,False
obi_l1,5,0.9085069832933916,0.4542534916466958,0.4542534916466958,1.0,2.0,-0.5457465083533042,-1.5457465083533042,False,False
obi_l1,5,0.9085069832933916,0.4542534916466958,0.4542534916466958,2.0,4.0,-1.5457465083533042,-3.545746508353304,False,False
obi_l1,5,0.9085069832933916,0.4542534916466958,0.4542534916466958,3.0,6.0,-2.545746508353304,-5.545746508353304,False,False
obi_l1,5,0.9085069832933916,0.4542534916466958,0.4542534916466958,5.0,10.0,-4.545746508353304,-9.545746508353304,False,False
obi_l1,5,0.9085069832933916,0.4542534916466958,0.4542534916466958,7.5,15.0,-7.045746508353304,-14.545746508353304,False,False
obi_l1,5,0.9085069832933916,0.4542534916466958,0.4542534916466958,10.0,20.0,-9.545746508353304,-19.545746508353304,False,False
obi_l1,10,1.1179840991050725,0.5589920495525362,0.5589920495525362,1.0,2.0,-0.44100795044746377,-1.4410079504474638,False,False
obi_l1,10,1.1179840991050725,0.5589920495525362,0.5589920495525362,2.0,4.0,-1.4410079504474638,-3.4410079504474638,False,False
obi_l1,10,1.1179840991050725,0.5589920495525362,0.5589920495525362,3.0,6.0,-2.4410079504474638,-5.441007950447464,False,False
obi_l1,10,1.1179840991050725,0.5589920495525362,0.5589920495525362,5.0,10.0,-4.441007950447464,-9.441007950447464,False,False
obi_l1,10,1.1179840991050725,0.5589920495525362,0.5589920495525362,7.5,15.0,-6.941007950447464,-14.441007950447464,False,False
obi_l1,10,1.1179840991050725,0.5589920495525362,0.5589920495525362,10.0,20.0,-9.441007950447464,-19.441007950447464,False,False
obi_l1,10,1.074215231443555,0.5371076157217775,0.5371076157217775,1.0,2.0,-0.46289238427822255,-1.4628923842782227,False,False
obi_l1,10,1.074215231443555,0.5371076157217775,0.5371076157217775,2.0,4.0,-1.4628923842782227,-3.4628923842782227,False,False
obi_l1,10,1.074215231443555,0.5371076157217775,0.5371076157217775,3.0,6.0,-2.4628923842782227,-5.462892384278223,False,False
obi_l1,10,1.074215231443555,0.5371076157217775,0.5371076157217775,5.0,10.0,-4.462892384278223,-9.462892384278222,False,False
obi_l1,10,1.074215231443555,0.5371076157217775,0.5371076157217775,7.5,15.0,-6.962892384278223,-14.462892384278222,False,False
obi_l1,10,1.074215231443555,0.5371076157217775,0.5371076157217775,10.0,20.0,-9.462892384278222,-19.462892384278224,False,False
obi_l1,30,1.3615222480599372,0.6807611240299686,0.6807611240299686,1.0,2.0,-0.3192388759700314,-1.3192388759700315,False,False
obi_l1,30,1.3615222480599372,0.6807611240299686,0.6807611240299686,2.0,4.0,-1.3192388759700315,-3.3192388759700315,False,False
obi_l1,30,1.3615222480599372,0.6807611240299686,0.6807611240299686,3.0,6.0,-2.3192388759700315,-5.319238875970031,False,False
obi_l1,30,1.3615222480599372,0.6807611240299686,0.6807611240299686,5.0,10.0,-4.319238875970031,-9.319238875970031,False,False
obi_l1,30,1.3615222480599372,0.6807611240299686,0.6807611240299686,7.5,15.0,-6.819238875970031,-14.319238875970031,False,False
obi_l1,30,1.3615222480599372,0.6807611240299686,0.6807611240299686,10.0,20.0,-9.319238875970031,-19.319238875970033,False,False
obi_l1,30,1.331444239207112,0.665722119603556,0.665722119603556,1.0,2.0,-0.334277880396444,-1.334277880396444,False,False
