signal,horizon_s,purge_s,rows,anchors,bootstrap_block_s,bootstrap_blocks,demean_blocks,rows_per_anchor
direction_p2_lightgbm,1,61.0,2136488,213651,1800.0,120,120,9.999897028331251
direction_p2_lightgbm,2,62.0,2136328,106818,1800.0,120,120,19.999700425022
direction_p2_lightgbm,5,65.0,2135848,42720,1800.0,120,120,49.99644194756554
direction_p2_lightgbm,10,70.0,2135048,21352,1800.0,120,120,99.99288122892469
direction_p2_lightgbm,30,90.0,2131848,7108,1800.0,120,120,299.9223410241981
direction_p2_lightgbm,60,120.0,2127048,3547,1800.0,120,120,599.6752184945024
direction_p2_lightgbm,120,180.0,2117470,1767,1800.0,120,120,1198.3418222976798
direction_p2_lightgbm,300,360.0,2090470,700,3600.0,60,119,2986.385714285714
direction_p2_lightgbm,600,660.0,2045470,344,7200.0,30,119,5946.133720930233
direction_p2_logistic,1,61.0,2136488,213651,1800.0,120,120,9.999897028331251
direction_p2_logistic,2,62.0,2136328,106818,1800.0,120,120,19.999700425022
direction_p2_logistic,5,65.0,2135848,42720,1800.0,120,120,49.99644194756554
direction_p2_logistic,10,70.0,2135048,21352,1800.0,120,120,99.99288122892469
direction_p2_logistic,30,90.0,2131848,7108,1800.0,120,120,299.9223410241981
direction_p2_logistic,60,120.0,2127048,3547,1800.0,120,120,599.6752184945024
direction_p2_logistic,120,180.0,2117470,1767,1800.0,120,120,1198.3418222976798
direction_p2_logistic,300,360.0,2090470,700,3600.0,60,119,2986.385714285714
direction_p2_logistic,600,660.0,2045470,344,7200.0,30,119,5946.133720930233
obi_l1,1,61.0,2136488,213651,1800.0,120,120,9.999897028331251
obi_l1,2,62.0,2136328,106818,1800.0,120,120,19.999700425022
obi_l1,5,65.0,2135848,42720,1800.0,120,120,49.99644194756554
obi_l1,10,70.0,2135048,21352,1800.0,120,120,99.99288122892469
obi_l1,30,90.0,2131848,7108,1800.0,120,120,299.9223410241981
obi_l1,60,120.0,2127048,3547,1800.0,120,120,599.6752184945024
obi_l1,120,180.0,2117470,1767,1800.0,120,120,1198.3418222976798
obi_l1,300,360.0,2090470,700,3600.0,60,119,2986.385714285714
obi_l1,600,660.0,2045470,344,7200.0,30,119,5946.133720930233
obi_l10,1,61.0,2136488,213651,1800.0,120,120,9.999897028331251
obi_l10,2,62.0,2136328,106818,1800.0,120,120,19.999700425022
obi_l10,5,65.0,2135848,42720,1800.0,120,120,49.99644194756554
obi_l10,10,70.0,2135048,21352,1800.0,120,120,99.99288122892469
obi_l10,30,90.0,2131848,7108,1800.0,120,120,299.9223410241981
obi_l10,60,120.0,2127048,3547,1800.0,120,120,599.6752184945024
obi_l10,120,180.0,2117470,1767,1800.0,120,120,1198.3418222976798
obi_l10,300,360.0,2090470,700,3600.0,60,119,2986.385714285714
obi_l10,600,660.0,2045470,344,7200.0,30,119,5946.133720930233
obi_l5,1,61.0,2136488,213651,1800.0,120,120,9.999897028331251
obi_l5,2,62.0,2136328,106818,1800.0,120,120,19.999700425022
obi_l5,5,65.0,2135848,42720,1800.0,120,120,49.99644194756554
obi_l5,10,70.0,2135048,21352,1800.0,120,120,99.99288122892469
obi_l5,30,90.0,2131848,7108,1800.0,120,120,299.9223410241981
obi_l5,60,120.0,2127048,3547,1800.0,120,120,599.6752184945024
obi_l5,120,180.0,2117470,1767,1800.0,120,120,1198.3418222976798
obi_l5,300,360.0,2090470,700,3600.0,60,119,2986.385714285714
obi_l5,600,660.0,2045470,344,7200.0,30,119,5946.133720930233
sweep_dir_p4a,1,61.0,2136488,213651,1800.0,120,120,9.999897028331251
sweep_dir_p4a,2,62.0,2136328,106818,1800.0,120,120,19.999700425022
sweep_dir_p4a,5,65.0,2135848,42720,1800.0,120,120,49.99644194756554
sweep_dir_p4a,10,70.0,2135048,21352,1800.0,120,120,99.99288122892469
sweep_dir_p4a,30,90.0,2131848,7108,1800.0,120,120,299.9223410241981
sweep_dir_p4a,60,120.0,2127048,3547,1800.0,120,120,599.6752184945024
sweep_dir_p4a,120,180.0,2117470,1767,1800.0,120,120,1198.3418222976798
sweep_dir_p4a,300,360.0,2090470,700,3600.0,60,119,2986.385714285714
sweep_dir_p4a,600,660.0,2045470,344,7200.0,30,119,5946.133720930233
