regime_signal,regime_column,regime_bucket,threshold,population,observations,mean_sweep_p,realised_sweep_rate_500ms,p_next_move_follows_sweep,markout_500ms_observed,markout_500ms_mean_ticks,markout_500ms_median_ticks,markout_500ms_mean_bps,markout_500ms_frac_favourable
realised_movement,backward_mid_abs_change_ticks_1000ms,0,,all,3433452,0.06240726904,0.06355252443,0.5,3433412,0,0,0,0.05960251785
realised_movement,backward_mid_abs_change_ticks_1000ms,0,0.3,score_at_or_above,144312,0.5166719983,0.4807464434,0.8067811677,144311,21.42587537,0,0.3082747292,0.4606024489
realised_movement,backward_mid_abs_change_ticks_1000ms,0,0.5,score_at_or_above,51600,0.7659189863,0.7433139535,0.9054934823,51600,38.59291667,25,0.5571030088,0.7216666667
realised_movement,backward_mid_abs_change_ticks_1000ms,0,0.7,score_at_or_above,27893,0.9271251013,0.9336392643,0.9765798723,27893,55.08720826,40,0.7971691744,0.9168608611
realised_movement,backward_mid_abs_change_ticks_1000ms,0,0.9,score_at_or_above,21579,0.9656899957,0.9765976181,0.9960606201,21579,61.15973863,45,0.8829713413,0.962046434
realised_movement,backward_mid_abs_change_ticks_1000ms,1,,all,851842,0.267669841,0.2631682132,0.5,851824,0,0,0,0.2285483856
realised_movement,backward_mid_abs_change_ticks_1000ms,1,0.3,score_at_or_above,288897,0.5731471651,0.5418955545,0.6799977826,288897,14.42370118,0,0.2062371769,0.4657749994
realised_movement,backward_mid_abs_change_ticks_1000ms,1,0.5,score_at_or_above,153844,0.7322083367,0.6992472895,0.7551459733,153844,24.63725917,16,0.3523524077,0.5940628169
realised_movement,backward_mid_abs_change_ticks_1000ms,1,0.7,score_at_or_above,74815,0.8851124546,0.8704404197,0.8436873212,74815,39.43624273,34,0.5652075483,0.7323798703
realised_movement,backward_mid_abs_change_ticks_1000ms,1,0.9,score_at_or_above,41137,0.9607401714,0.9697109658,0.9229385453,41137,53.90891412,43,0.772672457,0.8295451783
trade_intensity,trade_count_1000ms,0,,all,1179314,0.01822730576,0.01937922707,0.5,1179304,0,0,0,0.01824126773
trade_intensity,trade_count_1000ms,0,0.3,score_at_or_above,3221,0.3840962884,0.3225706302,0.8623211447,3221,11.39257994,0,0.1663496376,0.3144986029
trade_intensity,trade_count_1000ms,0,0.5,score_at_or_above,289,0.5748453572,0.4948096886,0.8780487805,289,18.56747405,0,0.2733764738,0.4878892734
trade_intensity,trade_count_1000ms,0,0.7,score_at_or_above,19,0.7563441163,0.8947368421,1,19,40.18421053,29,0.6011803354,0.8947368421
trade_intensity,trade_count_1000ms,1,,all,877096,0.03696995652,0.03925849748,0.5,877084,0,0,0,0.03674106471
trade_intensity,trade_count_1000ms,1,0.3,score_at_or_above,8631,0.3916755725,0.3436450006,0.8369755756,8631,12.91797011,0,0.1860641287,0.3343760862
trade_intensity,trade_count_1000ms,1,0.5,score_at_or_above,954,0.5818028582,0.5199161426,0.8906414301,954,18.23689727,1,0.2648803059,0.5157232704
trade_intensity,trade_count_1000ms,1,0.7,score_at_or_above,96,0.7919420198,0.8854166667,0.96875,96,31.26041667,15.5,0.4638190705,0.90625
trade_intensity,trade_count_1000ms,1,0.9,score_at_or_above,10,0.9201059934,1,1,10,25.5,16.5,0.3958683619,1
trade_intensity,trade_count_1000ms,2,,all,521216,0.06582324613,0.06831350729,0.5,521200,0,0,0,0.0639447429
trade_intensity,trade_count_1000ms,2,0.3,score_at_or_above,14603,0.4051782237,0.3693761556,0.8154859967,14603,14.53797165,0,0.2076697442,0.3555433815
trade_intensity,trade_count_1000ms,2,0.5,score_at_or_above,2072,0.618614618,0.569980695,0.8838334947,2072,21.11414093,3,0.3047273221,0.5603281853
trade_intensity,trade_count_1000ms,2,0.7,score_at_or_above,397,0.8433875153,0.9118387909,0.9722921914,397,31.55415617,14,0.4645035079,0.9219143577
trade_intensity,trade_count_1000ms,2,0.9,score_at_or_above,124,0.9372631446,0.9677419355,0.9919354839,124,24.80645161,11,0.370570581,0.9758064516
trade_intensity,trade_count_1000ms,3,,all,863592,0.136562729,0.1351370442,0.5,863590,0,0,0,0.1263956276
trade_intensity,trade_count_1000ms,3,0.3,score_at_or_above,108639,0.4980039473,0.4565989801,0.7861587676,108638,17.97406524,0,0.2576035943,0.436044478
trade_intensity,trade_count_1000ms,3,0.5,score_at_or_above,37278,0.7221177017,0.6882075219,0.8854955681,37278,29.21173346,17,0.4198882383,0.6685712753
trade_intensity,trade_count_1000ms,3,0.7,score_at_or_above,16435,0.9058901457,0.9069668391,0.9683941295,16435,41.33033161,29,0.5972081039,0.8958929115
trade_intensity,trade_count_1000ms,3,0.9,score_at_or_above,11061,0.9619588338,0.9762227647,0.9967447328,11061,46.76697405,33,0.6754689615,0.9694421843
trade_intensity,trade_count_1000ms,4,,all,844076,0.2797381375,0.275786735,0.5,844058,0,0,0,0.2406280137
trade_intensity,trade_count_1000ms,4,0.3,score_at_or_above,298115,0.5887166749,0.5599382789,0.6895627914,298115,16.59023699,0,0.2378574172,0.4849437298
trade_intensity,trade_count_1000ms,4,0.5,score_at_or_above,164851,0.7476159419,0.7185579705,0.7701224064,164851,28.06304784,21,0.4024126556,0.6182188764
trade_intensity,trade_count_1000ms,4,0.7,score_at_or_above,85761,0.8951208869,0.8837816723,0.8622499563,85761,44.20907522,39,0.6350901968,0.7599375007
trade_intensity,trade_count_1000ms,4,0.9,score_at_or_above,51521,0.962616108,0.9711962113,0.9375388199,51521,58.55469614,48,0.840779368,0.854622387
depth_event_intensity,depth_event_count_1000ms,0,,all,4281036,0.1029733986,0.1029953903,0.5,4280978,0,0,0,0.09301799729
depth_event_intensity,depth_event_count_1000ms,0,0.3,score_at_or_above,431241,0.5539836186,0.5211274464,0.722927629,431240,16.80613348,0,0.2409276183,0.4640640942
depth_event_intensity,depth_event_count_1000ms,0,0.5,score_at_or_above,204098,0.7406851404,0.7104969181,0.7943098639,204098,28.28895188,19,0.4058594537,0.6269145215
depth_event_intensity,depth_event_count_1000ms,0,0.7,score_at_or_above,101962,0.8968524739,0.8883113317,0.8815957301,101962,44.02039976,36,0.632976327,0.7843019949
depth_event_intensity,depth_event_count_1000ms,0,0.9,score_at_or_above,62449,0.9624991219,0.9722653685,0.9493482369,62449,56.68208458,44,0.8146073531,0.8764752038
