block,threshold,population,observations,share_of_opportunities,mean_sweep_p,realised_sweep_rate_500ms,p_next_move_follows_sweep,markout_500ms_observed,markout_500ms_mean_ticks,markout_500ms_median_ticks,markout_500ms_mean_bps,markout_500ms_frac_favourable
992801,,all,6140,,0.008788379349,0.005700325733,0.5,6140,0,0,0,0.005374592834
992801,0.3,score_at_or_above,12,0.001954397394,0.6610781765,0.75,1,12,23.33333333,26,0.3631777754,0.75
992801,0.5,score_at_or_above,8,0.001302931596,0.7679908233,0.625,1,8,22.375,19.5,0.3482739388,0.625
992801,0.7,score_at_or_above,5,0.0008143322476,0.8862436987,0.8,1,5,26,31,0.4046964172,0.8
992801,0.9,score_at_or_above,3,0.0004885993485,0.9490868638,1,1,3,23.33333333,31,0.3631549828,1
992802,,all,36000,,0.01784804811,0.01605555556,0.5,36000,0,0,0,0.01533333333
992802,0.3,score_at_or_above,284,0.007888888889,0.5739794292,0.4929577465,0.8966789668,284,17.57042254,0,0.2737040591,0.4894366197
992802,0.5,score_at_or_above,128,0.003555555556,0.8068754721,0.8125,0.9841269841,128,30.546875,26,0.4758414963,0.8125
992802,0.7,score_at_or_above,90,0.0025,0.9012709661,0.9444444444,1,90,37.26666667,32.5,0.580522418,0.9555555556
992802,0.9,score_at_or_above,56,0.001555555556,0.9514054775,0.9821428571,1,56,39.125,32,0.6094483886,1
992803,,all,36000,,0.01878878838,0.01725,0.5,36000,0,0,0,0.01630555556
992803,0.3,score_at_or_above,230,0.006388888889,0.5942715035,0.5260869565,0.9658536585,230,14.02173913,5,0.2186263457,0.5260869565
992803,0.5,score_at_or_above,113,0.003138888889,0.8200150891,0.7876106195,0.9805825243,113,22.37168142,18,0.3488107816,0.8053097345
992803,0.7,score_at_or_above,79,0.002194444444,0.9231165433,0.9240506329,0.9871794872,79,28.44303797,24,0.4434717945,0.9620253165
992803,0.9,score_at_or_above,57,0.001583333333,0.9551040213,0.9473684211,1,57,27.57894737,24,0.4300141836,1
992804,,all,36000,,0.01747108781,0.01708333333,0.5,36000,0,0,0,0.01644444444
992804,0.3,score_at_or_above,197,0.005472222222,0.6256259662,0.6040609137,0.9278350515,197,20.56852792,11,0.3207131847,0.6243654822
992804,0.5,score_at_or_above,112,0.003111111111,0.8220250877,0.7857142857,0.963963964,112,29.60714286,21,0.4616428337,0.8392857143
992804,0.7,score_at_or_above,83,0.002305555556,0.9014007757,0.8915662651,1,83,35.92771084,26,0.5601921219,0.9638554217
992804,0.9,score_at_or_above,53,0.001472222222,0.9510742926,0.9245283019,1,53,32.28301887,26,0.5033698637,1
992805,,all,36000,,0.01306697563,0.01055555556,0.5,36000,0,0,0,0.01
992805,0.3,score_at_or_above,144,0.004,0.560602189,0.5138888889,0.9855072464,144,15.52083333,2,0.2418664452,0.5138888889
992805,0.5,score_at_or_above,63,0.00175,0.8094045642,0.8095238095,1,63,23.04761905,15,0.3591528356,0.8095238095
992805,0.7,score_at_or_above,44,0.001222222222,0.9045129801,0.9545454545,1,44,27.68181818,19,0.4313647177,0.9545454545
992805,0.9,score_at_or_above,27,0.00075,0.9576740051,1,1,27,30.18518519,27,0.4703852307,1
992806,,all,36000,,0.03129260448,0.03438888889,0.5,36000,0,0,0,0.03272222222
992806,0.3,score_at_or_above,599,0.01663888889,0.5526504043,0.4774624374,0.9191049914,599,11.54590985,0,0.1795768596,0.4624373957
992806,0.5,score_at_or_above,253,0.007027777778,0.7896156233,0.7233201581,0.9518072289,253,20.85968379,13,0.3244270273,0.7233201581
992806,0.7,score_at_or_above,166,0.004611111111,0.8985186044,0.8915662651,0.9570552147,166,27.0060241,20,0.4200420295,0.9036144578
992806,0.9,score_at_or_above,102,0.002833333333,0.953699811,0.9607843137,1,102,29.91666667,24.5,0.4653265976,0.9901960784
992807,,all,36000,,0.01919494595,0.01955555556,0.5,36000,0,0,0,0.01869444444
992807,0.3,score_at_or_above,276,0.007666666667,0.6093740124,0.5543478261,0.9509433962,276,18.38224638,4.5,0.2857065021,0.5652173913
992807,0.5,score_at_or_above,155,0.004305555556,0.7882090477,0.7677419355,0.9935064935,155,28.54516129,20,0.443670458,0.8
992807,0.7,score_at_or_above,95,0.002638888889,0.9112607953,0.9368421053,1,95,39.36315789,31,0.6118029687,0.9684210526
992807,0.9,score_at_or_above,64,0.001777777778,0.9569936215,0.953125,1,64,39.4140625,32.5,0.6126096795,1
992808,,all,36000,,0.01905692549,0.01597222222,0.5,36000,0,0,0,0.01508333333
992808,0.3,score_at_or_above,250,0.006944444444,0.6026239875,0.564,0.9791666667,250,20.226,5.5,0.3146030158,0.572
992808,0.5,score_at_or_above,134,0.003722222222,0.8058785501,0.828358209,1,134,31.16044776,19.5,0.4846850655,0.8507462687
992808,0.7,score_at_or_above,94,0.002611111111,0.9029486669,0.9574468085,1,94,36.51595745,25,0.5679751126,0.9787234043
992808,0.9,score_at_or_above,65,0.001805555556,0.9524675861,0.9846153846,1,65,42.2,31,0.6563827035,1
992809,,all,36000,,0.01966151265,0.02141666667,0.5,36000,0,0,0,0.02038888889
992809,0.3,score_at_or_above,249,0.006916666667,0.6312597911,0.6385542169,0.9668049793,249,20.95180723,12,0.3261796197,0.6465863454
992809,0.5,score_at_or_above,135,0.00375,0.8442747151,0.837037037,0.984962406,135,27.02962963,20,0.4208106642,0.8444444444
992809,0.7,score_at_or_above,109,0.003027777778,0.9046372718,0.9174311927,0.9816513761,109,30.11009174,24,0.4687750894,0.9266055046
992809,0.9,score_at_or_above,71,0.001972222222,0.9530178668,0.9577464789,1,71,30.48591549,24,0.4746170464,1
992810,,all,36000,,0.02673664865,0.03252777778,0.5,36000,0,0,0,0.031
992810,0.3,score_at_or_above,456,0.01266666667,0.6027996062,0.576754386,0.9406392694,456,19.02741228,7,0.2968081587,0.5942982456
992810,0.5,score_at_or_above,232,0.006444444444,0.8244426925,0.8275862069,0.9692982456,232,26.93318966,20,0.4200995451,0.8448275862
992810,0.7,score_at_or_above,178,0.004944444444,0.9001413319,0.9157303371,0.988700565,178,31.29775281,21,0.4881669029,0.9438202247
992810,0.9,score_at_or_above,107,0.002972222222,0.9565059528,0.9813084112,1,107,34.38317757,28,0.5363044693,0.9906542056
992811,,all,36000,,0.06029059054,0.1129166667,0.5,36000,0,0,0,0.1073055556
992811,0.3,score_at_or_above,1682,0.04672222222,0.5685270562,0.5921521998,0.8531510107,1682,21.04072533,10,0.3280689441,0.5743162901
992811,0.5,score_at_or_above,825,0.02291666667,0.7649945037,0.7612121212,0.9236363636,825,30.90181818,26,0.4818428174,0.7478787879
992811,0.7,score_at_or_above,501,0.01391666667,0.8786689087,0.8902195609,0.9580838323,501,38.83233533,33,0.6054942118,0.876247505
992811,0.9,score_at_or_above,256,0.007111111111,0.9538548695,0.9609375,0.99609375,256,44.51953125,36.5,0.6941375448,0.9765625
992812,,all,36000,,0.07957195374,0.1419166667,0.5,36000,0,0,0,0.1318333333
992812,0.3,score_at_or_above,2512,0.06977777778,0.588493766,0.6405254777,0.8232484076,2512,25.72770701,14,0.3985403165,0.6007165605
992812,0.5,score_at_or_above,1313,0.03647222222,0.7756440432,0.8118811881,0.8827113481,1313,36.8126428,29,0.5701560692,0.761614623
992812,0.7,score_at_or_above,831,0.02308333333,0.8837363489,0.9217809868,0.9482551143,831,46.96630566,36,0.727434444,0.8796630566
992812,0.9,score_at_or_above,439,0.01219444444,0.9522052473,0.9886104784,0.9840546697,439,47.85079727,39,0.7417481723,0.9453302961
992813,,all,36000,,0.08208108974,0.1341111111,0.5,36000,0,0,0,0.1241944444
992813,0.3,score_at_or_above,2518,0.06994444444,0.571689831,0.6179507546,0.839158062,2518,22.97100874,11,0.3545275694,0.5841938046
992813,0.5,score_at_or_above,1224,0.034,0.7720038492,0.8178104575,0.908496732,1224,34.1503268,26,0.5270456115,0.7736928105
992813,0.7,score_at_or_above,754,0.02094444444,0.8873492521,0.9323607427,0.9562334218,754,42.37267905,33,0.6539425788,0.8925729443
992813,0.9,score_at_or_above,422,0.01172222222,0.9514014054,0.9857819905,0.9928909953,422,45.39218009,35,0.700589415,0.9526066351
992814,,all,36000,,0.06749019617,0.09216666667,0.5,36000,0,0,0,0.08836111111
992814,0.3,score_at_or_above,1783,0.04952777778,0.5638036995,0.5574873808,0.8833426809,1783,19.93578239,5,0.3080030457,0.5451486259
992814,0.5,score_at_or_above,818,0.02272222222,0.7837022258,0.782396088,0.9437652812,818,29.22127139,22,0.451454971,0.7652811736
992814,0.7,score_at_or_above,509,0.01413888889,0.9067288945,0.9174852652,0.9803536346,509,37.39096267,30,0.5776721941,0.9096267191
992814,0.9,score_at_or_above,338,0.009388888889,0.9566451091,0.9881656805,0.9970414201,338,40.14201183,32,0.6201670624,0.9822485207
992815,,all,36000,,0.04636440572,0.05727777778,0.5,36000,0,0,0,0.05569444444
992815,0.3,score_at_or_above,1014,0.02816666667,0.5699330026,0.557199211,0.8885601578,1014,19.57741617,6,0.3020852427,0.5690335306
992815,0.5,score_at_or_above,469,0.01302777778,0.7942130958,0.7547974414,0.933901919,469,30.05117271,22,0.4636910504,0.7910447761
992815,0.7,score_at_or_above,302,0.008388888889,0.9094270139,0.8973509934,0.9900662252,302,35.9486755,29,0.5546791953,0.9370860927
992815,0.9,score_at_or_above,204,0.005666666667,0.9559677498,0.9460784314,0.9950980392,204,39.06862745,30.5,0.6028025971,0.9950980392
992816,,all,36000,,0.0410772334,0.04641666667,0.5,36000,0,0,0,0.04513888889
992816,0.3,score_at_or_above,770,0.02138888889,0.5734400301,0.5285714286,0.8842652796,770,16.68181818,2,0.2575434144,0.525974026
992816,0.5,score_at_or_above,354,0.009833333333,0.803887114,0.7768361582,0.9237288136,354,27.65677966,20,0.4269756658,0.7740112994
992816,0.7,score_at_or_above,232,0.006444444444,0.9189903432,0.9181034483,0.9784482759,232,34.14008621,25.5,0.5270945344,0.9267241379
992816,0.9,score_at_or_above,171,0.00475,0.9580788815,0.9707602339,1,171,35.09064327,28,0.5417973942,0.9824561404
992817,,all,36000,,0.03414767519,0.03958333333,0.5,36000,0,0,0,0.03838888889
992817,0.3,score_at_or_above,599,0.01663888889,0.5981903673,0.5525876461,0.9165275459,599,18.84557596,7,0.2910034003,0.5626043406
992817,0.5,score_at_or_above,305,0.008472222222,0.8036899074,0.7508196721,0.9442622951,305,27.47704918,19,0.4242851114,0.7836065574
992817,0.7,score_at_or_above,202,0.005611111111,0.9128435709,0.8663366337,0.9653465347,202,34.23514851,30,0.5286624783,0.9059405941
992817,0.9,score_at_or_above,144,0.004,0.9595060319,0.9375,0.9861111111,144,38.72222222,35,0.5979311142,0.9861111111
992818,,all,36000,,0.02557461867,0.02388888889,0.5,36000,0,0,0,0.02372222222
992818,0.3,score_at_or_above,407,0.01130555556,0.587982215,0.5577395577,0.8733850129,407,15.67321867,4,0.2420082322,0.5626535627
992818,0.5,score_at_or_above,202,0.005611111111,0.7959320295,0.801980198,0.9444444444,202,24.83168317,18,0.383426751,0.8217821782
992818,0.7,score_at_or_above,134,0.003722222222,0.8987212017,0.9104477612,0.9770992366,134,31.3358209,25.5,0.4838539472,0.9253731343
992818,0.9,score_at_or_above,81,0.00225,0.9621599522,0.975308642,1,81,36.19753086,31,0.5589150451,0.987654321
992819,,all,36000,,0.02420814749,0.02627777778,0.5,36000,0,0,0,0.0245
