threshold,population,statistic,blocks,block_mean,block_median,block_worst,block_best,frac_blocks_positive,block_bootstrap_p05,block_bootstrap_p95
0.3,score_at_or_above,markout_500ms_mean_ticks,120,16.75628059,18.88462254,8.74522003,27.65460526,1,15.64888262,17.97823039
0.5,score_at_or_above,markout_500ms_mean_ticks,120,28.14240864,30.64144706,17.5888216,48.10183299,1,26.6704158,29.92942491
0.7,score_at_or_above,markout_500ms_mean_ticks,120,43.68666511,42.40458128,20.20865201,61.41167665,1,42.10140483,45.51891428
0.9,score_at_or_above,markout_500ms_mean_ticks,120,56.40374067,49.45414401,23.33333333,75.9793341,1,53.62308502,59.43572663
0.3,score_at_or_above,markout_500ms_mean_bps,120,0.2402281475,0.2786969047,0.1234139031,0.4303492319,1,0.2250396809,0.2582591862
0.5,score_at_or_above,markout_500ms_mean_bps,120,0.4037782513,0.4605319203,0.2504309021,0.7412770504,1,0.3824672738,0.4304233723
0.7,score_at_or_above,markout_500ms_mean_bps,120,0.628202696,0.617694843,0.2932954257,0.9463484356,1,0.6046873957,0.6552736031
0.9,score_at_or_above,markout_500ms_mean_bps,120,0.8106235321,0.7279822254,0.3631549828,1.110935764,1,0.7680566935,0.8578324189
0.3,score_at_or_above,p_next_move_follows_sweep,120,0.722453503,0.8404692273,0.5775755068,1,1,0.7006995095,0.7457765126
0.5,score_at_or_above,p_next_move_follows_sweep,120,0.792997177,0.9134434124,0.6620668739,1,1,0.7689446758,0.8217761077
0.7,score_at_or_above,p_next_move_follows_sweep,120,0.8798163463,0.9665213782,0.7194196052,1,1,0.8554309313,0.9078120393
0.9,score_at_or_above,p_next_move_follows_sweep,120,0.9480993686,0.9926470588,0.7915951973,1,1,0.9313456021,0.96461415
