grouping,threshold,population,horizon_ms,observations,required_break_even_ticks,required_break_even_usd_per_btc,required_break_even_bps_one_way,required_break_even_bps_round_trip,magnitude_band,decile
threshold,,all,100,4285294,0,0,0,0,<1bp,
threshold,0.3,score_at_or_above,100,433209,7.447181262,0.7447181262,0.1069795205,0.05348976026,<1bp,
threshold,0.5,score_at_or_above,100,205444,16.08404237,1.608404237,0.2309395251,0.1154697626,<1bp,
threshold,0.7,score_at_or_above,100,102708,29.7630613,2.97630613,0.4275948789,0.2137974395,<1bp,
threshold,0.9,score_at_or_above,100,62716,40.75146693,4.075146693,0.5848247035,0.2924123517,<1bp,
decile,,,100,428530,-0.2366718783,-0.02366718783,-0.003661192918,-0.001830596459,<1bp,0
decile,,,100,428529,-0.2766312198,-0.02766312198,-0.004206877472,-0.002103438736,<1bp,1
decile,,,100,428529,-0.4185782493,-0.04185782493,-0.006226203596,-0.003113101798,<1bp,2
decile,,,100,428530,-0.6893010741,-0.06893010741,-0.01009454968,-0.00504727484,<1bp,3
decile,,,100,428529,-1.072424841,-0.1072424841,-0.01542879761,-0.007714398806,<1bp,4
decile,,,100,428529,-1.346618315,-0.1346618315,-0.01916116066,-0.00958058033,<1bp,5
decile,,,100,428530,-1.372647464,-0.1372647464,-0.01943917785,-0.009719588925,<1bp,6
decile,,,100,428529,-1.216506273,-0.1216506273,-0.01719982696,-0.00859991348,<1bp,7
decile,,,100,428529,-0.9012736624,-0.09012736624,-0.01276072832,-0.006380364158,<1bp,8
decile,,,100,428530,7.5306362,0.75306362,0.1081782764,0.05408913822,<1bp,9
threshold,,all,250,4285294,0,0,0,0,<1bp,
threshold,0.3,score_at_or_above,250,433209,12.38078706,1.238078706,0.1776516591,0.08882582956,<1bp,
threshold,0.5,score_at_or_above,250,205444,23.29960963,2.329960963,0.3344545145,0.1672272573,<1bp,
threshold,0.7,score_at_or_above,250,102708,38.93646551,3.893646551,0.5598273379,0.279913669,<1bp,
threshold,0.9,score_at_or_above,250,62716,51.59616366,5.159616366,0.7412543299,0.370627165,<1bp,
decile,,,250,428530,-0.7770611159,-0.07770611159,-0.01201885322,-0.006009426608,<1bp,0
decile,,,250,428529,-0.7131155957,-0.07131155957,-0.0108009515,-0.005400475751,<1bp,1
decile,,,250,428529,-0.9708898156,-0.09708898156,-0.01439350969,-0.007196754846,<1bp,2
