problem,model,bucket,observations,predicted,realised
next_move_matches_sweep_direction__obi,linear,0,34465,0.1783807576,0.1543014653
next_move_matches_sweep_direction__obi,linear,1,34465,0.2209296077,0.2598868417
next_move_matches_sweep_direction__obi,linear,2,34465,0.2859653234,0.341796025
next_move_matches_sweep_direction__obi,linear,3,34464,0.3682800829,0.4117920149
next_move_matches_sweep_direction__obi,linear,4,34465,0.4567271173,0.479007689
next_move_matches_sweep_direction__obi,linear,5,34465,0.5432729125,0.520992311
next_move_matches_sweep_direction__obi,linear,6,34464,0.6317198873,0.5882079851
next_move_matches_sweep_direction__obi,linear,7,34465,0.7140346766,0.658203975
next_move_matches_sweep_direction__obi,linear,8,34465,0.779070437,0.7401131583
next_move_matches_sweep_direction__obi,linear,9,34465,0.8216192722,0.8456985347
next_move_matches_sweep_direction__obi,lightgbm,0,34465,0.1262352723,0.1628028435
next_move_matches_sweep_direction__obi,lightgbm,1,34465,0.2237119553,0.2590163934
next_move_matches_sweep_direction__obi,lightgbm,2,34465,0.3125999719,0.3500942986
next_move_matches_sweep_direction__obi,lightgbm,3,34464,0.3900563092,0.411908078
next_move_matches_sweep_direction__obi,lightgbm,4,34468,0.4628383934,0.4712777069
next_move_matches_sweep_direction__obi,lightgbm,5,34462,0.5373875725,0.5291335384
next_move_matches_sweep_direction__obi,lightgbm,6,34478,0.6096211821,0.5876500957
next_move_matches_sweep_direction__obi,lightgbm,7,34460,0.6878594606,0.6515670342
next_move_matches_sweep_direction__obi,lightgbm,8,34458,0.7761084238,0.7406407801
next_move_matches_sweep_direction__obi,lightgbm,9,34463,0.8733845492,0.8359690102
next_move_matches_sweep_direction__sweep_only,linear,0,34465,0.4327935576,0.2695778326
next_move_matches_sweep_direction__sweep_only,linear,1,34465,0.4418938756,0.396460177
next_move_matches_sweep_direction__sweep_only,linear,2,34465,0.452286154,0.3839837516
next_move_matches_sweep_direction__sweep_only,linear,3,34464,0.4640387893,0.4178272981
next_move_matches_sweep_direction__sweep_only,linear,4,34465,0.4802902937,0.4590454084
next_move_matches_sweep_direction__sweep_only,linear,5,34465,0.5049418211,0.5051211374
next_move_matches_sweep_direction__sweep_only,linear,6,34464,0.5431935787,0.5613103528
next_move_matches_sweep_direction__sweep_only,linear,7,34465,0.6046625376,0.6139852024
next_move_matches_sweep_direction__sweep_only,linear,8,34465,0.7138735056,0.6533294647
next_move_matches_sweep_direction__sweep_only,linear,9,34465,0.9083837271,0.7393587698
next_move_matches_sweep_direction__sweep_only,lightgbm,0,34662,0.2993685632,0.2605735387
next_move_matches_sweep_direction__sweep_only,lightgbm,1,34396,0.4442168341,0.3711187347
next_move_matches_sweep_direction__sweep_only,lightgbm,2,34843,0.5070884708,0.3826593577
next_move_matches_sweep_direction__sweep_only,lightgbm,3,34305,0.5467390971,0.4350386241
next_move_matches_sweep_direction__sweep_only,lightgbm,4,34188,0.5834660482,0.4687317187
next_move_matches_sweep_direction__sweep_only,lightgbm,5,34806,0.6177387072,0.5218065851
next_move_matches_sweep_direction__sweep_only,lightgbm,6,34265,0.6491035842,0.57460966
next_move_matches_sweep_direction__sweep_only,lightgbm,7,34583,0.6770232487,0.6210855044
next_move_matches_sweep_direction__sweep_only,lightgbm,8,34627,0.7267385041,0.6396453634
next_move_matches_sweep_direction__sweep_only,lightgbm,9,33973,0.8315516513,0.7289906691
next_move_matches_sweep_direction__book_flow,linear,0,34465,0.1282983422,0.1517771652
next_move_matches_sweep_direction__book_flow,linear,1,34465,0.2293114513,0.2546061222
