score_band,horizon_ms,population,opportunities,share_of_opportunities,realised_sweep_rate,markout_observed,markout_mean_ticks,markout_median_ticks,markout_std_ticks,markout_p5_ticks,markout_p10_ticks,markout_p25_ticks,markout_p50_ticks,markout_p75_ticks,markout_p90_ticks,markout_p95_ticks,markout_frac_favourable,markout_frac_ge_1t,markout_frac_ge_5t,markout_frac_ge_10t,markout_frac_ge_25t,markout_frac_ge_50t,markout_mean_bps,markout_median_bps,markout_mean_usd_per_btc
<0.30,100,unconditional,3852085,1,0.05619014192,3852076,-0.8375168351,0,9.643052023,-0,0,0,0,0,0,0,0.006785951264,0.006777384455,0.005863591476,0.005340756517,0.003775366841,0.001580446492,-0.012031015,0,-0.08375168351
<0.30,100,sweep_occurred,216446,0.05618931046,0.05619014192,216446,3.094755736,0,18.29937985,0,0,0,0,0,7,34,0.1193184443,0.1192214224,0.1039982259,0.09471646508,0.06695896436,0.02796078468,0.04492555777,0,0.3094755736
<0.30,100,sweep_did_not_occur,3635582,0.9437958924,0.05619014192,3635582,-1.071637498,0,8.809866926,0,0,0,0,0,0,0,8.60935058e-05,8.279279631e-05,2.090449342e-05,1.95291978e-05,1.37529562e-05,9.902128463e-06,-0.01542210887,0,-0.1071637498
0.30-0.50,100,unconditional,227765,1,0.3512363675,227764,-0.3433005216,0,21.95336652,-15,0,-0,-0,0,-0,18,0.07826961241,0.07813789712,0.06595423333,0.05994801637,0.04187228886,0.01789132611,-0.004832878214,0,-0.03433005216
0.30-0.50,100,sweep_occurred,79999,0.3512348254,0.3512363675,79999,5.27042838,0,24.90000855,0,0,0,0,-0,30,49,0.2169402118,0.2168277103,0.1840023,0.1672270903,0.1165139564,0.04901311266,0.07543628711,0,0.527042838
0.30-0.50,100,sweep_did_not_occur,147765,0.6487607841,0.3512363675,147765,-3.38253646,0,19.51693029,-22,0,0,0,0,0,0,0.003194261158,0.003052143606,0.002043785741,0.001867830677,0.00146178053,0.001042195378,-0.04829007685,0,-0.338253646
0.50-0.70,100,unconditional,102736,1,0.5330750662,102736,2.408751557,0,44.14154428,-31,0,0,0,0,25,47,0.1900696932,0.1896803457,0.1593501791,0.1440682915,0.1015126149,0.04605980377,0.03433776839,0,0.2408751557
0.50-0.70,100,sweep_occurred,54766,0.5330750662,0.5330750662,54766,8.867563817,0,33.0742096,-12,-0,0,0,11,43,63,0.340612789,0.3402841179,0.2859803528,0.2581893876,0.1803491217,0.08001314684,0.1265295688,0,0.8867563817
0.50-0.70,100,sweep_did_not_occur,47970,0.4669249338,0.5330750662,47970,-4.965092766,0,53.12399258,-45,-2,0,0,0,0,0,0.0181988743,0.01774025433,0.01478007088,0.01377944549,0.01150719199,0.007296226808,-0.07091501756,0,-0.4965092766
0.70-0.90,100,unconditional,39992,1,0.7551260252,39992,12.53089368,0,76.01818104,-48.5,-3,0,0,28,61,86,0.4861222244,0.4850220044,0.4149329866,0.3699489898,0.2695789158,0.1353520704,0.181024923,0,1.253089368
0.70-0.90,100,sweep_occurred,30199,0.7551260252,0.7551260252,30199,18.85492897,6,63.28369874,-35,0,0,6,36,67.5,92,0.6130335442,0.612536839,0.5247855889,0.4670353323,0.3385542568,0.1664955793,0.2720036937,0.09291039489,1.885492897
0.70-0.90,100,sweep_did_not_occur,9793,0.2448739748,0.7551260252,9793,-6.970744409,0,103.6647803,-75.4,-40,0,0,0,0,34,0.09476156438,0.0918002655,0.07617686102,0.07056060451,0.05687736138,0.03931379557,-0.0995293397,0,-0.6970744409
>=0.90,100,unconditional,62716,1,0.9720804898,62716,40.75146693,33,66.61586703,0,4,16,33,57,89,115,0.9241820269,0.924022578,0.896980037,0.8366126666,0.6219146629,0.3115632375,0.5848247035,0.4800617976,4.075146693
>=0.90,100,sweep_occurred,60965,0.9720804898,0.9720804898,60965,41.7431149,34,66.52989968,0,5,16.5,34,58,90,116,0.9345034036,0.9343885836,0.9076191257,0.8471253998,0.63091938,0.3173296154,0.5989984645,0.4883987846,4.17431149
>=0.90,100,sweep_did_not_occur,1751,0.02791951017,0.9720804898,1751,6.225014278,7,60.09942403,-83.5,-47,0,7,30,52,71.5,0.5648201028,0.5631067961,0.5265562536,0.4705882353,0.3083952027,0.1107938321,0.09133336183,0.1008846866,0.6225014278
<0.30,250,unconditional,3852085,1,0.05619014192,3852052,-1.392363343,0,18.12442809,-4,0,-0,0,0,-0,0,0.02447293027,0.02446618062,0.02234289672,0.020901587,0.01622589726,0.008479117104,-0.019978993,0,-0.1392363343
<0.30,250,sweep_occurred,216446,0.05618931046,0.05619014192,216446,18.60450875,0,39.14086667,0,-0,0,0,31,65,90,0.431414764,0.4313547028,0.3968426305,0.3712427118,0.2882243146,0.1504948116,0.2690717091,0,1.860450875
<0.30,250,sweep_did_not_occur,3635582,0.9437958924,0.05619014192,3635582,-2.582895256,0,15.2191225,-6,0,0,0,0,-0,0,0.0002456277977,0.0002420520291,4.70351102e-05,4.400945983e-05,3.245697663e-05,2.420520291e-05,-0.03718788768,0,-0.2582895256
0.30-0.50,250,unconditional,227765,1,0.3512363675,227764,2.531967299,0,44.36438474,-50,-3,0,0,0,36,62,0.1995047505,0.1994037688,0.1796333046,0.1672432869,0.1287824239,0.06879928347,0.03621488322,0,0.2531967299
0.30-0.50,250,sweep_occurred,79999,0.3512348254,0.3512363675,79999,22.60246378,5,46.41354679,-8,0,0,5,40,74,101,0.5578069726,0.5577319716,0.5049188115,0.4700183752,0.3614545182,0.1918148977,0.3227436374,0.07280431293,2.260246378
0.30-0.50,250,sweep_did_not_occur,147765,0.6487607841,0.3512363675,147765,-8.334067607,0,39.13238464,-64,-24,0,0,0,-0,-0,0.005522282002,0.00540723446,0.003525868778,0.003322843705,0.002815281021,0.002199438297,-0.1189099014,0,-0.8334067607
0.50-0.70,250,unconditional,102736,1,0.5330750662,102736,7.667015457,0,73.00955825,-69.5,-25,0,0,20,59,88,0.3552406167,0.3550167419,0.318087136,0.2950377667,0.2280700047,0.1274139542,0.1091431149,0,0.7667015457
0.50-0.70,250,sweep_occurred,54766,0.5330750662,0.5330750662,54766,25.43152686,14,57.01527114,-35,0,0,14,46,82,113,0.645838659,0.6456743235,0.5801044444,0.5376328379,0.4138516598,0.2283168389,0.3624384723,0.2074766279,2.543152686
0.50-0.70,250,sweep_did_not_occur,47970,0.4669249338,0.5330750662,47970,-12.61422764,0,83.26562665,-96.5,-54,0,0,0,0,0,0.02347300396,0.02318115489,0.01894934334,0.01807379612,0.01596831353,0.01221596831,-0.1800370715,0,-1.261422764
0.70-0.90,250,unconditional,39992,1,0.7551260252,39992,19.08335417,9,148.9091778,-98,-44,-0,9,47.5,95,135,0.5949689938,0.5941188238,0.5353320664,0.4936987397,0.3907781556,0.2397729546,0.2753110539,0.1245317953,1.908335417
