grouping,threshold,population,horizon_ms,observations,gross_directional_bps,gross_directional_ticks,one_way_hurdle_bps,net_of_one_way_hurdle_bps,net_of_round_trip_hurdle_bps,clears_one_way,clears_round_trip,decile
threshold,,all,100,4285294,0,0,1,-1,-2,False,False,
threshold,,all,100,4285294,0,0,2,-2,-4,False,False,
threshold,,all,100,4285294,0,0,3,-3,-6,False,False,
threshold,,all,100,4285294,0,0,5,-5,-10,False,False,
threshold,,all,100,4285294,0,0,7.5,-7.5,-15,False,False,
threshold,,all,100,4285294,0,0,10,-10,-20,False,False,
threshold,0.3,score_at_or_above,100,433209,0.1069795205,7.447181262,1,-0.8930204795,-1.893020479,False,False,
threshold,0.3,score_at_or_above,100,433209,0.1069795205,7.447181262,2,-1.893020479,-3.893020479,False,False,
threshold,0.3,score_at_or_above,100,433209,0.1069795205,7.447181262,3,-2.893020479,-5.893020479,False,False,
threshold,0.3,score_at_or_above,100,433209,0.1069795205,7.447181262,5,-4.893020479,-9.893020479,False,False,
threshold,0.3,score_at_or_above,100,433209,0.1069795205,7.447181262,7.5,-7.393020479,-14.89302048,False,False,
threshold,0.3,score_at_or_above,100,433209,0.1069795205,7.447181262,10,-9.893020479,-19.89302048,False,False,
threshold,0.5,score_at_or_above,100,205444,0.2309395251,16.08404237,1,-0.7690604749,-1.769060475,False,False,
threshold,0.5,score_at_or_above,100,205444,0.2309395251,16.08404237,2,-1.769060475,-3.769060475,False,False,
threshold,0.5,score_at_or_above,100,205444,0.2309395251,16.08404237,3,-2.769060475,-5.769060475,False,False,
threshold,0.5,score_at_or_above,100,205444,0.2309395251,16.08404237,5,-4.769060475,-9.769060475,False,False,
threshold,0.5,score_at_or_above,100,205444,0.2309395251,16.08404237,7.5,-7.269060475,-14.76906047,False,False,
threshold,0.5,score_at_or_above,100,205444,0.2309395251,16.08404237,10,-9.769060475,-19.76906047,False,False,
threshold,0.7,score_at_or_above,100,102708,0.4275948789,29.7630613,1,-0.5724051211,-1.572405121,False,False,
threshold,0.7,score_at_or_above,100,102708,0.4275948789,29.7630613,2,-1.572405121,-3.572405121,False,False,
threshold,0.7,score_at_or_above,100,102708,0.4275948789,29.7630613,3,-2.572405121,-5.572405121,False,False,
threshold,0.7,score_at_or_above,100,102708,0.4275948789,29.7630613,5,-4.572405121,-9.572405121,False,False,
threshold,0.7,score_at_or_above,100,102708,0.4275948789,29.7630613,7.5,-7.072405121,-14.57240512,False,False,
threshold,0.7,score_at_or_above,100,102708,0.4275948789,29.7630613,10,-9.572405121,-19.57240512,False,False,
threshold,0.9,score_at_or_above,100,62716,0.5848247035,40.75146693,1,-0.4151752965,-1.415175297,False,False,
threshold,0.9,score_at_or_above,100,62716,0.5848247035,40.75146693,2,-1.415175297,-3.415175297,False,False,
threshold,0.9,score_at_or_above,100,62716,0.5848247035,40.75146693,3,-2.415175297,-5.415175297,False,False,
threshold,0.9,score_at_or_above,100,62716,0.5848247035,40.75146693,5,-4.415175297,-9.415175297,False,False,
threshold,0.9,score_at_or_above,100,62716,0.5848247035,40.75146693,7.5,-6.915175297,-14.4151753,False,False,
threshold,0.9,score_at_or_above,100,62716,0.5848247035,40.75146693,10,-9.415175297,-19.4151753,False,False,
decile,,,100,428530,-0.003661192918,-0.2366718783,1,-1.003661193,-2.003661193,False,False,0
decile,,,100,428530,-0.003661192918,-0.2366718783,2,-2.003661193,-4.003661193,False,False,0
decile,,,100,428530,-0.003661192918,-0.2366718783,3,-3.003661193,-6.003661193,False,False,0
decile,,,100,428530,-0.003661192918,-0.2366718783,5,-5.003661193,-10.00366119,False,False,0
decile,,,100,428530,-0.003661192918,-0.2366718783,7.5,-7.503661193,-15.00366119,False,False,0
decile,,,100,428530,-0.003661192918,-0.2366718783,10,-10.00366119,-20.00366119,False,False,0
decile,,,100,428529,-0.004206877472,-0.2766312198,1,-1.004206877,-2.004206877,False,False,1
decile,,,100,428529,-0.004206877472,-0.2766312198,2,-2.004206877,-4.004206877,False,False,1
decile,,,100,428529,-0.004206877472,-0.2766312198,3,-3.004206877,-6.004206877,False,False,1
decile,,,100,428529,-0.004206877472,-0.2766312198,5,-5.004206877,-10.00420688,False,False,1
decile,,,100,428529,-0.004206877472,-0.2766312198,7.5,-7.504206877,-15.00420688,False,False,1
decile,,,100,428529,-0.004206877472,-0.2766312198,10,-10.00420688,-20.00420688,False,False,1
decile,,,100,428529,-0.006226203596,-0.4185782493,1,-1.006226204,-2.006226204,False,False,2
decile,,,100,428529,-0.006226203596,-0.4185782493,2,-2.006226204,-4.006226204,False,False,2
decile,,,100,428529,-0.006226203596,-0.4185782493,3,-3.006226204,-6.006226204,False,False,2
decile,,,100,428529,-0.006226203596,-0.4185782493,5,-5.006226204,-10.0062262,False,False,2
decile,,,100,428529,-0.006226203596,-0.4185782493,7.5,-7.506226204,-15.0062262,False,False,2
decile,,,100,428529,-0.006226203596,-0.4185782493,10,-10.0062262,-20.0062262,False,False,2
decile,,,100,428530,-0.01009454968,-0.6893010741,1,-1.01009455,-2.01009455,False,False,3
decile,,,100,428530,-0.01009454968,-0.6893010741,2,-2.01009455,-4.01009455,False,False,3
decile,,,100,428530,-0.01009454968,-0.6893010741,3,-3.01009455,-6.01009455,False,False,3
decile,,,100,428530,-0.01009454968,-0.6893010741,5,-5.01009455,-10.01009455,False,False,3
decile,,,100,428530,-0.01009454968,-0.6893010741,7.5,-7.51009455,-15.01009455,False,False,3
decile,,,100,428530,-0.01009454968,-0.6893010741,10,-10.01009455,-20.01009455,False,False,3
