utc_day,threshold,population,observations,share_of_opportunities,mean_sweep_p,realised_sweep_rate_500ms,p_next_move_follows_sweep,markout_500ms_observed,markout_500ms_mean_ticks,markout_500ms_median_ticks,markout_500ms_mean_bps,markout_500ms_frac_favourable
2026-08-18,,all,1086140,,0.0288821333,0.03470270867,0.5,1086140,0,0,0,0.03303073269
2026-08-18,0.3,score_at_or_above,17233,0.01586627875,0.5854140536,0.5733186329,0.8814810441,17233,20.23254802,7,0.3133309136,0.5614808797
2026-08-18,0.5,score_at_or_above,8561,0.007882040989,0.7943594927,0.7851886462,0.9322573044,8561,30.55519215,22,0.4731831377,0.7761943698
2026-08-18,0.7,score_at_or_above,5673,0.00522308358,0.9000972045,0.9104530231,0.9704424779,5673,37.85845232,30,0.5863089956,0.9081614666
2026-08-18,0.9,score_at_or_above,3540,0.003259248347,0.9556766146,0.9694915254,0.9943470888,3540,40.68742938,32,0.6301047571,0.9765536723
2026-08-19,,all,1727948,,0.09206376348,0.09687442489,0.5,1727938,0,0,0,0.08667961466
2026-08-19,0.3,score_at_or_above,153484,0.08882443222,0.5720652373,0.5462914701,0.7065033701,153484,16.39921751,0,0.2423172396,0.4799653384
2026-08-19,0.5,score_at_or_above,77950,0.04511131122,0.751861104,0.7204233483,0.7705105329,77950,28.26711995,21,0.4170902614,0.6265041693
2026-08-19,0.7,score_at_or_above,42233,0.02444112902,0.891306528,0.8794781332,0.8521720593,42233,44.48623115,37,0.655916965,0.7604953472
2026-08-19,0.9,score_at_or_above,24604,0.01423885441,0.9590358148,0.9714274102,0.9323659716,24604,60.6353032,46,0.8936003672,0.8625020322
2026-08-20,,all,1471206,,0.1711747635,0.161294708,0.5,1471158,0,0,0,0.1452393285
2026-08-20,0.3,score_at_or_above,262492,0.1784196095,0.5419257147,0.5036439345,0.7210813324,262491,16.73683479,0,0.2342072121,0.4483506101
2026-08-20,0.5,score_at_or_above,118933,0.08084048053,0.7294795757,0.6983007239,0.7976136421,118933,27.8869952,18,0.3900575311,0.6150521722
2026-08-20,0.7,score_at_or_above,54802,0.03724971214,0.9001713204,0.8915003102,0.8916970803,54802,43.67380753,37,0.6111815333,0.7864129046
2026-08-20,0.9,score_at_or_above,34572,0.0234990885,0.9655611607,0.9728103668,0.9545586023,34572,55.00151857,46,0.7700552807,0.8737417563
