problem,family,task,model,target,feature_set,n,positives,base_rate,roc_auc,pr_auc,pr_auc_lift,log_loss,brier,accuracy,primary_metric,blocks,block_mean,block_median,block_worst,block_best,block_frac_expected_sign,block_bootstrap_p05,block_bootstrap_p95
next_move_matches_sweep_direction__obi,next_move_matches_sweep_direction,classification,naive,next_move_matches_sweep_direction,obi,344648,172324,0.5,0.5,0.5,1,0.6931471806,0.25,0.5,roc_auc,108,0.5,0.5,0.5,0.5,0,0.5,0.5
next_move_matches_sweep_direction__obi,next_move_matches_sweep_direction,classification,linear,next_move_matches_sweep_direction,obi,344648,172324,0.5,0.7370903217,0.7272061665,1.454412333,0.6058625717,0.2091218577,0.6706436712,roc_auc,108,0.7370535733,0.7368223765,0.6473578704,0.8737780809,1,0.7319238433,0.7424678018
next_move_matches_sweep_direction__obi,next_move_matches_sweep_direction,classification,lightgbm,next_move_matches_sweep_direction,obi,344648,172324,0.5,0.7332291542,0.7240761081,1.448152216,0.6072903819,0.2097222979,0.6689462872,roc_auc,108,0.7330515192,0.7324008488,0.6413407407,0.8779062558,1,0.7279447838,0.7384154589
next_move_matches_sweep_direction__sweep_only,next_move_matches_sweep_direction,classification,naive,next_move_matches_sweep_direction,sweep_only,344648,172324,0.5,0.5,0.5,1,0.6931471806,0.25,0.5,roc_auc,108,0.5,0.5,0.5,0.5,0,0.5,0.5
next_move_matches_sweep_direction__sweep_only,next_move_matches_sweep_direction,classification,linear,next_move_matches_sweep_direction,sweep_only,344648,172324,0.5,0.6549166328,0.6475196246,1.295039249,0.6876248017,0.238447548,0.6147808779,roc_auc,108,0.6972992903,0.6967964506,0.6195943545,0.8239368701,1,0.6921596208,0.7030415071
next_move_matches_sweep_direction__sweep_only,next_move_matches_sweep_direction,classification,lightgbm,next_move_matches_sweep_direction,sweep_only,344648,172324,0.5,0.6573562653,0.649699408,1.299398816,0.6703657391,0.2387222412,0.5843730415,roc_auc,108,0.6940319531,0.6925128631,0.6183898325,0.8198353897,1,0.688994489,0.6997486605
next_move_matches_sweep_direction__book_flow,next_move_matches_sweep_direction,classification,naive,next_move_matches_sweep_direction,book_flow,344648,172324,0.5,0.5,0.5,1,0.6931471806,0.25,0.5,roc_auc,108,0.5,0.5,0.5,0.5,0,0.5,0.5
next_move_matches_sweep_direction__book_flow,next_move_matches_sweep_direction,classification,linear,next_move_matches_sweep_direction,book_flow,344648,172324,0.5,0.7404648777,0.7322483962,1.464496792,0.6001377107,0.2066965261,0.6737482881,roc_auc,108,0.7405834784,0.7392625594,0.6505700617,0.8814609296,1,0.7356799549,0.7459020803
next_move_matches_sweep_direction__book_flow,next_move_matches_sweep_direction,classification,lightgbm,next_move_matches_sweep_direction,book_flow,344648,172324,0.5,0.7358412967,0.7289834288,1.457966858,0.6043325489,0.2086416919,0.6702026415,roc_auc,108,0.7353967978,0.738233179,0.6568679012,0.8705845217,1,0.7300511002,0.7406369488
next_move_matches_sweep_direction__book_flow_plus_sweep,next_move_matches_sweep_direction,classification,naive,next_move_matches_sweep_direction,book_flow_plus_sweep,344648,172324,0.5,0.5,0.5,1,0.6931471806,0.25,0.5,roc_auc,108,0.5,0.5,0.5,0.5,0,0.5,0.5
