population,event_class,events,tau_-500ms_observed,tau_-500ms_mean,tau_-500ms_median,tau_-500ms_p10,tau_-500ms_p25,tau_-500ms_p50,tau_-500ms_p75,tau_-500ms_p90,tau_-250ms_observed,tau_-250ms_mean,tau_-250ms_median,tau_-250ms_p10,tau_-250ms_p25,tau_-250ms_p50,tau_-250ms_p75,tau_-250ms_p90,tau_-100ms_observed,tau_-100ms_mean,tau_-100ms_median,tau_-100ms_p10,tau_-100ms_p25,tau_-100ms_p50,tau_-100ms_p75,tau_-100ms_p90,tau_0ms_observed,tau_0ms_mean,tau_0ms_median,tau_0ms_p10,tau_0ms_p25,tau_0ms_p50,tau_0ms_p75,tau_0ms_p90,tau_25ms_observed,tau_25ms_mean,tau_25ms_median,tau_25ms_p10,tau_25ms_p25,tau_25ms_p50,tau_25ms_p75,tau_25ms_p90,tau_50ms_observed,tau_50ms_mean,tau_50ms_median,tau_50ms_p10,tau_50ms_p25,tau_50ms_p50,tau_50ms_p75,tau_50ms_p90,tau_100ms_observed,tau_100ms_mean,tau_100ms_median,tau_100ms_p10,tau_100ms_p25,tau_100ms_p50,tau_100ms_p75,tau_100ms_p90,tau_250ms_observed,tau_250ms_mean,tau_250ms_median,tau_250ms_p10,tau_250ms_p25,tau_250ms_p50,tau_250ms_p75,tau_250ms_p90,tau_500ms_observed,tau_500ms_mean,tau_500ms_median,tau_500ms_p10,tau_500ms_p25,tau_500ms_p50,tau_500ms_p75,tau_500ms_p90,tau_1000ms_observed,tau_1000ms_mean,tau_1000ms_median,tau_1000ms_p10,tau_1000ms_p25,tau_1000ms_p50,tau_1000ms_p75,tau_1000ms_p90,tau_2000ms_observed,tau_2000ms_mean,tau_2000ms_median,tau_2000ms_p10,tau_2000ms_p25,tau_2000ms_p50,tau_2000ms_p75,tau_2000ms_p90,tau_5000ms_observed,tau_5000ms_mean,tau_5000ms_median,tau_5000ms_p10,tau_5000ms_p25,tau_5000ms_p50,tau_5000ms_p75,tau_5000ms_p90,post_event_move_100ms,share_of_move_before_event_100ms,post_event_move_500ms,share_of_move_before_event_500ms,post_event_move_1000ms,share_of_move_before_event_1000ms,post_event_move_5000ms,share_of_move_before_event_5000ms,pre_event_move_500ms,side
all,aggressive_trade_through,2892461,2892397,-15.11406906,0,-119,-50,0,0,69,2892448,-13.18130248,0,-88,-34,0,0,34,2892448,-9.544827772,0,-56,-13,0,0,0,2892461,0,0,0,0,0,0,0,2892461,17.91971888,0,0,0,0,1,68,2892461,36.61947577,6,0,0,6,59,103,2892461,65.31155113,52,0,29,52,87,135,2892461,80.46937055,63,4,33,63,109,179,2892461,84.3602256,66,-9,30,66,121,205,2892425,88.02354685,69,-49,26,69,136,240,2892425,98.1806014,73,-101,15,73,159,294,2892425,104.9134299,77,-203,-18,77,204,403,65.31155113,0.1879260492,84.3602256,0.1519394444,88.02354685,0.1465427422,104.9134299,0.1259217195,15.11406906,
all,consumed_without_trade_through,22638,22638,-75.14488912,-39,-221,-111,-39,-3,0,22638,-63.84678417,-34,-173,-91,-34,-3,-1,22638,-36.43603675,-15,-92,-45.5,-15,-2,-1,22638,0,0,0,0,0,0,0,22638,0.08450393144,0,-0,0,0,0,0,22638,0.3091925082,0,0,0,0,-0,0,22638,2.919405425,0,0,0,-0,-0,0,22638,21.65312748,3,-0,0,3,42,86,22638,25.63607651,10,-35,0,10,55,114,22636,34.10706397,20,-70,-0,20,76,158,22636,40.92717353,28,-123,-0,28,101,216,22635,61.94683013,37,-223,-49,37,152,340,2.919405425,0.9626025516,25.63607651,0.7456258099,34.10706397,0.6878127759,61.94683013,0.5481358723,75.14488912,
all,level_disappearance,148309,148307,-62.38604381,-48,-156,-93,-48,-20,-1,148308,-57.95912897,-44,-131,-81,-44,-20,-3,148308,-42.57773013,-32,-88,-55,-32,-15,-4,148309,0,0,0,0,0,0,0,148309,0.08966077581,0,-0,0,0,0,0,148309,0.200958809,0,0,0,0,0,0,148308,1.735732395,0,0,-0,-0,0,0,148308,14.70556544,0,-0,0,0,28,66,148308,18.43754888,0,-31,-0,-0,39,90,148302,23.87454653,7,-65,0,7,57,125,148301,28.70945577,15,-111,-6,15,80,174,148288,36.2496291,24,-201,-53,24,124,275,1.735732395,0.9729306876,18.43754888,0.7718791226,23.87454653,0.7232276473,36.2496291,0.632489666,62.38604381,
all,price_improvement,148960,148958,62.18864378,48,1,19,48,93,156,148959,57.78418558,44,3,20,44,81,132,148959,42.45749502,32,4,15,32,55,88,148960,0,0,0,0,-0,0,0,148960,-0.08664406552,0,0,-0,-0,0,0,148960,-0.1959821429,0,-0,0,0,0,0,148959,-1.762062044,0,-0,0,0,0,0,148959,-14.63439604,0,-66,-28,0,0,0,148959,-18.31553985,0,-90,-39,0,0,32,148953,-23.71531624,-7,-125,-57,-7,0,66,148952,-28.51246039,-15,-174,-80,-15,6,112,148939,-36.0216498,-24,-275,-124,-24,53,202,-1.762062044,0.9724465583,-18.31553985,0.7724895897,-23.71531624,0.7239322118,-36.0216498,0.6332192025,-62.18864378,
all,stepped_away_with_through_print,125671,125669,-60.08766681,-49,-147,-91,-49,-22,-1,125670,-56.89853585,-45,-126,-80,-45,-23,-6,125670,-43.6840853,-34,-88,-56,-34,-18,-8,125671,0,0,0,-0,0,0,0,125671,0.09058971441,0,0,0,0,0,0,125671,0.1814619125,0,0,-0,0,0,0,125670,1.522507361,0,0,0,0,0,0,125670,13.45404233,0,0,0,0,25,62,125670,17.14081722,0,-30,0,-0,37,85,125666,22.0313808,4,-64,0,4,54,119,125665,26.50868181,13,-109,-8,13,76,167,125653,31.62056218,22,-198,-53,22,119,264,1.522507361,0.975288053,17.14081722,0.7780505802,22.0313808,0.7317141218,31.62056218,0.6552047452,60.08766681,
by_side,aggressive_trade_through,1416379,1416366,-11.58335663,0,-113,-47,-0,-0,70,1416366,-11.00389165,0,-84,-32,-0,-0,32,1416366,-8.675998294,0,-54,-12,-0,-0,-0,1416379,0,0,-0,-0,0,-0,0,1416379,17.32696545,0,-0,-0,0,6,68,1416379,35.54960784,9,-0,-0,9,59,101,1416379,63.36701441,52,5,29,52,85,131,1416379,76.76745313,62,5,32.5,62,106,170,1416379,79.35069886,65,-5,30,65,118,194,1416343,83.52785166,69,-44,26,69,134,232,1416343,89.63833619,71,-97.5,14,71,155,285,1416343,78.40861183,73,-200,-23,73,199,389,63.36701441,0.1545470219,79.35069886,0.1273819425,83.52785166,0.1217875037,78.40861183,0.1287154491,11.58335663,0
by_side,aggressive_trade_through,1476082,1476031,-18.50206093,0,-124,-52,0,0,69,1476082,-15.27062453,0,-91,-36,0,0,37,1476082,-10.3785081,0,-57,-14,0,0,0,1476082,0,0,0,0,0,0,0,1476082,18.48849725,0,0,0,0,0,68.5,1476082,37.64607081,0,0,0,0,59,105,1476082,67.1774373,52,0,28,52,88,140,1476082,84.02155673,63,2,33,63,111,190,1476082,89.16713231,66,-13,30,66,123,217,1476082,92.33729529,70,-55,26,70,139,248,1476082,106.3771498,74,-105.5,15,74,162,305.5,1476082,130.3455628,82,-205,-13,82,210,418,67.1774373,0.2159450197,89.16713231,0.1718417346,92.33729529,0.166926817,130.3455628,0.1243020243,18.50206093,1
by_side,consumed_without_trade_through,11617,11617,-67.77395197,-37,-208,-109,-37,-2,0,11617,-58.18175949,-33,-165,-88,-33,-2,-1,11617,-33.6394508,-15,-87,-44,-15,-1,-1,11617,0,0,-0,0,0,0,0,11617,0.3111388482,0,-0,0,0,0,0,11617,0.3703623999,0,-0,0,0,0,0,11617,2.756434536,0,-0,0,0,0,0,11617,21.09412929,3,-0,0,3,41,85,11617,26.00525093,11,-28,0,11,55,114,11615,32.99164873,21,-65,-0,21,77,159,11615,34.66112785,28,-122,-0,28,102,218,11615,47.87085665,36,-220,-51,36,152,340,2.756434536,0.9609184825,26.00525093,0.722697036,32.99164873,0.6725901647,47.87085665,0.5860526968,67.77395197,0
by_side,consumed_without_trade_through,11021,11021,-82.91443608,-40,-235,-114,-40,-4,-0.5,11021,-69.81816532,-35,-181,-94,-35,-4,-1,11021,-39.38385809,-16,-97,-47,-16,-2,-1,11021,0,0,0,0,0,0,0,11021,-0.1543870792,0,0,0,0,0,0,11021,0.2447146357,0,0,0,0,0,0,11021,3.091189547,0,0,0,0,0,0,11021,22.2423555,4,-3,0,4,43,88,11021,25.24693766,10,-42,0,10,55,115,11021,35.28259686,20,-76.5,0,20,74,157,11021,47.53094093,27,-124,0,27,100,214,11020,76.78280399,38,-229,-46,38,151,340,3.091189547,0.9640582866,25.24693766,0.7665808339,35.28259686,0.7014933795,76.78280399,0.5191976771,82.91443608,1
by_side,level_disappearance,75070,75069,-58.79049941,-47,-152,-91,-47,-19,-1,75069,-55.48775127,-43,-128.5,-79,-43,-19,-3,75069,-41.39070722,-32,-86.5,-54,-32,-14.5,-4,75070,0,0,-0,0,-0,-0,0,75070,0.1748634608,0,-0,0,-0,-0,0,75070,0.2125616092,0,-0,0,-0,-0,0,75070,1.653410151,0,-0,0,-0,-0,0,75070,13.91902891,0,-0,0,-0,27,66,75070,17.31442654,0,-31,0,-0,39,89,75066,21.68748168,7,-66,0,7,57,125,75065,24.59696263,14,-115,-8.5,14,80,175,75065,26.39864118,21,-208,-59,21,122,275,1.653410151,0.9726455459,17.31442654,0.7724926958,21.68748168,0.7305165787,26.39864118,0.6901172967,58.79049941,0
