problem,family,task,model,fold,train_rows,validation_rows,validation_start_utc,target,feature_set,n,positives,base_rate,roc_auc,pr_auc,pr_auc_lift,log_loss,brier,accuracy
next_move_matches_sweep_direction__obi,next_move_matches_sweep_direction,classification,naive,1,33354,42856,2026-08-18T14:52:00.649Z,next_move_matches_sweep_direction,obi,34520,17260,0.5,0.5,0.5,1,0.6931471806,0.25,0.5
next_move_matches_sweep_direction__obi,next_move_matches_sweep_direction,classification,linear,1,33354,42856,2026-08-18T14:52:00.649Z,next_move_matches_sweep_direction,obi,34520,17260,0.5,0.7366229109,0.7297615777,1.459523155,0.6071743197,0.2098512632,0.6725955968
next_move_matches_sweep_direction__obi,next_move_matches_sweep_direction,classification,lightgbm,1,33354,42856,2026-08-18T14:52:00.649Z,next_move_matches_sweep_direction,obi,34520,17260,0.5,0.7285579018,0.7206158597,1.441231719,0.6127357132,0.2120756368,0.6688006952
next_move_matches_sweep_direction__obi,next_move_matches_sweep_direction,classification,naive,2,67874,42856,2026-08-18T20:49:08.333Z,next_move_matches_sweep_direction,obi,31362,15681,0.5,0.5,0.5,1,0.6931471806,0.25,0.5
next_move_matches_sweep_direction__obi,next_move_matches_sweep_direction,classification,linear,2,67874,42856,2026-08-18T20:49:08.333Z,next_move_matches_sweep_direction,obi,31362,15681,0.5,0.7662469545,0.752827687,1.505655374,0.5797485127,0.197161152,0.7040367324
next_move_matches_sweep_direction__obi,next_move_matches_sweep_direction,classification,lightgbm,2,67874,42856,2026-08-18T20:49:08.333Z,next_move_matches_sweep_direction,obi,31362,15681,0.5,0.7573631992,0.7443190755,1.488638151,0.5868474845,0.2004034033,0.6963203877
next_move_matches_sweep_direction__obi,next_move_matches_sweep_direction,classification,naive,3,99236,42850,2026-08-19T02:46:16.016Z,next_move_matches_sweep_direction,obi,31934,15967,0.5,0.5,0.5,1,0.6931471806,0.25,0.5
next_move_matches_sweep_direction__obi,next_move_matches_sweep_direction,classification,linear,3,99236,42850,2026-08-19T02:46:16.016Z,next_move_matches_sweep_direction,obi,31934,15967,0.5,0.7598002447,0.7522512125,1.504502425,0.5856344293,0.2002145351,0.6865409908
next_move_matches_sweep_direction__obi,next_move_matches_sweep_direction,classification,lightgbm,3,99236,42850,2026-08-19T02:46:16.016Z,next_move_matches_sweep_direction,obi,31934,15967,0.5,0.7555065515,0.7468477926,1.493695585,0.5863515437,0.200944279,0.6834095322
next_move_matches_sweep_direction__obi,next_move_matches_sweep_direction,classification,naive,4,131170,42856,2026-08-19T08:43:23.700Z,next_move_matches_sweep_direction,obi,33172,16586,0.5,0.5,0.5,1,0.6931471806,0.25,0.5
next_move_matches_sweep_direction__obi,next_move_matches_sweep_direction,classification,linear,4,131170,42856,2026-08-19T08:43:23.700Z,next_move_matches_sweep_direction,obi,33172,16586,0.5,0.7657130092,0.76073794,1.52147588,0.5796793229,0.197839582,0.6867237429
next_move_matches_sweep_direction__obi,next_move_matches_sweep_direction,classification,lightgbm,4,131170,42856,2026-08-19T08:43:23.700Z,next_move_matches_sweep_direction,obi,33172,16586,0.5,0.7633406086,0.757189872,1.514379744,0.578211844,0.1976565069,0.6917882552
next_move_matches_sweep_direction__obi,next_move_matches_sweep_direction,classification,naive,5,164342,42856,2026-08-19T14:40:31.383Z,next_move_matches_sweep_direction,obi,42816,21408,0.5,0.5,0.5,1,0.6931471806,0.25,0.5
next_move_matches_sweep_direction__obi,next_move_matches_sweep_direction,classification,linear,5,164342,42856,2026-08-19T14:40:31.383Z,next_move_matches_sweep_direction,obi,42816,21408,0.5,0.7105550942,0.7051929144,1.410385829,0.6264410229,0.2186516629,0.644245142
next_move_matches_sweep_direction__obi,next_move_matches_sweep_direction,classification,lightgbm,5,164342,42856,2026-08-19T14:40:31.383Z,next_move_matches_sweep_direction,obi,42816,21408,0.5,0.708623478,0.7037408851,1.40748177,0.6254428141,0.2180566241,0.6453195067
next_move_matches_sweep_direction__obi,next_move_matches_sweep_direction,classification,naive,6,207158,42846,2026-08-19T20:37:39.066Z,next_move_matches_sweep_direction,obi,42792,21396,0.5,0.5,0.5,1,0.6931471806,0.25,0.5
next_move_matches_sweep_direction__obi,next_move_matches_sweep_direction,classification,linear,6,207158,42846,2026-08-19T20:37:39.066Z,next_move_matches_sweep_direction,obi,42792,21396,0.5,0.7323726318,0.7245518411,1.449103682,0.6122119464,0.2117215056,0.665498224
next_move_matches_sweep_direction__obi,next_move_matches_sweep_direction,classification,lightgbm,6,207158,42846,2026-08-19T20:37:39.066Z,next_move_matches_sweep_direction,obi,42792,21396,0.5,0.7281991092,0.7195772454,1.439154491,0.6171373596,0.2131369597,0.6625537484
next_move_matches_sweep_direction__obi,next_move_matches_sweep_direction,classification,naive,7,249950,42852,2026-08-20T02:34:46.750Z,next_move_matches_sweep_direction,obi,42376,21188,0.5,0.5,0.5,1,0.6931471806,0.25,0.5
next_move_matches_sweep_direction__obi,next_move_matches_sweep_direction,classification,linear,7,249950,42852,2026-08-20T02:34:46.750Z,next_move_matches_sweep_direction,obi,42376,21188,0.5,0.7306433643,0.720265533,1.440531066,0.6138429705,0.2123659714,0.6694827261
next_move_matches_sweep_direction__obi,next_move_matches_sweep_direction,classification,lightgbm,7,249950,42852,2026-08-20T02:34:46.750Z,next_move_matches_sweep_direction,obi,42376,21188,0.5,0.7296766028,0.7190426374,1.438085275,0.6127092983,0.2117536372,0.6673352841
next_move_matches_sweep_direction__obi,next_move_matches_sweep_direction,classification,naive,8,292326,42852,2026-08-20T08:31:54.433Z,next_move_matches_sweep_direction,obi,42840,21420,0.5,0.5,0.5,1,0.6931471806,0.25,0.5
next_move_matches_sweep_direction__obi,next_move_matches_sweep_direction,classification,linear,8,292326,42852,2026-08-20T08:31:54.433Z,next_move_matches_sweep_direction,obi,42840,21420,0.5,0.7322740283,0.7243836856,1.448767371,0.6116896738,0.2116386579,0.6647525677
next_move_matches_sweep_direction__obi,next_move_matches_sweep_direction,classification,lightgbm,8,292326,42852,2026-08-20T08:31:54.433Z,next_move_matches_sweep_direction,obi,42840,21420,0.5,0.7284998564,0.7189060722,1.437812144,0.6125316772,0.2119535825,0.6645424837
next_move_matches_sweep_direction__obi,next_move_matches_sweep_direction,classification,naive,9,335166,42854,2026-08-20T14:29:02.116Z,next_move_matches_sweep_direction,obi,42836,21418,0.5,0.5,0.5,1,0.6931471806,0.25,0.5
next_move_matches_sweep_direction__obi,next_move_matches_sweep_direction,classification,linear,9,335166,42854,2026-08-20T14:29:02.116Z,next_move_matches_sweep_direction,obi,42836,21418,0.5,0.7208161536,0.7141068357,1.428213671,0.6186467715,0.2148196377,0.65888505
next_move_matches_sweep_direction__obi,next_move_matches_sweep_direction,classification,lightgbm,9,335166,42854,2026-08-20T14:29:02.116Z,next_move_matches_sweep_direction,obi,42836,21418,0.5,0.7180866569,0.7113416957,1.422683391,0.6174140148,0.214553622,0.6565505649
next_move_matches_sweep_direction__sweep_only,next_move_matches_sweep_direction,classification,naive,1,33354,42856,2026-08-18T14:52:00.649Z,next_move_matches_sweep_direction,sweep_only,34520,17260,0.5,0.5,0.5,1,0.6931471806,0.25,0.5
next_move_matches_sweep_direction__sweep_only,next_move_matches_sweep_direction,classification,linear,1,33354,42856,2026-08-18T14:52:00.649Z,next_move_matches_sweep_direction,sweep_only,34520,17260,0.5,0.686762659,0.6877847211,1.375569442,0.6589996426,0.2327567402,0.6089803013
next_move_matches_sweep_direction__sweep_only,next_move_matches_sweep_direction,classification,lightgbm,1,33354,42856,2026-08-18T14:52:00.649Z,next_move_matches_sweep_direction,sweep_only,34520,17260,0.5,0.6839604327,0.6788084269,1.357616854,0.6411369804,0.2251613509,0.6302143685
next_move_matches_sweep_direction__sweep_only,next_move_matches_sweep_direction,classification,naive,2,67874,42856,2026-08-18T20:49:08.333Z,next_move_matches_sweep_direction,sweep_only,31362,15681,0.5,0.5,0.5,1,0.6931471806,0.25,0.5
next_move_matches_sweep_direction__sweep_only,next_move_matches_sweep_direction,classification,linear,2,67874,42856,2026-08-18T20:49:08.333Z,next_move_matches_sweep_direction,sweep_only,31362,15681,0.5,0.7266674956,0.7121663566,1.424332713,0.6557272861,0.2306410719,0.6259167145
next_move_matches_sweep_direction__sweep_only,next_move_matches_sweep_direction,classification,lightgbm,2,67874,42856,2026-08-18T20:49:08.333Z,next_move_matches_sweep_direction,sweep_only,31362,15681,0.5,0.7244211902,0.7076880859,1.415376172,0.6151025568,0.2130393496,0.6650404949
next_move_matches_sweep_direction__sweep_only,next_move_matches_sweep_direction,classification,naive,3,99236,42850,2026-08-19T02:46:16.016Z,next_move_matches_sweep_direction,sweep_only,31934,15967,0.5,0.5,0.5,1,0.6931471806,0.25,0.5
