target,estimator,base,extended,n,base_roc_auc,extended_roc_auc,delta_roc_auc,base_log_loss,extended_log_loss,delta_log_loss,base_brier,extended_brier,delta_brier,blocks,block_mean_delta_auc,block_median_delta_auc,block_worst_delta_auc,frac_blocks_positive_delta,block_bootstrap_p05,block_bootstrap_p95
next_move_matches_sweep_direction,linear,controls,controls_plus_sweep,344648,0.7382013014,0.7394907777,0.001289476263,0.604605331,0.6032512006,-0.001354130418,0.2086072479,0.2081195128,-0.0004877351315,108,0.002115261447,0.001542246055,-0.002136752137,0.8796296296,0.001764148025,0.002516010246
next_move_matches_sweep_direction,lightgbm,controls,controls_plus_sweep,344648,0.7352434751,0.7376533873,0.002409912244,0.6047920917,0.6015406557,-0.00325143604,0.2087117057,0.2076596006,-0.001052105092,108,0.002497910993,0.002198260371,-0.004316523405,0.75,0.001990369996,0.003006610361
next_move_matches_sweep_direction,linear,book_flow,book_flow_plus_sweep,344648,0.7404648777,0.7418808466,0.00141596894,0.6001377107,0.5991814223,-0.0009562884034,0.2066965261,0.2063162746,-0.0003802515012,108,0.001732128712,0.001086106984,-0.003752729728,0.8240740741,0.001426913073,0.00204671786
next_move_matches_sweep_direction,lightgbm,book_flow,book_flow_plus_sweep,344648,0.7358412967,0.7372011581,0.00135986143,0.6043325489,0.6022910133,-0.002041535643,0.2086416919,0.2080288713,-0.0006128206818,108,0.001377734712,0.001315710647,-0.005951890804,0.6759259259,0.000931527244,0.001782831199
directional_sign_250ms,linear,controls,controls_plus_sweep,48256,0.9045993587,0.9097593577,0.005159999001,0.3985545939,0.3899460163,-0.008608577634,0.1238622002,0.1200039864,-0.003858213741,65,0.007006231021,0.004997917534,-0.00387172182,0.9538461538,0.006144705302,0.007815097691
directional_sign_250ms,lightgbm,controls,controls_plus_sweep,48256,0.9106546651,0.9172169228,0.006562257764,0.3849641146,0.3701801449,-0.01478396966,0.1194259917,0.1151766145,-0.004249377253,65,0.0076917617,0.004957938626,-0.001972386588,0.9230769231,0.006557940797,0.008703801561
directional_sign_250ms,linear,book_flow,book_flow_plus_sweep,48256,0.9071865237,0.9127698107,0.005583286993,0.3970763832,0.3859378395,-0.01113854373,0.1211006121,0.1172066432,-0.003893968921,65,0.006891858305,0.004307485021,-0.002849002849,0.9230769231,0.005656910024,0.008004599579
directional_sign_250ms,lightgbm,book_flow,book_flow_plus_sweep,48256,0.9217970284,0.9244062973,0.002609268926,0.3587517305,0.3530093221,-0.005742408348,0.1119131423,0.1100039582,-0.001909184095,65,0.003465247383,0.002228247738,-0.00237332384,0.8461538462,0.002548997222,0.004388520533
directional_sign_500ms,linear,controls,controls_plus_sweep,76348,0.8627806795,0.8651909483,0.00241026879,0.4731702934,0.470474504,-0.002695789464,0.15193846,0.1503955502,-0.001542909819,74,0.003459596254,0.00288659234,-0.0004979591837,0.9324324324,0.002967704216,0.003827848564
directional_sign_500ms,lightgbm,controls,controls_plus_sweep,76348,0.8674543035,0.8720520742,0.004597770691,0.4629490642,0.4528639733,-0.01008509088,0.148727258,0.1458894613,-0.002837796732,74,0.005192343415,0.003589027834,-0.008228240782,0.8783783784,0.004255060551,0.005902448678
directional_sign_500ms,linear,book_flow,book_flow_plus_sweep,76348,0.8651716113,0.8679047678,0.002733156502,0.4698688449,0.4662948714,-0.003573973569,0.1500675906,0.1484915012,-0.001576089406,74,0.003565786669,0.002607786864,-0.00116819855,0.8918918919,0.002961098212,0.004028146445
directional_sign_500ms,lightgbm,book_flow,book_flow_plus_sweep,76348,0.8773458305,0.8788513625,0.001505532038,0.442477378,0.4397605889,-0.00271678918,0.1428616582,0.1419004656,-0.0009611925508,74,0.002090145824,0.001202014768,-0.001858121587,0.7567567568,0.001493622564,0.002597095741
directional_sign_1000ms,linear,controls,controls_plus_sweep,114554,0.813428077,0.8141522404,0.0007241633748,0.541585963,0.5412926906,-0.0002932723732,0.1796244293,0.1792364897,-0.0003879396044,94,0.001241261343,0.0009355579874,-0.0008209795459,0.9361702128,0.001082445086,0.00138614444
directional_sign_1000ms,lightgbm,controls,controls_plus_sweep,114554,0.8174641197,0.8207174675,0.003253347847,0.5309545278,0.5237359808,-0.007218546992,0.175933714,0.1738136508,-0.00212006324,94,0.003569174273,0.002075173957,-0.006614366487,0.7553191489,0.002794305772,0.004276957615
directional_sign_1000ms,linear,book_flow,book_flow_plus_sweep,114554,0.815472455,0.8162598209,0.0007873658502,0.5387711317,0.5382587262,-0.0005124055154,0.1781943046,0.1778560858,-0.000338218748,94,0.001129128502,0.0007151900856,-0.0008209795459,0.7978723404,0.0009216237906,0.001337386565
directional_sign_1000ms,lightgbm,book_flow,book_flow_plus_sweep,114554,0.8255930882,0.8270607614,0.001467673193,0.5156249358,0.5132959863,-0.002328949522,0.1713138132,0.1704715251,-0.0008422881129,94,0.001911200816,0.001020615967,-0.003927423212,0.7765957447,0.001425494418,0.002366911681
