target,horizon_ms,feature_set,estimator,bucket,observations,mean_prediction_ticks,mean_realised_ticks,median_realised_ticks,p5_realised_ticks,p95_realised_ticks,frac_realised_positive,sign_accuracy
directional_markout_500ms,500,book_flow,linear,0,38567,-13.95393372,-18.56125703,0,-117,38,0.07490860062,0.9250913994
directional_markout_500ms,500,book_flow,linear,1,38567,-5.117521286,-5.632872663,0,-65,3,0.05211709493,0.9478829051
directional_markout_500ms,500,book_flow,linear,2,38567,-2.557952404,-2.108525423,0,-38,-0,0.04389763269,0.9561023673
directional_markout_500ms,500,book_flow,linear,3,38566,-1.223416924,-0.9150287818,0,-5,0,0.0354457294,0.9645542706
directional_markout_500ms,500,book_flow,linear,4,38567,-0.364849478,-0.2349547541,0,0,0,0.03220369746,0.9669147198
directional_markout_500ms,500,book_flow,linear,5,38567,0.3666928113,0.289340628,0,0,0,0.0360411751,0.0360411751
directional_markout_500ms,500,book_flow,linear,6,38566,1.225606322,0.8197505575,0,0,4,0.05341492506,0.05341492506
directional_markout_500ms,500,book_flow,linear,7,38567,2.560975075,2.16626909,0,0,38,0.08898799492,0.08898799492
directional_markout_500ms,500,book_flow,linear,8,38567,5.122079849,5.594977571,0,-3,65,0.1654782586,0.1654782586
directional_markout_500ms,500,book_flow,linear,9,38567,13.95487881,18.58229834,0,-38,117,0.4073171364,0.4073171364
directional_markout_500ms,500,book_flow,lightgbm,0,38567,-8.520133234,-18.43703166,0,-128,68,0.1167837789,0.8832162211
directional_markout_500ms,500,book_flow,lightgbm,1,38567,-0.01555961029,-0.8661420385,0,-48,41,0.09808903985,0.9019109601
directional_markout_500ms,500,book_flow,lightgbm,2,38567,-9.083082602e-08,-0.3703684497,0,-1,-0,0.04423470843,0.9557652916
directional_markout_500ms,500,book_flow,lightgbm,3,134403,-1.863185296e-20,-0.0760436895,0,0,0,0.03273736449,0.9672626355
directional_markout_500ms,500,book_flow,lightgbm,4,19863,3.756658646e-19,0.2294718824,0,0,0,0.01898001309,0.01898001309
directional_markout_500ms,500,book_flow,lightgbm,5,38567,8.811057296e-08,0.2914408691,0,0,1,0.05061321855,0.05061321855
directional_markout_500ms,500,book_flow,lightgbm,6,38567,0.01500629569,0.9969403895,0,-40,48,0.1162392719,0.1162392719
directional_markout_500ms,500,book_flow,lightgbm,7,38567,8.705012095,18.5319833,0,-69,129,0.4399875541,0.4399875541
directional_markout_500ms,500,book_flow_plus_sweep,linear,0,38567,-15.90212822,-19.74965644,0,-120,35,0.072134208,0.927865792
directional_markout_500ms,500,book_flow_plus_sweep,linear,1,38567,-5.94512558,-6.130759458,0,-68,1,0.05004278269,0.9499572173
directional_markout_500ms,500,book_flow_plus_sweep,linear,2,38567,-3.255866289,-2.460289885,0,-37,-0,0.04026758628,0.9597324137
directional_markout_500ms,500,book_flow_plus_sweep,linear,3,38566,-1.801996708,-0.8857802209,0,-3,0,0.03352694083,0.9664730592
directional_markout_500ms,500,book_flow_plus_sweep,linear,4,38567,-0.8285450935,-0.1097051884,0,0,0,0.02919594472,0.9708040553
directional_markout_500ms,500,book_flow_plus_sweep,linear,5,38567,-0.04723386839,0.2719034408,0,0,0,0.02955894936,0.5628127674
directional_markout_500ms,500,book_flow_plus_sweep,linear,6,38566,0.7864220738,0.6351838407,0,0,0,0.03946481357,0.03946481357
directional_markout_500ms,500,book_flow_plus_sweep,linear,7,38567,2.230367661,1.8111598,0,0,29.7,0.0773977753,0.0773977753
directional_markout_500ms,500,book_flow_plus_sweep,linear,8,38567,5.84834528,5.227474266,0,-11,67,0.1687712293,0.1687712293
directional_markout_500ms,500,book_flow_plus_sweep,linear,9,38567,20.363451,21.39046335,0,-38,123,0.4494516037,0.4494516037
directional_markout_500ms,500,book_flow_plus_sweep,lightgbm,0,38567,-8.287719329,-19.42185029,0,-126,59,0.1046490523,0.8953509477
directional_markout_500ms,500,book_flow_plus_sweep,lightgbm,1,38567,-0.03011296591,-1.708170197,0,-53,39,0.09440713563,0.9055928644
directional_markout_500ms,500,book_flow_plus_sweep,lightgbm,2,38567,-4.36640697e-07,0.006521119091,0,0,0,0.04778696813,0.9522130319
directional_markout_500ms,500,book_flow_plus_sweep,lightgbm,3,139075,-8.082456808e-19,0.5239367248,0,0,0,0.040532087,0.959467913
directional_markout_500ms,500,book_flow_plus_sweep,lightgbm,4,15191,1.10871477e-21,0.2745046409,0,-0,-0,0.01816865249,0.01816865249
directional_markout_500ms,500,book_flow_plus_sweep,lightgbm,5,38567,2.650639655e-08,0.23776804,0,0,0,0.04418285062,0.04418285062
directional_markout_500ms,500,book_flow_plus_sweep,lightgbm,6,38567,0.005579501534,0.1799206576,0,-41,42,0.100993077,0.100993077
directional_markout_500ms,500,book_flow_plus_sweep,lightgbm,7,38567,10.05521067,18.70833874,0,-72,132,0.4444732543,0.4444732543
directional_markout_1000ms,1000,book_flow,linear,0,38567,-19.24056053,-24.72346825,0,-154,74,0.1171208546,0.8828791454
directional_markout_1000ms,1000,book_flow,linear,1,38567,-7.723797321,-9.611092385,0,-101,53,0.08945471517,0.9105452848
directional_markout_1000ms,1000,book_flow,linear,2,38566,-4.047600269,-4.582896852,0,-72,37,0.07532541617,0.9246745838
directional_markout_1000ms,1000,book_flow,linear,3,38567,-1.966121912,-1.400796017,0,-46,30,0.06803744134,0.9319625587
directional_markout_1000ms,1000,book_flow,linear,4,38566,-0.5897902846,-0.5788388736,0,-31,23,0.06347560027,0.9365243997
directional_markout_1000ms,1000,book_flow,linear,5,38567,0.5899456143,0.5786423626,0,-23,31,0.07146005653,0.07169341665
directional_markout_1000ms,1000,book_flow,linear,6,38566,1.967050195,1.41543069,0,-30,47,0.09956956905,0.09956956905
directional_markout_1000ms,1000,book_flow,linear,7,38567,4.048296928,4.591036378,0,-37,72,0.1599294734,0.1599294734
directional_markout_1000ms,1000,book_flow,linear,8,38566,7.726206303,9.541733651,0,-53,101,0.2565990769,0.2565990769
directional_markout_1000ms,1000,book_flow,linear,9,38567,19.24488831,24.77039956,0,-73.7,154,0.4841704048,0.4841704048
directional_markout_1000ms,1000,book_flow,lightgbm,0,38567,-14.49093557,-25.40922291,-6,-174,110,0.1679933622,0.8320066378
directional_markout_1000ms,1000,book_flow,lightgbm,1,38567,-0.2204181675,-3.853955454,0,-90,73,0.1516840822,0.8483159178
directional_markout_1000ms,1000,book_flow,lightgbm,2,38566,-0.0003822585702,-0.9453145257,0,-53,44,0.09697661152,0.9030233885
directional_markout_1000ms,1000,book_flow,lightgbm,3,38567,-2.420753762e-09,-0.1126351544,0,0,0,0.04037130189,0.9596286981
directional_markout_1000ms,1000,book_flow,lightgbm,4,71144,-5.929874413e-23,-0.4115596537,0,-21,9,0.05483245249,0.9451675475
directional_markout_1000ms,1000,book_flow,lightgbm,5,5989,2.58237165e-22,0.01319084989,0,0,-0,0.02003673401,0.02003673401
directional_markout_1000ms,1000,book_flow,lightgbm,6,38566,2.257949295e-09,0.1157755536,0,0,0,0.04379505264,0.04379505264
directional_markout_1000ms,1000,book_flow,lightgbm,7,38567,0.0003697712208,0.997070034,0,-42,49,0.1155391915,0.1155391915
directional_markout_1000ms,1000,book_flow,lightgbm,8,38566,0.2373428067,4.183205414,0,-73,91,0.2323030649,0.2323030649
directional_markout_1000ms,1000,book_flow,lightgbm,9,38567,14.64964706,25.7823139,6,-109,175,0.5322166619,0.5322166619
directional_markout_1000ms,1000,book_flow_plus_sweep,linear,0,38567,-21.22477531,-26.12296782,-1,-158,75.35,0.1210620479,0.8789379521
directional_markout_1000ms,1000,book_flow_plus_sweep,linear,1,38567,-8.600237846,-10.48309436,0,-101,50,0.08802862551,0.9119713745
directional_markout_1000ms,1000,book_flow_plus_sweep,linear,2,38566,-4.800181389,-4.577490536,0,-70,34.75,0.07192864181,0.9280713582
directional_markout_1000ms,1000,book_flow_plus_sweep,linear,3,38567,-2.62483716,-1.552726424,0,-45,27,0.06396660357,0.9360333964
directional_markout_1000ms,1000,book_flow_plus_sweep,linear,4,38566,-1.13548851,-0.213918996,0,-22,16,0.05857491054,0.9414250895
directional_markout_1000ms,1000,book_flow_plus_sweep,linear,5,38567,0.1052438021,0.3063888817,0,-3,19,0.06085513522,0.4298493531
directional_markout_1000ms,1000,book_flow_plus_sweep,linear,6,38566,1.522263408,1.631333299,0,-3,38,0.08559352798,0.08559352798
directional_markout_1000ms,1000,book_flow_plus_sweep,linear,7,38568,3.836001396,3.8619581,0,-31,66,0.1472204937,0.1472204937
directional_markout_1000ms,1000,book_flow_plus_sweep,linear,8,38565,8.632552147,9.646324387,0,-57,101,0.2621288733,0.2621288733
directional_markout_1000ms,1000,book_flow_plus_sweep,linear,9,38567,25.89712715,27.50451163,4,-78,162,0.525786294,0.525786294
directional_markout_1000ms,1000,book_flow_plus_sweep,lightgbm,0,38567,-14.99745029,-26.10776052,-6,-173,105,0.161096274,0.838903726
directional_markout_1000ms,1000,book_flow_plus_sweep,lightgbm,1,38567,-0.2454066631,-5.243498328,0,-93,71,0.1404568673,0.8595431327
directional_markout_1000ms,1000,book_flow_plus_sweep,lightgbm,2,38566,-8.440475021e-05,-0.523323653,0,-44,40,0.08922366852,0.9107763315
directional_markout_1000ms,1000,book_flow_plus_sweep,lightgbm,3,120538,-2.690044075e-12,0.8968250676,0,-7,30,0.0729645423,0.9270354577
