problem,family,task,model,target,feature_set,horizon_ms,n,mean_target,median_target,mae,median_abs_error,rmse,spearman,sign_accuracy,r2,primary_metric,blocks,block_mean,block_median,block_worst,block_best,block_frac_expected_sign,block_bootstrap_p05,block_bootstrap_p95
directional_markout_500ms__book_flow,magnitude,regression,naive,directional_markout_500ms,book_flow,500,385668,0,0,12.28338882,0,44.23111781,,0.9010184926,0,spearman,0,,,,,0,,
directional_markout_500ms__book_flow,magnitude,regression,linear,directional_markout_500ms,book_flow,500,385668,0,0,14.10669894,2.855164886,43.28379939,0.3219645247,0.551178734,0.04237622238,spearman,108,0.3101542665,0.3227379743,0.1365271452,0.4607500774,1,0.2972320152,0.3226064354
directional_markout_500ms__book_flow,magnitude,regression,lightgbm,directional_markout_500ms,book_flow,500,385668,0,0,11.84203651,4.322538527e-09,43.17001928,0.248764084,0.6728377776,0.04740421547,spearman,108,0.2297781987,0.2547550624,0.003425044819,0.405315756,1,0.2122857278,0.2468666101
directional_markout_500ms__book_flow_plus_sweep,magnitude,regression,naive,directional_markout_500ms,book_flow_plus_sweep,500,385668,0,0,12.28338882,0,44.23111781,,0.9010184926,0,spearman,0,,,,,0,,
directional_markout_500ms__book_flow_plus_sweep,magnitude,regression,linear,directional_markout_500ms,book_flow_plus_sweep,500,385668,0,0,14.21426,3.074579835,42.90727534,0.3469727358,0.6072736136,0.05896441925,spearman,108,0.328965195,0.3412448645,0.1405218563,0.483384395,1,0.3142259514,0.3434348046
directional_markout_500ms__book_flow_plus_sweep,magnitude,regression,lightgbm,directional_markout_500ms,book_flow_plus_sweep,500,385668,0,0,11.77719778,4.012803525e-09,43.0303555,0.2528454375,0.6809898669,0.0535579269,spearman,108,0.2201697201,0.2400688184,0.03257335375,0.4134549265,1,0.203557917,0.2369519989
directional_markout_1000ms__book_flow,magnitude,regression,naive,directional_markout_1000ms,book_flow,1000,385666,0,0,21.61818776,0,63.03560131,,0.8514854823,0,spearman,0,,,,,0,,
directional_markout_1000ms__book_flow,magnitude,regression,linear,directional_markout_1000ms,book_flow,1000,385666,0,0,23.63380883,5.15945816,61.81145799,0.3176377869,0.5658549107,0.03846261314,spearman,108,0.3225422929,0.3290901346,0.1948387495,0.462849316,1,0.3126257048,0.3322415789
directional_markout_1000ms__book_flow,magnitude,regression,lightgbm,directional_markout_1000ms,book_flow,1000,385666,0,0,21.15639871,0.001130762889,61.84003408,0.2550596084,0.6213511173,0.03757334977,spearman,108,0.2234421903,0.2504623507,0.02269444494,0.3904729533,1,0.2085434666,0.2388862747
directional_markout_1000ms__book_flow_plus_sweep,magnitude,regression,naive,directional_markout_1000ms,book_flow_plus_sweep,1000,385666,0,0,21.61818776,0,63.03560131,,0.8514854823,0,spearman,0,,,,,0,,
directional_markout_1000ms__book_flow_plus_sweep,magnitude,regression,linear,directional_markout_1000ms,book_flow_plus_sweep,1000,385666,0,0,23.63792909,5.341005564,61.49841971,0.3362334811,0.604701996,0.04817718151,spearman,108,0.3373335554,0.3531017681,0.1998381404,0.4761776027,1,0.327008573,0.3472863603
directional_markout_1000ms__book_flow_plus_sweep,magnitude,regression,lightgbm,directional_markout_1000ms,book_flow_plus_sweep,1000,385666,0,0,21.08494707,0.0001680980084,61.72150283,0.251987565,0.6372949651,0.04125925654,spearman,108,0.221853403,0.2467028031,0.02204281584,0.3835781445,1,0.2067458158,0.2372276629
