grouping,group_value,horizon_ms,observations,p_move_in_predicted_direction,p_move_opposite,p_no_move,mean_size_when_right_ticks,mean_size_when_wrong_ticks,contribution_right_ticks,contribution_wrong_ticks,expected_directional_markout_ticks,size_asymmetry_ratio,probability_edge
score_band,<0.30,100,3852076,0.006785951264,0.02893115297,0.9642828958,34.78858072,37.10845709,0.2360736133,1.073590448,-0.8375168351,0.9374838905,-0.0221452017
score_band,0.30-0.50,100,227764,0.07826961241,0.06365360636,0.8580767812,34.3273125,47.60273831,2.686785445,3.030085966,-0.3433005216,0.7211205431,0.01461600604
score_band,0.50-0.70,100,102736,0.1900696932,0.08133468307,0.7285956237,36.22402315,55.03602202,6.885088966,4.476337409,2.408751557,0.6581875255,0.1087350101
score_band,0.70-0.90,100,39992,0.4861222244,0.1053710742,0.4085067013,40.87708966,69.66207879,19.87126175,7.340368074,12.53089368,0.5867911261,0.3807511502
score_band,>=0.90,100,62716,0.9241820269,0.03799668346,0.03782128962,47.04510792,71.76353336,43.47824319,2.726776261,40.75146693,0.6555572965,0.8861853435
side,threatened_ask,100,2142642,0.03247486048,0.0332832083,0.9342419312,41.93955333,39.71040749,1.361981143,1.321689764,0.04029137859,1.056135053,-0.0008083478248
side,threatened_bid,100,2142642,0.0332832083,0.03247486048,0.9342419312,39.71040749,41.93955333,1.321689764,1.361981143,-0.04029137859,0.9468486032,0.0008083478248
score_band_and_side,<0.30 / threatened_ask,100,1930102,0.006816220075,0.02905597735,0.9641278026,35.44595622,36.458765,0.2416074384,1.05934505,-0.8177376118,0.9722204309,-0.02223975728
score_band_and_side,<0.30 / threatened_bid,100,1921974,0.006755554446,0.0288058007,0.9644386449,34.12249692,37.76656311,0.2305163858,1.08789609,-0.8573797044,0.9035107807,-0.02205024626
score_band_and_side,0.30-0.50 / threatened_ask,100,111969,0.07765542248,0.06838499942,0.8539595781,35.25859689,45.90727439,2.738021238,3.139368932,-0.4013476945,0.7680394309,0.009270423064
score_band_and_side,0.30-0.50 / threatened_bid,100,115795,0.07886350879,0.05907854398,0.8620579472,33.44059352,49.50043853,2.637242541,2.924413835,-0.2871712941,0.6755615608,0.01978496481
score_band_and_side,0.50-0.70 / threatened_ask,100,49788,0.1879368523,0.0853619346,0.7267012131,38.31997435,52.18541176,7.201735358,4.454647706,2.747087652,0.7343043401,0.1025749177
score_band_and_side,0.50-0.70 / threatened_bid,100,52948,0.1920752436,0.07754778273,0.7303769736,34.29562439,57.98660497,6.587340409,4.496732643,2.090607766,0.5914404612,0.1145274609
score_band_and_side,0.70-0.90 / threatened_ask,100,19214,0.4853232018,0.1101280316,0.4045487665,42.99597855,66.40122873,20.86694598,7.312636619,13.55430936,0.6475178151,0.3751951702
score_band_and_side,0.70-0.90 / threatened_bid,100,20778,0.4868611031,0.1009721821,0.4121667148,38.92388296,72.95090562,18.95052459,7.366012128,11.58451247,0.5335627108,0.385888921
score_band_and_side,>=0.90 / threatened_ask,100,31569,0.9201748551,0.03832874022,0.0414964047,47.70697786,60.70991736,43.89876144,2.326934651,41.57182679,0.7858185276,0.8818461149
score_band_and_side,>=0.90 / threatened_bid,100,31147,0.9282434905,0.03766012778,0.03409638167,46.38010169,83.16581415,43.05202748,3.132035188,39.91999229,0.55768229,0.8905833628
score_band,<0.30,250,3852052,0.02447293027,0.05425549811,0.9212715716,46.05144212,46.43542429,1.127013732,2.519377075,-1.392363343,0.9917308353,-0.02978256784
score_band,0.30-0.50,250,227764,0.1995047505,0.104516078,0.6959791714,46.49798636,64.53171603,9.276569168,6.744601869,2.531967299,0.7205447061,0.09498867249
score_band,0.50-0.70,250,102736,0.3552406167,0.130090718,0.5146686653,49.30999288,75.71560045,17.51691228,9.849896823,7.667015457,0.6512527482,0.2251498988
score_band,0.70-0.90,250,39992,0.5949689938,0.1601070214,0.2449239848,58.56667647,98.44666563,34.84535657,15.7620024,19.08335417,0.5949076701,0.4348619724
score_band,>=0.90,250,62716,0.9090822119,0.0709069456,0.02001084253,63.67201915,88.66460535,57.88310001,6.286936348,51.59616366,0.718122174,0.8381752663
side,threatened_ask,250,2142630,0.05903399094,0.06091905742,0.8800469516,53.31657549,50.05574709,3.147490234,3.049348931,0.09814130298,1.065143936,-0.001885066484
side,threatened_bid,250,2142630,0.06091905742,0.05903399094,0.8800469516,50.05574709,53.31657549,3.049348931,3.147490234,-0.09814130298,0.9388402505,0.001885066484
