file_index,segment_id,threshold,population,observations,share_of_opportunities,mean_sweep_p,realised_sweep_rate_500ms,p_next_move_follows_sweep,markout_500ms_observed,markout_500ms_mean_ticks,markout_500ms_median_ticks,markout_500ms_mean_bps,markout_500ms_frac_favourable
2,1,,all,1481362,,0.02869493631,0.03284364553,0.5,1481352,0,0,0,0.03132678796
2,1,0.3,score_at_or_above,21979,0.01483702161,0.586819022,0.5633104327,0.8862835959,21979,19.63280859,6,0.3041723794,0.555348287
2,1,0.5,score_at_or_above,10870,0.007337841797,0.8000961779,0.7848206072,0.9370356612,10870,30.08827047,22,0.4661672773,0.7817847286
2,1,0.7,score_at_or_above,7303,0.004929922598,0.9050227841,0.9109954813,0.9731811305,7303,37.23004245,29,0.5768513198,0.9153772422
2,1,0.9,score_at_or_above,4742,0.003201108169,0.9569104852,0.9668916069,0.9943025955,4742,40.11777731,32,0.6216339092,0.979966259
2,2,,all,1452732,,0.1133134553,0.1195149519,0.5,1452722,0,0,0,0.1069550816
2,2,0.3,score_at_or_above,164712,0.1133808576,0.5679554053,0.5405252805,0.7107955719,164712,16.64130118,0,0.2448005989,0.476619797
2,2,0.5,score_at_or_above,82359,0.05669249387,0.7492717675,0.7153559417,0.7749492938,82359,28.38941706,21,0.4173963325,0.6240726575
2,2,0.7,score_at_or_above,43928,0.03023819948,0.8914358527,0.8785512657,0.8555165976,43928,44.80464624,38,0.6584176905,0.7616782007
2,2,0.9,score_at_or_above,25619,0.017635049,0.9599302016,0.9721300597,0.9348530388,25619,61.01719427,47,0.896220214,0.8647878528
2,3,,all,2356,,0.1160907823,0.09633418585,0.5,2346,0,0,0,0.09164535379
2,3,0.3,score_at_or_above,236,0.1001697793,0.4663557887,0.4255319149,0.8638297872,235,14.70638298,0,0.2113687208,0.4212765957
2,3,0.5,score_at_or_above,64,0.02716468591,0.7353243358,0.75,0.96875,64,33.6328125,23,0.4833941082,0.75
2,3,0.7,score_at_or_above,29,0.0123089983,0.9288632969,0.8620689655,1,29,41.10344828,35,0.5907778504,0.8965517241
2,3,0.9,score_at_or_above,22,0.009337860781,0.9760584335,0.9545454545,1,22,43.47727273,38,0.6249076317,1
2,4,,all,340746,,0.09664318001,0.08433802122,0.5,340736,0,0,0,0.07941045267
2,4,0.3,score_at_or_above,24580,0.07213584312,0.5208536402,0.4502034174,0.8274920531,24580,17.68551668,0,0.2548902932,0.4341334418
2,4,0.5,score_at_or_above,9097,0.02669730532,0.7629000753,0.6981422447,0.9047409526,9097,31.36545015,20,0.4520698532,0.6825327031
2,4,0.7,score_at_or_above,4829,0.01417184648,0.9255504636,0.904120936,0.9633312617,4829,46.39221371,35,0.6686872797,0.8916960033
2,4,0.9,score_at_or_above,3623,0.01063255328,0.9717142761,0.9679823351,0.9884073972,3623,53.69638421,40,0.7739231238,0.9621860337
2,5,,all,323956,,0.1993595616,0.1932822137,0.5,323946,0,0,0,0.1687688689
2,5,0.3,score_at_or_above,73859,0.2279908383,0.5555683473,0.5314315114,0.6818175662,73859,14.41295577,0,0.201989495,0.451847439
2,5,0.5,score_at_or_above,36587,0.1129381768,0.7246365371,0.7049498456,0.7520089652,36587,24.57774619,15,0.3444114865,0.5878317435
2,5,0.7,score_at_or_above,16442,0.05075380607,0.8948317258,0.8890645907,0.8490451283,16442,40.35290719,35,0.5657906538,0.7342172485
2,5,0.9,score_at_or_above,10027,0.03095173419,0.9631400918,0.9711778199,0.9278946844,10027,55.03874539,46,0.7719030925,0.8239752668
2,6,,all,684142,,0.2007990907,0.1878637811,0.5,684134,0,0,0,0.1689668983
2,6,0.3,score_at_or_above,147843,0.216099874,0.5394190795,0.5012073619,0.7133986309,147843,17.47617067,0,0.2423389543,0.4476167286
2,6,0.5,score_at_or_above,66467,0.09715380725,0.7260974674,0.6964659154,0.7988174583,66467,29.033889,19,0.4026936146,0.6164111514
2,6,0.7,score_at_or_above,30177,0.04410926387,0.8981134556,0.8917056036,0.8958478311,30177,45.00772111,38,0.6242095519,0.7893097392
2,6,0.9,score_at_or_above,18683,0.02730865814,0.9651058013,0.9746293422,0.9575014719,18683,55.48396938,47,0.7693340482,0.8731467109
