side_name,threshold,population,observations,mean_sweep_p,min_sweep_p,max_sweep_p,realised_sweep_rate_100ms,realised_sweep_rate_250ms,realised_sweep_rate_500ms,realised_sweep_rate_1000ms,p_next_move_follows_sweep,next_move_observed,time_to_next_mid_move_median_ms,time_to_next_mid_move_p25_ms,time_to_next_mid_move_p75_ms,p_mid_moves_within_100ms,p_mid_moves_within_250ms,p_mid_moves_within_500ms,p_mid_moves_within_1000ms,first_move_observed,first_move_mean_ticks,first_move_median_ticks,first_move_std_ticks,first_move_p5_ticks,first_move_p10_ticks,first_move_p25_ticks,first_move_p50_ticks,first_move_p75_ticks,first_move_p90_ticks,first_move_p95_ticks,first_move_frac_favourable,first_move_frac_ge_1t,first_move_frac_ge_5t,first_move_frac_ge_10t,first_move_frac_ge_25t,first_move_frac_ge_50t,first_move_mean_bps,first_move_median_bps,first_move_mean_usd_per_btc,markout_100ms_observed,markout_100ms_mean_ticks,markout_100ms_median_ticks,markout_100ms_std_ticks,markout_100ms_p5_ticks,markout_100ms_p10_ticks,markout_100ms_p25_ticks,markout_100ms_p50_ticks,markout_100ms_p75_ticks,markout_100ms_p90_ticks,markout_100ms_p95_ticks,markout_100ms_frac_favourable,markout_100ms_frac_ge_1t,markout_100ms_frac_ge_5t,markout_100ms_frac_ge_10t,markout_100ms_frac_ge_25t,markout_100ms_frac_ge_50t,markout_100ms_mean_bps,markout_100ms_median_bps,markout_100ms_mean_usd_per_btc,markout_250ms_observed,markout_250ms_mean_ticks,markout_250ms_median_ticks,markout_250ms_std_ticks,markout_250ms_p5_ticks,markout_250ms_p10_ticks,markout_250ms_p25_ticks,markout_250ms_p50_ticks,markout_250ms_p75_ticks,markout_250ms_p90_ticks,markout_250ms_p95_ticks,markout_250ms_frac_favourable,markout_250ms_frac_ge_1t,markout_250ms_frac_ge_5t,markout_250ms_frac_ge_10t,markout_250ms_frac_ge_25t,markout_250ms_frac_ge_50t,markout_250ms_mean_bps,markout_250ms_median_bps,markout_250ms_mean_usd_per_btc,markout_500ms_observed,markout_500ms_mean_ticks,markout_500ms_median_ticks,markout_500ms_std_ticks,markout_500ms_p5_ticks,markout_500ms_p10_ticks,markout_500ms_p25_ticks,markout_500ms_p50_ticks,markout_500ms_p75_ticks,markout_500ms_p90_ticks,markout_500ms_p95_ticks,markout_500ms_frac_favourable,markout_500ms_frac_ge_1t,markout_500ms_frac_ge_5t,markout_500ms_frac_ge_10t,markout_500ms_frac_ge_25t,markout_500ms_frac_ge_50t,markout_500ms_mean_bps,markout_500ms_median_bps,markout_500ms_mean_usd_per_btc,markout_1000ms_observed,markout_1000ms_mean_ticks,markout_1000ms_median_ticks,markout_1000ms_std_ticks,markout_1000ms_p5_ticks,markout_1000ms_p10_ticks,markout_1000ms_p25_ticks,markout_1000ms_p50_ticks,markout_1000ms_p75_ticks,markout_1000ms_p90_ticks,markout_1000ms_p95_ticks,markout_1000ms_frac_favourable,markout_1000ms_frac_ge_1t,markout_1000ms_frac_ge_5t,markout_1000ms_frac_ge_10t,markout_1000ms_frac_ge_25t,markout_1000ms_frac_ge_50t,markout_1000ms_mean_bps,markout_1000ms_median_bps,markout_1000ms_mean_usd_per_btc,markout_2000ms_observed,markout_2000ms_mean_ticks,markout_2000ms_median_ticks,markout_2000ms_std_ticks,markout_2000ms_p5_ticks,markout_2000ms_p10_ticks,markout_2000ms_p25_ticks,markout_2000ms_p50_ticks,markout_2000ms_p75_ticks,markout_2000ms_p90_ticks,markout_2000ms_p95_ticks,markout_2000ms_frac_favourable,markout_2000ms_frac_ge_1t,markout_2000ms_frac_ge_5t,markout_2000ms_frac_ge_10t,markout_2000ms_frac_ge_25t,markout_2000ms_frac_ge_50t,markout_2000ms_mean_bps,markout_2000ms_median_bps,markout_2000ms_mean_usd_per_btc,markout_5000ms_observed,markout_5000ms_mean_ticks,markout_5000ms_median_ticks,markout_5000ms_std_ticks,markout_5000ms_p5_ticks,markout_5000ms_p10_ticks,markout_5000ms_p25_ticks,markout_5000ms_p50_ticks,markout_5000ms_p75_ticks,markout_5000ms_p90_ticks,markout_5000ms_p95_ticks,markout_5000ms_frac_favourable,markout_5000ms_frac_ge_1t,markout_5000ms_frac_ge_5t,markout_5000ms_frac_ge_10t,markout_5000ms_frac_ge_25t,markout_5000ms_frac_ge_50t,markout_5000ms_mean_bps,markout_5000ms_median_bps,markout_5000ms_mean_usd_per_btc,share_of_opportunities
threatened_ask,,all,2142647,0.1022593728,3.999470155e-05,0.995349529,0.03819956857,0.06737514177,0.102013518,0.154885587,0.4891282674,1890637,2341.942871,650.8180542,7031.394531,0.06576273591,0.1204524346,0.1878169604,0.2840849477,2142490,-0.06592609534,-1,52.70706499,-73,-53,-29,-1,29,53,72,0.4904120906,0.4902968042,0.4424179343,0.405379255,0.2893805805,0.1147515274,-0.001169908129,-0.01441957948,-0.006592609534,2142642,0.04029137859,0,17.35897907,0,0,0,0,0,0,0,0.03247486048,0.03243752339,0.02944308942,0.02703904805,0.01963137099,0.009410811512,0.0005916830209,0,0.004029137859,2142630,0.09814130298,0,30.46816605,-12,0,0,0,0,0,11,0.05903399094,0.05900365439,0.05478360706,0.05137704597,0.04027480246,0.02291529569,0.001445500606,0,0.009814130298,2142618,0.2014050101,0,43.12977557,-40,0,0,0,0,0,40,0.09190252299,0.09187638674,0.08647831765,0.08192174247,0.06691533442,0.04157623991,0.00296124172,0,0.02014050101,2142588,0.4027407509,0,61.43949673,-70,-29,0,0,0,29,71,0.1391546112,0.1391359421,0.1321990042,0.1262510571,0.1065804532,0.07126428413,0.005922108311,0,0.04027407509,2142528,0.8054846891,0,89.3407479,-108,-58,0,0,0,60,111,0.2013896668,0.2013765981,0.1926509245,0.1851765765,0.1605775981,0.1148573087,0.01184905278,0,0.08054846891,2142348,2.011553912,0,145.7443842,-184,-108,-20,0,22,114,189,0.2941128145,0.2941058129,0.2838488425,0.2747900901,0.2450185497,0.1900741616,0.02960673245,0,0.2011553912,
threatened_ask,0.3,score_at_or_above,212541,0.5548503212,0.3000002532,0.995349529,0.2787334149,0.4129999059,0.5167450833,0.6263250759,0.7136166604,212240,261.2479095,71.5680294,944.4002228,0.337192999,0.4910887362,0.6262821116,0.7594137436,212539,16.33112511,19,82.00120504,-76,-51,-8,19,44,74,97,0.7133184968,0.7129562104,0.6487374082,0.5968598704,0.4381642898,0.2134290648,0.2343780667,0.2735700386,1.633112511,212540,7.832158652,0,46.5080905,-22,0,0,0,3,42,66,0.2654841442,0.2651877294,0.242810765,0.2234402936,0.1629904959,0.08006022396,0.1125974175,0,0.7832158652,212540,13.06416204,0,78.91153885,-58,-13,0,0,26,69,102,0.3722546344,0.3720193846,0.3468758822,0.3255057871,0.2561776607,0.151402089,0.1877116513,0,1.306416204,212540,17.68951727,0,105.8389984,-95,-44,0,0,42,95,140,0.4578432295,0.4576456196,0.4323939023,0.4097346382,0.3362190646,0.218636492,0.2540448541,0,1.768951727,212535,22.82324794,6,144.6759281,-145,-79,0,6,61,131,193,0.5297856824,0.5296445291,0.5057755193,0.4840143976,0.4126238031,0.2927564872,0.3279200451,0.0841055272,2.282324794,212526,28.31282761,19,206.0804439,-215,-128,-20,19,87,180,265,0.5773928837,0.5772987776,0.5563931001,0.5374730621,0.4754900577,0.3682090662,0.4074388896,0.2746642801,2.831282761,212496,38.21455933,31,329.7124246,-356,-225,-67,31,139,290,425,0.5891028537,0.589051088,0.5746555229,0.5609752654,0.5176897447,0.4432883443,0.5519300426,0.4442505028,3.821455933,0.09919552777
threatened_ask,0.5,score_at_or_above,100571,0.7428325587,0.500003133,0.995349529,0.4595559356,0.6202881546,0.7072018773,0.7852994988,0.7852779049,100502,87.94561768,39.11334896,356.4357452,0.5499995028,0.6951308031,0.7996937487,0.8842971919,100571,23.43714391,23,101.6999216,-71,-43,2,23,48,80,106,0.7851070388,0.7845899912,0.7194817592,0.6625965736,0.4864921299,0.2419087013,0.3364519714,0.3349964511,2.343714391,100571,16.9987919,0,62.08934451,-26,0,0,0,32,63,88,0.4746000338,0.4741426455,0.4390331209,0.4046395084,0.2974813813,0.1489097255,0.2441783289,0,1.69987919,100571,24.73079218,10,104.2811135,-67,-19,0,10,48,93,131,0.5688419127,0.5684839566,0.5344781299,0.502371459,0.3978880592,0.2420976226,0.3553275626,0.1400598367,2.473079218,100571,29.90228296,19,135.7763603,-109,-51,0,19,62,122,175,0.6215708306,0.6212725338,0.5908760975,0.560827674,0.4631354963,0.3091547265,0.4296371242,0.2751906238,2.990228296,100568,34.86736835,26,182.8457433,-165,-90,0,26,81,161,232,0.6467564235,0.6465674966,0.6205154721,0.5943739559,0.5102816005,0.3713407843,0.5014696022,0.3786332702,3.486736835,100567,40.15085465,33,258.9848002,-250,-145,-22,33,107,215.2,324,0.6451420446,0.6450127776,0.6241908379,0.6041246134,0.5383077948,0.4267801565,0.5786013356,0.4718023063,4.015085465,100548,51.01245674,41,409.2559509,-411,-255.15,-70,41,161,340,508,0.6161435334,0.6160739149,0.6030652027,0.5903051279,0.5481759955,0.4758423837,0.7377930544,0.5900060683,5.101245674,0.04693773636
threatened_ask,0.7,score_at_or_above,50783,0.8986305226,0.7000237489,0.995349529,0.6779434063,0.8433530906,0.8908886832,0.9231799295,0.876110553,50763,47.58916473,21.81381893,83.3902092,0.8212393911,0.9005572731,0.9426382845,0.9683543057,50783,34.43237895,30,126.0809299,-54,-17,10,30,55,88,117,0.8759427367,0.8753519879,0.8239174527,0.7616722131,0.5634759664,0.288226375,0.4951913629,0.4292983672,3.443237895,50783,30.97126007,24,73.25113963,-19,0,1,24,49,82,109,0.7556465746,0.7551345923,0.7141169289,0.6606541559,0.4891794498,0.2485871256,0.4450907053,0.3399612908,3.097126007,50783,40.94076758,32,124.796333,-63,-7,5,32,68,117,159,0.7874879389,0.7870153398,0.7529094382,0.7105921273,0.5682413406,0.3550597641,0.588987698,0.4605254163,4.094076758,50783,46.14496977,37,164.480109,-106,-42,5,37,81,146,204,0.783077014,0.7826044149,0.7546619932,0.7184687789,0.5967154363,0.4063564579,0.6642067305,0.5260261836,4.614496977,50781,51.0636557,41,214.4768745,-164,-82,2,41,98,183,263.5,0.7573895748,0.7570941888,0.734231307,0.705224395,0.6079045312,0.4496366751,0.7360740514,0.5890095034,5.10636557,50781,56.95277761,46,299.2765014,-252,-136,-4,46,122,241,360,0.7178866111,0.7176896871,0.6998089837,0.678462417,0.6055217503,0.483015301,0.8225187489,0.6619279807,5.695277761,50775,68.57535204,53,451.0607231,-422,-248,-51,53,173,357.5,546,0.6611324471,0.6610339734,0.6495125554,0.6358444116,0.5895420975,0.512220581,0.9934121108,0.7757839054,6.857535204,0.02370105762
threatened_ask,0.9,score_at_or_above,31569,0.9626499327,0.9000008344,0.995349529,0.7747157021,0.9463397637,0.9731065286,0.9853011056,0.9459878988,31567,34.36418152,16.31879234,58.19351768,0.9585669486,0.9846368273,0.9929044316,0.9972439573,31569,43.73591181,34,129.4166042,-5,6,17,34,59,92,120,0.9459913206,0.9457062308,0.9194146156,0.8598625234,0.6401216383,0.3256675853,0.6282469991,0.4969674631,4.373591181,31569,41.57182679,33,67.16079661,0,4,16,33,58,90,118,0.9201748551,0.9199214419,0.8946434794,0.8362317463,0.6205137952,0.3138205201,0.596759934,0.4790859658,4.157182679,31569,53.55359688,41,106.5001632,-31,3,18,41,77,126,170,0.9082644366,0.9080110235,0.8876746175,0.8439608477,0.6782919953,0.423168298,0.7696002529,0.586801922,5.355359688,31569,59.26833286,45,144.6384439,-68,-7,18,45,89,153,209,0.8769995882,0.8767144984,0.8592923438,0.8233076753,0.6863378631,0.4644746428,0.8521722121,0.6472106325,5.926833286,31567,64.4446574,49,195.5939535,-123.5,-45,15,49,104,187,263,0.8316596446,0.8314695727,0.8161054266,0.7872778535,0.6785567206,0.497133082,0.9278425796,0.7093733555,6.44446574,31567,71.94255077,54,269.4862424,-190,-93,8,54,128,237,348.35,0.7773307568,0.7772040422,0.7636139006,0.7423892039,0.6613235341,0.5222225742,1.037163498,0.783983976,7.194255077,31562,83.81808821,62,393.7336279,-343,-194,-24,62,173,341,502,0.7040428363,0.703979469,0.6940307965,0.6796464102,0.6266079463,0.5395095368,1.211713463,0.901613734,8.381808821,0.01473364488
threatened_bid,,all,2142647,0.104160432,3.767711324e-05,0.9948274938,0.03874188969,0.06885416521,0.1044511901,0.1579132339,0.5108717326,1890637,2341.942871,650.8180542,7031.394531,0.06576273591,0.1204524346,0.1878169604,0.2840849477,2142490,0.06592609534,1,52.70706499,-72,-53,-29,1,29,53,73,0.5095879094,0.5094698225,0.4525706071,0.4126063599,0.2920592395,0.1139081163,0.001169908129,0.01441957948,0.006592609534,2142642,-0.04029137859,0,17.35897907,0,0,0,-0,-0,-0,-0,0.0332832083,0.03324727136,0.02974972021,0.02723600116,0.01970977886,0.00918678902,-0.0005916830209,0,-0.004029137859,2142630,-0.09814130298,0,30.46816605,-11,-0,0,-0,-0,0,12,0.06091905742,0.0608952549,0.05568810294,0.05199497813,0.04066497715,0.02249198415,-0.001445500606,0,-0.009814130298,2142618,-0.2014050101,0,43.12977557,-40,-0,0,-0,-0,0,40,0.09446900941,0.09444940722,0.08760030953,0.08269042825,0.0673279138,0.04084582506,-0.00296124172,0,-0.02014050101,2142588,-0.4027407509,0,61.43949673,-71,-29,-0,-0,0,29,70,0.1419283595,0.1419115574,0.1333032762,0.1268797361,0.1065193122,0.06986457499,-0.005922108311,0,-0.04027407509,2142528,-0.8054846891,0,89.3407479,-111,-60,-0,-0,0,58,108,0.2028808958,0.2028696941,0.1924847657,0.1844204603,0.159004223,0.111239153,-0.01184905278,0,-0.08054846891,2142348,-2.011553912,0,145.7443842,-189,-114,-22,-0,20,108,184,0.2920935348,0.2920879334,0.2797505354,0.2700130884,0.2398023104,0.1824470161,-0.02960673245,0,-0.2011553912,
threatened_bid,0.3,score_at_or_above,220668,0.5538366408,0.3000004907,0.9948274938,0.2755904798,0.4166938568,0.5261297515,0.6379847912,0.7304578663,220370,264.3747406,73.71054649,908.8777313,0.328797107,0.4885755977,0.6302137147,0.7670554966,220667,14.57702556,19,80.44103839,-79,-53,-4,19,43,72,94,0.7301907399,0.7298689881,0.6504688059,0.5953676807,0.4363452623,0.206224764,0.2086607816,0.2655298263,1.457702556,220668,7.07638398,0,44.98728308,-17,-0,-0,-0,2,40.5,63,0.2643337502,0.2640573169,0.2385257491,0.2185591024,0.1591032683,0.0758786956,0.101568551,0,0.707638398,220668,11.72258325,0,77.20037804,-57,-5,-0,-0,26,67,98,0.378962967,0.3787816992,0.3485281056,0.3253348922,0.2559183932,0.1470534921,0.1679622128,0,1.172258325,220668,15.85741249,0,104.282091,-95,-42,-0,-0,42,93,135,0.4700319031,0.4698868889,0.4387405514,0.4144869215,0.3402486994,0.2174850907,0.2269202733,0,1.585741249,220662,19.69748756,7.75,142.8135076,-150,-80,0,7.75,61,129,185,0.5432154154,0.5430975882,0.5136226446,0.4910587233,0.4185088506,0.2938249449,0.281593697,0.109862825,1.969748756,220656,22.0606419,19,204.4563506,-222,-133,-22,19,86,178,256,0.5812848959,0.5812078529,0.557188565,0.5375108767,0.4756272207,0.3647442172,0.3150386802,0.2746613254,2.20606419,220656,21.53600854,27,327.056909,-380,-235,-75,27,133,281,402,0.578973606,0.5789373504,0.5631752592,0.5486096005,0.506385505,0.4299316583,0.3063638736,0.3872101715,2.153600854,0.1029884997
threatened_bid,0.5,score_at_or_above,104873,0.7386063694,0.5000019318,0.9948274938,0.4514698731,0.6208270956,0.7133008496,0.7911815469,0.8002022688,104811,90.33002472,39.984869,353.9702301,0.5395096927,0.6923326309,0.8029998188,0.8890541713,104873,20.87266027,23,94.25799203,-73,-43,2,23,47,77,100,0.8000724686,0.7995670954,0.721491709,0.6608659998,0.484157028,0.2328149285,0.2989034575,0.3321084528,2.087266027,104873,15.20681682,0,60.16293556,-24,0,0,0,30,61,84,0.4691197925,0.4686620961,0.4297197563,0.3944771295,0.2888827439,0.1402553565,0.2182437909,0,1.520681682,104873,21.92713568,9,100.0566552,-67,-14,0,9,46,90,125,0.5730264224,0.5727308268,0.5336645276,0.4992514756,0.3964128041,0.2346743204,0.3144377007,0.138029178,2.192713568,104873,26.45472619,20,132.9485734,-111,-50,0,20,62,119,166,0.6304673271,0.6302480143,0.5947479332,0.5634243323,0.4668122396,0.3075434096,0.3789801364,0.2794512509,2.645472619,104871,29.70333076,27,181.0265842,-175,-91,-0,27,81,157,221,0.6563683001,0.6561775896,0.6261883648,0.6002326668,0.5159195583,0.3741358431,0.4250826631,0.3935065588,2.970333076,104869,30.64386044,33,255.4444762,-263,-150,-24,33,106,211.6,304,0.6461776121,0.6460536479,0.6240833802,0.60349579,0.5383192364,0.4247489725,0.437946384,0.4715447042,3.064386044,104869,28.23853093,38,411.1034207,-444,-271,-78,38,157,327,473,0.6082350361,0.6081873576,0.5949613327,0.5810392013,0.5396256282,0.4668872593,0.4016919202,0.5505343443,2.823853093,0.04894553326
threatened_bid,0.7,score_at_or_above,51925,0.8944599886,0.7000022137,0.9948274938,0.6631487723,0.8347616755,0.8843909485,0.9169924696,0.8833638378,51905,47.8935585,21.80638123,85.18112946,0.8146172364,0.8966008666,0.9407992297,0.9675481001,51925,31.20345691,29,83.68546116,-54,-13,10,29,53,85,110,0.8832546943,0.8826961964,0.8220895522,0.756649013,0.5596918633,0.2767067886,0.448052768,0.4195038528,3.120345691,51925,28.58143476,23,70.24700358,-18.4,0,1,23,48,79,104,0.7516225325,0.7510832932,0.7045546461,0.6492826192,0.4803659124,0.2374386134,0.4104838428,0.3295820684,2.858143476,51925,36.97624458,31,120.571076,-63,-3,4,31,66,112,152,0.7860760713,0.7856909003,0.7473471353,0.7026480501,0.5642946558,0.3435339432,0.5313083093,0.4545497868,3.697624458,51925,41.28242658,36,151.2207348,-109,-42,5,36,80,142,192,0.7818969668,0.7816273471,0.750158883,0.7130476649,0.5955127588,0.4025613866,0.5929905076,0.5242032656,4.128242658,51923,43.84180421,40,214.3804513,-176,-84,1,40,98,179,251.95,0.7571788995,0.7569670474,0.7324114554,0.7030217823,0.6070720105,0.4476821447,0.6290222136,0.5867310767,4.384180421,51922,44.54447055,44,294.6841985,-268,-144,-10,44,121,235,338,0.7107391857,0.7105658488,0.6915758253,0.6702939024,0.5986672316,0.4759446863,0.6381141081,0.6347112249,4.454447055,51922,39.80882863,48,491.1959071,-453.975,-264,-63,48,171,352.45,523,0.6485690074,0.6484727091,0.6363006048,0.621278071,0.5756134201,0.4962636262,0.5677685872,0.69807251,3.980882863,0.02423404322
threatened_bid,0.9,score_at_or_above,31147,0.9622338306,0.9000020057,0.9948274938,0.7702186406,0.9456448454,0.9710405497,0.9834644405,0.95023438,31146,33.79078674,15.49496198,57.06897545,0.9658715125,0.9872218833,0.993193566,0.9973029379,31147,40.89840113,34,65.83203216,1,6,17,34,58,89,115,0.9502680836,0.9502359778,0.9202170353,0.856326452,0.6390663627,0.3176870967,0.5868141251,0.4950164902,4.089840113,31147,39.91999229,33,66.04964907,0,4,16,33,57,88,113,0.9282434905,0.9281792789,0.8993482518,0.8369987479,0.6233345105,0.3092753716,0.5727277666,0.4805720978,3.991999229,31147,49.61220984,40,94.00901712,-30,3,18,40,75,122,160,0.9099110669,0.9098468552,0.8864096061,0.8406588114,0.6779786175,0.4148393104,0.7125243578,0.5802976512,4.961220984,31147,53.50033711,44,124.392762,-72,-10,17,44,88,148,198,0.8732462195,0.8731820079,0.8533406107,0.8159373294,0.6813176229,0.4580537451,0.7685119233,0.6324505879,5.350033711,31145,56.4484829,48,175.5007645,-129,-50.8,14,48,104,182,250,0.8271953765,0.8271632686,0.8107561406,0.7806389469,0.6716969016,0.4894846685,0.8103475269,0.6897914459,5.64484829,31145,59.55281747,52,266.5641675,-208.8,-104,5,52,125,232,327,0.7679242254,0.7679242254,0.7534756783,0.7313212394,0.6507625622,0.5121528335,0.8541746873,0.7518906918,5.955281747,31145,56.42836731,56,474.3142108,-371.8,-206,-36,56,170,337,485.8,0.6879434901,0.6879113822,0.6774121047,0.6620645368,0.6100818751,0.5195697544,0.8070833529,0.8065998481,5.642836731,0.01453669223
