population,decile,observations,mean_sweep_p,min_sweep_p,max_sweep_p,realised_sweep_rate_100ms,realised_sweep_rate_250ms,realised_sweep_rate_500ms,realised_sweep_rate_1000ms,p_next_move_follows_sweep,next_move_observed,time_to_next_mid_move_median_ms,time_to_next_mid_move_p25_ms,time_to_next_mid_move_p75_ms,p_mid_moves_within_100ms,p_mid_moves_within_250ms,p_mid_moves_within_500ms,p_mid_moves_within_1000ms,first_move_observed,first_move_mean_ticks,first_move_median_ticks,first_move_std_ticks,first_move_p5_ticks,first_move_p10_ticks,first_move_p25_ticks,first_move_p50_ticks,first_move_p75_ticks,first_move_p90_ticks,first_move_p95_ticks,first_move_frac_favourable,first_move_frac_ge_1t,first_move_frac_ge_5t,first_move_frac_ge_10t,first_move_frac_ge_25t,first_move_frac_ge_50t,first_move_mean_bps,first_move_median_bps,first_move_mean_usd_per_btc,markout_100ms_observed,markout_100ms_mean_ticks,markout_100ms_median_ticks,markout_100ms_std_ticks,markout_100ms_p5_ticks,markout_100ms_p10_ticks,markout_100ms_p25_ticks,markout_100ms_p50_ticks,markout_100ms_p75_ticks,markout_100ms_p90_ticks,markout_100ms_p95_ticks,markout_100ms_frac_favourable,markout_100ms_frac_ge_1t,markout_100ms_frac_ge_5t,markout_100ms_frac_ge_10t,markout_100ms_frac_ge_25t,markout_100ms_frac_ge_50t,markout_100ms_mean_bps,markout_100ms_median_bps,markout_100ms_mean_usd_per_btc,markout_250ms_observed,markout_250ms_mean_ticks,markout_250ms_median_ticks,markout_250ms_std_ticks,markout_250ms_p5_ticks,markout_250ms_p10_ticks,markout_250ms_p25_ticks,markout_250ms_p50_ticks,markout_250ms_p75_ticks,markout_250ms_p90_ticks,markout_250ms_p95_ticks,markout_250ms_frac_favourable,markout_250ms_frac_ge_1t,markout_250ms_frac_ge_5t,markout_250ms_frac_ge_10t,markout_250ms_frac_ge_25t,markout_250ms_frac_ge_50t,markout_250ms_mean_bps,markout_250ms_median_bps,markout_250ms_mean_usd_per_btc,markout_500ms_observed,markout_500ms_mean_ticks,markout_500ms_median_ticks,markout_500ms_std_ticks,markout_500ms_p5_ticks,markout_500ms_p10_ticks,markout_500ms_p25_ticks,markout_500ms_p50_ticks,markout_500ms_p75_ticks,markout_500ms_p90_ticks,markout_500ms_p95_ticks,markout_500ms_frac_favourable,markout_500ms_frac_ge_1t,markout_500ms_frac_ge_5t,markout_500ms_frac_ge_10t,markout_500ms_frac_ge_25t,markout_500ms_frac_ge_50t,markout_500ms_mean_bps,markout_500ms_median_bps,markout_500ms_mean_usd_per_btc,markout_1000ms_observed,markout_1000ms_mean_ticks,markout_1000ms_median_ticks,markout_1000ms_std_ticks,markout_1000ms_p5_ticks,markout_1000ms_p10_ticks,markout_1000ms_p25_ticks,markout_1000ms_p50_ticks,markout_1000ms_p75_ticks,markout_1000ms_p90_ticks,markout_1000ms_p95_ticks,markout_1000ms_frac_favourable,markout_1000ms_frac_ge_1t,markout_1000ms_frac_ge_5t,markout_1000ms_frac_ge_10t,markout_1000ms_frac_ge_25t,markout_1000ms_frac_ge_50t,markout_1000ms_mean_bps,markout_1000ms_median_bps,markout_1000ms_mean_usd_per_btc,markout_2000ms_observed,markout_2000ms_mean_ticks,markout_2000ms_median_ticks,markout_2000ms_std_ticks,markout_2000ms_p5_ticks,markout_2000ms_p10_ticks,markout_2000ms_p25_ticks,markout_2000ms_p50_ticks,markout_2000ms_p75_ticks,markout_2000ms_p90_ticks,markout_2000ms_p95_ticks,markout_2000ms_frac_favourable,markout_2000ms_frac_ge_1t,markout_2000ms_frac_ge_5t,markout_2000ms_frac_ge_10t,markout_2000ms_frac_ge_25t,markout_2000ms_frac_ge_50t,markout_2000ms_mean_bps,markout_2000ms_median_bps,markout_2000ms_mean_usd_per_btc,markout_5000ms_observed,markout_5000ms_mean_ticks,markout_5000ms_median_ticks,markout_5000ms_std_ticks,markout_5000ms_p5_ticks,markout_5000ms_p10_ticks,markout_5000ms_p25_ticks,markout_5000ms_p50_ticks,markout_5000ms_p75_ticks,markout_5000ms_p90_ticks,markout_5000ms_p95_ticks,markout_5000ms_frac_favourable,markout_5000ms_frac_ge_1t,markout_5000ms_frac_ge_5t,markout_5000ms_frac_ge_10t,markout_5000ms_frac_ge_25t,markout_5000ms_frac_ge_50t,markout_5000ms_mean_bps,markout_5000ms_median_bps,markout_5000ms_mean_usd_per_btc,side_name
all,0,428530,0.000880708822,3.767711324e-05,0.00158629135,0.0002800270693,0.0008540825613,0.00212120505,0.00524817399,0.2349977886,318803,6390.446289,2227.55603,14143.12402,0.01102139874,0.02909247894,0.05528201059,0.09949361772,428520,-10.40557034,-13,36.01669105,-59,-45,-30,-13,6,35,46,0.290324839,0.290324839,0.2562820872,0.2343717913,0.1554256511,0.04197237002,-0.1612145604,-0.2020247542,-1.040557034,428530,-0.2366718783,0,3.021793341,0,0,0,0,-0,0,-0,0.0001423470936,0.0001423470936,0.0001260121812,0.0001190115044,8.63416797e-05,3.500338366e-05,-0.003661192918,0,-0.02366718783,428530,-0.7770611159,0,6.407331847,0,-0,0,-0,-0,0,0,0.0007164025856,0.0007164025856,0.0006510629361,0.0006253937881,0.0005063822836,0.0002216880965,-0.01201885322,0,-0.07770611159,428530,-1.653636852,0,10.55656758,-2,0,0,-0,-0,0,0,0.001936853896,0.001936853896,0.00177817189,0.001708165123,0.001416470259,0.0007187361445,-0.02557607182,0,-0.1653636852,428530,-3.205723053,0,16.22113438,-27,0,0,-0,-0,0,0,0.005014818099,0.005014818099,0.00469045341,0.00452010361,0.003831703731,0.002090868784,-0.04958947502,0,-0.3205723053,428530,-5.809061209,0,23.74736188,-45,-24,0,0,-0,0,0,0.01293491704,0.01293491704,0.01209250228,0.01167946235,0.009803280984,0.005523533942,-0.08988024554,0,-0.5809061209,428520,-11.38724097,0,38.67933623,-81,-50,-8,0,0,0,0,0.04072388687,0.04072388687,0.03838093905,0.03696910296,0.03121674601,0.01882525903,-0.1762480063,0,-1.138724097,
all,1,428529,0.002535498034,0.001586298862,0.003656750547,0.0006043931683,0.001908860098,0.004818821641,0.01172163053,0.3666361046,303208,7385.432861,2667.708069,15454.3186,0.01112176772,0.02492952619,0.04556761752,0.08133733467,428506,-4.989903292,-6.5,39.18722395,-60,-45,-28.5,-6.5,20,40,54.5,0.4031332117,0.403130878,0.3545224571,0.3229663062,0.2138569822,0.06213448586,-0.07601373614,-0.100959974,-0.4989903292,428529,-0.2766312198,0,3.708179682,0,-0,0,0,0,0,-0,0.0003126976237,0.0003126976237,0.0002543585148,0.0002286893069,0.0001516816832,4.900485148e-05,-0.004206877472,0,-0.02766312198,428528,-0.7131155957,0,7.199777387,0,0,0,0,0,0,0,0.001575159616,0.001575159616,0.00140947616,0.001334801927,0.001017436434,0.0004643803905,-0.0108009515,0,-0.07131155957,428528,-1.384092755,0,11.54331673,0,0,0,0,0,0,-0,0.00446878617,0.00446878617,0.004079080013,0.003904062278,0.003096647127,0.001570492477,-0.02093292715,0,-0.1384092755,428524,-2.485700918,0,17.64401796,-20,0,0,-0,0,-0,0,0.01119890601,0.01119890601,0.01035647945,0.009980771205,0.008230577517,0.004431490418,-0.03757643202,0,-0.2485700918,428516,-4.100413987,0,26.58926078,-41,-9,-0,-0,0,0,0,0.02679013152,0.02678779789,0.02512391603,0.02407144657,0.02029795854,0.01156316217,-0.06204433446,0,-0.4100413987,428503,-6.949524274,0,44.909648,-81,-42,-0,0,0,-0,35,0.07509632371,0.07509632371,0.07118269884,0.06843359323,0.05848733848,0.03741630747,-0.105491836,0,-0.6949524274,
all,2,428529,0.005334026558,0.003656761378,0.007425960334,0.001232124855,0.003981079372,0.009353035069,0.02111915169,0.4289931891,321103,6532.842285,2287.645264,14266.06836,0.01478083112,0.03207032462,0.05688362845,0.09936035807,428511,-3.012961161,-3,40.99370476,-62,-47,-28.5,-3,24,41,58,0.4502171473,0.4501938107,0.4000270705,0.3646557498,0.2441314225,0.06995619716,-0.04407125479,-0.04661450504,-0.3012961161,428528,-0.4185782493,0,4.942405813,0,0,-0,0,0,0,0,0.0006930702311,0.0006930702311,0.0005810588806,0.0005273867752,0.0003126983534,0.0001096777807,-0.006226203596,0,-0.04185782493,428527,-0.9708898156,0,9.186522003,0,0,0,0,0,0,0,0.003234335293,0.003234335293,0.002914635484,0.002695279411,0.002013875438,0.0009030936207,-0.01439350969,0,-0.09708898156,428524,-1.712459512,0,14.3943049,0,0,0,0,0,-0,0,0.008512942099,0.008512942099,0.007864203639,0.007369482223,0.005931989807,0.003087341666,-0.0253302081,0,-0.1712459512,428521,-2.898017833,0,22.20713291,-29,0,0,0,0,0,0,0.02015770522,0.02015770522,0.01880654624,0.01788010389,0.01466439218,0.00828430812,-0.0428159702,0,-0.2898017833,428510,-4.429758932,0,33.28662119,-53,-17,0,0,0,0,-0,0.04612027724,0.04612027724,0.0432288628,0.0411332291,0.03452894915,0.02053627687,-0.06536497752,0,-0.4429758932,428503,-6.359067498,0,56.60914662,-97,-53,0,0,0,16,60,0.1160341935,0.1160341935,0.1106106608,0.1060482657,0.09024207532,0.05828897347,-0.09377189269,0,-0.6359067498,
all,3,428530,0.01074401852,0.007425973144,0.01489153125,0.002482912475,0.007635458209,0.01736654804,0.03951965015,0.4590845851,354353,4734.712402,1599.82019,11271.22363,0.02355733218,0.04886506568,0.08525523598,0.1467069292,428522,-2.611545032,-2,44.04737284,-67,-50,-30,-2,26,44,61,0.4699992066,0.4699642025,0.4212525845,0.3845846888,0.262086894,0.0799375528,-0.03595151518,-0.02863235413,-0.2611545032,428529,-0.6893010741,0,6.72490025,0,-0,0,0,0,0,0,0.00136046802,0.00136046802,0.001183117129,0.001057104653,0.0007164042574,0.0002730270297,-0.01009454968,0,-0.06893010741,428527,-1.48482126,0,12.05313013,0,-0,0,0,0,0,0,0.006158305078,0.006158305078,0.005642584948,0.005259878607,0.004062754506,0.001848191596,-0.02166503007,0,-0.148482126,428525,-2.501672014,0,18.64896203,-21,0,0,0,0,0,0,0.01584971705,0.01584971705,0.01473893005,0.01389417187,0.01109620209,0.005929642378,-0.03636189029,0,-0.2501672014,428521,-3.944900017,0,28.46797555,-46,-6,0,0,0,0,0,0.03762942773,0.03762942773,0.03544517072,0.03350594253,0.02751323739,0.01587320108,-0.05712954018,0,-0.3944900017,428514,-5.818106293,0,42.82482254,-78,-38,0,0,0,0,34,0.07902892321,0.07902658956,0.07479335564,0.07117387063,0.05952664324,0.03648422222,-0.08402209475,0,-0.5818106293,428510,-7.55039439,0,72.90408171,-130,-78,0,-0,0,45,90,0.1786656087,0.1786656087,0.1700497071,0.1631397167,0.1403794544,0.09373410189,-0.1083079049,0,-0.755039439,
all,4,428529,0.02102529011,0.01489153268,0.02826360203,0.004417457943,0.01287669826,0.02922143839,0.06448759746,0.4658325164,387620,3260.967529,1114.245728,8042.239624,0.03444123707,0.07125355288,0.1233101762,0.2089119979,428471,-3.034206516,-1,48.94828851,-76,-57,-32,-1,27,49,68,0.472697102,0.4726060807,0.4255527212,0.3862478441,0.2719507271,0.09779424979,-0.04005646894,-0.01559324095,-0.3034206516,428527,-1.072424841,0,9.361655334,0,0,-0,0,0,0,0,0.002401248929,0.002396581779,0.002088549846,0.001939201031,0.001334805041,0.0004993851029,-0.01542879761,0,-0.1072424841,428526,-2.226153139,0,16.25977255,-12,-0,0,0,-0,0,-0,0.01057112054,0.01056878696,0.009726364328,0.009110299025,0.006940068981,0.003430363619,-0.03189655093,0,-0.2226153139,428521,-3.673654267,0,25.15210036,-39,0,0,0,0,0,0,0.02674548038,0.02674314678,0.02500460888,0.02355310475,0.01889989055,0.01032154784,-0.05243843029,0,-0.3673654267,428501,-5.538625347,0,37.75916742,-68,-30,0,0,0,0,17,0.06146076672,0.06146076672,0.05800919951,0.05483534461,0.04536278795,0.02657169995,-0.07872220077,0,-0.5538625347,428476,-7.408557305,0,56.7191962,-103,-59,-0,0,0,21,61,0.124492387,0.124492387,0.11818865,0.1125920705,0.09501582352,0.06044912667,-0.104719103,0,-0.7408557305,428441,-8.511041194,0,94.88788401,-168,-107,-24,0,1,76,127,0.2545134569,0.2545134569,0.2434547581,0.2334673852,0.2022262108,0.1433149488,-0.118805219,0,-0.8511041194,
all,5,428529,0.03812706536,0.02826361931,0.049637927,0.007308723564,0.02127530482,0.0470407587,0.09816202896,0.4864044474,406530,2480.869629,870.5093842,6033.743164,0.04327361742,0.08904731346,0.1553899216,0.2625316208,428459,-2.108931076,-1,52.48817085,-80,-60,-33,-1,29,54.5,74,0.4892206722,0.4890829694,0.4396500015,0.4001713116,0.2890148182,0.1177288842,-0.02599739201,-0.01436576237,-0.2108931076,428529,-1.346618315,0,10.8025943,0,0,0,0,0,0,-0,0.004055734851,0.004051067722,0.003516681485,0.003222652376,0.002310228713,0.0008774201979,-0.01916116066,0,-0.1346618315,428525,-2.581327811,0,19.95682537,-22,0,0,0,0,-0,-0,0.01746689225,0.0174575579,0.01609007642,0.01508896797,0.01184294965,0.005955311825,-0.036558631,0,-0.2581327811,428522,-3.934641629,0,30.25983296,-48,-8,0,-0,-0,-0,0,0.04299195841,0.0429872912,0.04005628649,0.03786503377,0.0307358782,0.01732466478,-0.05542367205,0,-0.3934641629,428516,-5.537528354,0,45.52811259,-79,-40,0,0,0,0,40,0.09292535168,0.09292301804,0.08734563003,0.08291405688,0.06877222787,0.04203110269,-0.07746764788,0,-0.5537528354,428494,-6.762602277,0,67.76014179,-119,-72,0,0,-0,43,86,0.1765812357,0.1765789019,0.1672205445,0.159577497,0.135586496,0.08976788473,-0.09370115226,0,-0.6762602277,428415,-6.950789538,0,114.0898817,-196,-129,-38,0,28,103,161,0.3239265665,0.3239242323,0.3099541333,0.297947084,0.2605627721,0.1918700326,-0.09402178104,0,-0.6950789538,
all,6,428530,0.06596689571,0.04963798184,0.08561917354,0.01315203009,0.03585596938,0.0736700123,0.1441689731,0.5196688617,415174,1970.214233,706.3174286,4791.084351,0.04964914696,0.106114067,0.185441019,0.3127313205,428483,0.164670477,1,53.28271402,-81,-60,-32,1,32,58,79,0.520410378,0.5202120037,0.4675471372,0.4270531153,0.3126565115,0.1340146517,0.006472072919,0.01546274985,0.0164670477,428527,-1.372647464,0,11.59645577,0,-0,0,0,-0,0,0,0.00736009633,0.007355429179,0.006517675666,0.005915613252,0.004193434719,0.001864526623,-0.01943917785,0,-0.1372647464,428520,-2.306315925,0,21.32037342,-26,-0,0,0,0,0,0,0.02991692336,0.02991225614,0.0274432932,0.02568374872,0.0200597405,0.01040324839,-0.03236898854,0,-0.2306315925,428519,-3.091180321,0,33.04537813,-52,-13,0,0,0,0,22,0.06730390018,0.06729689932,0.06273467454,0.05922724547,0.04808888287,0.02774439406,-0.04297841646,0,-0.3091180321,428518,-3.647608735,0,50.56198271,-85,-44,0,0,0,25,63,0.1356279083,0.1356209074,0.1274788924,0.1211501034,0.1011579444,0.06325755277,-0.04999990319,0,-0.3647608735,428508,-3.561294072,0,76.12721163,-129,-78,0,0,0,64,108,0.2375964976,0.2375918303,0.2253166802,0.21578827,0.1845333109,0.124259057,-0.04735107799,0,-0.3561294072,428432,-2.431655432,0,128.5693746,-213,-142,-42,-0,44,126,191,0.3857461628,0.3857438287,0.3694471935,0.3563529335,0.3142669082,0.2366863353,-0.02880298289,0,-0.2431655432,
all,7,428529,0.115287243,0.08561922972,0.152258487,0.02382808125,0.06106089988,0.1184988297,0.2138604896,0.5645599567,421004,1533.614258,552.8598938,3708.194946,0.05648172348,0.1281588153,0.2273388111,0.3767703664,428476,3.236376133,5,54.88187569,-81,-60,-30,5,35,63,83,0.563826212,0.5636418376,0.505827631,0.4643340584,0.3425886164,0.1542070034,0.04935259391,0.07724697945,0.3236376133,428528,-1.216506273,0,12.54902218,0,0,-0,-0,0,0,0,0.0137703954,0.01375872755,0.01199221521,0.01092810738,0.007658776089,0.00329266699,-0.01719982696,0,-0.1216506273,428523,-1.523197121,0,24.33223001,-28,0,-0,0,0,-0,1,0.05118745085,0.05117344927,0.04684929397,0.0438389538,0.0341008534,0.01820439043,-0.02120356951,0,-0.1523197121,428519,-1.1885599,0,38.22422977,-55,-14,-0,0,-0,6,45,0.1088749857,0.1088586504,0.1012113815,0.09571104198,0.07753681867,0.0457972692,-0.01590343338,0,-0.11885599,428513,0.001388522635,0,57.9094214,-90,-46,0,0,0,48,86,0.1997325635,0.199716228,0.1881506512,0.1791217536,0.1496290661,0.09680919832,0.00185564624,0,0.0001388522635,428503,2.342285818,0,86.5930609,-138,-83,0,0,24,88,134,0.3163781817,0.3163641795,0.3009337157,0.2884810608,0.2480729423,0.1736393911,0.03635661262,0,0.2342285818,428420,5.192289109,0,144.8645191,-229,-152,-45,0,65,155,224,0.4517459502,0.4517389478,0.4336002054,0.4194738808,0.3738947762,0.2907030484,0.07876654792,0,0.5192289109,
all,8,428529,0.2151014101,0.1522585878,0.3026963746,0.05209694582,0.1181307975,0.2059955335,0.3311023677,0.6180258217,425534,1032.776367,366.4707031,2561.038574,0.07782922003,0.1823044163,0.3126395796,0.4876036722,428505,7.256743795,10,56.83046532,-81,-58,-26,10,39,67,87,0.6174770423,0.6173276858,0.5539235248,0.5087315201,0.3777132122,0.1755078704,0.1052324472,0.1533409864,0.7256743795,428528,-0.9012736624,0,15.77524422,0,0,0,0,0,0,0,0.0314821902,0.03143085166,0.02695039764,0.02452348505,0.01745976926,0.007348411306,-0.01276072832,0,-0.09012736624,428525,0.08268245727,0,30.51963537,-32,0,0,0,0,1,37,0.1007502479,0.1007199113,0.09155825214,0.08560760749,0.0663135173,0.03534449565,0.001537004194,0,0.008268245727,428519,2.253791547,0,47.31214824,-61,-18,-0,0,0,40,71,0.188771093,0.1887454232,0.1750634161,0.1655492522,0.1343557695,0.0803558302,0.03285301868,0,0.2253791547,428514,5.896716327,0,71.07942752,-99,-52,0,0,18,73,113,0.3033389808,0.3033179779,0.2858202999,0.2725325194,0.2292317171,0.1518736844,0.08527098892,0,0.5896716327,428502,10.31086786,0,105.4007041,-153,-92,0,-0,47,115,168,0.4210878829,0.4210785481,0.4009922941,0.3849923688,0.3339937737,0.240927697,0.1487941953,0,1.031086786,428479,15.09984387,5,175.2475037,-260,-170,-51,5,91,195,276,0.5203288843,0.5203218828,0.5021949734,0.4871580638,0.4404813305,0.3547525083,0.2179848194,0.07647815057,1.509984387,
all,9,428530,0.5570963498,0.3026967811,0.995349529,0.2793043178,0.4175656723,0.5242352326,0.6346104481,0.7229737466,427945,259.0404663,72.07681274,913.7349243,0.3354708783,0.4926877761,0.6310611417,0.7654124214,428527,15.504813,19,81.4175798,-78,-52,-6,19,44,73,95,0.7226942526,0.7223488835,0.6503580871,0.5968118695,0.4377763828,0.2100474416,0.2222419705,0.2728424801,1.5504813,428529,7.5306362,0,45.9460955,-20,0,0,0,3,41.5,65,0.2672117873,0.2669224253,0.2427536993,0.2229137351,0.162481419,0.07863878524,0.1081782764,0,0.75306362,428529,12.50007934,0,78.35889606,-58,-10,0,0,26,68,100,0.3781867738,0.377976753,0.3500719905,0.3276137671,0.2578401928,0.1502605425,0.1793673879,0,1.250007934,428529,16.88588287,0,105.4449811,-95,-43,0,0,42,94,138,0.4664001736,0.4662274899,0.4378606815,0.4142776802,0.3400563322,0.2192593733,0.242088915,0,1.688588287,428518,21.35998138,7,144.2391815,-148,-80,0,7,61,130,189,0.5383344457,0.5382037627,0.5114137562,0.4892186559,0.4171096663,0.2944240382,0.3061744816,0.1007116718,2.135998138,428503,25.23680931,19,205.9963666,-219,-131,-21,19,86,180,261,0.5803599975,0.5802736504,0.5578047295,0.5385119824,0.476563758,0.3673416522,0.3619352813,0.2769136372,2.523680931,428473,29.84903483,29,329.5911417,-369,-231,-71,29,136,286,414,0.5843425373,0.5842981938,0.5692097285,0.5551108238,0.5124220196,0.4370730478,0.4287232272,0.4171240548,2.984903483,
