regime,signal_column,alpha_pct,beta_pct,bucket,eligible_opportunities,filled,fill_rate_30000ms,at_quote_fills,trade_through_fills,at_quote_rate_given_fill,trade_through_rate_given_fill,fill_evaluable_500ms,fill_rate_500ms,fill_evaluable_1000ms,fill_rate_1000ms,fill_evaluable_5000ms,fill_rate_5000ms,median_time_to_fill_ms,markout_100ms_observed,markout_100ms_censored,markout_100ms_mean_ticks,markout_100ms_median_ticks,markout_100ms_p10_ticks,markout_100ms_p25_ticks,markout_100ms_p50_ticks,markout_100ms_p75_ticks,markout_100ms_p90_ticks,markout_100ms_frac_favourable,markout_100ms_frac_non_negative,required_benefit_100ms_ticks,required_benefit_100ms_usd_per_btc,required_benefit_100ms_bps,markout_500ms_observed,markout_500ms_censored,markout_500ms_mean_ticks,markout_500ms_median_ticks,markout_500ms_p10_ticks,markout_500ms_p25_ticks,markout_500ms_p50_ticks,markout_500ms_p75_ticks,markout_500ms_p90_ticks,markout_500ms_frac_favourable,markout_500ms_frac_non_negative,required_benefit_500ms_ticks,required_benefit_500ms_usd_per_btc,required_benefit_500ms_bps,markout_1000ms_observed,markout_1000ms_censored,markout_1000ms_mean_ticks,markout_1000ms_median_ticks,markout_1000ms_p10_ticks,markout_1000ms_p25_ticks,markout_1000ms_p50_ticks,markout_1000ms_p75_ticks,markout_1000ms_p90_ticks,markout_1000ms_frac_favourable,markout_1000ms_frac_non_negative,required_benefit_1000ms_ticks,required_benefit_1000ms_usd_per_btc,required_benefit_1000ms_bps,markout_5000ms_observed,markout_5000ms_censored,markout_5000ms_mean_ticks,markout_5000ms_median_ticks,markout_5000ms_p10_ticks,markout_5000ms_p25_ticks,markout_5000ms_p50_ticks,markout_5000ms_p75_ticks,markout_5000ms_p90_ticks,markout_5000ms_frac_favourable,markout_5000ms_frac_non_negative,required_benefit_5000ms_ticks,required_benefit_5000ms_usd_per_btc,required_benefit_5000ms_bps,median_spread_ticks,mean_spread_ticks,required_benefit_1s_in_half_spreads,required_benefit_1s_in_full_spreads,signal_mean
realized_activity,backward_mid_abs_change_ticks_5000ms,0,100,0,309488,298661,0.9650164142,296992,1669,0.9944117243,0.00558827567,309484,0.4163252381,309480,0.6057354272,309462,0.9207334018,642.030826,298661,0,-1.23618082,0.5,0.5,0.5,0.5,0.5,0.5,0.9380434673,0.9380434673,1.23618082,0.123618082,0.01842574658,298660,1,-2.25323947,0.5,0.5,0.5,0.5,0.5,0.5,0.9154356124,0.9154356124,2.25323947,0.225323947,0.03363594707,298658,3,-2.536622156,0.5,-4.5,0.5,0.5,0.5,0.5,0.8923886184,0.8923886184,2.536622156,0.2536622156,0.03787641458,298636,25,-3.47084243,0.5,-55.5,0.5,0.5,0.5,39.5,0.7775854217,0.7775854217,3.47084243,0.347084243,0.05202524046,1,1.000284341,5.071802194,2.535901097,6.357506752
realized_activity,backward_mid_abs_change_ticks_5000ms,0,100,1,102296,98313,0.9610639712,95432,2881,0.9706956354,0.02930436463,102292,0.6331775701,102290,0.7920226806,102266,0.9265445016,296.247102,98313,0,-3.555831884,0.5,-14.5,0.5,0.5,0.5,0.5,0.8636192569,0.8636294285,3.555831884,0.3555831884,0.05150865774,98312,1,-5.998087721,0.5,-39.5,0.5,0.5,0.5,0.5,0.8046423631,0.8046423631,5.998087721,0.5998087721,0.08704405939,98306,7,-6.685065001,0.5,-55.5,0.5,0.5,0.5,22.5,0.7556710679,0.7556710679,6.685065001,0.6685065001,0.097048068,98288,25,-8.318324719,0.5,-130.5,-50.5,0.5,30.5,108.5,0.5944876282,0.5944876282,8.318324719,0.8318324719,0.1212526579,1,1.004887777,13.30509766,6.652548828,95.05671692
realized_activity,backward_mid_abs_change_ticks_5000ms,0,100,2,102294,99209,0.9698418285,89664,9545,0.9037889708,0.09621102924,102292,0.7808430767,102292,0.8694326047,102270,0.9355040579,149.89533,99209,0,-7.662717092,0.5,-42.5,0.5,0.5,0.5,0.5,0.7554858934,0.7554959731,7.662717092,0.7662717092,0.1092011761,99206,3,-11.39119106,0.5,-83.5,-27.5,0.5,0.5,43.5,0.66477834,0.66477834,11.39119106,1.139119106,0.1626821194,99204,5,-12.19815229,0.5,-111.5,-43.5,0.5,1.5,77.5,0.609037942,0.6090480223,12.19815229,1.219815229,0.1742600118,99181,28,-13.88649036,0.5,-242.5,-111.5,0.5,84.5,212.5,0.5053286416,0.5053286416,13.88649036,1.388649036,0.1986674055,1,1.163000763,20.97703232,10.48851616,467.0122681
realized_activity,backward_mid_abs_change_ticks_5000ms,50,50,0,309488,185887,0.600627488,169419,16468,0.9114085439,0.0885914561,309484,0.042800274,309480,0.07616647279,309462,0.2580058295,6429.295828,185887,0,-18.85015359,-6.5,-51.5,-31.5,-6.5,0.5,0.5,0.4235422595,0.4235422595,18.85015359,1.885015359,0.2841014496,185885,2,-30.93370363,-14.5,-88.5,-45.5,-14.5,0.5,0.5,0.3899615354,0.3899615354,30.93370363,3.093370363,0.4657598593,185872,15,-34.07833079,-17.5,-97.5,-51.5,-17.5,0.5,0.5,0.3742521735,0.3742521735,34.07833079,3.407833079,0.5129195885,185868,19,-43.35063056,-27.5,-135.5,-72.5,-27.5,0.5,0.5,0.3292713108,0.3292713108,43.35063056,4.335063056,0.6536104716,1,1.000284341,68.13728738,34.06864369,6.357506752
realized_activity,backward_mid_abs_change_ticks_5000ms,50,50,1,102296,79587,0.7780069602,67805,11782,0.8519607474,0.1480392526,102292,0.1303816525,102290,0.2120637403,102266,0.5127706178,2699.33418,79587,0,-23.88780203,-13.5,-64.5,-38.5,-13.5,0.5,0.5,0.3578976466,0.3578976466,23.88780203,2.388780203,0.3474911478,79585,2,-39.02545706,-25.5,-105.5,-60.5,-25.5,0.5,0.5,0.3121442483,0.3121442483,39.02545706,3.902545706,0.5682455454,79575,12,-43.54050895,-29.5,-123.5,-69.5,-29.5,0.5,0.5,0.2986993402,0.2986993402,43.54050895,4.354050895,0.6340444986,79562,25,-53.81395641,-39.5,-195.5,-106.5,-39.5,0.5,68.5,0.3080616375,0.3080616375,53.81395641,5.381395641,0.7857159107,1,1.004887777,86.65745562,43.32872781,95.05671692
realized_activity,backward_mid_abs_change_ticks_5000ms,50,50,2,102294,89609,0.875994682,68195,21414,0.7610284681,0.2389715319,102292,0.3006784499,102292,0.4248230556,102270,0.7117434243,1071.984079,89609,0,-30.03572744,-21.5,-80.5,-49.5,-21.5,0.5,0.5,0.3028155654,0.3028378846,30.03572744,3.003572744,0.4283505244,89606,3,-45.76822981,-34.5,-136.5,-78.5,-34.5,0.5,0.5,0.2819007656,0.2819007656,45.76822981,4.576822981,0.6541996345,89605,4,-49.55890854,-38.5,-164.5,-93.5,-38.5,0.5,41.5,0.2894146532,0.2894258133,49.55890854,4.955890854,0.7088040286,89588,21,-55.65542818,-48.5,-292.5,-158.5,-48.5,44.5,176.5,0.3634638568,0.3634638568,55.65542818,5.565542818,0.7968411633,1,1.163000763,85.22592614,42.61296307,467.0122681
realized_activity,backward_mid_abs_change_ticks_5000ms,100,0,0,309488,157583,0.5091732151,35951,121632,0.2281400913,0.7718599087,309484,0.03481924752,309480,0.06077937185,309462,0.2056892284,7060.514986,157583,0,-29.18084755,-24.5,-63.5,-39.5,-24.5,-8.5,0.5,0.1109827837,0.1109827837,29.18084755,2.918084755,0.439255565,157583,0,-45.97042828,-34.5,-103.5,-64.5,-34.5,-13.5,-0.5,0.09497851926,0.09497851926,45.97042828,4.597042828,0.6914978765,157576,7,-49.74200703,-36.5,-115.5,-70.5,-36.5,-14.5,-0.5,0.09944407778,0.09944407778,49.74200703,4.974200703,0.7481129779,157571,12,-60.5694195,-42.5,-156.5,-91.5,-42.5,-15.5,0.5,0.1332922936,0.1332922936,60.5694195,6.05694195,0.9120593433,1,1.000284341,99.45573476,49.72786738,6.357506752
realized_activity,backward_mid_abs_change_ticks_5000ms,100,0,1,102296,74504,0.7283178228,15682,58822,0.2104853431,0.7895146569,102292,0.1088257146,102290,0.1744745332,102266,0.4347779321,3433.129125,74504,0,-33.901059,-28.5,-73.5,-47.5,-28.5,-10.5,0.5,0.1003972941,0.1003972941,33.901059,3.3901059,0.4932038539,74504,0,-52.72276656,-39.5,-120.5,-74.5,-39.5,-16.5,-0.5,0.09388757651,0.09388757651,52.72276656,5.272276656,0.767435683,74498,6,-57.68394454,-42.5,-139.5,-84.5,-42.5,-16.5,0.5,0.1088754061,0.1088754061,57.68394454,5.768394454,0.8395992957,74485,19,-68.32296436,-54.5,-212.5,-122.5,-54.5,-7.5,55.5,0.2110626301,0.2110626301,68.32296436,6.832296436,0.996668225,1,1.004887777,114.8067394,57.40336969,95.05671692
realized_activity,backward_mid_abs_change_ticks_5000ms,100,0,2,102294,86927,0.8497761355,17033,69894,0.1959460237,0.8040539763,102292,0.2603722676,102292,0.3667833262,102270,0.6514227046,1392.377483,86927,0,-39.39532596,-32.5,-89.5,-57.5,-32.5,-11.5,0.5,0.1090685288,0.1090915366,39.39532596,3.939532596,0.5618351354,86925,2,-57.6743342,-46.5,-148.5,-90.5,-46.5,-15.5,0.5,0.1418349152,0.1418349152,57.6743342,5.76743342,0.8242496252,86924,3,-61.59289149,-51.5,-177.5,-105.5,-51.5,-11.5,31.5,0.1816414339,0.1816529382,61.59289149,6.159289149,0.8806635425,86908,19,-68.22711948,-60.5,-306.5,-171.5,-60.5,31.5,164.5,0.3211441985,0.3211441985,68.22711948,6.822711948,0.9768446822,1,1.163000763,105.9206382,52.9603191,467.0122681
depth_event_intensity,depth_event_count_1000ms,0,100,0,513708,495820,0.9651786618,481798,14022,0.9717195757,0.02828042435,513698,0.5318611324,513692,0.6951811591,513628,0.9248055013,419.2071425,495820,0,-2.964595014,0.5,-5.5,0.5,0.5,0.5,0.5,0.8868823363,0.8868863701,2.964595014,0.2964595014,0.04289579756,495815,5,-4.807704487,0.5,-30.5,0.5,0.5,0.5,0.5,0.8434839608,0.8434839608,4.807704487,0.4807704487,0.06980699873,495805,15,-5.289873035,0.5,-44.5,0.5,0.5,0.5,6.5,0.8087736106,0.8087736106,5.289873035,0.5289873035,0.07686027381,495742,78,-6.53393499,0.5,-110.5,-25.5,0.5,0.5,89.5,0.6869621698,0.6869621698,6.53393499,0.653393499,0.09534992126,1,1.029962547,10.27197164,5.135985819,9.801268578
