alpha_pct,beta_pct,required_benefit_100ms_ticks,required_benefit_100ms_usd_per_btc,required_benefit_100ms_bps,required_benefit_500ms_ticks,required_benefit_500ms_usd_per_btc,required_benefit_500ms_bps,required_benefit_1000ms_ticks,required_benefit_1000ms_usd_per_btc,required_benefit_1000ms_bps,required_benefit_5000ms_ticks,required_benefit_5000ms_usd_per_btc,required_benefit_5000ms_bps,mean_spread_ticks,required_benefit_1s_in_half_spreads,required_benefit_1s_in_full_spreads,filled,markout_1000ms_observed
0,0,2.980742992,0.2980742992,0.04313078451,4.822283535,0.4822283535,0.07001969023,5.290284742,0.5290284742,0.07686870537,6.513512261,0.6513512261,0.09505714091,1.033578562,10.23683141,5.118415703,496183,496168
0,25,2.980742992,0.2980742992,0.04313078451,4.822283535,0.4822283535,0.07001969023,5.290284742,0.5290284742,0.07686870537,6.513512261,0.6513512261,0.09505714091,1.033578562,10.23683141,5.118415703,496183,496168
0,50,2.980742992,0.2980742992,0.04313078451,4.822283535,0.4822283535,0.07001969023,5.290284742,0.5290284742,0.07686870537,6.513512261,0.6513512261,0.09505714091,1.033578562,10.23683141,5.118415703,496183,496168
0,75,2.980742992,0.2980742992,0.04313078451,4.822283535,0.4822283535,0.07001969023,5.290284742,0.5290284742,0.07686870537,6.513512261,0.6513512261,0.09505714091,1.033578562,10.23683141,5.118415703,496183,496168
0,100,2.980742992,0.2980742992,0.04313078451,4.822283535,0.4822283535,0.07001969023,5.290284742,0.5290284742,0.07686870537,6.513512261,0.6513512261,0.09505714091,1.033578562,10.23683141,5.118415703,496183,496168
25,0,23.34250146,2.334250146,0.3429667121,36.57278092,3.657278092,0.5378892115,39.91738814,3.991738814,0.5870726434,48.02957557,4.802957557,0.7081816844,1.033578562,77.24113021,38.6205651,357743,357715
25,25,18.10725261,1.810725261,0.265768597,29.45865347,2.945865347,0.432942023,32.65136433,3.265136433,0.4799173541,40.65619306,4.065619306,0.5994533051,1.033578562,63.18119498,31.59059749,378760,378722
25,50,13.94618247,1.394618247,0.204132033,23.26482821,2.326482821,0.3411000901,26.2071971,2.62071971,0.3843828559,33.73327073,3.373327073,0.4968310639,1.033578562,50.71157252,25.35578626,401542,401509
25,75,12.61615704,1.261615704,0.1845102064,21.16606494,2.116606494,0.3100919875,23.96912792,2.396912792,0.3512913029,31.16275242,3.116275242,0.458801337,1.033578562,46.38085348,23.19042674,410496,410468
25,100,11.88343027,1.188343027,0.1737258149,19.99648411,1.999648411,0.2928538048,22.69087129,2.269087129,0.332450006,29.67835233,2.967835233,0.4368857483,1.033578562,43.90739539,21.9536977,415408,415382
50,0,28.77238596,2.877238596,0.4225021974,44.53859817,4.453859817,0.6546886453,48.26251425,4.826251425,0.7095075593,57.41799991,5.741799991,0.8461321647,1.033578562,93.38915498,46.69457749,334138,334119
50,25,27.1339787,2.71339787,0.3984671736,42.26141291,4.226141291,0.6212542911,45.92645489,4.592645489,0.6752038412,54.88265086,5.488265086,0.8088783002,1.033578562,88.86882252,44.43441126,340166,340145
50,50,22.80207304,2.280207304,0.3347121836,36.49094982,3.649094982,0.5362846422,40.10587041,4.010587041,0.5895020045,48.80062279,4.880062279,0.7193601636,1.033578562,77.60584803,38.80292402,355083,355052
50,75,18.22734431,1.822734431,0.2669937144,29.94392836,2.994392836,0.4392819985,33.36072825,3.336072825,0.4895689789,41.99791221,4.199791221,0.6186111464,1.033578562,64.55383167,32.27691583,374630,374595
50,100,16.35037764,1.635037764,0.2393015601,27.05642804,2.705642804,0.3966307052,30.2868611,3.02868611,0.4441554617,38.58534822,3.858534822,0.5680724437,1.033578562,58.60582293,29.30291147,385945,385915
75,0,31.44164511,3.144164511,0.4615519322,48.45231393,4.845231393,0.7120039411,52.45807164,5.245807164,0.7709558944,61.97362254,6.197362254,0.9129420905,1.033578562,101.507662,50.75383098,324343,324327
75,25,30.67279657,3.067279657,0.4502817302,47.33172249,4.733172249,0.6955812174,51.28247901,5.128247901,0.7537327041,60.69383929,6.069383929,0.8941859956,1.033578562,99.23286123,49.61643062,327058,327042
75,50,29.45950997,2.945950997,0.432482577,45.6376408,4.56376408,0.6707244304,49.50205751,4.950205751,0.7276126982,58.78650624,5.878650624,0.8662017255,1.033578562,95.78770173,47.89385087,331242,331226
75,75,25.97446256,2.597446256,0.3812730787,41.08637504,4.108637504,0.603786465,44.91430062,4.491430062,0.6601397088,53.99598279,5.399598279,0.7957344656,1.033578562,86.91027905,43.45513953,342086,342062
75,100,21.22985549,2.122985549,0.3111026987,34.48812948,3.448812948,0.5061129196,38.18821077,3.818821077,0.5606090764,47.30183756,4.730183756,0.6967449205,1.033578562,73.89512935,36.94756467,358795,358768
100,0,33.0665347,3.30665347,0.485256172,50.73651305,5.073651305,0.7454053035,54.82600361,5.482600361,0.8055972661,64.46653071,6.446653071,0.9494693858,1.033578562,106.0896687,53.04483435,319014,318998
100,25,32.64886615,3.264886615,0.4791610331,50.15551169,5.015551169,0.7369184165,54.23830198,5.423830198,0.7970065672,63.822262,6.3822262,0.9400382098,1.033578562,104.9524516,52.47622578,320412,320396
100,50,32.02835882,3.202835882,0.4700994898,49.29157802,4.929157802,0.7242785073,53.34271492,5.334271492,0.7839016069,62.8668872,6.28668872,0.9260403416,1.033578562,103.2194685,51.60973426,322457,322440
