alpha_pct,beta_pct,side,horizon_ms,observed_fills,p_trade_through_given_fill,p_at_quote_given_fill,mean_markout_trade_through_ticks,mean_markout_at_quote_ticks,mean_markout_total_ticks,reconstructed_mean_ticks,reconstruction_error_ticks,required_benefit_ticks
0,0,0,100,248055,0.02841708492,0.9715829151,-34.33614697,-2.06406272,-2.981141279,-2.981141279,4.440892099e-16,2.981141279
0,0,0,500,248053,0.02841731404,0.971582686,-45.38530288,-3.462529668,-4.653862279,-4.653862279,0,4.653862279
0,0,0,1000,248047,0.02841396993,0.9715860301,-47.49751703,-3.658880327,-4.904510032,-4.904510032,0,4.904510032
0,0,0,5000,248017,0.02841740687,0.9715825931,-41.48666288,-3.734546767,-4.807364011,-4.807364011,0,4.807364011
0,0,1,100,248128,0.028396634,0.971603366,-32.74325859,-2.110476933,-2.980344822,-2.980344822,-4.440892099e-16,2.980344822
0,0,1,500,248125,0.02839697733,0.9716030227,-45.42903775,-3.808766006,-4.990655919,-4.990655919,0,4.990655919
0,0,1,1000,248121,0.02839743512,0.9716025649,-48.05549248,-4.437299596,-5.675944398,-5.675944398,8.881784197e-16,5.675944398
0,0,1,5000,248088,0.02839315082,0.9716068492,-58.84973027,-6.739601484,-8.219172229,-8.219172229,0,8.219172229
0,25,0,100,248055,0.02841708492,0.9715829151,-34.33614697,-2.06406272,-2.981141279,-2.981141279,4.440892099e-16,2.981141279
0,25,0,500,248053,0.02841731404,0.971582686,-45.38530288,-3.462529668,-4.653862279,-4.653862279,0,4.653862279
0,25,0,1000,248047,0.02841396993,0.9715860301,-47.49751703,-3.658880327,-4.904510032,-4.904510032,0,4.904510032
0,25,0,5000,248017,0.02841740687,0.9715825931,-41.48666288,-3.734546767,-4.807364011,-4.807364011,0,4.807364011
0,25,1,100,248128,0.028396634,0.971603366,-32.74325859,-2.110476933,-2.980344822,-2.980344822,-4.440892099e-16,2.980344822
0,25,1,500,248125,0.02839697733,0.9716030227,-45.42903775,-3.808766006,-4.990655919,-4.990655919,0,4.990655919
0,25,1,1000,248121,0.02839743512,0.9716025649,-48.05549248,-4.437299596,-5.675944398,-5.675944398,8.881784197e-16,5.675944398
0,25,1,5000,248088,0.02839315082,0.9716068492,-58.84973027,-6.739601484,-8.219172229,-8.219172229,0,8.219172229
0,50,0,100,248055,0.02841708492,0.9715829151,-34.33614697,-2.06406272,-2.981141279,-2.981141279,4.440892099e-16,2.981141279
0,50,0,500,248053,0.02841731404,0.971582686,-45.38530288,-3.462529668,-4.653862279,-4.653862279,0,4.653862279
0,50,0,1000,248047,0.02841396993,0.9715860301,-47.49751703,-3.658880327,-4.904510032,-4.904510032,0,4.904510032
0,50,0,5000,248017,0.02841740687,0.9715825931,-41.48666288,-3.734546767,-4.807364011,-4.807364011,0,4.807364011
0,50,1,100,248128,0.028396634,0.971603366,-32.74325859,-2.110476933,-2.980344822,-2.980344822,-4.440892099e-16,2.980344822
0,50,1,500,248125,0.02839697733,0.9716030227,-45.42903775,-3.808766006,-4.990655919,-4.990655919,0,4.990655919
0,50,1,1000,248121,0.02839743512,0.9716025649,-48.05549248,-4.437299596,-5.675944398,-5.675944398,8.881784197e-16,5.675944398
0,50,1,5000,248088,0.02839315082,0.9716068492,-58.84973027,-6.739601484,-8.219172229,-8.219172229,0,8.219172229
0,75,0,100,248055,0.02841708492,0.9715829151,-34.33614697,-2.06406272,-2.981141279,-2.981141279,4.440892099e-16,2.981141279
0,75,0,500,248053,0.02841731404,0.971582686,-45.38530288,-3.462529668,-4.653862279,-4.653862279,0,4.653862279
0,75,0,1000,248047,0.02841396993,0.9715860301,-47.49751703,-3.658880327,-4.904510032,-4.904510032,0,4.904510032
0,75,0,5000,248017,0.02841740687,0.9715825931,-41.48666288,-3.734546767,-4.807364011,-4.807364011,0,4.807364011
