population,alpha_pct,beta_pct,horizon_ms,observed,mean_ticks,median_ticks,p25_ticks,p75_ticks,frac_favourable,mechanism_name,side
all_fills,0,100,100,496183,-2.980742992,0.5,0.5,0.5,0.8867957991,,
all_fills,0,100,500,496178,-4.822283535,0.5,0.5,0.5,0.843366695,,
all_fills,0,100,1000,496168,-5.290284742,0.5,0.5,0.5,0.8086474742,,
all_fills,0,100,5000,496105,-6.513512261,0.5,-25.5,1.5,0.6868808014,,
all_fills,50,50,100,355083,-22.80207304,-11.5,-37.5,0.5,0.3783622421,,
all_fills,50,50,500,355076,-36.49094982,-21.5,-58.5,0.5,0.345250031,,
all_fills,50,50,1000,355052,-40.10587041,-24.5,-66.5,0.5,0.335908543,,
all_fills,50,50,5000,355018,-48.80062279,-32.5,-95.5,0.5,0.3331464883,,
all_fills,100,0,100,319014,-33.0665347,-26.5,-46.5,-9.5,0.1079889911,,
all_fills,100,0,500,319012,-50.73651305,-38.5,-73.5,-14.5,0.1074912542,,
all_fills,100,0,1000,318998,-54.82600361,-39.5,-81.5,-14.5,0.1240446649,,
all_fills,100,0,5000,318964,-64.46653071,-48.5,-114.5,-7.5,0.2026372882,,
by_mechanism,0,100,100,482088,-2.087273485,0.5,0.5,0.5,0.90929042,at_quote,
by_mechanism,0,100,500,482083,-3.63567477,0.5,0.5,0.5,0.8633782979,at_quote,
by_mechanism,0,100,1000,482074,-4.048151321,0.5,0.5,0.5,0.8263938731,at_quote,
by_mechanism,0,100,5000,482013,-5.237307915,0.5,-22.5,0.5,0.6973774566,at_quote,
by_mechanism,0,100,100,14095,-33.5398723,-27.5,-53.5,-9.5,0.1174175239,trade_through,
by_mechanism,0,100,500,14095,-45.40716566,-37.5,-82.5,-10.5,0.1589216034,trade_through,
by_mechanism,0,100,1000,14094,-47.77646516,-40.5,-96.5,-6.5,0.2016460905,trade_through,
by_mechanism,0,100,5000,14092,-50.16573233,-47.5,-160.5,44.5,0.3278455861,trade_through,
by_mechanism,50,50,100,305419,-21.37633382,-6.5,-35.5,0.5,0.4323142961,at_quote,
by_mechanism,50,50,500,305414,-34.54963099,-17.5,-54.5,0.5,0.3898838953,at_quote,
by_mechanism,50,50,1000,305391,-38.07533948,-20.5,-62.5,0.5,0.3740450766,at_quote,
by_mechanism,50,50,5000,305364,-46.81317051,-29.5,-91.5,0.5,0.3517998192,at_quote,
by_mechanism,50,50,100,49664,-31.56995006,-26.5,-43.5,-11.5,0.04657297036,trade_through,
by_mechanism,50,50,500,49662,-48.42977528,-37.5,-73.5,-16.5,0.07075832629,trade_through,
by_mechanism,50,50,1000,49661,-52.59264815,-40.5,-83.5,-16.5,0.1013874066,trade_through,
by_mechanism,50,50,5000,49654,-61.02313006,-49.5,-126.5,-6.5,0.2184315463,trade_through,
by_mechanism,100,0,100,68666,-25.23009932,-9.5,-39.5,0.5,0.3983485277,at_quote,
by_mechanism,100,0,500,68666,-37.83013427,-18.5,-60.5,0.5,0.3643433431,at_quote,
by_mechanism,100,0,1000,68665,-41.01591058,-20.5,-68.5,0.5,0.3544600597,at_quote,
by_mechanism,100,0,5000,68657,-47.69512213,-28.5,-95.5,0.5,0.3503357269,at_quote,
by_mechanism,100,0,100,250348,-35.21592943,-29.5,-47.5,-13.5,0.02834853883,trade_through,
by_mechanism,100,0,500,250346,-54.27653128,-40.5,-76.5,-20.5,0.03704073562,trade_through,
by_mechanism,100,0,1000,250333,-58.6140381,-43.5,-85.5,-20.5,0.06084295718,trade_through,
by_mechanism,100,0,5000,250307,-69.06677999,-53.5,-118.5,-15.5,0.1621249106,trade_through,
by_side,0,100,100,248055,-2.981141279,0.5,0.5,0.5,0.8861341235,,0
by_side,0,100,500,248053,-4.653862279,0.5,0.5,0.5,0.8420498845,,0
by_side,0,100,1000,248047,-4.904510032,0.5,0.5,0.5,0.8075001915,,0
by_side,0,100,5000,248017,-4.807364011,0.5,-25.5,1.5,0.6862513457,,0
by_side,0,100,100,248128,-2.980344822,0.5,0.5,0.5,0.8874572801,,1
by_side,0,100,500,248125,-4.990655919,0.5,0.5,0.5,0.8446831234,,1
