prediction,alpha_pct,beta_pct,decile,eligible_opportunities,filled,fill_rate_30000ms,at_quote_fills,trade_through_fills,at_quote_rate_given_fill,trade_through_rate_given_fill,fill_evaluable_500ms,fill_rate_500ms,fill_evaluable_1000ms,fill_rate_1000ms,fill_evaluable_5000ms,fill_rate_5000ms,median_time_to_fill_ms,markout_100ms_observed,markout_100ms_censored,markout_100ms_mean_ticks,markout_100ms_median_ticks,markout_100ms_p10_ticks,markout_100ms_p25_ticks,markout_100ms_p50_ticks,markout_100ms_p75_ticks,markout_100ms_p90_ticks,markout_100ms_frac_favourable,markout_100ms_frac_non_negative,required_benefit_100ms_ticks,required_benefit_100ms_usd_per_btc,required_benefit_100ms_bps,markout_500ms_observed,markout_500ms_censored,markout_500ms_mean_ticks,markout_500ms_median_ticks,markout_500ms_p10_ticks,markout_500ms_p25_ticks,markout_500ms_p50_ticks,markout_500ms_p75_ticks,markout_500ms_p90_ticks,markout_500ms_frac_favourable,markout_500ms_frac_non_negative,required_benefit_500ms_ticks,required_benefit_500ms_usd_per_btc,required_benefit_500ms_bps,markout_1000ms_observed,markout_1000ms_censored,markout_1000ms_mean_ticks,markout_1000ms_median_ticks,markout_1000ms_p10_ticks,markout_1000ms_p25_ticks,markout_1000ms_p50_ticks,markout_1000ms_p75_ticks,markout_1000ms_p90_ticks,markout_1000ms_frac_favourable,markout_1000ms_frac_non_negative,required_benefit_1000ms_ticks,required_benefit_1000ms_usd_per_btc,required_benefit_1000ms_bps,markout_5000ms_observed,markout_5000ms_censored,markout_5000ms_mean_ticks,markout_5000ms_median_ticks,markout_5000ms_p10_ticks,markout_5000ms_p25_ticks,markout_5000ms_p50_ticks,markout_5000ms_p75_ticks,markout_5000ms_p90_ticks,markout_5000ms_frac_favourable,markout_5000ms_frac_non_negative,required_benefit_5000ms_ticks,required_benefit_5000ms_usd_per_btc,required_benefit_5000ms_bps,median_spread_ticks,mean_spread_ticks,required_benefit_1s_in_half_spreads,required_benefit_1s_in_full_spreads,prediction_mean
predicted_markout_1s,0,100,0,42854,41231,0.9621272227,39404,1827,0.9556886808,0.04431131915,42854,0.5284220843,42853,0.6680279094,42847,0.907881532,409.039182,41231,0,-4.529213456,0.5,-15.5,0.5,0.5,0.5,0.5,0.8799447018,0.8799447018,4.529213456,0.4529213456,0.0641073093,41231,0,-5.424159007,0.5,-46.5,0.5,0.5,0.5,8.5,0.843346026,0.843346026,5.424159007,0.5424159007,0.07706298812,41230,1,-4.900460829,0.5,-66.5,0.5,0.5,0.5,42.5,0.8145040019,0.8145040019,4.900460829,0.4900460829,0.06977894899,41224,7,-3.460641859,0.5,-152.5,-28.5,0.5,23.5,139.5,0.7123520279,0.7123520279,3.460641859,0.3460641859,0.04983000586,1,1.011900873,9.685653924,4.842826962,-62.73600373
predicted_markout_1s,0,100,1,42853,41297,0.9636898233,39649,1648,0.9600939536,0.03990604644,42853,0.587403449,42853,0.7281170513,42851,0.9145410842,329.912415,41297,0,-4.416410393,0.5,-20.5,0.5,0.5,0.5,0.5,0.8700389859,0.8700389859,4.416410393,0.4416410393,0.06230677475,41297,0,-5.8829576,0.5,-50.5,0.5,0.5,0.5,13.5,0.8233285711,0.8233285711,5.8829576,0.58829576,0.08310903689,41297,0,-5.911192096,0.5,-71.5,0.5,0.5,0.5,46.5,0.7827687241,0.7827687241,5.911192096,0.5911192096,0.08342385083,41294,3,-4.754589044,0.5,-167.5,-46.5,0.5,41.5,148.2,0.6650118661,0.6650118661,4.754589044,0.4754589044,0.06646443328,1,1.03031293,11.47455675,5.737278377,-52.24532106
predicted_markout_1s,0,100,2,42853,41180,0.9609595594,39717,1463,0.9644730452,0.03552695483,42852,0.5872771399,42852,0.7343647904,42849,0.9152372284,329.785007,41180,0,-3.922741622,0.5,-16.5,0.5,0.5,0.5,0.5,0.872753764,0.872753764,3.922741622,0.3922741622,0.05563493954,41180,0,-5.283596406,0.5,-44.5,0.5,0.5,0.5,2.5,0.8266877125,0.8266877125,5.283596406,0.5283596406,0.07495648907,41179,1,-5.096966901,0.5,-62.5,0.5,0.5,0.5,39.5,0.7891158115,0.7891158115,5.096966901,0.5096966901,0.07198917651,41176,4,-3.419916942,0.5,-145.5,-41.5,0.5,36.75,134.5,0.669710511,0.669710511,3.419916942,0.3419916942,0.04714368185,1,1.027956036,9.916702122,4.958351061,-47.43003193
predicted_markout_1s,0,100,3,42854,41123,0.9596070378,39728,1395,0.9660773776,0.03392262238,42853,0.582176277,42853,0.732224115,42849,0.9164274545,340.099277,41123,0,-3.283843591,0.5,-10.5,0.5,0.5,0.5,0.5,0.8835444885,0.8835444885,3.283843591,0.3283843591,0.04692519912,41123,0,-5.004705396,0.5,-38.5,0.5,0.5,0.5,0.5,0.8371714126,0.8371714126,5.004705396,0.5004705396,0.07162620918,41123,0,-5.072258833,0.5,-54.5,0.5,0.5,0.5,30.5,0.8010359166,0.8010359166,5.072258833,0.5072258833,0.07231957592,41119,4,-4.729650527,0.5,-134.5,-36.5,0.5,28.5,116.5,0.6762323986,0.6762323986,4.729650527,0.4729650527,0.06614545302,1,1.022938349,9.917037208,4.958518604,-43.91969166
predicted_markout_1s,0,100,4,42853,41291,0.9635498098,40088,1203,0.9708653217,0.02913467826,42851,0.5748523955,42851,0.7267274976,42845,0.9198506243,350.168191,41291,0,-3.109067351,0.5,-6.5,0.5,0.5,0.5,0.5,0.8891283815,0.8891283815,3.109067351,0.3109067351,0.04462073714,41290,1,-4.956103173,0.5,-34.5,0.5,0.5,0.5,0.5,0.8444659724,0.8444659724,4.956103173,0.4956103173,0.07111787483,41289,2,-5.13382499,0.5,-50.5,0.5,0.5,0.5,25.5,0.8094892102,0.8094892102,5.13382499,0.513382499,0.07335907402,41282,9,-5.395668814,0.5,-125.5,-31.5,0.5,24.5,107.5,0.687103338,0.687103338,5.395668814,0.5395668814,0.07660116242,1,1.017151658,10.09451236,5.047256178,-41.03642117
predicted_markout_1s,0,100,5,42853,41356,0.9650666231,40175,1181,0.9714430796,0.0285569204,42852,0.5682348548,42852,0.7208298329,42851,0.9246458659,361.864905,41356,0,-2.864723378,0.5,-3.5,0.5,0.5,0.5,0.5,0.8926395203,0.8926637006,2.864723378,0.2864723378,0.04151373319,41355,1,-4.755277476,0.5,-33.5,0.5,0.5,0.5,0.5,0.8468383509,0.8468383509,4.755277476,0.4755277476,0.06885734581,41355,1,-4.923092734,0.5,-48.5,0.5,0.5,0.5,19.5,0.8113650103,0.8113650103,4.923092734,0.4923092734,0.07100863475,41353,3,-4.556670616,0.5,-119.5,-29.5,0.5,17.5,104.5,0.6913162286,0.6913162286,4.556670616,0.4556670616,0.06533977219,1,1.03110634,9.549146468,4.774573234,-38.5492429
predicted_markout_1s,0,100,6,42854,41303,0.9638073459,40173,1130,0.9726412125,0.0273587875,42851,0.5379104338,42851,0.701383865,42846,0.9255706484,406.347209,41303,0,-2.797387599,0.5,-3.5,0.5,0.5,0.5,0.5,0.8923080648,0.8923322761,2.797387599,0.2797387599,0.04066325681,41301,2,-4.920498293,0.5,-31.5,0.5,0.5,0.5,0.5,0.8478002954,0.8478002954,4.920498293,0.4920498293,0.07147914887,41299,4,-5.194520448,0.5,-44.7,0.5,0.5,0.5,1.5,0.8158793191,0.8158793191,5.194520448,0.5194520448,0.07536774984,41295,8,-6.597106187,0.5,-110.5,-25.5,0.5,3.5,88.1,0.6959922509,0.6959922509,6.597106187,0.6597106187,0.09543795245,1,1.040369627,9.985913301,4.99295665,-36.08880268
predicted_markout_1s,0,100,7,42853,41366,0.965299979,40211,1155,0.9720785186,0.02792148141,42852,0.5331139737,42852,0.7017408756,42845,0.9309137589,419.993009,41366,0,-2.49069284,0.5,-4.5,0.5,0.5,0.5,0.5,0.8878064111,0.8878064111,2.49069284,0.249069284,0.03646574008,41365,1,-4.983428019,0.5,-29.5,0.5,0.5,0.5,0.5,0.8403481204,0.8403481204,4.983428019,0.4983428019,0.07302623876,41364,2,-5.937977468,0.5,-43.2,0.5,0.5,0.5,0.5,0.8031863456,0.8032105212,5.937977468,0.5937977468,0.08689533788,41360,6,-8.585070116,0.5,-105.5,-27.5,0.5,0.5,75.5,0.6806818182,0.6806818182,8.585070116,0.8585070116,0.1256068601,1,1.064499568,11.15637365,5.578186826,-33.23074317
predicted_markout_1s,0,100,8,42853,41815,0.9757776585,40604,1211,0.9710391008,0.0289608992,42852,0.549589284,42851,0.7251872768,42840,0.9461718021,398.584942,41815,0,-2.704244888,0.5,-11.5,0.5,0.5,0.5,0.5,0.8717445893,0.8717445893,2.704244888,0.2704244888,0.03989808938,41815,0,-5.709948583,0.5,-32.5,0.5,0.5,0.5,0.5,0.8174339352,0.8174339352,5.709948583,0.5709948583,0.08401928251,41812,3,-7.287644695,0.5,-44.5,0.5,0.5,0.5,0.5,0.7762125706,0.7762125706,7.287644695,0.7287644695,0.1073154085,41807,8,-12.28627981,0.5,-104.5,-33.5,0.5,0.5,63.5,0.640658263,0.640658263,12.28627981,1.228627981,0.1812056346,1,1.087228432,13.40591265,6.702956325,-29.43826074
predicted_markout_1s,0,100,9,42854,42260,0.9861389835,40796,1464,0.9653573119,0.03464268812,42854,0.595276987,42854,0.7643160498,42851,0.9663718466,351.700164,42260,0,-3.495906294,0.5,-13.5,0.5,0.5,0.5,0.5,0.8291292002,0.8291292002,3.495906294,0.3495906294,0.05190481232,42260,0,-7.252673923,0.5,-33.5,0.5,0.5,0.5,0.5,0.7591102698,0.7591102698,7.252673923,0.7252673923,0.1075570854,42260,0,-9.775461429,0.5,-47.5,-5.5,0.5,0.5,0.5,0.7075011832,0.7075011832,9.775461429,0.9775461429,0.1449463558,42255,5,-18.1039522,0.5,-107.5,-39.5,0.5,0.5,49.5,0.5507040587,0.5507040587,18.1039522,1.81039522,0.269574137,1,1.066504877,18.3317707,9.165885351,-21.38571127
