grouping,alpha_pct,beta_pct,phase2_block,eligible_opportunities,filled,fill_rate_30000ms,at_quote_fills,trade_through_fills,at_quote_rate_given_fill,trade_through_rate_given_fill,fill_evaluable_500ms,fill_rate_500ms,fill_evaluable_1000ms,fill_rate_1000ms,fill_evaluable_5000ms,fill_rate_5000ms,median_time_to_fill_ms,markout_100ms_observed,markout_100ms_censored,markout_100ms_mean_ticks,markout_100ms_median_ticks,markout_100ms_p10_ticks,markout_100ms_p25_ticks,markout_100ms_p50_ticks,markout_100ms_p75_ticks,markout_100ms_p90_ticks,markout_100ms_frac_favourable,markout_100ms_frac_non_negative,required_benefit_100ms_ticks,required_benefit_100ms_usd_per_btc,required_benefit_100ms_bps,markout_500ms_observed,markout_500ms_censored,markout_500ms_mean_ticks,markout_500ms_median_ticks,markout_500ms_p10_ticks,markout_500ms_p25_ticks,markout_500ms_p50_ticks,markout_500ms_p75_ticks,markout_500ms_p90_ticks,markout_500ms_frac_favourable,markout_500ms_frac_non_negative,required_benefit_500ms_ticks,required_benefit_500ms_usd_per_btc,required_benefit_500ms_bps,markout_1000ms_observed,markout_1000ms_censored,markout_1000ms_mean_ticks,markout_1000ms_median_ticks,markout_1000ms_p10_ticks,markout_1000ms_p25_ticks,markout_1000ms_p50_ticks,markout_1000ms_p75_ticks,markout_1000ms_p90_ticks,markout_1000ms_frac_favourable,markout_1000ms_frac_non_negative,required_benefit_1000ms_ticks,required_benefit_1000ms_usd_per_btc,required_benefit_1000ms_bps,markout_5000ms_observed,markout_5000ms_censored,markout_5000ms_mean_ticks,markout_5000ms_median_ticks,markout_5000ms_p10_ticks,markout_5000ms_p25_ticks,markout_5000ms_p50_ticks,markout_5000ms_p75_ticks,markout_5000ms_p90_ticks,markout_5000ms_frac_favourable,markout_5000ms_frac_non_negative,required_benefit_5000ms_ticks,required_benefit_5000ms_usd_per_btc,required_benefit_5000ms_bps,median_spread_ticks,mean_spread_ticks,required_benefit_1s_in_half_spreads,required_benefit_1s_in_full_spreads,utc_day,file_index,segment_id
phase2_validation_block,0,100,-1,85548,81964,0.9581053911,81546,418,0.9949002001,0.005099799912,85548,0.3696404358,85542,0.5699539408,85526,0.9151369174,736.5038955,81964,0,-1.062472549,0.5,0.5,0.5,0.5,0.5,0.5,0.9373505441,0.9373505441,1.062472549,0.1062472549,0.01653395114,81964,0,-1.791689034,0.5,0.5,0.5,0.5,0.5,0.5,0.9185984091,0.9185984091,1.791689034,0.1791689034,0.02788377821,81961,3,-2.034339503,0.5,-0.5,0.5,0.5,0.5,0.5,0.8983784971,0.8983784971,2.034339503,0.2034339503,0.03165923055,81941,23,-2.926617932,0.5,-39.5,0.5,0.5,0.5,26.5,0.7890433361,0.7890433361,2.926617932,0.2926617932,0.04554623523,1,1.0014261,4.062884926,2.031442463,,,
phase2_validation_block,0,100,0,42854,41353,0.9649740981,40946,407,0.9901579087,0.009842091263,42854,0.4253745275,42854,0.6060111075,42854,0.919377421,629.316704,41353,0,-1.234795541,0.5,0.5,0.5,0.5,0.5,0.5,0.9297511668,0.9297511668,1.234795541,0.1234795541,0.01919901318,41353,0,-2.189006844,0.5,0.5,0.5,0.5,0.5,0.5,0.90421493,0.90421493,2.189006844,0.2189006844,0.03403185199,41353,0,-2.470558363,0.5,-13.5,0.5,0.5,0.5,0.5,0.8801054337,0.8801054337,2.470558363,0.2470558363,0.03840379988,41353,0,-3.559608735,0.5,-57.5,0.5,0.5,0.5,40.5,0.7749135492,0.7749135492,3.559608735,0.3559608735,0.05534415302,1,1.002006814,4.931220685,2.465610342,,,
phase2_validation_block,0,100,1,42856,41162,0.9604722793,40819,343,0.9916670716,0.008332928429,42856,0.388650364,42856,0.5811088296,42856,0.9104676125,701.3426535,41162,0,-1.206051698,0.5,0.5,0.5,0.5,0.5,0.5,0.9292551382,0.9292551382,1.206051698,0.1206051698,0.01863059128,41162,0,-2.13135902,0.5,0.5,0.5,0.5,0.5,0.5,0.9068072494,0.9068072494,2.13135902,0.213135902,0.03292514571,41162,0,-2.436567708,0.5,-8.5,0.5,0.5,0.5,0.5,0.885938487,0.885938487,2.436567708,0.2436567708,0.03764084122,41162,0,-3.551588844,0.5,-49.5,0.5,0.5,0.5,34.5,0.7752295807,0.7752295807,3.551588844,0.3551588844,0.05486669142,1,1.00112003,4.867683465,2.433841733,,,
phase2_validation_block,0,100,2,42854,41161,0.9604937695,40936,225,0.9945336605,0.005466339496,42854,0.3280907267,42854,0.513627666,42854,0.8996126383,883.747131,41161,0,-1.223403221,0.5,0.5,0.5,0.5,0.5,0.5,0.9381210369,0.9381210369,1.223403221,0.1223403221,0.01896678854,41161,0,-2.152632346,0.5,0.5,0.5,0.5,0.5,0.5,0.9226452224,0.9226452224,2.152632346,0.2152632346,0.0333653377,41161,0,-2.401447973,0.5,0.5,0.5,0.5,0.5,0.5,0.9049828721,0.9049828721,2.401447973,0.2401447973,0.03722172071,41161,0,-3.269612011,0.5,-40.5,0.5,0.5,0.5,22.5,0.8092611938,0.8092611938,3.269612011,0.3269612011,0.05068122229,1,1.001213422,4.797075067,2.398537534,,,
phase2_validation_block,0,100,3,42852,41130,0.9598151778,40957,173,0.9957938245,0.004206175541,42850,0.352882147,42850,0.5399299883,42842,0.9128425377,810.294374,41130,0,-0.7407123754,0.5,0.5,0.5,0.5,0.5,0.5,0.9476051544,0.9476051544,0.7407123754,0.07407123754,0.0115165766,41130,0,-1.578811087,0.5,0.5,0.5,0.5,0.5,0.5,0.9310965232,0.9310965232,1.578811087,0.1578811087,0.02455111695,41130,0,-1.740833941,0.5,0.5,0.5,0.5,0.5,0.5,0.9152443472,0.9152443472,1.740833941,0.1740833941,0.0270698509,41127,3,-2.593186957,0.5,-30.5,0.5,0.5,0.5,13.5,0.8231089066,0.8231089066,2.593186957,0.2593186957,0.04032714538,1,1.000093345,3.481342918,1.740671459,,,
phase2_validation_block,0,100,4,42856,41419,0.9664691058,40773,646,0.9844032932,0.01559670683,42856,0.498436625,42856,0.6589509054,42856,0.9262880343,471.91394,41419,0,-1.252504889,0.5,0.5,0.5,0.5,0.5,0.5,0.9245998213,0.9245998213,1.252504889,0.1252504889,0.01929547534,41419,0,-2.751527077,0.5,-8.5,0.5,0.5,0.5,0.5,0.886308216,0.886308216,2.751527077,0.2751527077,0.04239870304,41419,0,-3.184552983,0.5,-24.5,0.5,0.5,0.5,0.5,0.8572394312,0.8572394312,3.184552983,0.3184552983,0.04907411544,41419,0,-4.056797605,0.5,-73.5,-0.5,0.5,0.5,56.5,0.7490523673,0.7490523673,4.056797605,0.4056797605,0.06254409213,1,1.007326862,6.32277983,3.161389915,,,
phase2_validation_block,0,100,5,42854,41847,0.9765016101,39163,2684,0.935861591,0.06413840897,42854,0.7991086013,42854,0.9018061324,42854,0.9506463807,154.661529,41847,0,-4.214280594,0.5,-25.5,0.5,0.5,0.5,0.5,0.8402752886,0.8402991851,4.214280594,0.4214280594,0.06213097951,41847,0,-7.362618587,0.5,-63.5,0.5,0.5,0.5,24.5,0.761416589,0.761416589,7.362618587,0.7362618587,0.108419419,41847,0,-7.719322771,0.5,-87.5,-17.5,0.5,0.5,57.9,0.7078882596,0.7079121562,7.719322771,0.7719322771,0.1137439066,41847,0,-10.27273162,0.5,-194.5,-81.5,0.5,62.5,170.5,0.5552369345,0.5552369345,10.27273162,1.027273162,0.1510270518,1,1.20404163,12.82235195,6.411175976,,,
phase2_validation_block,0,100,6,42848,41325,0.9644557506,38805,2520,0.9390199637,0.0609800363,42844,0.6860003734,42844,0.8356362618,42828,0.9273839544,253.171648,41325,0,-6.759322444,0.5,-36.5,0.5,0.5,0.5,0.5,0.7960556564,0.7960556564,6.759322444,0.6759322444,0.09739628132,41322,3,-10.33964958,0.5,-68.5,-8.5,0.5,0.5,16.5,0.7262959198,0.7262959198,10.33964958,1.033964958,0.1489735409,41318,7,-11.49599448,0.5,-90.5,-27.5,0.5,0.5,50.5,0.6741371799,0.6741371799,11.49599448,1.149599448,0.1656174526,41301,24,-13.80699015,0.5,-198.5,-87.5,0.5,60.5,162.5,0.5276869809,0.5276869809,13.80699015,1.380699015,0.1988696042,1,1.074309186,21.40164979,10.70082489,,,
phase2_validation_block,0,100,7,42850,41671,0.9724854142,40312,1359,0.9673873917,0.03261260829,42848,0.6870565721,42848,0.853318708,42840,0.9481092437,263.396977,41671,0,-3.189028341,0.5,-8.5,0.5,0.5,0.5,0.5,0.881740299,0.881740299,3.189028341,0.3189028341,0.04564409335,41671,0,-5.048079,0.5,-35.5,0.5,0.5,0.5,0.5,0.8302416549,0.8302416549,5.048079,0.5048079,0.07237949945,41668,3,-5.556830181,0.5,-51.5,0.5,0.5,0.5,21.5,0.7871508112,0.7871508112,5.556830181,0.5556830181,0.079675143,41661,10,-7.083591368,0.5,-127.5,-46.5,0.5,32.5,107.5,0.6211804805,0.6211804805,7.083591368,0.7083591368,0.1016932261,1,1.016009335,10.93854159,5.469270794,,,
phase2_validation_block,0,100,8,42852,41790,0.975217026,38881,2909,0.9303900455,0.06960995453,42850,0.805764294,42850,0.8945390898,42842,0.9451239438,156.4322105,41790,0,-7.062694425,0.5,-38.5,0.5,0.5,0.5,0.5,0.7877721943,0.7877721943,7.062694425,0.7062694425,0.09835169037,41788,2,-10.05550637,0.5,-77.5,-17.125,0.5,0.5,38.5,0.699770269,0.699770269,10.05550637,1.005550637,0.1400331092,41788,2,-10.57076194,0.5,-105.5,-37.5,0.5,0.5,73.5,0.6376232411,0.6376232411,10.57076194,1.057076194,0.1472144926,41780,10,-11.27610101,0.5,-233.5,-109.5,0.5,86.5,207.5,0.5089995213,0.5089995213,11.27610101,1.127610101,0.1570313635,1,1.056520116,20.0105266,10.0052633,,,
