alpha_pct,beta_pct,eligible_opportunities,filled,fill_rate_30000ms,at_quote_fills,trade_through_fills,at_quote_rate_given_fill,trade_through_rate_given_fill,fill_evaluable_500ms,fill_rate_500ms,fill_evaluable_1000ms,fill_rate_1000ms,fill_evaluable_5000ms,fill_rate_5000ms,median_time_to_fill_ms,markout_100ms_observed,markout_100ms_censored,markout_100ms_mean_ticks,markout_100ms_median_ticks,markout_100ms_p10_ticks,markout_100ms_p25_ticks,markout_100ms_p50_ticks,markout_100ms_p75_ticks,markout_100ms_p90_ticks,markout_100ms_frac_favourable,markout_100ms_frac_non_negative,required_benefit_100ms_ticks,required_benefit_100ms_usd_per_btc,required_benefit_100ms_bps,markout_500ms_observed,markout_500ms_censored,markout_500ms_mean_ticks,markout_500ms_median_ticks,markout_500ms_p10_ticks,markout_500ms_p25_ticks,markout_500ms_p50_ticks,markout_500ms_p75_ticks,markout_500ms_p90_ticks,markout_500ms_frac_favourable,markout_500ms_frac_non_negative,required_benefit_500ms_ticks,required_benefit_500ms_usd_per_btc,required_benefit_500ms_bps,markout_1000ms_observed,markout_1000ms_censored,markout_1000ms_mean_ticks,markout_1000ms_median_ticks,markout_1000ms_p10_ticks,markout_1000ms_p25_ticks,markout_1000ms_p50_ticks,markout_1000ms_p75_ticks,markout_1000ms_p90_ticks,markout_1000ms_frac_favourable,markout_1000ms_frac_non_negative,required_benefit_1000ms_ticks,required_benefit_1000ms_usd_per_btc,required_benefit_1000ms_bps,markout_5000ms_observed,markout_5000ms_censored,markout_5000ms_mean_ticks,markout_5000ms_median_ticks,markout_5000ms_p10_ticks,markout_5000ms_p25_ticks,markout_5000ms_p50_ticks,markout_5000ms_p75_ticks,markout_5000ms_p90_ticks,markout_5000ms_frac_favourable,markout_5000ms_frac_non_negative,required_benefit_5000ms_ticks,required_benefit_5000ms_usd_per_btc,required_benefit_5000ms_bps,median_spread_ticks,mean_spread_ticks,required_benefit_1s_in_half_spreads,required_benefit_1s_in_full_spreads
0,0,514078,496183,0.9651901073,482088,14095,0.971593142,0.02840685795,514068,0.532009384,514062,0.6952760562,513998,0.9248285013,418.975522,496183,0,-2.980742992,0.5,-6.5,0.5,0.5,0.5,0.5,0.8867957991,0.8867998299,2.980742992,0.2980742992,0.04313078451,496178,5,-4.822283535,0.5,-30.5,0.5,0.5,0.5,0.5,0.843366695,0.843366695,4.822283535,0.4822283535,0.07001969023,496168,15,-5.290284742,0.5,-44.5,0.5,0.5,0.5,6.5,0.8086474742,0.8086494897,5.290284742,0.5290284742,0.07686870537,496105,78,-6.513512261,0.5,-110.5,-25.5,0.5,1.5,90.5,0.6868808014,0.6868808014,6.513512261,0.6513512261,0.09505714091,1,1.033578562,10.23683141,5.118415703
0,25,514078,496183,0.9651901073,482088,14095,0.971593142,0.02840685795,514068,0.532009384,514062,0.6952760562,513998,0.9248285013,418.975522,496183,0,-2.980742992,0.5,-6.5,0.5,0.5,0.5,0.5,0.8867957991,0.8867998299,2.980742992,0.2980742992,0.04313078451,496178,5,-4.822283535,0.5,-30.5,0.5,0.5,0.5,0.5,0.843366695,0.843366695,4.822283535,0.4822283535,0.07001969023,496168,15,-5.290284742,0.5,-44.5,0.5,0.5,0.5,6.5,0.8086474742,0.8086494897,5.290284742,0.5290284742,0.07686870537,496105,78,-6.513512261,0.5,-110.5,-25.5,0.5,1.5,90.5,0.6868808014,0.6868808014,6.513512261,0.6513512261,0.09505714091,1,1.033578562,10.23683141,5.118415703
0,50,514078,496183,0.9651901073,482088,14095,0.971593142,0.02840685795,514068,0.532009384,514062,0.6952760562,513998,0.9248285013,418.975522,496183,0,-2.980742992,0.5,-6.5,0.5,0.5,0.5,0.5,0.8867957991,0.8867998299,2.980742992,0.2980742992,0.04313078451,496178,5,-4.822283535,0.5,-30.5,0.5,0.5,0.5,0.5,0.843366695,0.843366695,4.822283535,0.4822283535,0.07001969023,496168,15,-5.290284742,0.5,-44.5,0.5,0.5,0.5,6.5,0.8086474742,0.8086494897,5.290284742,0.5290284742,0.07686870537,496105,78,-6.513512261,0.5,-110.5,-25.5,0.5,1.5,90.5,0.6868808014,0.6868808014,6.513512261,0.6513512261,0.09505714091,1,1.033578562,10.23683141,5.118415703
0,75,514078,496183,0.9651901073,482088,14095,0.971593142,0.02840685795,514068,0.532009384,514062,0.6952760562,513998,0.9248285013,418.975522,496183,0,-2.980742992,0.5,-6.5,0.5,0.5,0.5,0.5,0.8867957991,0.8867998299,2.980742992,0.2980742992,0.04313078451,496178,5,-4.822283535,0.5,-30.5,0.5,0.5,0.5,0.5,0.843366695,0.843366695,4.822283535,0.4822283535,0.07001969023,496168,15,-5.290284742,0.5,-44.5,0.5,0.5,0.5,6.5,0.8086474742,0.8086494897,5.290284742,0.5290284742,0.07686870537,496105,78,-6.513512261,0.5,-110.5,-25.5,0.5,1.5,90.5,0.6868808014,0.6868808014,6.513512261,0.6513512261,0.09505714091,1,1.033578562,10.23683141,5.118415703
0,100,514078,496183,0.9651901073,482088,14095,0.971593142,0.02840685795,514068,0.532009384,514062,0.6952760562,513998,0.9248285013,418.975522,496183,0,-2.980742992,0.5,-6.5,0.5,0.5,0.5,0.5,0.8867957991,0.8867998299,2.980742992,0.2980742992,0.04313078451,496178,5,-4.822283535,0.5,-30.5,0.5,0.5,0.5,0.5,0.843366695,0.843366695,4.822283535,0.4822283535,0.07001969023,496168,15,-5.290284742,0.5,-44.5,0.5,0.5,0.5,6.5,0.8086474742,0.8086494897,5.290284742,0.5290284742,0.07686870537,496105,78,-6.513512261,0.5,-110.5,-25.5,0.5,1.5,90.5,0.6868808014,0.6868808014,6.513512261,0.6513512261,0.09505714091,1,1.033578562,10.23683141,5.118415703
25,0,514078,357743,0.6958924521,229237,128506,0.6407868218,0.3592131782,514068,0.1187722247,514062,0.1813283223,513998,0.405688349,3471.906541,357743,0,-23.34250146,-13.5,-63.5,-37.5,-13.5,0.5,0.5,0.3604403161,0.3604459067,23.34250146,2.334250146,0.3429667121,357738,5,-36.57278092,-22.5,-104.5,-58.5,-22.5,0.5,0.5,0.337157361,0.337157361,36.57278092,3.657278092,0.5378892115,357715,28,-39.91738814,-25.5,-120.5,-66.5,-25.5,0.5,0.5,0.3323707421,0.3323735376,39.91738814,3.991738814,0.5870726434,357677,66,-48.02957557,-32.5,-189.5,-95.5,-32.5,0.5,64.5,0.3387134202,0.3387134202,48.02957557,4.802957557,0.7081816844,1,1.033578562,77.24113021,38.6205651
25,25,514078,378760,0.7367753532,344021,34739,0.9082822896,0.09171771042,514068,0.1291074333,514062,0.199812474,513998,0.445861657,3162.307088,378760,0,-18.10725261,0.5,-56.5,-30.5,0.5,0.5,0.5,0.5013332981,0.5013385785,18.10725261,1.810725261,0.265768597,378750,10,-29.45865347,-5.5,-95.5,-47.5,-5.5,0.5,0.5,0.4603221122,0.4603221122,29.45865347,2.945865347,0.432942023,378722,38,-32.65136433,-9.5,-110.5,-54.5,-9.5,0.5,0.5,0.4422795613,0.4422822017,32.65136433,3.265136433,0.4799173541,378682,78,-40.65619306,-21.5,-177.5,-84.5,-21.5,0.5,66.5,0.4057256484,0.4057256484,40.65619306,4.065619306,0.5994533051,1,1.033578562,63.18119498,31.59059749
25,50,514078,401542,0.7810915853,373492,28050,0.9301442937,0.06985570625,514068,0.1525615288,514062,0.2387669192,513998,0.5107179405,2523.165321,401542,0,-13.94618247,0.5,-49.5,-21.5,0.5,0.5,0.5,0.6130616473,0.6130691185,13.94618247,1.394618247,0.204132033,401532,10,-23.26482821,0.5,-85.5,-37.5,0.5,0.5,0.5,0.5658602552,0.5658602552,23.26482821,2.326482821,0.3411000901,401509,33,-26.2071971,0.5,-99.5,-43.5,0.5,0.5,0.5,0.5401921252,0.5401946158,26.2071971,2.62071971,0.3843828559,401467,75,-33.73327073,-6.5,-165.5,-73.5,-6.5,0.5,67.5,0.4733265748,0.4733265748,33.73327073,3.373327073,0.4968310639,1,1.033578562,50.71157252,25.35578626
25,75,514078,410496,0.7985091757,383754,26742,0.93485442,0.06514557998,514068,0.1662815036,514062,0.2596359972,513998,0.5408912097,2283.247633,410496,0,-12.61615704,0.5,-46.5,-17.5,0.5,0.5,0.5,0.6473461374,0.6473510095,12.61615704,1.261615704,0.1845102064,410487,9,-21.16606494,0.5,-80.5,-33.5,0.5,0.5,0.5,0.5997875694,0.5997875694,21.16606494,2.116606494,0.3100919875,410468,28,-23.96912792,0.5,-95.5,-39.5,0.5,0.5,0.5,0.5724758081,0.5724782443,23.96912792,2.396912792,0.3512913029,410424,72,-31.16275242,-0.5,-160.5,-69.5,-0.5,0.5,68.5,0.4976560825,0.4976560825,31.16275242,3.116275242,0.458801337,1,1.033578562,46.38085348,23.19042674
25,100,514078,415408,0.8080641459,389388,26020,0.9373627855,0.0626372145,514068,0.1759047441,514062,0.2737471356,513998,0.5585119008,2128.938702,415408,0,-11.88343027,0.5,-45.5,-15.5,0.5,0.5,0.5,0.6656949312,0.6656997458,11.88343027,1.188343027,0.1737258149,415400,8,-19.99648411,0.5,-78.5,-30.5,0.5,0.5,0.5,0.6180693308,0.6180693308,19.99648411,1.999648411,0.2928538048,415382,26,-22.69087129,0.5,-92.5,-37.5,0.5,0.5,0.5,0.5899774184,0.5899798258,22.69087129,2.269087129,0.332450006,415338,70,-29.67835233,0.5,-157.5,-66.5,0.5,0.5,68.5,0.511015125,0.511015125,29.67835233,2.967835233,0.4368857483,1,1.033578562,43.90739539,21.9536977
