fold,side,horizon_ms,model,train_rows_1s,validation_rows,train_end_utc,validation_start_utc,validation_end_utc
0,long,250,obi_only,97021,86396,2026-08-18T23:59:00.000Z,2026-08-19T00:00:00.000Z,2026-08-20T00:00:00.000Z
0,long,250,linear,97021,86396,2026-08-18T23:59:00.000Z,2026-08-19T00:00:00.000Z,2026-08-20T00:00:00.000Z
0,long,250,lightgbm,97021,86396,2026-08-18T23:59:00.000Z,2026-08-19T00:00:00.000Z,2026-08-20T00:00:00.000Z
0,long,1000,obi_only,97019,86395,2026-08-18T23:59:00.000Z,2026-08-19T00:00:00.000Z,2026-08-20T00:00:00.000Z
0,long,1000,linear,97019,86395,2026-08-18T23:59:00.000Z,2026-08-19T00:00:00.000Z,2026-08-20T00:00:00.000Z
0,long,1000,lightgbm,97019,86395,2026-08-18T23:59:00.000Z,2026-08-19T00:00:00.000Z,2026-08-20T00:00:00.000Z
0,long,5000,obi_only,97007,86387,2026-08-18T23:59:00.000Z,2026-08-19T00:00:00.000Z,2026-08-20T00:00:00.000Z
0,long,5000,linear,97007,86387,2026-08-18T23:59:00.000Z,2026-08-19T00:00:00.000Z,2026-08-20T00:00:00.000Z
0,long,5000,lightgbm,97007,86387,2026-08-18T23:59:00.000Z,2026-08-19T00:00:00.000Z,2026-08-20T00:00:00.000Z
0,long,10000,obi_only,96992,86377,2026-08-18T23:59:00.000Z,2026-08-19T00:00:00.000Z,2026-08-20T00:00:00.000Z
0,long,10000,linear,96992,86377,2026-08-18T23:59:00.000Z,2026-08-19T00:00:00.000Z,2026-08-20T00:00:00.000Z
0,long,10000,lightgbm,96992,86377,2026-08-18T23:59:00.000Z,2026-08-19T00:00:00.000Z,2026-08-20T00:00:00.000Z
0,long,30000,obi_only,96932,86337,2026-08-18T23:59:00.000Z,2026-08-19T00:00:00.000Z,2026-08-20T00:00:00.000Z
0,long,30000,linear,96932,86337,2026-08-18T23:59:00.000Z,2026-08-19T00:00:00.000Z,2026-08-20T00:00:00.000Z
0,long,30000,lightgbm,96932,86337,2026-08-18T23:59:00.000Z,2026-08-19T00:00:00.000Z,2026-08-20T00:00:00.000Z
0,long,60000,obi_only,96842,86277,2026-08-18T23:59:00.000Z,2026-08-19T00:00:00.000Z,2026-08-20T00:00:00.000Z
0,long,60000,linear,96842,86277,2026-08-18T23:59:00.000Z,2026-08-19T00:00:00.000Z,2026-08-20T00:00:00.000Z
0,long,60000,lightgbm,96842,86277,2026-08-18T23:59:00.000Z,2026-08-19T00:00:00.000Z,2026-08-20T00:00:00.000Z
0,short,250,obi_only,97021,86396,2026-08-18T23:59:00.000Z,2026-08-19T00:00:00.000Z,2026-08-20T00:00:00.000Z
0,short,250,linear,97021,86396,2026-08-18T23:59:00.000Z,2026-08-19T00:00:00.000Z,2026-08-20T00:00:00.000Z
0,short,250,lightgbm,97021,86396,2026-08-18T23:59:00.000Z,2026-08-19T00:00:00.000Z,2026-08-20T00:00:00.000Z
0,short,1000,obi_only,97019,86395,2026-08-18T23:59:00.000Z,2026-08-19T00:00:00.000Z,2026-08-20T00:00:00.000Z
0,short,1000,linear,97019,86395,2026-08-18T23:59:00.000Z,2026-08-19T00:00:00.000Z,2026-08-20T00:00:00.000Z
0,short,1000,lightgbm,97019,86395,2026-08-18T23:59:00.000Z,2026-08-19T00:00:00.000Z,2026-08-20T00:00:00.000Z
0,short,5000,obi_only,97007,86387,2026-08-18T23:59:00.000Z,2026-08-19T00:00:00.000Z,2026-08-20T00:00:00.000Z
0,short,5000,linear,97007,86387,2026-08-18T23:59:00.000Z,2026-08-19T00:00:00.000Z,2026-08-20T00:00:00.000Z
0,short,5000,lightgbm,97007,86387,2026-08-18T23:59:00.000Z,2026-08-19T00:00:00.000Z,2026-08-20T00:00:00.000Z
0,short,10000,obi_only,96992,86377,2026-08-18T23:59:00.000Z,2026-08-19T00:00:00.000Z,2026-08-20T00:00:00.000Z
0,short,10000,linear,96992,86377,2026-08-18T23:59:00.000Z,2026-08-19T00:00:00.000Z,2026-08-20T00:00:00.000Z
0,short,10000,lightgbm,96992,86377,2026-08-18T23:59:00.000Z,2026-08-19T00:00:00.000Z,2026-08-20T00:00:00.000Z
0,short,30000,obi_only,96932,86337,2026-08-18T23:59:00.000Z,2026-08-19T00:00:00.000Z,2026-08-20T00:00:00.000Z
0,short,30000,linear,96932,86337,2026-08-18T23:59:00.000Z,2026-08-19T00:00:00.000Z,2026-08-20T00:00:00.000Z
0,short,30000,lightgbm,96932,86337,2026-08-18T23:59:00.000Z,2026-08-19T00:00:00.000Z,2026-08-20T00:00:00.000Z
0,short,60000,obi_only,96842,86277,2026-08-18T23:59:00.000Z,2026-08-19T00:00:00.000Z,2026-08-20T00:00:00.000Z
0,short,60000,linear,96842,86277,2026-08-18T23:59:00.000Z,2026-08-19T00:00:00.000Z,2026-08-20T00:00:00.000Z
0,short,60000,lightgbm,96842,86277,2026-08-18T23:59:00.000Z,2026-08-19T00:00:00.000Z,2026-08-20T00:00:00.000Z
1,long,250,obi_only,183418,86388,2026-08-19T23:59:00.000Z,2026-08-20T00:00:00.000Z,2026-08-21T00:00:00.000Z
1,long,250,linear,183418,86388,2026-08-19T23:59:00.000Z,2026-08-20T00:00:00.000Z,2026-08-21T00:00:00.000Z
1,long,250,lightgbm,183418,86388,2026-08-19T23:59:00.000Z,2026-08-20T00:00:00.000Z,2026-08-21T00:00:00.000Z
1,long,1000,obi_only,183415,86383,2026-08-19T23:59:00.000Z,2026-08-20T00:00:00.000Z,2026-08-21T00:00:00.000Z
1,long,1000,linear,183415,86383,2026-08-19T23:59:00.000Z,2026-08-20T00:00:00.000Z,2026-08-21T00:00:00.000Z
1,long,1000,lightgbm,183415,86383,2026-08-19T23:59:00.000Z,2026-08-20T00:00:00.000Z,2026-08-21T00:00:00.000Z
1,long,5000,obi_only,183399,86359,2026-08-19T23:59:00.000Z,2026-08-20T00:00:00.000Z,2026-08-21T00:00:00.000Z
1,long,5000,linear,183399,86359,2026-08-19T23:59:00.000Z,2026-08-20T00:00:00.000Z,2026-08-21T00:00:00.000Z
1,long,5000,lightgbm,183399,86359,2026-08-19T23:59:00.000Z,2026-08-20T00:00:00.000Z,2026-08-21T00:00:00.000Z
1,long,10000,obi_only,183379,86329,2026-08-19T23:59:00.000Z,2026-08-20T00:00:00.000Z,2026-08-21T00:00:00.000Z
1,long,10000,linear,183379,86329,2026-08-19T23:59:00.000Z,2026-08-20T00:00:00.000Z,2026-08-21T00:00:00.000Z
1,long,10000,lightgbm,183379,86329,2026-08-19T23:59:00.000Z,2026-08-20T00:00:00.000Z,2026-08-21T00:00:00.000Z
1,long,30000,obi_only,183299,86209,2026-08-19T23:59:00.000Z,2026-08-20T00:00:00.000Z,2026-08-21T00:00:00.000Z
1,long,30000,linear,183299,86209,2026-08-19T23:59:00.000Z,2026-08-20T00:00:00.000Z,2026-08-21T00:00:00.000Z
1,long,30000,lightgbm,183299,86209,2026-08-19T23:59:00.000Z,2026-08-20T00:00:00.000Z,2026-08-21T00:00:00.000Z
1,long,60000,obi_only,183179,86029,2026-08-19T23:59:00.000Z,2026-08-20T00:00:00.000Z,2026-08-21T00:00:00.000Z
1,long,60000,linear,183179,86029,2026-08-19T23:59:00.000Z,2026-08-20T00:00:00.000Z,2026-08-21T00:00:00.000Z
1,long,60000,lightgbm,183179,86029,2026-08-19T23:59:00.000Z,2026-08-20T00:00:00.000Z,2026-08-21T00:00:00.000Z
1,short,250,obi_only,183418,86388,2026-08-19T23:59:00.000Z,2026-08-20T00:00:00.000Z,2026-08-21T00:00:00.000Z
1,short,250,linear,183418,86388,2026-08-19T23:59:00.000Z,2026-08-20T00:00:00.000Z,2026-08-21T00:00:00.000Z
1,short,250,lightgbm,183418,86388,2026-08-19T23:59:00.000Z,2026-08-20T00:00:00.000Z,2026-08-21T00:00:00.000Z
1,short,1000,obi_only,183415,86383,2026-08-19T23:59:00.000Z,2026-08-20T00:00:00.000Z,2026-08-21T00:00:00.000Z
1,short,1000,linear,183415,86383,2026-08-19T23:59:00.000Z,2026-08-20T00:00:00.000Z,2026-08-21T00:00:00.000Z
1,short,1000,lightgbm,183415,86383,2026-08-19T23:59:00.000Z,2026-08-20T00:00:00.000Z,2026-08-21T00:00:00.000Z
1,short,5000,obi_only,183399,86359,2026-08-19T23:59:00.000Z,2026-08-20T00:00:00.000Z,2026-08-21T00:00:00.000Z
1,short,5000,linear,183399,86359,2026-08-19T23:59:00.000Z,2026-08-20T00:00:00.000Z,2026-08-21T00:00:00.000Z
1,short,5000,lightgbm,183399,86359,2026-08-19T23:59:00.000Z,2026-08-20T00:00:00.000Z,2026-08-21T00:00:00.000Z
1,short,10000,obi_only,183379,86329,2026-08-19T23:59:00.000Z,2026-08-20T00:00:00.000Z,2026-08-21T00:00:00.000Z
1,short,10000,linear,183379,86329,2026-08-19T23:59:00.000Z,2026-08-20T00:00:00.000Z,2026-08-21T00:00:00.000Z
1,short,10000,lightgbm,183379,86329,2026-08-19T23:59:00.000Z,2026-08-20T00:00:00.000Z,2026-08-21T00:00:00.000Z
1,short,30000,obi_only,183299,86209,2026-08-19T23:59:00.000Z,2026-08-20T00:00:00.000Z,2026-08-21T00:00:00.000Z
1,short,30000,linear,183299,86209,2026-08-19T23:59:00.000Z,2026-08-20T00:00:00.000Z,2026-08-21T00:00:00.000Z
1,short,30000,lightgbm,183299,86209,2026-08-19T23:59:00.000Z,2026-08-20T00:00:00.000Z,2026-08-21T00:00:00.000Z
1,short,60000,obi_only,183179,86029,2026-08-19T23:59:00.000Z,2026-08-20T00:00:00.000Z,2026-08-21T00:00:00.000Z
1,short,60000,linear,183179,86029,2026-08-19T23:59:00.000Z,2026-08-20T00:00:00.000Z,2026-08-21T00:00:00.000Z
1,short,60000,lightgbm,183179,86029,2026-08-19T23:59:00.000Z,2026-08-20T00:00:00.000Z,2026-08-21T00:00:00.000Z
2,long,250,obi_only,269806,86396,2026-08-20T23:59:00.000Z,2026-08-21T00:00:00.000Z,2026-08-22T00:00:00.000Z
2,long,250,linear,269806,86396,2026-08-20T23:59:00.000Z,2026-08-21T00:00:00.000Z,2026-08-22T00:00:00.000Z
2,long,250,lightgbm,269806,86396,2026-08-20T23:59:00.000Z,2026-08-21T00:00:00.000Z,2026-08-22T00:00:00.000Z
2,long,1000,obi_only,269799,86395,2026-08-20T23:59:00.000Z,2026-08-21T00:00:00.000Z,2026-08-22T00:00:00.000Z
2,long,1000,linear,269799,86395,2026-08-20T23:59:00.000Z,2026-08-21T00:00:00.000Z,2026-08-22T00:00:00.000Z
2,long,1000,lightgbm,269799,86395,2026-08-20T23:59:00.000Z,2026-08-21T00:00:00.000Z,2026-08-22T00:00:00.000Z
2,long,5000,obi_only,269763,86387,2026-08-20T23:59:00.000Z,2026-08-21T00:00:00.000Z,2026-08-22T00:00:00.000Z
2,long,5000,linear,269763,86387,2026-08-20T23:59:00.000Z,2026-08-21T00:00:00.000Z,2026-08-22T00:00:00.000Z
2,long,5000,lightgbm,269763,86387,2026-08-20T23:59:00.000Z,2026-08-21T00:00:00.000Z,2026-08-22T00:00:00.000Z
2,long,10000,obi_only,269718,86377,2026-08-20T23:59:00.000Z,2026-08-21T00:00:00.000Z,2026-08-22T00:00:00.000Z
2,long,10000,linear,269718,86377,2026-08-20T23:59:00.000Z,2026-08-21T00:00:00.000Z,2026-08-22T00:00:00.000Z
2,long,10000,lightgbm,269718,86377,2026-08-20T23:59:00.000Z,2026-08-21T00:00:00.000Z,2026-08-22T00:00:00.000Z
2,long,30000,obi_only,269538,86337,2026-08-20T23:59:00.000Z,2026-08-21T00:00:00.000Z,2026-08-22T00:00:00.000Z
2,long,30000,linear,269538,86337,2026-08-20T23:59:00.000Z,2026-08-21T00:00:00.000Z,2026-08-22T00:00:00.000Z
2,long,30000,lightgbm,269538,86337,2026-08-20T23:59:00.000Z,2026-08-21T00:00:00.000Z,2026-08-22T00:00:00.000Z
2,long,60000,obi_only,269268,86277,2026-08-20T23:59:00.000Z,2026-08-21T00:00:00.000Z,2026-08-22T00:00:00.000Z
2,long,60000,linear,269268,86277,2026-08-20T23:59:00.000Z,2026-08-21T00:00:00.000Z,2026-08-22T00:00:00.000Z
2,long,60000,lightgbm,269268,86277,2026-08-20T23:59:00.000Z,2026-08-21T00:00:00.000Z,2026-08-22T00:00:00.000Z
2,short,250,obi_only,269806,86396,2026-08-20T23:59:00.000Z,2026-08-21T00:00:00.000Z,2026-08-22T00:00:00.000Z
2,short,250,linear,269806,86396,2026-08-20T23:59:00.000Z,2026-08-21T00:00:00.000Z,2026-08-22T00:00:00.000Z
2,short,250,lightgbm,269806,86396,2026-08-20T23:59:00.000Z,2026-08-21T00:00:00.000Z,2026-08-22T00:00:00.000Z
2,short,1000,obi_only,269799,86395,2026-08-20T23:59:00.000Z,2026-08-21T00:00:00.000Z,2026-08-22T00:00:00.000Z
