feature,importance
segment_age_ms,34145
time_since_mid_change_ms,8624
ask_depth_l10,8346
bid_depth_l1,8085
ask_depth_l1,7261
bid_depth_l10,6099
backward_mid_abs_change_ticks_5000ms,4934
signed_volume_5000ms,1872
obi_l10,1849
trade_imbalance_5000ms,1808
bbo_change_count_5000ms,1536
obi_l1,1442
trade_imbalance_1000ms,1348
obi_l5,1309
depth_flow_pressure_l10_5000ms,1186
weighted_obi_l10,1173
time_since_trade_ms,1087
microprice_minus_mid_ticks,868
depth_flow_pressure_l10_1000ms,663
signed_volume_1000ms,490
