executed_trade_count,gross_executable_edge_bp_per_trade,additional_cost_bp_per_side,net_edge_bp_per_trade,hit_rate,net_trade_sharpe,cumulative_net_pnl_bp,best_day_pnl_fraction,best_5pct_trade_pnl_fraction,positive_days,days,view,model,side,horizon_ms,tail,eligible_oof_observations
34559,0.008357165036125602,1.0,-1.9916428349638744,2.8936022454353425e-05,-5181.065991316495,-68829.18473351654,,,0,4,predictive_all_eligible,obi_only,long,250,0.1,345578
34559,0.008357165036125602,1.0,-1.9916428349638744,2.8936022454353425e-05,-5181.065991316495,-68829.18473351654,,,0,4,non_overlapping_trade_tape,obi_only,long,250,0.1,345578
34559,0.00835716503612538,2.0,-3.9916428349638746,2.8936022454353425e-05,-10383.872338279276,-137947.18473351654,,,0,4,predictive_all_eligible,obi_only,long,250,0.1,345578
34559,0.00835716503612538,2.0,-3.9916428349638746,2.8936022454353425e-05,-10383.872338279276,-137947.18473351654,,,0,4,non_overlapping_trade_tape,obi_only,long,250,0.1,345578
34559,0.00835716503612538,3.0,-5.991642834963875,2.8936022454353425e-05,-15586.678685242056,-207065.18473351654,,,0,4,predictive_all_eligible,obi_only,long,250,0.1,345578
34559,0.00835716503612538,3.0,-5.991642834963875,2.8936022454353425e-05,-15586.678685242056,-207065.18473351654,,,0,4,non_overlapping_trade_tape,obi_only,long,250,0.1,345578
34559,0.00835716503612538,5.0,-9.991642834963875,2.8936022454353425e-05,-25992.291379167615,-345301.18473351654,,,0,4,predictive_all_eligible,obi_only,long,250,0.1,345578
34559,0.00835716503612538,5.0,-9.991642834963875,2.8936022454353425e-05,-25992.291379167615,-345301.18473351654,,,0,4,non_overlapping_trade_tape,obi_only,long,250,0.1,345578
17280,0.0105845183928035,1.0,-1.9894154816071965,5.787037037037037e-05,-2828.827788310181,-34377.09952217236,,,0,4,predictive_all_eligible,obi_only,long,250,0.05,345578
17280,0.0105845183928035,1.0,-1.9894154816071965,5.787037037037037e-05,-2828.827788310181,-34377.09952217236,,,0,4,non_overlapping_trade_tape,obi_only,long,250,0.05,345578
17280,0.0105845183928035,2.0,-3.9894154816071965,5.787037037037037e-05,-5672.706117863387,-68937.09952217236,,,0,4,predictive_all_eligible,obi_only,long,250,0.05,345578
17280,0.0105845183928035,2.0,-3.9894154816071965,5.787037037037037e-05,-5672.706117863387,-68937.09952217236,,,0,4,non_overlapping_trade_tape,obi_only,long,250,0.05,345578
17280,0.010584518392803055,3.0,-5.989415481607197,5.787037037037037e-05,-8516.584447416595,-103497.09952217236,,,0,4,predictive_all_eligible,obi_only,long,250,0.05,345578
17280,0.010584518392803055,3.0,-5.989415481607197,5.787037037037037e-05,-8516.584447416595,-103497.09952217236,,,0,4,non_overlapping_trade_tape,obi_only,long,250,0.05,345578
17280,0.010584518392803943,5.0,-9.989415481607196,5.787037037037037e-05,-14204.341106523003,-172617.09952217236,,,0,4,predictive_all_eligible,obi_only,long,250,0.05,345578
17280,0.010584518392803943,5.0,-9.989415481607196,5.787037037037037e-05,-14204.341106523003,-172617.09952217236,,,0,4,non_overlapping_trade_tape,obi_only,long,250,0.05,345578
6912,0.011404527565867184,1.0,-1.9885954724341328,0.0,-3209.598844210799,-13745.171905464726,,,0,4,predictive_all_eligible,obi_only,long,250,0.02,345578
6912,0.011404527565867184,1.0,-1.9885954724341328,0.0,-3209.598844210799,-13745.171905464726,,,0,4,non_overlapping_trade_tape,obi_only,long,250,0.02,345578
6912,0.011404527565867184,2.0,-3.988595472434133,0.0,-6437.6046288987245,-27569.171905464726,,,0,4,predictive_all_eligible,obi_only,long,250,0.02,345578
6912,0.011404527565867184,2.0,-3.988595472434133,0.0,-6437.6046288987245,-27569.171905464726,,,0,4,non_overlapping_trade_tape,obi_only,long,250,0.02,345578
