executed_trade_count,gross_executable_edge_bp_per_trade,additional_cost_bp_per_side,net_edge_bp_per_trade,hit_rate,net_trade_sharpe,cumulative_net_pnl_bp,best_day_pnl_fraction,best_5pct_trade_pnl_fraction,positive_days,days,model,side,horizon_ms,tail,fold,cost_bp_per_side,utc_date
8640,0.0072627918155274696,1.0,-1.9927372081844725,0.00011574074074074075,-1570.918759040962,-17217.249478713842,,,0,1,obi_only,long,250,0.1,0,1.0,2026-08-19
8639,0.008445009955622584,1.0,-1.9915549900443774,0.0,-4589.616444025357,-17205.043558993377,,,0,0,obi_only,long,250,0.1,1,1.0,2026-08-20
8640,0.010713602020472557,1.0,-1.9892863979795274,0.0,-3055.2793026806453,-17187.434478543117,,,0,0,obi_only,long,250,0.1,2,1.0,2026-08-21
8640,0.007007266520115518,1.0,-1.9929927334798845,0.0,-5287.477201512134,-17219.4572172662,,,0,0,obi_only,long,250,0.1,3,1.0,2026-08-22
8640,0.007262791815527692,2.0,-3.9927372081844723,0.00011574074074074075,-3147.562937298848,-34497.24947871384,,,0,1,obi_only,long,250,0.1,0,2.0,2026-08-19
8639,0.008445009955622584,2.0,-3.9915549900443774,0.0,-9198.694744115968,-34483.04355899338,,,0,0,obi_only,long,250,0.1,1,2.0,2026-08-20
8640,0.010713602020472557,2.0,-3.9892863979795274,0.0,-6127.013272996655,-34467.43447854312,,,0,0,obi_only,long,250,0.1,2,2.0,2026-08-21
8640,0.007007266520115518,2.0,-3.9929927334798845,0.0,-10593.544918357127,-34499.4572172662,,,0,0,obi_only,long,250,0.1,3,2.0,2026-08-22
8640,0.007262791815527692,3.0,-5.992737208184472,0.00011574074074074075,-4724.207115556735,-51777.24947871384,,,0,1,obi_only,long,250,0.1,0,3.0,2026-08-19
8639,0.00844500995562214,3.0,-5.991554990044378,0.0,-13807.77304420658,-51761.04355899338,,,0,0,obi_only,long,250,0.1,1,3.0,2026-08-20
