problem,family,task,model,horizon_ms,n,positives,base_rate,roc_auc,log_loss,brier,accuracy,primary_metric,blocks,block_mean,block_median,block_worst,block_best,block_frac_expected_sign,block_bootstrap_p05,block_bootstrap_p95,sides,mean_target,median_target,mae,median_abs_error,rmse,spearman,sign_accuracy,r2
markout_1000ms,adverse,regression,naive,1000,2769976,,,,,,,spearman,7,-0.009560404874,-0.007489651201,-0.1189198947,0.1726942854,0.01666666667,-0.04994415055,0.03426965829,pooled,-56.98099641,-41.5,52.85303393,32,98.71656796,0.08746275104,0.871507912,-0.04655790688
markout_1000ms,adverse,regression,linear,1000,2769976,,,,,,,spearman,120,0.1544898391,0.1520887194,-0.1429524311,0.419572183,0.9833333333,0.1440528908,0.1674310015,pooled,-56.98099641,-41.5,52.00921198,33.04676819,96.33542764,0.1805343704,0.8710620597,0.003321187011
markout_1000ms,adverse,regression,lightgbm,1000,2769976,,,,,,,spearman,120,0.1538205618,0.1615181866,-0.0134266443,0.4110376699,0.9916666667,0.1449795513,0.1647050038,pooled,-56.98099641,-41.5,51.8811757,30.48596281,97.43053252,0.168199353,0.87148228,-0.01946734586
good_fill_1s,adverse,classification,naive,1000,2769976,355920,0.128492088,0.5499489903,0.3852450828,0.1123220789,0.871507912,roc_auc,120,0.5014017534,0.5,0.4161504181,0.5899202171,0.05,0.4989778349,0.5040297786,pooled,,,,,,,,
good_fill_1s,adverse,classification,linear,1000,2769976,355920,0.128492088,0.6838129338,0.3634670915,0.1080566057,0.8689317164,roc_auc,120,0.6616513611,0.6598812933,0.3163339551,0.90125682,0.9916666667,0.6520653158,0.672060676,pooled,,,,,,,,
good_fill_1s,adverse,classification,lightgbm,1000,2769976,355920,0.128492088,0.6795446482,0.3675171497,0.1078208987,0.8701938212,roc_auc,120,0.659070772,0.6511796562,0.4147715998,0.8824619542,0.9916666667,0.6498303629,0.6682096769,pooled,,,,,,,,
markout_1000ms_bid_only,adverse,regression,naive,1000,1392046,,,,,,,spearman,8,-0.02921433261,-0.06431504921,-0.1740129516,0.3149993643,0.01666666667,-0.08483425409,0.04735330215,bid,-55.28514288,-40.5,51.74706583,31,89.15512763,0.09024291984,0.8705006875,-0.05213409601
markout_1000ms_bid_only,adverse,regression,linear,1000,1392046,,,,,,,spearman,120,0.1576639882,0.1407794733,-0.6798555946,0.5033416415,0.975,0.1451444312,0.172836904,bid,-55.28514288,-40.5,50.99070463,32.45067024,86.81649468,0.1673291474,0.8702435121,0.002339136247
markout_1000ms_bid_only,adverse,regression,lightgbm,1000,1392046,,,,,,,spearman,120,0.1398463178,0.1385299147,-0.1446239993,0.5545783384,0.9833333333,0.1281995474,0.1533569323,bid,-55.28514288,-40.5,51.18093036,30.60098733,88.105166,0.1332378571,0.8703261243,-0.02749848502
markout_1000ms_ask_only,adverse,regression,naive,1000,1377930,,,,,,,spearman,6,0.007076563536,0.007253640077,-0.04220694826,0.04002488026,0.025,-0.01230367323,0.02377026591,ask,-58.69422286,-42.5,54.0161456,33,107.5954047,0.08641522805,0.8725254548,-0.04481049037
markout_1000ms_ask_only,adverse,regression,linear,1000,1377930,,,,,,,spearman,120,0.1376702602,0.1361963172,-0.07319585129,0.5389998876,0.975,0.1234861538,0.1553447613,ask,-58.69422286,-42.5,53.35813648,33.71814728,105.3566062,0.1755891619,0.8718556095,-0.001782919457
markout_1000ms_ask_only,adverse,regression,lightgbm,1000,1377930,,,,,,,spearman,120,0.1398833678,0.1335490669,-0.03352068083,0.490970344,0.9833333333,0.1288632598,0.1522050755,ask,-58.69422286,-42.5,52.87822159,30.83594537,106.0700989,0.177089244,0.8725189233,-0.01539734878
