problem,model,bucket,observations,predicted,realised
price_direction,linear,0,189064,0.1273729354,0.1505680616
price_direction,linear,1,189064,0.2188833803,0.2427008844
price_direction,linear,2,189063,0.298440665,0.3243574893
price_direction,linear,3,189064,0.3760982156,0.3927400245
price_direction,linear,4,189064,0.4501287341,0.4603837854
price_direction,linear,5,189063,0.5227333307,0.5160290485
price_direction,linear,6,189064,0.5988556743,0.5797401938
price_direction,linear,7,189063,0.6816256046,0.6461814316
price_direction,linear,8,189064,0.7673791051,0.7343915288
price_direction,linear,9,189064,0.8681746125,0.8441903271
price_direction,lightgbm,0,189064,0.1051924406,0.1622360682
price_direction,lightgbm,1,189064,0.1988236453,0.2591450514
price_direction,lightgbm,2,189063,0.2817721694,0.337321422
price_direction,lightgbm,3,189064,0.364925002,0.4091154318
price_direction,lightgbm,4,189064,0.4441502811,0.4616267507
price_direction,lightgbm,5,189063,0.5220715875,0.5167589639
price_direction,lightgbm,6,189064,0.6025782847,0.5707485296
price_direction,lightgbm,7,189063,0.686269514,0.6363751765
price_direction,lightgbm,8,189064,0.7760107605,0.7124360005
price_direction,lightgbm,9,189064,0.8875232424,0.8255194008
move_within_250ms,linear,0,214264,0.004139976576,0.004531792555
move_within_250ms,linear,1,214263,0.00895330403,0.008055520552
move_within_250ms,linear,2,214264,0.01483553369,0.01378673039
move_within_250ms,linear,3,214262,0.02409643866,0.02522612502
move_within_250ms,linear,4,214263,0.03909280896,0.04228448216
move_within_250ms,linear,5,214263,0.06201130152,0.06340805459
move_within_250ms,linear,6,214263,0.09668208659,0.08704722701
move_within_250ms,linear,7,214263,0.1529724747,0.1289396676
move_within_250ms,linear,8,214263,0.2671919763,0.2227262757
move_within_250ms,linear,9,214264,0.6741680503,0.6085249972
move_within_250ms,lightgbm,0,214264,0.003190077022,0.00317832207
move_within_250ms,lightgbm,1,214263,0.005607511018,0.005899291992
move_within_250ms,lightgbm,2,214263,0.009351986836,0.01222796283
move_within_250ms,lightgbm,3,214263,0.01637417004,0.02273841027
move_within_250ms,lightgbm,4,214263,0.02733667149,0.037855346
move_within_250ms,lightgbm,5,214263,0.04349544198,0.05768144757
move_within_250ms,lightgbm,6,214263,0.06846097905,0.08186201071
move_within_250ms,lightgbm,7,214263,0.1114321259,0.1239504721
