signal,bucket,observations,signal_mean,p_next_move_up,p_move_within_500ms,p_move_within_1000ms,p_bid_fill_1000ms,p_bid_trade_through_given_fill,mean_bid_markout_ticks
obi_l1,0,257038,-0.9302594662,0.1576953083,0.3222571015,0.4291733503,0.4315960705,0.5091791749,-38.601017
obi_l1,1,257038,-0.763376832,0.2417666465,0.1756357253,0.2714306414,0.2459788769,0.6527385712,-44.84752655
obi_l1,2,257038,-0.5443353653,0.3286762238,0.1329103112,0.2175826132,0.1761490554,0.7502292395,-49.60302734
obi_l1,3,257039,-0.3239026666,0.3941765726,0.1047604606,0.1804815829,0.1278182566,0.7820514441,-52.91798782
obi_l1,4,257037,-0.1137067825,0.4567393064,0.09853363037,0.1705566347,0.1050581858,0.8214709759,-56.95378113
obi_l1,5,257037,0.08549204469,0.5096711516,0.09812785685,0.1711376607,0.09202181548,0.868512392,-58.89251328
obi_l1,6,257038,0.2957459986,0.5680671334,0.1113259494,0.1911623925,0.08445055038,0.9068797231,-62.17516327
obi_l1,7,257038,0.5318120718,0.6414958835,0.1338870972,0.2204069793,0.07329390943,0.940045774,-63.95817947
obi_l1,8,257038,0.7603012919,0.730301857,0.1712607294,0.2667535543,0.0611239709,0.9670980573,-62.52903366
obi_l1,9,257038,0.9270871878,0.8433677554,0.3063282371,0.4094491899,0.06123314425,0.9844325781,-59.44881058
obi_l10,0,257038,-0.9200751185,0.1687357873,0.3094547093,0.4156476855,0.415588975,0.5194201469,-40.41730881
obi_l10,1,257038,-0.7521192431,0.2456478328,0.176662147,0.2711883485,0.2441969961,0.6600512266,-44.92624664
obi_l10,2,257038,-0.5392075777,0.3231568635,0.1374543905,0.2224807292,0.1807320267,0.7450896502,-49.93822479
obi_l10,3,257039,-0.3232877254,0.3964939713,0.107031554,0.1819766462,0.1295803487,0.7818264961,-52.87294388
obi_l10,4,257037,-0.1130025834,0.4501710236,0.1019234657,0.1749871671,0.1086696014,0.8180058599,-56.11541367
obi_l10,5,257037,0.08775934577,0.5156775713,0.1009679735,0.1757169515,0.0944301337,0.8614542484,-58.33242035
obi_l10,6,257039,0.298428297,0.5729624629,0.1154766381,0.1970518082,0.08706071973,0.8982886672,-61.89021683
obi_l10,7,257037,0.530299902,0.6373150349,0.1364699155,0.222763449,0.07571607828,0.936001718,-63.2923317
obi_l10,8,257038,0.750408709,0.7297885418,0.1722385883,0.2663873136,0.06150302663,0.9636583328,-61.64789581
obi_l10,9,257038,0.9181815386,0.8322095275,0.2973490357,0.399936974,0.06124870479,0.9812484384,-58.57335281
weighted_obi_l10,0,257038,-0.927267015,0.1595392525,0.3169037998,0.4232481122,0.4258513451,0.5119591951,-38.86548615
weighted_obi_l10,1,257038,-0.7605082393,0.2438641191,0.1779311597,0.2735199034,0.2476587296,0.6521484852,-44.95885849
weighted_obi_l10,2,257038,-0.5427142382,0.3268404603,0.1336300522,0.2182245404,0.1767326295,0.750508368,-50.0009613
weighted_obi_l10,3,257038,-0.3229146302,0.3951483667,0.1060062572,0.1819925606,0.1293015927,0.7803582549,-52.65737534
weighted_obi_l10,4,257038,-0.1123127118,0.4534127712,0.09975450486,0.172150448,0.1060728058,0.8215578794,-56.41835403
