group,metric,population,observed,unobserved_within_window,mean_ms,std_ms,p10_ms,p25_ms,p50_ms,p75_ms,p90_ms,p99_ms,frac_lt_10ms,frac_lt_50ms,frac_lt_100ms,frac_gt_100ms,frac_unobserved
all,depth_qty_reaction_latency_ms,5174906,5124149,50757,161.1887857,436.5330205,12.4379938,30.561929,60.435506,92.305964,268.1496676,2503.388228,0.07911158193,0.4093432808,0.7948347274,0.1953569785,0.009808294102
all,quote_removal_latency_ms,5174906,4353770,821136,354.0941046,833.5695572,13.3549968,32.664105,64.650235,102.6726542,1075.877936,4309.174427,0.06242181017,0.3254175052,0.622467925,0.2188555696,0.1586765054
all,best_price_change_latency_ms,5174906,4839824,335082,324.3296887,771.4926613,13.4024366,32.79427,65.0176035,102.1169352,934.3822234,4109.731645,0.06911874341,0.3597168722,0.6924583751,0.2427903038,0.06475132109
all,mid_adverse_move_latency_ms,5174906,4315490,859416,358.5688172,841.0812229,13.3904361,32.7371205,64.7876785,102.8991338,1103.576457,4316.426108,0.06168324603,0.3219146396,0.6165628902,0.2173633685,0.1660737412
all,first_mid_move_latency_ms,5174906,4840553,334353,322.8758515,770.0441097,13.3821866,32.747386,64.902069,101.570928,925.7906214,4108.46966,0.06924145096,0.3603709903,0.6943625643,0.2410269868,0.06461044896
all,qty_reaction_exchange_lag_ms,5174906,5124149,50757,414.0137549,1137.464627,24,51,89,209,777,6818,0.03157197445,0.2407189619,0.561664695,0.4217494965,0.009808294102
side=ask,depth_qty_reaction_latency_ms,2622350,2596504,25846,163.3294316,445.1200637,12.451919,30.67036525,60.600726,92.4952965,267.5452412,2536.407996,0.07881823555,0.4078742349,0.793984022,0.1961599329,0.00985604515
side=ask,quote_removal_latency_ms,2622350,2208285,414065,349.1011956,830.0439488,13.2419582,32.561723,64.498512,101.570905,1048.463752,4305.717941,0.0626769882,0.3261589795,0.6256251073,0.2164764429,0.1578984499
side=ask,best_price_change_latency_ms,2622350,2453302,169048,317.8296725,765.5371334,13.2905176,32.656629,64.7193915,100.953108,893.9828175,4108.321055,0.06946212367,0.3609205484,0.6970873453,0.2384483383,0.06446431636
side=ask,mid_adverse_move_latency_ms,2622350,2186110,436240,355.7999144,839.5092314,13.2932357,32.69201,64.750279,101.9765637,1094.115897,4294.793796,0.06177703205,0.3216832231,0.6179945469,0.2156508475,0.1663546056
side=ask,first_mid_move_latency_ms,2622350,2453674,168676,316.4968382,763.9259759,13.2693762,32.62475225,64.605748,100.544492,887.9175344,4105.907896,0.0695921597,0.3615261121,0.6989021298,0.2367754114,0.06432245886
side=ask,qty_reaction_exchange_lag_ms,2622350,2596504,25846,413.6105259,1126.192232,24,51,90,211,791,6526,0.03182260186,0.2405784888,0.5606261559,0.4225606803,0.00985604515
side=ask;category=at_quote,depth_qty_reaction_latency_ms,652410,635049,17361,360.9484411,689.112505,19.9202668,48.686565,94.097289,321.458457,958.097436,3759.122104,0.04854462685,0.2501126592,0.5181327693,0.4552566638,0.02661056697
side=ask;category=at_quote,quote_removal_latency_ms,652410,337614,314796,1271.483744,1364.899019,49.0483896,109.0290853,730.6965285,2064.926715,3536.835529,4855.837345,0.008900844561,0.05294829938,0.125129903,0.3923575666,0.4825125305
side=ask;category=at_quote,best_price_change_latency_ms,652410,492744,159666,1139.105154,1279.103192,51.5994681,116.1347377,606.810152,1762.571933,3233.094825,4800.252427,0.01171502583,0.07261844546,0.1769224874,0.5783449058,0.2447326068
side=ask;category=at_quote,mid_adverse_move_latency_ms,652410,334877,317533,1271.313209,1365.878731,48.763523,107.094605,728.423924,2068.2196,3537.836046,4854.30473,0.008903910118,0.05292377493,0.1247390445,0.3885532104,0.4867077451
side=ask;category=at_quote,first_mid_move_latency_ms,652410,492759,159651,1138.808485,1279.149551,51.5353482,115.769268,606.311262,1762.30571,3232.738212,4800.190933,0.01174261584,0.07272727273,0.1772137153,0.5780766696,0.2447096151
side=ask;category=at_quote,qty_reaction_exchange_lag_ms,652410,635049,17361,456.1764163,703.6329344,67,112,211,443,1079,3890.52,0.003764503916,0.05927714167,0.2016845235,0.7663922993,0.02661056697
side=ask;category=outside_quote,depth_qty_reaction_latency_ms,493858,485895,7963,210.2068009,536.1984354,18.6254812,45.0891805,78.179432,100.811963,369.879214,3203.247214,0.05105718648,0.277950342,0.7242385463,0.2596373856,0.01612406805
side=ask;category=outside_quote,quote_removal_latency_ms,493858,420651,73207,478.1859845,919.8156724,29.440977,60.7844675,95.303022,363.6677665,1458.14726,4497.385035,0.02689437045,0.1602525422,0.4757156916,0.3760493907,0.1482349177
side=ask;category=outside_quote,best_price_change_latency_ms,493858,484938,8920,264.8820192,612.2961455,19.0936154,46.291397,81.810279,146.264786,612.0788044,3529.770953,0.05056109246,0.2683119439,0.6710370187,0.3109011092,0.01806187204
side=ask;category=outside_quote,mid_adverse_move_latency_ms,493858,410603,83255,499.3150508,943.5177148,31.6310344,62.852778,96.219089,391.128177,1562.76099,4430.321742,0.02429038307,0.1476598536,0.4576720434,0.3737471095,0.1685808471
side=ask;category=outside_quote,first_mid_move_latency_ms,493858,485268,8590,258.7766915,601.96383,18.9718019,45.81591725,81.1591485,135.3282735,603.6560246,3463.484094,0.05115640528,0.2709807273,0.6789805977,0.3036257386,0.01739366377
side=ask;category=outside_quote,qty_reaction_exchange_lag_ms,493858,485895,7963,771.6491485,1489.652633,94,113,173,526,2352.6,6705,0.01035317844,0.05654661866,0.1016729505,0.8818445788,0.01612406805
side=ask;category=through_quote,depth_qty_reaction_latency_ms,1476082,1475560,522,62.84200053,148.2132357,9.8381873,24.17496675,47.9714015,73.86854875,92.6182263,365.3073428,0.1014869093,0.5210720001,0.9392418578,0.06040450327,0.00035363889
side=ask;category=through_quote,quote_removal_latency_ms,1476082,1450020,26062,96.89163485,321.7533459,9.9772906,24.612042,48.8869575,75.76186025,96.5503955,1589.241795,0.0984172966,0.5024226296,0.8969935275,0.08535027187,0.01765620067
side=ask;category=through_quote,best_price_change_latency_ms,1476082,1475620,462,60.98696453,112.598603,9.8579428,24.263477,48.122783,74.16306125,93.0964671,398.5008328,0.1013094123,0.5193309044,0.9357095338,0.06397747551,0.0003129907417
side=ask;category=through_quote,mid_adverse_move_latency_ms,1476082,1440630,35452,102.0830746,342.0587074,9.9886817,24.6364855,48.924433,75.885754,96.845061,1829.502832,0.09768833981,0.4986951944,0.8896470521,0.08633531199,0.02401763588
side=ask;category=through_quote,first_mid_move_latency_ms,1476082,1475647,435,60.88575724,112.224474,9.8562004,24.260677,48.111591,74.138308,93.0411678,395.827379,0.101329059,0.5194657207,0.9361471788,0.06355812211,0.000294699075
side=ask;category=through_quote,qty_reaction_exchange_lag_ms,1476082,1475560,522,277.3906483,1107.454444,16,35,62,87,113,7350,0.05140703565,0.3822836401,0.8728275258,0.1169271084,0.00035363889
side=bid,depth_qty_reaction_latency_ms,2552556,2527645,24911,158.9898237,427.5214279,12.4263398,30.452107,60.276383,92.084626,268.902469,2463.388886,0.07941294922,0.4108524945,0.7957086936,0.194532069,0.009759237408
side=bid,quote_removal_latency_ms,2552556,2145485,407071,359.2331599,837.1519529,13.4764866,32.771769,64.795135,105.949195,1102.22956,4312.296966,0.06215965487,0.3246557568,0.6192244166,0.2212997482,0.1594758352
side=bid,best_price_change_latency_ms,2552556,2386522,166034,331.0115894,777.5108122,13.515194,32.94416025,65.323184,106.145211,980.9193272,4111.220019,0.06876597418,0.3584802841,0.6877028359,0.2472509908,0.06504617333
side=bid,mid_adverse_move_latency_ms,2552556,2129380,423176,361.4114879,842.6827764,13.4883675,32.79243075,64.8185055,105.0532805,1111.611847,4337.642772,0.06158689564,0.3221523837,0.6150920881,0.2191227146,0.1657851973
side=bid,first_mid_move_latency_ms,2552556,2386879,165677,329.4333767,776.2287131,13.4941368,32.8956175,65.21369,103.7573065,972.3547732,4110.970148,0.06888115285,0.3591842843,0.6896988744,0.2453948121,0.06490631351
side=bid,qty_reaction_exchange_lag_ms,2552556,2527645,24911,414.4279687,1148.929032,24,51,89,208,763,7157,0.03131449418,0.2408632759,0.5627316306,0.4209161327,0.009759237408
side=bid;category=at_quote,depth_qty_reaction_latency_ms,667791,650828,16963,346.7615267,670.7796647,19.6429097,47.811749,92.508701,300.9240683,912.0288408,3685.969818,0.0493702371,0.2551232347,0.5280963655,0.4465019744,0.0254016601
side=bid;category=at_quote,quote_removal_latency_ms,667791,350794,316997,1260.978325,1359.974607,49.2315755,111.868823,714.4235375,2041.104653,3518.426297,4848.932327,0.008968374836,0.05358862279,0.1258118184,0.3994932546,0.474694927
side=bid;category=at_quote,best_price_change_latency_ms,667791,511114,156677,1129.465892,1268.476541,51.6822582,117.8644688,604.1771375,1740.538763,3201.03152,4788.865383,0.01181207893,0.07347957669,0.1779359111,0.5874442752,0.2346198137
side=bid;category=at_quote,mid_adverse_move_latency_ms,667791,347305,320486,1258.360078,1359.968488,48.8309688,109.395221,709.036911,2039.69593,3514.71824,4847.803699,0.00896987231,0.05358862279,0.125482374,0.3945980105,0.4799196156
side=bid;category=at_quote,first_mid_move_latency_ms,667791,511128,156663,1129.16461,1268.509345,51.592812,117.4150948,603.9012665,1740.042287,3200.83311,4788.889073,0.01184502337,0.0736203393,0.1781919792,0.5872091717,0.234598849
side=bid;category=at_quote,qty_reaction_exchange_lag_ms,667791,650828,16963,443.2301269,684.8685712,68,114,209,426,1038,3814,0.003691274665,0.05700436214,0.1959565193,0.7735399249,0.0254016601
side=bid;category=outside_quote,depth_qty_reaction_latency_ms,468386,461173,7213,201.3307282,482.3619178,19.1607368,45.475857,79.559768,101.59027,386.4539918,2891.753974,0.05026196342,0.273731495,0.7139688206,0.2706314877,0.01539969171
side=bid;category=outside_quote,quote_removal_latency_ms,468386,396649,71737,516.8551969,918.7536675,34.3461336,67.121498,99.549614,481.99826,1604.87314,4394.240963,0.0220437844,0.137954593,0.4289304121,0.4179117224,0.1531578655
side=bid;category=outside_quote,best_price_change_latency_ms,468386,459498,8888,280.9463764,603.1481412,20.6044938,49.22152325,86.3737905,183.392967,702.4844739,3431.864956,0.0472516258,0.2493264103,0.6275102159,0.3535139821,0.01897580201
side=bid;category=outside_quote,mid_adverse_move_latency_ms,468386,390201,78185,519.1305141,932.76428,34.818547,67.21533,99.182471,473.978802,1614.12881,4542.30367,0.02113641313,0.1348246959,0.4269747601,0.4061009509,0.1669242889
side=bid;category=outside_quote,first_mid_move_latency_ms,468386,459819,8567,273.7022461,594.6681731,20.433544,48.774602,85.635724,177.0295445,686.4757678,3362.978701,0.04767221907,0.2519417745,0.6358900565,0.3458194737,0.01829046983
side=bid;category=outside_quote,qty_reaction_exchange_lag_ms,468386,461173,7213,952.2284869,1925.965361,74,111,170,596,2878,8391,0.01830968475,0.06914169083,0.1208212884,0.8633242667,0.01539969171
side=bid;category=through_quote,depth_qty_reaction_latency_ms,1416379,1415644,735,58.87032762,129.8959508,9.7007144,23.860844,47.065189,72.58521275,90.8163709,283.5674993,0.1032174298,0.5296202499,0.9489126851,0.050568386,0.0005189289025
side=bid;category=through_quote,quote_removal_latency_ms,1416379,1398042,18337,88.24887131,295.6805563,9.8380744,24.27202525,47.9217725,74.14309725,93.9188631,1246.225191,0.100504173,0.5141985302,0.914786226,0.07226738041,0.01294639359
side=bid;category=through_quote,best_price_change_latency_ms,1416379,1415910,469,59.03363381,122.9690333,9.750774,23.93498925,47.147652,72.70495,90.9650439,338.8506975,0.1027330962,0.5289481135,0.9479517841,0.05171708985,0.0003311260616
