problem,family,task,model,horizon_ms,n,positives,base_rate,roc_auc,log_loss,brier,accuracy,primary_metric,blocks,block_mean,block_median,block_worst,block_best,block_frac_expected_sign,block_bootstrap_p05,block_bootstrap_p95,sides,mean_target,median_target,mae,median_abs_error,rmse,spearman,sign_accuracy,r2
fill_500ms,fill,classification,naive,500,4285236,459766,0.107290707,0.6744878466,0.3558931536,0.09757462904,0.892709293,roc_auc,120,0.5015582984,0.5,0.4783695247,0.5879835065,0.05,0.4999609898,0.5033954806,pooled,,,,,,,,
fill_500ms,fill,classification,linear,500,4285236,459766,0.107290707,0.8773416235,0.2334028142,0.06788619572,0.9115028904,roc_auc,120,0.8318120032,0.8240112406,0.7564793409,0.9201549673,1,0.8259572163,0.838104096,pooled,,,,,,,,
fill_500ms,fill,classification,lightgbm,500,4285236,459766,0.107290707,0.882780653,0.2252606893,0.06528089968,0.9152893796,roc_auc,120,0.8402197331,0.8320626765,0.7717613309,0.9251173995,1,0.8349693021,0.8462823049,pooled,,,,,,,,
fill_1000ms,fill,classification,naive,1000,4285176,698310,0.1629594677,0.6779027032,0.4648713363,0.140098709,0.8370405323,roc_auc,120,0.5012516848,0.5,0.4794681674,0.5790521029,0.05,0.499828844,0.5028737885,pooled,,,,,,,,
fill_1000ms,fill,classification,linear,1000,4285176,698310,0.1629594677,0.8587423078,0.3145599233,0.09596755498,0.8703649512,roc_auc,120,0.8033627316,0.7982075793,0.7367139874,0.9091962218,1,0.7970726427,0.8100730714,pooled,,,,,,,,
fill_1000ms,fill,classification,lightgbm,1000,4285176,698310,0.1629594677,0.8605180027,0.3104009795,0.09455942035,0.8726215679,roc_auc,120,0.8091429769,0.8009340314,0.7411761029,0.9148925007,1,0.8030593854,0.815775618,pooled,,,,,,,,
fill_5000ms,fill,classification,naive,5000,4284696,1593890,0.3719960529,0.6541263384,0.688420482,0.2447243369,0.6280039471,roc_auc,120,0.5006208195,0.5,0.4821938108,0.5616242516,0.05,0.4997264711,0.5017818748,pooled,,,,,,,,
fill_5000ms,fill,classification,linear,5000,4284696,1593890,0.3719960529,0.8273459745,0.491482388,0.1620981879,0.7590452158,roc_auc,120,0.7474011813,0.7370556939,0.6679619761,0.8805669148,1,0.7406396127,0.7544526143,pooled,,,,,,,,
fill_5000ms,fill,classification,lightgbm,5000,4284696,1593890,0.3719960529,0.8212859758,0.4991673023,0.1647919724,0.7554300235,roc_auc,120,0.748299882,0.7384709601,0.6770226475,0.8918960208,1,0.7417711228,0.7551013948,pooled,,,,,,,,
fill_1000ms_bid_only,fill,classification,naive,1000,2142588,352760,0.1646420124,0.6827053481,0.4676620037,0.141287078,0.8353579876,roc_auc,120,0.5007245327,0.5,0.4461928058,0.5762006904,0.04166666667,0.4991918682,0.5022649216,bid,,,,,,,,
fill_1000ms_bid_only,fill,classification,linear,1000,2142588,352760,0.1646420124,0.860413186,0.3147146002,0.09594840398,0.8703997222,roc_auc,120,0.8031290911,0.7946402533,0.7161638279,0.9765402733,1,0.7966703657,0.8099014513,bid,,,,,,,,
fill_1000ms_bid_only,fill,classification,lightgbm,1000,2142588,352760,0.1646420124,0.8616557675,0.3108739492,0.09451298448,0.8729074372,roc_auc,120,0.8065567887,0.7990293182,0.7189335598,0.9570449139,1,0.8006140362,0.8126157132,bid,,,,,,,,
fill_1000ms_ask_only,fill,classification,naive,1000,2142588,345550,0.161276923,0.6741505157,0.4621182163,0.1389144605,0.838723077,roc_auc,120,0.5025185633,0.5,0.446400486,0.655695896,0.05833333333,0.5000235177,0.5053603085,ask,,,,,,,,
fill_1000ms_ask_only,fill,classification,linear,1000,2142588,345550,0.161276923,0.8567461735,0.3147360118,0.09606253318,0.8702027641,roc_auc,120,0.8004499067,0.79667232,0.7220214132,0.9114921861,1,0.7932790376,0.8075518614,ask,,,,,,,,
fill_1000ms_ask_only,fill,classification,lightgbm,1000,2142588,345550,0.161276923,0.8561543259,0.3134371063,0.09519028046,0.8720775996,roc_auc,120,0.8041361223,0.7975192506,0.7270273156,0.9205239625,1,0.7974608135,0.8111433213,ask,,,,,,,,
