side,statistic,eligible,evaluable,censored_or_unavailable,positives,rate
bid,fill_500ms,2570379,2570339,40,245477,0.09550374484
bid,fill_1000ms,2570379,2570299,80,374935,0.1458721339
bid,fill_5000ms,2570379,2569979,400,877914,0.3416035695
bid,full_fill_within_30000ms,2570379,2570379,0,1608397,0.6257431297
bid,fill_via_trade_through_given_fill,2570379,1608397,961982,1266631,0.7875114166
bid,fill_at_quote_given_fill,2570379,1608397,961982,341766,0.2124885834
ask,fill_500ms,2570379,2570339,40,239172,0.09305076101
ask,fill_1000ms,2570379,2570299,80,366870,0.1427343667
ask,fill_5000ms,2570379,2569979,400,868897,0.3380949805
ask,full_fill_within_30000ms,2570379,2570379,0,1582363,0.6156146623
ask,fill_via_trade_through_given_fill,2570379,1582363,988016,1236106,0.7811772646
ask,fill_at_quote_given_fill,2570379,1582363,988016,346257,0.2188227354
