problem,family,task,model,fold,train_rows,validation_rows,validation_start_utc,horizon_ms,n,positives,base_rate,roc_auc,log_loss,brier,accuracy,sides,mean_target,median_target,mae,median_abs_error,rmse,spearman,sign_accuracy,r2
price_direction,price,classification,naive,0,343643,214277,2026-08-18T08:54:52.966Z,next_move,167411,83412,0.4982468297,0.5,0.6940041544,0.2504280256,0.5017531703,,,,,,,,,
price_direction,price,classification,linear,0,343643,214277,2026-08-18T08:54:52.966Z,next_move,167411,83412,0.4982468297,0.7679180256,0.5762210115,0.196192933,0.6959518789,,,,,,,,,
price_direction,price,classification,lightgbm,0,343643,214277,2026-08-18T08:54:52.966Z,next_move,167411,83412,0.4982468297,0.7404899392,0.6223918501,0.2122255498,0.6745375155,,,,,,,,,
price_direction,price,classification,naive,1,510993,214277,2026-08-18T14:52:00.649Z,next_move,172611,81980,0.4749407628,0.5,0.6920693404,0.2494612155,0.5250592372,,,,,,,,,
price_direction,price,classification,linear,1,510993,214277,2026-08-18T14:52:00.649Z,next_move,172611,81980,0.4749407628,0.7367247987,0.6054671136,0.2090088528,0.6731610384,,,,,,,,,
price_direction,price,classification,lightgbm,1,510993,214277,2026-08-18T14:52:00.649Z,next_move,172611,81980,0.4749407628,0.6947840409,0.6464276615,0.2255531775,0.6352781688,,,,,,,,,
price_direction,price,classification,naive,2,683604,214277,2026-08-18T20:49:08.333Z,next_move,156899,76181,0.4855416542,0.5,0.692757054,0.2498049497,0.5144583458,,,,,,,,,
price_direction,price,classification,linear,2,683604,214277,2026-08-18T20:49:08.333Z,next_move,156899,76181,0.4855416542,0.7662341285,0.5777189307,0.1965766381,0.7028406809,,,,,,,,,
price_direction,price,classification,lightgbm,2,683604,214277,2026-08-18T20:49:08.333Z,next_move,156899,76181,0.4855416542,0.7090266908,0.6463835532,0.2247857007,0.6471233086,,,,,,,,,
price_direction,price,classification,naive,3,840506,214250,2026-08-19T02:46:16.016Z,next_move,159597,75893,0.4755289886,0.5,0.6920403325,0.249446742,0.5244710114,,,,,,,,,
price_direction,price,classification,linear,3,840506,214250,2026-08-19T02:46:16.016Z,next_move,159597,75893,0.4755289886,0.766884926,0.5750114642,0.1960885158,0.6902322725,,,,,,,,,
price_direction,price,classification,lightgbm,3,840506,214250,2026-08-19T02:46:16.016Z,next_move,159597,75893,0.4755289886,0.7413436413,0.6018565641,0.2063603051,0.6834840254,,,,,,,,,
price_direction,price,classification,naive,4,1000101,214277,2026-08-19T08:43:23.700Z,next_move,165824,82546,0.4977928406,0.5,0.6936866183,0.2502695093,0.5022071594,,,,,,,,,
price_direction,price,classification,linear,4,1000101,214277,2026-08-19T08:43:23.700Z,next_move,165824,82546,0.4977928406,0.7701625001,0.5727432596,0.1951115127,0.6965819182,,,,,,,,,
price_direction,price,classification,lightgbm,4,1000101,214277,2026-08-19T08:43:23.700Z,next_move,165824,82546,0.4977928406,0.7619959218,0.5789714071,0.1982154977,0.6892970861,,,,,,,,,
price_direction,price,classification,naive,5,1165924,214277,2026-08-19T14:40:31.383Z,next_move,214073,110320,0.5153382257,0.5,0.6946601112,0.2507561568,0.4846617743,,,,,,,,,
price_direction,price,classification,linear,5,1165924,214277,2026-08-19T14:40:31.383Z,next_move,214073,110320,0.5153382257,0.7061514728,0.6278834164,0.2190119562,0.6426592798,,,,,,,,,
price_direction,price,classification,lightgbm,5,1165924,214277,2026-08-19T14:40:31.383Z,next_move,214073,110320,0.5153382257,0.7060186321,0.6263428042,0.2188420933,0.6458030672,,,,,,,,,
price_direction,price,classification,naive,6,1379997,214229,2026-08-19T20:37:39.066Z,next_move,213966,106120,0.4959666489,0.5,0.6932190797,0.2500359328,0.5040333511,,,,,,,,,
price_direction,price,classification,linear,6,1379997,214229,2026-08-19T20:37:39.066Z,next_move,213966,106120,0.4959666489,0.7363659382,0.6091186144,0.2097675935,0.6713496537,,,,,,,,,
price_direction,price,classification,lightgbm,6,1379997,214229,2026-08-19T20:37:39.066Z,next_move,213966,106120,0.4959666489,0.7297137144,0.6143948958,0.2121007422,0.6673770599,,,,,,,,,
price_direction,price,classification,naive,7,1593963,214255,2026-08-20T02:34:46.750Z,next_move,211871,94073,0.4440107424,0.5,0.6910414685,0.248947287,0.5559892576,,,,,,,,,
price_direction,price,classification,linear,7,1593963,214255,2026-08-20T02:34:46.750Z,next_move,211871,94073,0.4440107424,0.7319396676,0.6095792133,0.2102754334,0.6720929245,,,,,,,,,
price_direction,price,classification,lightgbm,7,1593963,214255,2026-08-20T02:34:46.750Z,next_move,211871,94073,0.4440107424,0.728877432,0.6143171053,0.2120636703,0.6723666759,,,,,,,,,
price_direction,price,classification,naive,8,1805834,214252,2026-08-20T08:31:54.433Z,next_move,214196,104345,0.4871472857,0.5,0.6928325266,0.2498426844,0.5128527143,,,,,,,,,
price_direction,price,classification,linear,8,1805834,214252,2026-08-20T08:31:54.433Z,next_move,214196,104345,0.4871472857,0.7337447345,0.6065920248,0.2096678282,0.6674681133,,,,,,,,,
price_direction,price,classification,lightgbm,8,1805834,214252,2026-08-20T08:31:54.433Z,next_move,214196,104345,0.4871472857,0.735111696,0.6038288859,0.2092155938,0.6669685708,,,,,,,,,
price_direction,price,classification,naive,9,2020030,214276,2026-08-20T14:29:02.116Z,next_move,214189,109894,0.5130702324,0.5,0.6944214427,0.2506368938,0.4869297676,,,,,,,,,
price_direction,price,classification,linear,9,2020030,214276,2026-08-20T14:29:02.116Z,next_move,214189,109894,0.5130702324,0.7224702319,0.6156601204,0.2137539629,0.6576948396,,,,,,,,,
price_direction,price,classification,lightgbm,9,2020030,214276,2026-08-20T14:29:02.116Z,next_move,214189,109894,0.5130702324,0.7215300965,0.6137330154,0.2136560713,0.6547208307,,,,,,,,,
move_within_250ms,price,classification,naive,0,427126,214277,2026-08-18T08:54:52.966Z,250,214277,11098,0.05179277291,0.5,0.210434444,0.04958161935,0.9482072271,,,,,,,,,
move_within_250ms,price,classification,linear,0,427126,214277,2026-08-18T08:54:52.966Z,250,214277,11098,0.05179277291,0.8780378717,0.1420906434,0.03662332306,0.9566449036,,,,,,,,,
move_within_250ms,price,classification,lightgbm,0,427126,214277,2026-08-18T08:54:52.966Z,250,214277,11098,0.05179277291,0.882444502,0.1350139648,0.03444790245,0.9593330129,,,,,,,,,
move_within_250ms,price,classification,naive,1,641403,214277,2026-08-18T14:52:00.649Z,250,214277,8257,0.03853423373,0.5,0.1632808197,0.03705103311,0.9614657663,,,,,,,,,
move_within_250ms,price,classification,linear,1,641403,214277,2026-08-18T14:52:00.649Z,250,214277,8257,0.03853423373,0.8537025343,0.1175722696,0.02845487735,0.96713133,,,,,,,,,
move_within_250ms,price,classification,lightgbm,1,641403,214277,2026-08-18T14:52:00.649Z,250,214277,8257,0.03853423373,0.8672806079,0.109842248,0.02646827573,0.9698334399,,,,,,,,,
move_within_250ms,price,classification,naive,2,855680,214277,2026-08-18T20:49:08.333Z,250,214277,5787,0.02700709829,0.5,0.1258985752,0.0263902821,0.9729929017,,,,,,,,,
move_within_250ms,price,classification,linear,2,855680,214277,2026-08-18T20:49:08.333Z,250,214277,5787,0.02700709829,0.8281835616,0.0946534429,0.02103957697,0.9769317286,,,,,,,,,
move_within_250ms,price,classification,lightgbm,2,855680,214277,2026-08-18T20:49:08.333Z,250,214277,5787,0.02700709829,0.8509166726,0.08475871001,0.01873002549,0.9794051625,,,,,,,,,
move_within_250ms,price,classification,naive,3,1069957,214250,2026-08-19T02:46:16.016Z,250,214247,5085,0.02373428799,0.5,0.1145180655,0.02330941513,0.976265712,,,,,,,,,
move_within_250ms,price,classification,linear,3,1069957,214250,2026-08-19T02:46:16.016Z,250,214247,5085,0.02373428799,0.8234714607,0.08415164686,0.01857961109,0.9794162812,,,,,,,,,
move_within_250ms,price,classification,lightgbm,3,1069957,214250,2026-08-19T02:46:16.016Z,250,214247,5085,0.02373428799,0.8539642399,0.07626350112,0.01662621534,0.9819180665,,,,,,,,,
move_within_250ms,price,classification,naive,4,1284205,214277,2026-08-19T08:43:23.700Z,250,214277,15239,0.07111822547,0.5,0.273165814,0.06747443369,0.9288817745,,,,,,,,,
move_within_250ms,price,classification,linear,4,1284205,214277,2026-08-19T08:43:23.700Z,250,214277,15239,0.07111822547,0.8827014325,0.1752593872,0.04748614343,0.9421916491,,,,,,,,,
move_within_250ms,price,classification,lightgbm,4,1284205,214277,2026-08-19T08:43:23.700Z,250,214277,15239,0.07111822547,0.9009794618,0.157276212,0.04309254567,0.9469285084,,,,,,,,,
move_within_250ms,price,classification,naive,5,1498481,214277,2026-08-19T14:40:31.383Z,250,214277,45475,0.2122252972,0.5,0.7205052688,0.1972426285,0.7877747028,,,,,,,,,
move_within_250ms,price,classification,linear,5,1498481,214277,2026-08-19T14:40:31.383Z,250,214277,45475,0.2122252972,0.8359932546,0.3844098385,0.1124571752,0.8540393976,,,,,,,,,
move_within_250ms,price,classification,lightgbm,5,1498481,214277,2026-08-19T14:40:31.383Z,250,214277,45475,0.2122252972,0.8580365509,0.3467568435,0.1027291747,0.8655618662,,,,,,,,,
move_within_250ms,price,classification,naive,6,1712758,214229,2026-08-19T20:37:39.066Z,250,214225,42102,0.196531684,0.5,0.6013434065,0.1764010955,0.803468316,,,,,,,,,
move_within_250ms,price,classification,linear,6,1712758,214229,2026-08-19T20:37:39.066Z,250,214225,42102,0.196531684,0.8008820848,0.3840062765,0.1147991931,0.8511098144,,,,,,,,,
move_within_250ms,price,classification,lightgbm,6,1712758,214229,2026-08-19T20:37:39.066Z,250,214225,42102,0.196531684,0.820803009,0.3592948557,0.1058719267,0.8666122068,,,,,,,,,
move_within_250ms,price,classification,naive,7,1926983,214255,2026-08-20T02:34:46.750Z,250,214252,26378,0.1231167037,0.5,0.3868083265,0.1102101117,0.8768832963,,,,,,,,,
move_within_250ms,price,classification,linear,7,1926983,214255,2026-08-20T02:34:46.750Z,250,214252,26378,0.1231167037,0.8409034632,0.2617765002,0.07271392337,0.9093637399,,,,,,,,,
move_within_250ms,price,classification,lightgbm,7,1926983,214255,2026-08-20T02:34:46.750Z,250,214252,26378,0.1231167037,0.862019737,0.2370162597,0.06543539543,0.9199307358,,,,,,,,,
move_within_250ms,price,classification,naive,8,2141235,214252,2026-08-20T08:31:54.433Z,250,214249,54942,0.2564399367,0.5,0.7089162958,0.2216944239,0.7435600633,,,,,,,,,
move_within_250ms,price,classification,linear,8,2141235,214252,2026-08-20T08:31:54.433Z,250,214249,54942,0.2564399367,0.7899127092,0.4605916948,0.1447308646,0.8050399302,,,,,,,,,
move_within_250ms,price,classification,lightgbm,8,2141235,214252,2026-08-20T08:31:54.433Z,250,214249,54942,0.2564399367,0.8091524057,0.420179014,0.1315141593,0.8236397836,,,,,,,,,
move_within_250ms,price,classification,naive,9,2355484,214276,2026-08-20T14:29:02.116Z,250,214274,43724,0.2040564884,0.5,0.5580890374,0.174018938,0.7959435116,,,,,,,,,
move_within_250ms,price,classification,linear,9,2355484,214276,2026-08-20T14:29:02.116Z,250,214274,43724,0.2040564884,0.8074212922,0.3952345569,0.1202710845,0.8437981276,,,,,,,,,
move_within_250ms,price,classification,lightgbm,9,2355484,214276,2026-08-20T14:29:02.116Z,250,214274,43724,0.2040564884,0.8216505149,0.3625063909,0.1094367468,0.8584382613,,,,,,,,,
