fill_quintile,adverse_quintile,opportunities,filled_opportunities,fill_rate,trade_through_rate,mean_markout_ticks,median_markout_ticks,predicted_fill,predicted_markout
0,0,147814,35975,0.243380194,0.9230298996,-54.10557175,-41.5,0.03886824762,-59.74245236
0,1,157496,46281,0.293855082,0.9293230772,-51.13222885,-39.5,0.03986842954,-45.45835177
0,2,214077,70960,0.331469518,0.9392615557,-52.85296631,-39.5,0.03866337308,-39.69746604
0,3,234762,79666,0.3393479354,0.9413174987,-51.7743721,-39.5,0.0364651517,-34.75680358
0,4,102910,33227,0.3228743562,0.9219911695,-50.14106369,-39.5,0.03704651348,-28.00704685
1,0,162725,66736,0.4101152251,0.9011777639,-62.02737808,-43.5,0.1204780098,-58.89562636
1,1,178131,92287,0.5180850049,0.9372609258,-63.19617844,-46.5,0.120182744,-45.50777422
1,2,199423,107989,0.5415072484,0.9195751548,-62.23640442,-46.5,0.1166910759,-39.82192719
1,3,184923,95517,0.5165230934,0.8801888824,-53.22001266,-39.5,0.1163223932,-34.69375939
1,4,131857,69943,0.5304458618,0.7965629101,-42.78286743,-30.5,0.123072061,-26.86734419
2,0,170252,110428,0.6486149942,0.9134549499,-75.59635925,-57.5,0.2681754027,-56.32325925
2,1,189493,130187,0.6870280169,0.9163664579,-66.71229553,-51.5,0.2664273669,-45.73914377
2,2,168756,118399,0.701598758,0.87997365,-63.20959473,-49.5,0.2638564838,-39.85168291
2,3,155503,106575,0.6853565526,0.8303073049,-55.68025208,-40.5,0.2635366322,-34.66019521
2,4,173054,122730,0.7092005963,0.7334148288,-40.73983765,-28.5,0.2678082172,-25.92639835
3,0,216889,171791,0.7920687541,0.9039006829,-74.26411438,-61.5,0.4825699929,-56.65222547
3,1,174572,138176,0.7915129574,0.8563860655,-67.36532593,-52.5,0.4753887427,-45.8217468
3,2,136650,110507,0.8086864252,0.802754581,-62.04214478,-48.5,0.4747290127,-39.85832468
3,3,130366,105860,0.8120215394,0.740175724,-55.36034012,-41.5,0.4777920147,-34.58679337
3,4,198582,166005,0.835951899,0.6284027696,-41.67773438,-27.5,0.4812354299,-24.75640847
4,0,159379,143480,0.9002440723,0.8018678427,-69.29937744,-60.5,0.7544171554,-56.32251334
4,1,157367,143209,0.9100319635,0.6846497059,-59.74630356,-48.5,0.7823033596,-45.81021989
4,2,138152,127285,0.9213402629,0.650485158,-56.30249023,-44.5,0.7864728667,-39.77259107
4,3,151505,140776,0.9291838553,0.5992072225,-51.28106689,-39.5,0.7920581797,-34.55166375
4,4,250656,236143,0.9420999298,0.5196850896,-38.8986969,-26.5,0.7972093396,-23.76370155
