problem,family,task,model,horizon_ms,n,positives,base_rate,roc_auc,log_loss,brier,accuracy,primary_metric,blocks,block_mean,block_median,block_worst,block_best,block_frac_expected_sign,block_bootstrap_p05,block_bootstrap_p95,sides,mean_target,median_target,mae,median_abs_error,rmse,spearman,sign_accuracy,r2
price_direction,price,classification,naive,next_move,1890637,924764,0.4891282674,0.4912716092,0.6930983446,0.2499755039,0.5108717326,roc_auc,120,0.5017080879,0.5,0.4013312251,0.6924582572,0.03333333333,0.4987089545,0.505525324,,,,,,,,,
price_direction,price,classification,linear,next_move,1890637,924764,0.4891282674,0.7411909356,0.5998280757,0.2065054127,0.6749619308,roc_auc,120,0.7399138029,0.7389848143,0.5947955907,0.8783406877,1,0.734494733,0.7452704159,,,,,,,,,
price_direction,price,classification,lightgbm,next_move,1890637,924764,0.4891282674,0.7265418308,0.6165889224,0.2132987302,0.6633182361,roc_auc,120,0.7260948562,0.7319093583,0.5819519053,0.8637766803,1,0.7200286189,0.7321753082,,,,,,,,,
move_within_250ms,price,classification,naive,250,2142632,258087,0.1204532556,0.6804588293,0.386290129,0.1083353416,0.8795467444,roc_auc,120,0.5015502989,0.5,0.4724699716,0.5921872349,0.04166666667,0.4998602011,0.5035949343,,,,,,,,,
move_within_250ms,price,classification,linear,250,2142632,258087,0.1204532556,0.8722854941,0.2499709398,0.07171424185,0.9085685269,roc_auc,120,0.796530373,0.7917090524,0.7369852151,0.8822392455,1,0.79135005,0.8015486475,,,,,,,,,
move_within_250ms,price,classification,lightgbm,250,2142632,258087,0.1204532556,0.8856869353,0.2288869905,0.06543401366,0.9171616965,roc_auc,120,0.8229460891,0.8197392668,0.7636861401,0.9052458518,1,0.8176159287,0.8281240502,,,,,,,,,
move_within_500ms,price,classification,naive,500,2142622,402424,0.1878184766,0.6869619112,0.509211811,0.157804612,0.8121815234,roc_auc,120,0.5014259817,0.5,0.4775092771,0.5908506537,0.04166666667,0.4998528173,0.5033313325,,,,,,,,,
move_within_500ms,price,classification,linear,500,2142622,402424,0.1878184766,0.8507302374,0.3423497492,0.1049669614,0.8583156525,roc_auc,120,0.7490776,0.7459927214,0.6824146802,0.8681668904,1,0.7428642265,0.7551012693,,,,,,,,,
move_within_500ms,price,classification,lightgbm,500,2142622,402424,0.1878184766,0.8571975352,0.3302932809,0.1012127629,0.8640740177,roc_auc,120,0.7705317401,0.7655866152,0.7001423762,0.8739889346,1,0.7643600009,0.7766078258,,,,,,,,,
move_within_1000ms,price,classification,naive,1000,2142606,608695,0.2840909621,0.6979988924,0.6316295631,0.2137162976,0.7159090379,roc_auc,120,0.5011231952,0.5,0.4776979124,0.5877159141,0.04166666667,0.4997031632,0.5029053223,,,,,,,,,
move_within_1000ms,price,classification,linear,1000,2142606,608695,0.2840909621,0.8397279861,0.4289120264,0.1382545505,0.8004215427,roc_auc,120,0.714326325,0.707104262,0.6348715892,0.8754069985,1,0.7076608489,0.7214162554,,,,,,,,,
move_within_1000ms,price,classification,lightgbm,1000,2142606,608695,0.2840909621,0.8395812203,0.427433835,0.1380675376,0.8016028145,roc_auc,120,0.7279540265,0.7248402735,0.6475499804,0.8821417705,1,0.7212622956,0.7347965914,,,,,,,,,
move_within_5000ms,price,classification,naive,5000,2142499,1276275,0.5956945604,0.7045171919,0.7167072482,0.2613415576,0.4779353456,roc_auc,120,0.500299336,0.5,0.4515462861,0.5894536611,0.04166666667,0.4985766377,0.5019429082,,,,,,,,,
move_within_5000ms,price,classification,linear,5000,2142499,1276275,0.5956945604,0.8593960258,0.462124995,0.1507495845,0.7850122684,roc_auc,120,0.6815572691,0.6672375998,0.4691565368,0.9528072284,0.9916666667,0.6711463055,0.6914758112,,,,,,,,,
move_within_5000ms,price,classification,lightgbm,5000,2142499,1276275,0.5956945604,0.8426461801,0.4841162703,0.1600393154,0.7670547337,roc_auc,120,0.678038535,0.6663026831,0.547764859,0.9475960669,1,0.6677752237,0.6879735683,,,,,,,,,
fill_500ms,fill,classification,naive,500,4285236,459766,0.107290707,0.6744878466,0.3558931536,0.09757462904,0.892709293,roc_auc,120,0.5015582984,0.5,0.4783695247,0.5879835065,0.05,0.4999609898,0.5033954806,pooled,,,,,,,,
fill_500ms,fill,classification,linear,500,4285236,459766,0.107290707,0.8773416235,0.2334028142,0.06788619572,0.9115028904,roc_auc,120,0.8318120032,0.8240112406,0.7564793409,0.9201549673,1,0.8259572163,0.838104096,pooled,,,,,,,,
fill_500ms,fill,classification,lightgbm,500,4285236,459766,0.107290707,0.882780653,0.2252606893,0.06528089968,0.9152893796,roc_auc,120,0.8402197331,0.8320626765,0.7717613309,0.9251173995,1,0.8349693021,0.8462823049,pooled,,,,,,,,
fill_1000ms,fill,classification,naive,1000,4285176,698310,0.1629594677,0.6779027032,0.4648713363,0.140098709,0.8370405323,roc_auc,120,0.5012516848,0.5,0.4794681674,0.5790521029,0.05,0.499828844,0.5028737885,pooled,,,,,,,,
fill_1000ms,fill,classification,linear,1000,4285176,698310,0.1629594677,0.8587423078,0.3145599233,0.09596755498,0.8703649512,roc_auc,120,0.8033627316,0.7982075793,0.7367139874,0.9091962218,1,0.7970726427,0.8100730714,pooled,,,,,,,,
fill_1000ms,fill,classification,lightgbm,1000,4285176,698310,0.1629594677,0.8605180027,0.3104009795,0.09455942035,0.8726215679,roc_auc,120,0.8091429769,0.8009340314,0.7411761029,0.9148925007,1,0.8030593854,0.815775618,pooled,,,,,,,,
fill_5000ms,fill,classification,naive,5000,4284696,1593890,0.3719960529,0.6541263384,0.688420482,0.2447243369,0.6280039471,roc_auc,120,0.5006208195,0.5,0.4821938108,0.5616242516,0.05,0.4997264711,0.5017818748,pooled,,,,,,,,
fill_5000ms,fill,classification,linear,5000,4284696,1593890,0.3719960529,0.8273459745,0.491482388,0.1620981879,0.7590452158,roc_auc,120,0.7474011813,0.7370556939,0.6679619761,0.8805669148,1,0.7406396127,0.7544526143,pooled,,,,,,,,
fill_5000ms,fill,classification,lightgbm,5000,4284696,1593890,0.3719960529,0.8212859758,0.4991673023,0.1647919724,0.7554300235,roc_auc,120,0.748299882,0.7384709601,0.6770226475,0.8918960208,1,0.7417711228,0.7551013948,pooled,,,,,,,,
through_given_fill,fill_mechanism,classification,naive,30000,2770132,2185049,0.7887887653,0.4777041325,0.5166064466,0.1669636143,0.7887887653,roc_auc,120,0.5003135482,0.5,0.4629556846,0.5510268611,0.03333333333,0.4992958588,0.5015543345,pooled,,,,,,,,
through_given_fill,fill_mechanism,classification,linear,30000,2770132,2185049,0.7887887653,0.7852413863,0.4279821894,0.1373071134,0.8023787314,roc_auc,120,0.7851944399,0.7783622538,0.3842893321,0.8862041935,0.9916666667,0.7784002632,0.7910490916,pooled,,,,,,,,
through_given_fill,fill_mechanism,classification,lightgbm,30000,2770132,2185049,0.7887887653,0.7903072838,0.4230524231,0.1360940178,0.8046566012,roc_auc,120,0.7924736041,0.7871244608,0.5338999683,0.9110470956,1,0.7856730953,0.7986888078,pooled,,,,,,,,
markout_1000ms,adverse,regression,naive,1000,2769976,,,,,,,spearman,7,-0.009560404874,-0.007489651201,-0.1189198947,0.1726942854,0.01666666667,-0.04994415055,0.03426965829,pooled,-56.98099641,-41.5,52.85303393,32,98.71656796,0.08746275104,0.871507912,-0.04655790688
markout_1000ms,adverse,regression,linear,1000,2769976,,,,,,,spearman,120,0.1544898391,0.1520887194,-0.1429524311,0.419572183,0.9833333333,0.1440528908,0.1674310015,pooled,-56.98099641,-41.5,52.00921198,33.04676819,96.33542764,0.1805343704,0.8710620597,0.003321187011
markout_1000ms,adverse,regression,lightgbm,1000,2769976,,,,,,,spearman,120,0.1538205618,0.1615181866,-0.0134266443,0.4110376699,0.9916666667,0.1449795513,0.1647050038,pooled,-56.98099641,-41.5,51.8811757,30.48596281,97.43053252,0.168199353,0.87148228,-0.01946734586
good_fill_1s,adverse,classification,naive,1000,2769976,355920,0.128492088,0.5499489903,0.3852450828,0.1123220789,0.871507912,roc_auc,120,0.5014017534,0.5,0.4161504181,0.5899202171,0.05,0.4989778349,0.5040297786,pooled,,,,,,,,
good_fill_1s,adverse,classification,linear,1000,2769976,355920,0.128492088,0.6838129338,0.3634670915,0.1080566057,0.8689317164,roc_auc,120,0.6616513611,0.6598812933,0.3163339551,0.90125682,0.9916666667,0.6520653158,0.672060676,pooled,,,,,,,,
good_fill_1s,adverse,classification,lightgbm,1000,2769976,355920,0.128492088,0.6795446482,0.3675171497,0.1078208987,0.8701938212,roc_auc,120,0.659070772,0.6511796562,0.4147715998,0.8824619542,0.9916666667,0.6498303629,0.6682096769,pooled,,,,,,,,
fill_1000ms_bid_only,fill,classification,naive,1000,2142588,352760,0.1646420124,0.6827053481,0.4676620037,0.141287078,0.8353579876,roc_auc,120,0.5007245327,0.5,0.4461928058,0.5762006904,0.04166666667,0.4991918682,0.5022649216,bid,,,,,,,,
fill_1000ms_bid_only,fill,classification,linear,1000,2142588,352760,0.1646420124,0.860413186,0.3147146002,0.09594840398,0.8703997222,roc_auc,120,0.8031290911,0.7946402533,0.7161638279,0.9765402733,1,0.7966703657,0.8099014513,bid,,,,,,,,
fill_1000ms_bid_only,fill,classification,lightgbm,1000,2142588,352760,0.1646420124,0.8616557675,0.3108739492,0.09451298448,0.8729074372,roc_auc,120,0.8065567887,0.7990293182,0.7189335598,0.9570449139,1,0.8006140362,0.8126157132,bid,,,,,,,,
markout_1000ms_bid_only,adverse,regression,naive,1000,1392046,,,,,,,spearman,8,-0.02921433261,-0.06431504921,-0.1740129516,0.3149993643,0.01666666667,-0.08483425409,0.04735330215,bid,-55.28514288,-40.5,51.74706583,31,89.15512763,0.09024291984,0.8705006875,-0.05213409601
markout_1000ms_bid_only,adverse,regression,linear,1000,1392046,,,,,,,spearman,120,0.1576639882,0.1407794733,-0.6798555946,0.5033416415,0.975,0.1451444312,0.172836904,bid,-55.28514288,-40.5,50.99070463,32.45067024,86.81649468,0.1673291474,0.8702435121,0.002339136247
markout_1000ms_bid_only,adverse,regression,lightgbm,1000,1392046,,,,,,,spearman,120,0.1398463178,0.1385299147,-0.1446239993,0.5545783384,0.9833333333,0.1281995474,0.1533569323,bid,-55.28514288,-40.5,51.18093036,30.60098733,88.105166,0.1332378571,0.8703261243,-0.02749848502
fill_1000ms_ask_only,fill,classification,naive,1000,2142588,345550,0.161276923,0.6741505157,0.4621182163,0.1389144605,0.838723077,roc_auc,120,0.5025185633,0.5,0.446400486,0.655695896,0.05833333333,0.5000235177,0.5053603085,ask,,,,,,,,
fill_1000ms_ask_only,fill,classification,linear,1000,2142588,345550,0.161276923,0.8567461735,0.3147360118,0.09606253318,0.8702027641,roc_auc,120,0.8004499067,0.79667232,0.7220214132,0.9114921861,1,0.7932790376,0.8075518614,ask,,,,,,,,
fill_1000ms_ask_only,fill,classification,lightgbm,1000,2142588,345550,0.161276923,0.8561543259,0.3134371063,0.09519028046,0.8720775996,roc_auc,120,0.8041361223,0.7975192506,0.7270273156,0.9205239625,1,0.7974608135,0.8111433213,ask,,,,,,,,
markout_1000ms_ask_only,adverse,regression,naive,1000,1377930,,,,,,,spearman,6,0.007076563536,0.007253640077,-0.04220694826,0.04002488026,0.025,-0.01230367323,0.02377026591,ask,-58.69422286,-42.5,54.0161456,33,107.5954047,0.08641522805,0.8725254548,-0.04481049037
markout_1000ms_ask_only,adverse,regression,linear,1000,1377930,,,,,,,spearman,120,0.1376702602,0.1361963172,-0.07319585129,0.5389998876,0.975,0.1234861538,0.1553447613,ask,-58.69422286,-42.5,53.35813648,33.71814728,105.3566062,0.1755891619,0.8718556095,-0.001782919457
markout_1000ms_ask_only,adverse,regression,lightgbm,1000,1377930,,,,,,,spearman,120,0.1398833678,0.1335490669,-0.03352068083,0.490970344,0.9833333333,0.1288632598,0.1522050755,ask,-58.69422286,-42.5,52.87822159,30.83594537,106.0700989,0.177089244,0.8725189233,-0.01539734878
