signal,bucket,observations,signal_mean,realised_fill_5000ms,fill_rate_30000ms,trade_through_rate,mean_markout_ticks
fill_5000ms_lightgbm,0,428530,0.02303769537,0.04491691561,0.2620843348,0.9465323687,-49.69872665
fill_5000ms_lightgbm,1,428529,0.0532101055,0.08126032614,0.3588975309,0.9244983792,-53.78704453
fill_5000ms_lightgbm,2,428529,0.09189922827,0.1328167666,0.4559994773,0.903080225,-56.33110046
fill_5000ms_lightgbm,3,428530,0.1461765926,0.2022492625,0.553200476,0.8827147484,-58.04654694
fill_5000ms_lightgbm,4,428529,0.2195656232,0.2844448905,0.6479468134,0.8644476533,-59.37392807
fill_5000ms_lightgbm,5,428529,0.3124798267,0.3735524615,0.7249334351,0.8460639715,-61.04872513
fill_5000ms_lightgbm,6,428530,0.4180182356,0.4593261008,0.7800994096,0.8104553819,-60.82773972
fill_5000ms_lightgbm,7,428529,0.5396241089,0.5643417837,0.8355163828,0.7654527426,-59.67645645
fill_5000ms_lightgbm,8,428529,0.6882837487,0.6946281079,0.8893563796,0.6922844648,-56.59394836
fill_5000ms_lightgbm,9,428530,0.879463086,0.8824928351,0.9562411033,0.5835623145,-50.03094101
