side,race,fill_handicap_ms,eligible,resolved,censored,fill_first,fill_first_rate
bid,observed_mid_adverse,0,2570379,1608906,961473,1374134,0.8540797287
bid,observed_mid_adverse,25,2570379,1608906,961473,1053415,0.6547399289
bid,observed_mid_adverse,50,2570379,1608906,961473,724458,0.4502798796
bid,observed_mid_adverse,100,2570379,1608906,961473,171830,0.1067992785
bid,observed_mid_adverse,200,2570379,1608906,961473,141629,0.08802813837
bid,observed_mid_adverse,500,2570379,1608906,961473,129790,0.08066972216
bid,quote_disappears,0,2570379,1623507,946872,1360549,0.8380308801
bid,quote_disappears,25,2570379,1623507,946872,1042112,0.6418894406
bid,quote_disappears,50,2570379,1623507,946872,715291,0.4405838718
bid,quote_disappears,100,2570379,1623507,946872,167229,0.1030047915
bid,quote_disappears,200,2570379,1623507,946872,137297,0.08456816016
bid,quote_disappears,500,2570379,1623507,946872,125698,0.07742374994
bid,depth_best_moves_adverse,0,2570379,1609655,960724,1373724,0.8534275978
bid,depth_best_moves_adverse,25,2570379,1609655,960724,1052880,0.6541028978
bid,depth_best_moves_adverse,50,2570379,1609655,960724,723788,0.4496541184
bid,depth_best_moves_adverse,100,2570379,1609655,960724,171242,0.1063842873
bid,depth_best_moves_adverse,200,2570379,1609655,960724,141124,0.08767344555
bid,depth_best_moves_adverse,500,2570379,1609655,960724,129269,0.08030851331
ask,observed_mid_adverse,0,2570379,1582753,987626,1357374,0.8576031762
ask,observed_mid_adverse,25,2570379,1582753,987626,1035946,0.6545215836
ask,observed_mid_adverse,50,2570379,1582753,987626,702109,0.4435998542
ask,observed_mid_adverse,100,2570379,1582753,987626,168298,0.1063324473
ask,observed_mid_adverse,200,2570379,1582753,987626,141270,0.08925587252
ask,observed_mid_adverse,500,2570379,1582753,987626,128955,0.08147512594
ask,quote_disappears,0,2570379,1594696,975683,1345320,0.8436216056
ask,quote_disappears,25,2570379,1594696,975683,1026171,0.6434900445
ask,quote_disappears,50,2570379,1594696,975683,694471,0.4354880178
ask,quote_disappears,100,2570379,1594696,975683,164087,0.1028954735
ask,quote_disappears,200,2570379,1594696,975683,137693,0.08634435654
ask,quote_disappears,500,2570379,1594696,975683,125738,0.07884762989
ask,depth_best_moves_adverse,0,2570379,1583463,986916,1357099,0.8570449704
ask,depth_best_moves_adverse,25,2570379,1583463,986916,1035596,0.6540070718
ask,depth_best_moves_adverse,50,2570379,1583463,986916,701690,0.443136341
ask,depth_best_moves_adverse,100,2570379,1583463,986916,167900,0.1060334217
ask,depth_best_moves_adverse,200,2570379,1583463,986916,140898,0.08898092346
ask,depth_best_moves_adverse,500,2570379,1583463,986916,128564,0.08119166662
