problem,model,bucket,observations,predicted,realised
level_disappears_500ms,linear,0,42853,0.01102041826,0.01038433715
level_disappears_500ms,linear,1,42853,0.02041241713,0.01724500035
level_disappears_500ms,linear,2,42852,0.03124106862,0.0300802763
level_disappears_500ms,linear,3,42853,0.04876992106,0.05635544769
level_disappears_500ms,linear,4,42852,0.0775905475,0.0948147111
level_disappears_500ms,linear,5,42853,0.119446218,0.1338762747
level_disappears_500ms,linear,6,42852,0.1798369735,0.1758144311
level_disappears_500ms,linear,7,42853,0.2732690573,0.2468905328
level_disappears_500ms,linear,8,42852,0.4421438873,0.3766685336
level_disappears_500ms,linear,9,42853,0.811631918,0.742561781
level_disappears_500ms,lightgbm,0,42853,0.007179791066,0.009170886519
level_disappears_500ms,lightgbm,1,42853,0.01389443893,0.0156348447
level_disappears_500ms,lightgbm,2,42852,0.02377061098,0.02837673854
level_disappears_500ms,lightgbm,3,42853,0.04239881308,0.05287844492
level_disappears_500ms,lightgbm,4,42852,0.07251376764,0.09138429945
level_disappears_500ms,lightgbm,5,42853,0.1146138693,0.1261288591
level_disappears_500ms,lightgbm,6,42852,0.1710913477,0.1721506581
level_disappears_500ms,lightgbm,7,42853,0.2558418583,0.2440902621
level_disappears_500ms,lightgbm,8,42852,0.4131257293,0.3823858863
level_disappears_500ms,lightgbm,9,42853,0.7824335484,0.7624903741
level_disappears_1000ms,linear,0,42853,0.02340274863,0.02149207757
level_disappears_1000ms,linear,1,42853,0.04277254641,0.03729027139
level_disappears_1000ms,linear,2,42852,0.06412665546,0.06314757771
level_disappears_1000ms,linear,3,42853,0.09817577153,0.1146244137
level_disappears_1000ms,linear,4,42852,0.1519915164,0.1844488005
level_disappears_1000ms,linear,5,42853,0.2249386013,0.2509975964
level_disappears_1000ms,linear,6,42852,0.3217069805,0.322808737
level_disappears_1000ms,linear,7,42853,0.4527575672,0.4177303806
level_disappears_1000ms,linear,8,42852,0.6400821805,0.5724820312
level_disappears_1000ms,linear,9,42853,0.9026292562,0.8584929877
level_disappears_1000ms,lightgbm,0,42853,0.01687392564,0.01766504095
level_disappears_1000ms,lightgbm,1,42853,0.03267033614,0.03477002777
level_disappears_1000ms,lightgbm,2,42852,0.05671416086,0.06405768692
level_disappears_1000ms,lightgbm,3,42853,0.09668689184,0.1153944881
level_disappears_1000ms,lightgbm,4,42852,0.1545139832,0.1762111453
level_disappears_1000ms,lightgbm,5,42853,0.2278691334,0.2403098966
level_disappears_1000ms,lightgbm,6,42852,0.3194657738,0.3221319892
level_disappears_1000ms,lightgbm,7,42853,0.4393489687,0.4182904347
level_disappears_1000ms,lightgbm,8,42852,0.6131348913,0.5809530477
level_disappears_1000ms,lightgbm,9,42853,0.8795905995,0.8737311273
trade_through_within_500ms,linear,0,42853,0.002109889174,0.001516813292
trade_through_within_500ms,linear,1,42852,0.004679622594,0.0046438906
trade_through_within_500ms,linear,2,42852,0.008319171146,0.00973116774
trade_through_within_500ms,linear,3,42853,0.01404196862,0.01754836301
trade_through_within_500ms,linear,4,42852,0.02320262976,0.03005694017
trade_through_within_500ms,linear,5,42852,0.03751027212,0.04676561187
trade_through_within_500ms,linear,6,42853,0.06022598967,0.07315707185
trade_through_within_500ms,linear,7,42852,0.1013417616,0.1219312984
trade_through_within_500ms,linear,8,42852,0.1976590157,0.2098151778
trade_through_within_500ms,linear,9,42853,0.5775950551,0.521410403
trade_through_within_500ms,lightgbm,0,42853,0.0008753100318,0.002146874198
trade_through_within_500ms,lightgbm,1,42852,0.002516198263,0.004877251937
trade_through_within_500ms,lightgbm,2,42852,0.005297853641,0.009684495473
trade_through_within_500ms,lightgbm,3,42853,0.01068988056,0.01668494621
trade_through_within_500ms,lightgbm,4,42852,0.02093032152,0.0299402595
trade_through_within_500ms,lightgbm,5,42852,0.03795620275,0.04538877999
trade_through_within_500ms,lightgbm,6,42853,0.06567299922,0.07523393928
trade_through_within_500ms,lightgbm,7,42852,0.1147045515,0.1187575842
trade_through_within_500ms,lightgbm,8,42852,0.2133328815,0.2083450014
trade_through_within_500ms,lightgbm,9,42853,0.5537008229,0.5255174667
trade_through_within_1000ms,linear,0,42853,0.004960648715,0.003967050148
trade_through_within_1000ms,linear,1,42852,0.01060082484,0.009871184542
trade_through_within_1000ms,linear,2,42853,0.01843447611,0.02205213171
trade_through_within_1000ms,linear,3,42851,0.03049852513,0.03911227276
trade_through_within_1000ms,linear,4,42852,0.04933618009,0.06622794735
trade_through_within_1000ms,linear,5,42852,0.07737356424,0.09838513955
trade_through_within_1000ms,linear,6,42852,0.1191090494,0.1438439279
trade_through_within_1000ms,linear,7,42852,0.1880923212,0.2164893121
trade_through_within_1000ms,linear,8,42852,0.326254636,0.3325165687
trade_through_within_1000ms,linear,9,42853,0.6930474639,0.6323477936
trade_through_within_1000ms,lightgbm,0,42853,0.002700807409,0.004667117821
trade_through_within_1000ms,lightgbm,1,42852,0.007038186675,0.009917856809
trade_through_within_1000ms,lightgbm,2,42852,0.01418580082,0.01969569682
trade_through_within_1000ms,lightgbm,3,42852,0.02812543174,0.03852795669
trade_through_within_1000ms,lightgbm,4,42852,0.05214022408,0.06650798096
trade_through_within_1000ms,lightgbm,5,42852,0.08673762345,0.09539811444
trade_through_within_1000ms,lightgbm,6,42852,0.1367678333,0.1455007934
trade_through_within_1000ms,lightgbm,7,42852,0.2144988831,0.214202371
trade_through_within_1000ms,lightgbm,8,42852,0.3463957286,0.3323298796
trade_through_within_1000ms,lightgbm,9,42853,0.6607948617,0.638065013
catastrophic_25_conservative,linear,0,27694,0.403293252,0.4673214415
catastrophic_25_conservative,linear,1,27694,0.5188236237,0.5614573554
catastrophic_25_conservative,linear,2,27694,0.570366621,0.6161262367
catastrophic_25_conservative,linear,3,27694,0.6059536338,0.6470715678
catastrophic_25_conservative,linear,4,27694,0.6363090873,0.6756698202
catastrophic_25_conservative,linear,5,27693,0.6643256545,0.7043657242
catastrophic_25_conservative,linear,6,27694,0.6916983724,0.7248140391
catastrophic_25_conservative,linear,7,27694,0.7183496356,0.7369105221
catastrophic_25_conservative,linear,8,27694,0.7457447052,0.751317975
catastrophic_25_conservative,linear,9,27694,0.7876455784,0.746407164
catastrophic_25_conservative,lightgbm,0,27694,0.3737159872,0.4796706868
catastrophic_25_conservative,lightgbm,1,27694,0.5089492331,0.5633350184
catastrophic_25_conservative,lightgbm,2,27694,0.5707790926,0.6096266339
catastrophic_25_conservative,lightgbm,3,27694,0.6144444179,0.6424135192
catastrophic_25_conservative,lightgbm,4,27694,0.6502610173,0.6661370694
catastrophic_25_conservative,lightgbm,5,27693,0.6822956473,0.69151049
catastrophic_25_conservative,lightgbm,6,27694,0.7131462037,0.7152812884
catastrophic_25_conservative,lightgbm,7,27694,0.7448079832,0.7415685708
catastrophic_25_conservative,lightgbm,8,27694,0.7810118204,0.757384271
catastrophic_25_conservative,lightgbm,9,27694,0.8525602341,0.764533834
catastrophic_50_conservative,linear,0,27694,0.1950582862,0.2521845887
catastrophic_50_conservative,linear,1,27695,0.2665352821,0.3371366673
catastrophic_50_conservative,linear,2,27693,0.3049543202,0.388906944
catastrophic_50_conservative,linear,3,27694,0.3364415169,0.4178161335
catastrophic_50_conservative,linear,4,27694,0.3658233583,0.4452589008
catastrophic_50_conservative,linear,5,27693,0.3950211704,0.4622828874
catastrophic_50_conservative,linear,6,27694,0.4262214899,0.5000361089
catastrophic_50_conservative,linear,7,27694,0.4614652395,0.5232902434
catastrophic_50_conservative,linear,8,27694,0.5042722225,0.5386365278
catastrophic_50_conservative,linear,9,27694,0.5854774714,0.5459305265
catastrophic_50_conservative,lightgbm,0,27694,0.136284228,0.2590813895
catastrophic_50_conservative,lightgbm,1,27694,0.230524962,0.3256662093
catastrophic_50_conservative,lightgbm,2,27694,0.2977741618,0.3744132303
catastrophic_50_conservative,lightgbm,3,27694,0.3534148194,0.4116415108
catastrophic_50_conservative,lightgbm,4,27694,0.3997834952,0.4521557016
catastrophic_50_conservative,lightgbm,5,27693,0.4394117267,0.4750297909
catastrophic_50_conservative,lightgbm,6,27694,0.4748309818,0.4945114465
catastrophic_50_conservative,lightgbm,7,27694,0.5094007498,0.5140102549
catastrophic_50_conservative,lightgbm,8,27694,0.5480998391,0.5358200332
catastrophic_50_conservative,lightgbm,9,27694,0.6238076325,0.569148552
catastrophic_25_midpoint,linear,0,30505,0.2922294438,0.3273889526
catastrophic_25_midpoint,linear,1,30504,0.3622701168,0.3885719906
catastrophic_25_midpoint,linear,2,30504,0.4036428034,0.4414830842
catastrophic_25_midpoint,linear,3,30504,0.4393015802,0.4869853134
catastrophic_25_midpoint,linear,4,30504,0.4721633196,0.524062418
catastrophic_25_midpoint,linear,5,30504,0.5033534765,0.5556320483
catastrophic_25_midpoint,linear,6,30504,0.533827126,0.5730723839
catastrophic_25_midpoint,linear,7,30505,0.5662348866,0.5871496476
catastrophic_25_midpoint,linear,8,30503,0.6044718623,0.6055469954
catastrophic_25_midpoint,linear,9,30504,0.6809170246,0.6285077367
catastrophic_25_midpoint,lightgbm,0,30505,0.2297127738,0.335879364
catastrophic_25_midpoint,lightgbm,1,30504,0.3431203176,0.4062090218
catastrophic_25_midpoint,lightgbm,2,30504,0.4121487728,0.446564385
catastrophic_25_midpoint,lightgbm,3,30504,0.4644294849,0.4861001836
catastrophic_25_midpoint,lightgbm,4,30504,0.5059145595,0.5170141621
catastrophic_25_midpoint,lightgbm,5,30504,0.540549729,0.546387359
catastrophic_25_midpoint,lightgbm,6,30504,0.5714293798,0.5601232625
catastrophic_25_midpoint,lightgbm,7,30504,0.6012012475,0.5892341988
catastrophic_25_midpoint,lightgbm,8,30504,0.6348240354,0.6039207973
catastrophic_25_midpoint,lightgbm,9,30504,0.7085344356,0.6269669552
catastrophic_50_midpoint,linear,0,30505,0.1348993927,0.1724963121
catastrophic_50_midpoint,linear,1,30504,0.1801778674,0.2181353265
catastrophic_50_midpoint,linear,2,30504,0.2097239345,0.2664568581
catastrophic_50_midpoint,linear,3,30504,0.2376359254,0.3081563074
catastrophic_50_midpoint,linear,4,30504,0.2653161585,0.3343495935
catastrophic_50_midpoint,linear,5,30504,0.2949539721,0.3665420928
catastrophic_50_midpoint,linear,6,30505,0.3282868266,0.3930503196
catastrophic_50_midpoint,linear,7,30503,0.3676428795,0.4223846835
catastrophic_50_midpoint,linear,8,30504,0.4177398086,0.4517440336
catastrophic_50_midpoint,linear,9,30504,0.5248592496,0.4808877524
catastrophic_50_midpoint,lightgbm,0,30505,0.08301160726,0.1785936732
catastrophic_50_midpoint,lightgbm,1,30504,0.1459224702,0.2122672436
