problem,family,task,model,queue_cell,threshold_ticks,n,positives,base_rate,roc_auc,pr_auc,pr_auc_lift,log_loss,brier,accuracy,primary_metric,blocks,block_mean,block_median,block_worst,block_best,block_frac_expected_sign,block_bootstrap_p05,block_bootstrap_p95
catastrophic_25_conservative,catastrophic,classification,naive,conservative,25,276939,183651,0.6631460358,0.5223646009,0.6784790894,1.023121685,0.6410891445,0.2243869838,0.6631460358,roc_auc,119,0.4991221563,0.5,0.4324561404,0.5550944185,0.02521008403,0.4975009864,0.5005381483
catastrophic_25_conservative,catastrophic,classification,linear,conservative,25,276939,183651,0.6631460358,0.6067407008,0.7256439571,1.094244583,0.6258741618,0.2172325267,0.6688873723,roc_auc,119,0.6033455354,0.6123642571,0.4988263028,0.7512692115,0.9915966387,0.5974024991,0.6098609786
catastrophic_25_conservative,catastrophic,classification,lightgbm,conservative,25,276939,183651,0.6631460358,0.6096936314,0.7347485036,1.107973906,0.6294446044,0.2182469777,0.6642618049,roc_auc,119,0.6038051014,0.6053077993,0.4620602221,0.730447367,0.9831932773,0.5986511676,0.6092437644
catastrophic_50_conservative,catastrophic,classification,naive,conservative,50,276939,122171,0.4411476896,0.5817773446,0.4990019787,1.131144944,0.697286929,0.2516788259,0.5588523104,roc_auc,119,0.4991389814,0.5,0.4552543323,0.5370309414,0.008403361345,0.4982298442,0.4999715596
catastrophic_50_conservative,catastrophic,classification,linear,conservative,50,276939,122171,0.4411476896,0.6021215787,0.5146069447,1.166518508,0.6801151104,0.2431963054,0.5728301178,roc_auc,119,0.5664831533,0.5656645632,0.3909070805,0.7837589737,0.9495798319,0.5598939748,0.5740199605
catastrophic_50_conservative,catastrophic,classification,lightgbm,conservative,50,276939,122171,0.4411476896,0.6073459859,0.5241392831,1.188126551,0.680790184,0.2421266485,0.5821679142,roc_auc,119,0.5650510647,0.5635074136,0.4086251726,0.7195480967,0.9243697479,0.5595820707,0.5706443721
catastrophic_25_midpoint,catastrophic,classification,naive,midpoint,25,305041,156132,0.5118393921,0.5532574945,0.5503066567,1.075154951,0.6976402646,0.2522302133,0.4881606079,roc_auc,120,0.4997324049,0.5,0.4494531044,0.5560756833,0.03333333333,0.4984463963,0.5009861903
catastrophic_25_midpoint,catastrophic,classification,linear,midpoint,25,305041,156132,0.5118393921,0.6062890629,0.591030654,1.154718967,0.6786284042,0.2426169081,0.5739326845,roc_auc,120,0.5787659659,0.5851759855,0.2366522367,0.7912855147,0.9666666667,0.5738659297,0.5855785132
catastrophic_25_midpoint,catastrophic,classification,lightgbm,midpoint,25,305041,156132,0.5118393921,0.6006192757,0.5907075842,1.154087773,0.6836823042,0.2445461999,0.5765520045,roc_auc,120,0.5725684409,0.5741080683,0.4902945758,0.7066294194,0.975,0.5681434788,0.5769052715
catastrophic_50_midpoint,catastrophic,classification,naive,midpoint,50,305041,104147,0.341419678,0.5960734435,0.4066283454,1.190992704,0.6535790546,0.2294618673,0.658580322,roc_auc,120,0.4994130695,0.5,0.4719581199,0.5302614053,0.025,0.4986225602,0.500158312
catastrophic_50_midpoint,catastrophic,classification,linear,midpoint,50,305041,104147,0.341419678,0.6228334891,0.4339861029,1.271122114,0.6295971644,0.2191446204,0.6574886655,roc_auc,120,0.5665874761,0.5658110735,0.4215882353,0.7751954707,0.9333333333,0.5602592664,0.5740564082
catastrophic_50_midpoint,catastrophic,classification,lightgbm,midpoint,50,305041,104147,0.341419678,0.6252434515,0.4396414842,1.287686424,0.6300943395,0.2178606799,0.6578066555,roc_auc,120,0.5578726584,0.5556623563,0.4522848297,0.708891275,0.9166666667,0.5525003064,0.5633061277
catastrophic_25_optimistic,catastrophic,classification,naive,optimistic,25,414208,65222,0.1574619515,0.6602646135,0.238488807,1.514580536,0.4494325396,0.1353332729,0.8425380485,roc_auc,120,0.5003755853,0.5,0.4692863152,0.578582479,0.025,0.4992144565,0.502001947
catastrophic_25_optimistic,catastrophic,classification,linear,optimistic,25,414208,65222,0.1574619515,0.7777286236,0.3956808007,2.512866105,0.3715685619,0.1149031269,0.8456331119,roc_auc,120,0.6921367215,0.6853137072,0.6003991793,0.8193225641,1,0.6862725364,0.6991439299
catastrophic_25_optimistic,catastrophic,classification,lightgbm,optimistic,25,414208,65222,0.1574619515,0.7797681017,0.4159044116,2.64130101,0.3652843803,0.1124249107,0.8490613412,roc_auc,120,0.6905461336,0.6837348654,0.613459665,0.8549954905,1,0.6856627918,0.6968870243
catastrophic_50_optimistic,catastrophic,classification,naive,optimistic,50,414208,43388,0.1047493047,0.6835506528,0.1745247873,1.666118814,0.3504691835,0.09553048774,0.8952506953,roc_auc,120,0.5009961032,0.5,0.4682228871,0.5829725969,0.03333333333,0.4995717644,0.5026898678
catastrophic_50_optimistic,catastrophic,classification,linear,optimistic,50,414208,43388,0.1047493047,0.7826595051,0.3000644101,2.864595722,0.2893529509,0.08440662957,0.8942656829,roc_auc,120,0.6585749868,0.6535027982,0.5297066002,0.816050102,1,0.6523874002,0.666253606
catastrophic_50_optimistic,catastrophic,classification,lightgbm,optimistic,50,414208,43388,0.1047493047,0.7836219423,0.3130316233,2.988388555,0.2858332652,0.0828065758,0.8964988605,roc_auc,120,0.6559485293,0.6527041021,0.5067599466,0.8487394958,1,0.6502405289,0.662571691
