problem,family,task,model,target,feature_set,n,positives,base_rate,roc_auc,pr_auc,pr_auc_lift,log_loss,brier,accuracy,primary_metric,blocks,block_mean,block_median,block_worst,block_best,block_frac_expected_sign,block_bootstrap_p05,block_bootstrap_p95
level_disappears_1000ms__static_book,ablation,classification,naive,level_disappears_1000ms,static_book,428526,121852,0.2843514746,0.6979898674,0.4361748317,1.533928503,0.6319494721,0.2138561544,0.7156485254,roc_auc,120,0.5012223151,0.5,0.4753227352,0.585935875,0.04166666667,0.4998160486,0.5029200651
level_disappears_1000ms__static_book,ablation,classification,linear,level_disappears_1000ms,static_book,428526,121852,0.2843514746,0.7706861581,0.6007130742,2.11257239,0.5047287218,0.1649696088,0.7621451207,roc_auc,120,0.651572921,0.6452213158,0.5568415638,0.8920265781,1,0.6447945276,0.6584407715
level_disappears_1000ms__static_book,ablation,classification,lightgbm,level_disappears_1000ms,static_book,428526,121852,0.2843514746,0.782316374,0.6092949082,2.142752764,0.4952113085,0.1624301939,0.7635779393,roc_auc,120,0.6758059677,0.6703558198,0.5850652006,0.8166610963,1,0.6682177342,0.6834084004
level_disappears_1000ms__static_book_plus_flow,ablation,classification,naive,level_disappears_1000ms,static_book_plus_flow,428526,121852,0.2843514746,0.6979898674,0.4361748317,1.533928503,0.6319494721,0.2138561544,0.7156485254,roc_auc,120,0.5012223151,0.5,0.4753227352,0.585935875,0.04166666667,0.4998160486,0.5029200651
level_disappears_1000ms__static_book_plus_flow,ablation,classification,linear,level_disappears_1000ms,static_book_plus_flow,428526,121852,0.2843514746,0.8382991073,0.7071725985,2.486966524,0.4334543987,0.1395947221,0.7995640871,roc_auc,120,0.7136632899,0.7070359376,0.6160022148,0.8747624916,1,0.7067429767,0.7205177344
level_disappears_1000ms__static_book_plus_flow,ablation,classification,lightgbm,level_disappears_1000ms,static_book_plus_flow,428526,121852,0.2843514746,0.8470238391,0.7247521667,2.548789901,0.4173077912,0.1347043305,0.8054167075,roc_auc,120,0.7302160901,0.7275995937,0.6435509525,0.8813448362,1,0.7227610476,0.7372703643
level_disappears_1000ms__queue_lifecycle,ablation,classification,naive,level_disappears_1000ms,queue_lifecycle,428526,121852,0.2843514746,0.6979898674,0.4361748317,1.533928503,0.6319494721,0.2138561544,0.7156485254,roc_auc,120,0.5012223151,0.5,0.4753227352,0.585935875,0.04166666667,0.4998160486,0.5029200651
level_disappears_1000ms__queue_lifecycle,ablation,classification,linear,level_disappears_1000ms,queue_lifecycle,428526,121852,0.2843514746,0.818134728,0.6538673352,2.299503936,0.4648270517,0.1527044006,0.7749728138,roc_auc,120,0.6722324188,0.6624252569,0.4742524917,0.8456149733,0.9916666667,0.6662980496,0.6787128427
level_disappears_1000ms__queue_lifecycle,ablation,classification,lightgbm,level_disappears_1000ms,queue_lifecycle,428526,121852,0.2843514746,0.8200529254,0.6625825272,2.330153301,0.4572844039,0.1498387032,0.7798009922,roc_auc,120,0.6865002073,0.6804826684,0.6043328909,0.8465445354,1,0.6795240702,0.6932245382
level_disappears_1000ms__all,ablation,classification,naive,level_disappears_1000ms,all,428526,121852,0.2843514746,0.6979898674,0.4361748317,1.533928503,0.6319494721,0.2138561544,0.7156485254,roc_auc,120,0.5012223151,0.5,0.4753227352,0.585935875,0.04166666667,0.4998160486,0.5029200651
level_disappears_1000ms__all,ablation,classification,linear,level_disappears_1000ms,all,428526,121852,0.2843514746,0.8418760934,0.7141446613,2.511485697,0.4265275999,0.1378333205,0.800399509,roc_auc,120,0.7162597608,0.7118499271,0.6374494873,0.8790073529,1,0.7094213838,0.7228683949
level_disappears_1000ms__all,ablation,classification,lightgbm,level_disappears_1000ms,all,428526,121852,0.2843514746,0.8476114069,0.7268865273,2.556295966,0.416044977,0.1343445034,0.8060467743,roc_auc,120,0.7312224573,0.7283911497,0.6419191978,0.8824803643,1,0.7236608046,0.7384337663
trade_through_within_1000ms__static_book,ablation,classification,naive,trade_through_within_1000ms,static_book,428522,67056,0.1564820476,0.6743056725,0.2435590612,1.556466476,0.4530023946,0.1353708491,0.8435179524,roc_auc,120,0.5012282264,0.5,0.4794330562,0.5834629064,0.05,0.4998646119,0.5028606073
trade_through_within_1000ms__static_book,ablation,classification,linear,trade_through_within_1000ms,static_book,428522,67056,0.1564820476,0.7937977772,0.4645899351,2.968966359,0.3610934715,0.1087711749,0.8571555253,roc_auc,120,0.7709610623,0.7591651102,0.6476103828,0.9035621804,1,0.7624881711,0.7796461924
trade_through_within_1000ms__static_book,ablation,classification,lightgbm,trade_through_within_1000ms,static_book,428522,67056,0.1564820476,0.8014358835,0.4718271555,3.015215884,0.3537615887,0.1074976898,0.8565301198,roc_auc,120,0.763686264,0.7526387,0.6599496968,0.8794216133,1,0.7559461656,0.7722006678
trade_through_within_1000ms__static_book_plus_flow,ablation,classification,naive,trade_through_within_1000ms,static_book_plus_flow,428522,67056,0.1564820476,0.6743056725,0.2435590612,1.556466476,0.4530023946,0.1353708491,0.8435179524,roc_auc,120,0.5012282264,0.5,0.4794330562,0.5834629064,0.05,0.4998646119,0.5028606073
trade_through_within_1000ms__static_book_plus_flow,ablation,classification,linear,trade_through_within_1000ms,static_book_plus_flow,428522,67056,0.1564820476,0.8501722859,0.5525844705,3.531296267,0.3193485244,0.09718318625,0.8690685659,roc_auc,120,0.7951693858,0.7868646652,0.7203360374,0.9032346491,1,0.7881947544,0.8023492338
trade_through_within_1000ms__static_book_plus_flow,ablation,classification,lightgbm,trade_through_within_1000ms,static_book_plus_flow,428522,67056,0.1564820476,0.8570589258,0.5848448349,3.73745643,0.3067031889,0.09383019037,0.8726389777,roc_auc,120,0.7992013117,0.7865752949,0.7280649659,0.9108606245,1,0.792448101,0.8064221783
trade_through_within_1000ms__queue_lifecycle,ablation,classification,naive,trade_through_within_1000ms,queue_lifecycle,428522,67056,0.1564820476,0.6743056725,0.2435590612,1.556466476,0.4530023946,0.1353708491,0.8435179524,roc_auc,120,0.5012282264,0.5,0.4794330562,0.5834629064,0.05,0.4998646119,0.5028606073
trade_through_within_1000ms__queue_lifecycle,ablation,classification,linear,trade_through_within_1000ms,queue_lifecycle,428522,67056,0.1564820476,0.8471100404,0.5652577282,3.61228484,0.3154208083,0.09679762207,0.8691059035,roc_auc,120,0.7874576988,0.7808334071,0.7149842017,0.8973655315,1,0.7805707246,0.7948344671
trade_through_within_1000ms__queue_lifecycle,ablation,classification,lightgbm,trade_through_within_1000ms,queue_lifecycle,428522,67056,0.1564820476,0.8463996781,0.5697710869,3.641127501,0.313650294,0.09598318647,0.8697919827,roc_auc,120,0.7854947239,0.7790258805,0.7138109953,0.9089912281,1,0.7786898805,0.7928443889
trade_through_within_1000ms__all,ablation,classification,naive,trade_through_within_1000ms,all,428522,67056,0.1564820476,0.6743056725,0.2435590612,1.556466476,0.4530023946,0.1353708491,0.8435179524,roc_auc,120,0.5012282264,0.5,0.4794330562,0.5834629064,0.05,0.4998646119,0.5028606073
