problem,family,task,model,fold,train_rows,validation_rows,validation_start_utc,horizon_ms,n,positives,base_rate,roc_auc,pr_auc,pr_auc_lift,log_loss,brier,accuracy,queue_cell,threshold_ticks,mean_target,median_target,mae,median_abs_error,rmse,spearman,sign_accuracy,r2
level_disappears_500ms,level_failure,classification,naive,0,85424,42856,2026-08-18T08:54:52.966Z,500,42856,3739,0.08724565988,0.5,0.08724565988,1,0.305526036,0.08076016274,0.9127543401,,,,,,,,,,
level_disappears_500ms,level_failure,classification,linear,0,85424,42856,2026-08-18T08:54:52.966Z,500,42856,3739,0.08724565988,0.84562788,0.4740963054,5.434038851,0.2236989846,0.0622877635,0.9236979653,,,,,,,,,,
level_disappears_500ms,level_failure,classification,lightgbm,0,85424,42856,2026-08-18T08:54:52.966Z,500,42856,3739,0.08724565988,0.8474231539,0.4767291989,5.464216782,0.2199725446,0.0611116669,0.9258680231,,,,,,,,,,
level_disappears_500ms,level_failure,classification,naive,1,128280,42856,2026-08-18T14:52:00.649Z,500,42856,2938,0.06855516147,0.5,0.06855516147,1,0.2500044325,0.06387001685,0.9314448385,,,,,,,,,,
level_disappears_500ms,level_failure,classification,linear,1,128280,42856,2026-08-18T14:52:00.649Z,500,42856,2938,0.06855516147,0.8061946877,0.3950931434,5.76314219,0.1965055086,0.05166770885,0.9392850476,,,,,,,,,,
level_disappears_500ms,level_failure,classification,lightgbm,1,128280,42856,2026-08-18T14:52:00.649Z,500,42856,2938,0.06855516147,0.8142655855,0.4238131207,6.182074575,0.192111964,0.05010887597,0.9413851036,,,,,,,,,,
level_disappears_500ms,level_failure,classification,naive,2,171136,42856,2026-08-18T20:49:08.333Z,500,42856,2005,0.04678458092,0.5,0.04678458092,1,0.1921807588,0.04495653747,0.9532154191,,,,,,,,,,
level_disappears_500ms,level_failure,classification,linear,2,171136,42856,2026-08-18T20:49:08.333Z,500,42856,2005,0.04678458092,0.7777309926,0.2972225735,6.353002798,0.1582491076,0.03869173268,0.9570888557,,,,,,,,,,
level_disappears_500ms,level_failure,classification,lightgbm,2,171136,42856,2026-08-18T20:49:08.333Z,500,42856,2005,0.04678458092,0.7888655757,0.3448631809,7.37129999,0.1517875647,0.03689176425,0.9590722419,,,,,,,,,,
level_disappears_500ms,level_failure,classification,naive,3,213992,42850,2026-08-19T02:46:16.016Z,500,42848,1775,0.04142550411,0.5,0.04142550411,1,0.1765367078,0.04013206807,0.9585744959,,,,,,,,,,
level_disappears_500ms,level_failure,classification,linear,3,213992,42850,2026-08-19T02:46:16.016Z,500,42848,1775,0.04142550411,0.7753494962,0.2880854523,6.954301668,0.1425750338,0.03408430692,0.9620752427,,,,,,,,,,
level_disappears_500ms,level_failure,classification,lightgbm,3,213992,42850,2026-08-19T02:46:16.016Z,500,42848,1775,0.04142550411,0.7967301092,0.3345648175,8.076300451,0.1362555655,0.03261879991,0.9638956311,,,,,,,,,,
level_disappears_500ms,level_failure,classification,naive,4,256840,42856,2026-08-19T08:43:23.700Z,500,42856,5018,0.1170897891,0.5,0.1170897891,1,0.38555969,0.1068071249,0.8829102109,,,,,,,,,,
level_disappears_500ms,level_failure,classification,linear,4,256840,42856,2026-08-19T08:43:23.700Z,500,42856,5018,0.1170897891,0.8668709871,0.5428716965,4.636370949,0.2588603718,0.0762543558,0.901787381,,,,,,,,,,
level_disappears_500ms,level_failure,classification,lightgbm,4,256840,42856,2026-08-19T08:43:23.700Z,500,42856,5018,0.1170897891,0.8739959793,0.5725447074,4.889791945,0.2454704525,0.07257178503,0.9039341049,,,,,,,,,,
level_disappears_500ms,level_failure,classification,naive,5,299696,42856,2026-08-19T14:40:31.383Z,500,42856,13612,0.3176218032,0.5,0.3176218032,1,0.906633503,0.2796442347,0.6823781968,,,,,,,,,,
level_disappears_500ms,level_failure,classification,linear,5,299696,42856,2026-08-19T14:40:31.383Z,500,42856,13612,0.3176218032,0.808112307,0.7292134373,2.295854472,0.4797293999,0.1526816781,0.7905544148,,,,,,,,,,
level_disappears_500ms,level_failure,classification,lightgbm,5,299696,42856,2026-08-19T14:40:31.383Z,500,42856,13612,0.3176218032,0.8136302529,0.7422416924,2.33687261,0.4595297927,0.1468621188,0.7986979653,,,,,,,,,,
level_disappears_500ms,level_failure,classification,naive,6,342552,42846,2026-08-19T20:37:39.066Z,500,42844,13029,0.3041032583,0.5,0.3041032583,1,0.777755786,0.2540345724,0.6958967417,,,,,,,,,,
level_disappears_500ms,level_failure,classification,linear,6,342552,42846,2026-08-19T20:37:39.066Z,500,42844,13029,0.3041032583,0.7635633996,0.6621472304,2.17737631,0.5013026639,0.1622835764,0.7762580525,,,,,,,,,,
level_disappears_500ms,level_failure,classification,lightgbm,6,342552,42846,2026-08-19T20:37:39.066Z,500,42844,13029,0.3041032583,0.7756904241,0.6873898906,2.260383182,0.485378501,0.1565561709,0.785360844,,,,,,,,,,
level_disappears_500ms,level_failure,classification,naive,7,385396,42852,2026-08-20T02:34:46.750Z,500,42850,8296,0.1936056009,0.5,0.1936056009,1,0.512816504,0.1613785771,0.8063943991,,,,,,,,,,
level_disappears_500ms,level_failure,classification,linear,7,385396,42852,2026-08-20T02:34:46.750Z,500,42850,8296,0.1936056009,0.7942928389,0.616051825,3.181993816,0.3736729372,0.1123280457,0.8556592765,,,,,,,,,,
level_disappears_500ms,level_failure,classification,lightgbm,7,385396,42852,2026-08-20T02:34:46.750Z,500,42850,8296,0.1936056009,0.8140995431,0.6489281706,3.351804738,0.3562550431,0.1071529021,0.8614002334,,,,,,,,,,
level_disappears_500ms,level_failure,classification,naive,8,428246,42852,2026-08-20T08:31:54.433Z,500,42850,16887,0.3940956826,0.5,0.3940956826,1,0.8925872469,0.309467576,0.6059043174,,,,,,,,,,
level_disappears_500ms,level_failure,classification,linear,8,428246,42852,2026-08-20T08:31:54.433Z,500,42850,16887,0.3940956826,0.7613645272,0.7136736805,1.81091474,0.5648985284,0.1902242056,0.7132555426,,,,,,,,,,
level_disappears_500ms,level_failure,classification,lightgbm,8,428246,42852,2026-08-20T08:31:54.433Z,500,42850,16887,0.3940956826,0.7707135541,0.731849752,1.8570357,0.5408091394,0.1825382328,0.7264410735,,,,,,,,,,
level_disappears_500ms,level_failure,classification,naive,9,471096,42854,2026-08-20T14:29:02.116Z,500,42854,13465,0.3142063751,0.5,0.3142063751,1,0.7044826748,0.2416593052,0.6857936249,,,,,,,,,,
level_disappears_500ms,level_failure,classification,linear,9,471096,42854,2026-08-20T14:29:02.116Z,500,42854,13465,0.3142063751,0.7757586638,0.670258372,2.13317878,0.5112170161,0.1683338419,0.7590656648,,,,,,,,,,
level_disappears_500ms,level_failure,classification,lightgbm,9,471096,42854,2026-08-20T14:29:02.116Z,500,42854,13465,0.3142063751,0.7857618217,0.6949956151,2.211908065,0.4880263823,0.1598781729,0.7705465067,,,,,,,,,,
level_disappears_1000ms,level_failure,classification,naive,0,85420,42856,2026-08-18T08:54:52.966Z,1000,42856,6026,0.1406104163,0.5,0.1406104163,1,0.4161480447,0.1228128724,0.8593895837,,,,,,,,,,
level_disappears_1000ms,level_failure,classification,linear,0,85420,42856,2026-08-18T08:54:52.966Z,1000,42856,6026,0.1406104163,0.8310596768,0.5295781155,3.766279409,0.314140963,0.0941313437,0.8763533694,,,,,,,,,,
level_disappears_1000ms,level_failure,classification,lightgbm,0,85420,42856,2026-08-18T08:54:52.966Z,1000,42856,6026,0.1406104163,0.8238004938,0.5131036341,3.64911539,0.3129534887,0.09374299504,0.8777300728,,,,,,,,,,
level_disappears_1000ms,level_failure,classification,naive,1,128276,42856,2026-08-18T14:52:00.649Z,1000,42856,4961,0.1157597536,0.5,0.1157597536,1,0.3585165833,0.102384575,0.8842402464,,,,,,,,,,
level_disappears_1000ms,level_failure,classification,linear,1,128276,42856,2026-08-18T14:52:00.649Z,1000,42856,4961,0.1157597536,0.7822308292,0.4186402787,3.616457929,0.2947781795,0.08485126422,0.8940405077,,,,,,,,,,
level_disappears_1000ms,level_failure,classification,lightgbm,1,128276,42856,2026-08-18T14:52:00.649Z,1000,42856,4961,0.1157597536,0.7901384912,0.4397130871,3.798497089,0.2894981649,0.08316454785,0.8967239126,,,,,,,,,,
level_disappears_1000ms,level_failure,classification,naive,2,171132,42856,2026-08-18T20:49:08.333Z,1000,42856,3565,0.08318555161,0.5,0.08318555161,1,0.2910648385,0.07710551701,0.9168144484,,,,,,,,,,
level_disappears_1000ms,level_failure,classification,linear,2,171132,42856,2026-08-18T20:49:08.333Z,1000,42856,3565,0.08318555161,0.751310017,0.3006348628,3.614027399,0.251130976,0.06861895716,0.9194745193,,,,,,,,,,
level_disappears_1000ms,level_failure,classification,lightgbm,2,171132,42856,2026-08-18T20:49:08.333Z,1000,42856,3565,0.08318555161,0.7631657882,0.332276253,3.994398625,0.2439393942,0.06660866831,0.922787941,,,,,,,,,,
level_disappears_1000ms,level_failure,classification,naive,3,213988,42850,2026-08-19T02:46:16.016Z,1000,42848,3273,0.07638629574,0.5,0.07638629574,1,0.2750417675,0.07145047911,0.9236137043,,,,,,,,,,
level_disappears_1000ms,level_failure,classification,linear,3,213988,42850,2026-08-19T02:46:16.016Z,1000,42848,3273,0.07638629574,0.7325925724,0.2835391081,3.711910694,0.2369136945,0.06302932251,0.9276512323,,,,,,,,,,
level_disappears_1000ms,level_failure,classification,lightgbm,3,213988,42850,2026-08-19T02:46:16.016Z,1000,42848,3273,0.07638629574,0.7567718265,0.3200128701,4.189401606,0.229586588,0.06123336832,0.9290748693,,,,,,,,,,
level_disappears_1000ms,level_failure,classification,naive,4,256836,42856,2026-08-19T08:43:23.700Z,1000,42856,8113,0.1893083816,0.5,0.1893083816,1,0.5200420725,0.1612165271,0.8106916184,,,,,,,,,,
level_disappears_1000ms,level_failure,classification,linear,4,256836,42856,2026-08-19T08:43:23.700Z,1000,42856,8113,0.1893083816,0.8558407709,0.6202239036,3.276262247,0.3532784502,0.1106548601,0.8440591749,,,,,,,,,,
level_disappears_1000ms,level_failure,classification,lightgbm,4,256836,42856,2026-08-19T08:43:23.700Z,1000,42856,8113,0.1893083816,0.8635727336,0.6309336139,3.332835074,0.3372405743,0.1059341957,0.8483992906,,,,,,,,,,
level_disappears_1000ms,level_failure,classification,naive,5,299692,42856,2026-08-19T14:40:31.383Z,1000,42856,19473,0.4543821169,0.5,0.4543821169,1,1.053352539,0.3638991629,0.5456178831,,,,,,,,,,
level_disappears_1000ms,level_failure,classification,linear,5,299692,42856,2026-08-19T14:40:31.383Z,1000,42856,19473,0.4543821169,0.7849735025,0.7908833106,1.740568744,0.5449280844,0.1841130637,0.7220225873,,,,,,,,,,
level_disappears_1000ms,level_failure,classification,lightgbm,5,299692,42856,2026-08-19T14:40:31.383Z,1000,42856,19473,0.4543821169,0.791282075,0.7984193757,1.757154047,0.5361953745,0.1804414854,0.7306094829,,,,,,,,,,
level_disappears_1000ms,level_failure,classification,naive,6,342548,42846,2026-08-19T20:37:39.066Z,1000,42844,19449,0.4539492111,0.5,0.4539492111,1,0.9350836024,0.3364105272,0.5460507889,,,,,,,,,,
level_disappears_1000ms,level_failure,classification,linear,6,342548,42846,2026-08-19T20:37:39.066Z,1000,42844,19449,0.4539492111,0.7354861012,0.7371612164,1.623884784,0.5915281933,0.2034806486,0.6858603305,,,,,,,,,,
level_disappears_1000ms,level_failure,classification,lightgbm,6,342548,42846,2026-08-19T20:37:39.066Z,1000,42844,19449,0.4539492111,0.7454761914,0.7502868276,1.652799056,0.5801220949,0.1994142233,0.6940295024,,,,,,,,,,
level_disappears_1000ms,level_failure,classification,naive,7,385392,42852,2026-08-20T02:34:46.750Z,1000,42850,12771,0.2980396733,0.5,0.2980396733,1,0.6432260336,0.2209905125,0.7019603267,,,,,,,,,,
level_disappears_1000ms,level_failure,classification,linear,7,385392,42852,2026-08-20T02:34:46.750Z,1000,42850,12771,0.2980396733,0.7555790671,0.6519023494,2.187300577,0.497529574,0.1620832016,0.7753325554,,,,,,,,,,
level_disappears_1000ms,level_failure,classification,lightgbm,7,385392,42852,2026-08-20T02:34:46.750Z,1000,42850,12771,0.2980396733,0.7702516201,0.6720381547,2.254861399,0.4843250028,0.1575067141,0.7829171529,,,,,,,,,,
level_disappears_1000ms,level_failure,classification,naive,8,428242,42852,2026-08-20T08:31:54.433Z,1000,42850,24271,0.5664177363,0.5,0.5664177363,1,1.007849054,0.3796853845,0.4335822637,,,,,,,,,,
level_disappears_1000ms,level_failure,classification,linear,8,428242,42852,2026-08-20T08:31:54.433Z,1000,42850,24271,0.5664177363,0.7465000908,0.8079457979,1.42641331,0.5892314426,0.2035410559,0.6763827305,,,,,,,,,,
level_disappears_1000ms,level_failure,classification,lightgbm,8,428242,42852,2026-08-20T08:31:54.433Z,1000,42850,24271,0.5664177363,0.7519375923,0.8146334233,1.438220188,0.5750178473,0.1990087847,0.682613769,,,,,,,,,,
level_disappears_1000ms,level_failure,classification,naive,9,471092,42854,2026-08-20T14:29:02.116Z,1000,42854,19950,0.4655341392,0.5,0.4655341392,1,0.8192513881,0.302642078,0.5344658608,,,,,,,,,,
level_disappears_1000ms,level_failure,classification,linear,9,471092,42854,2026-08-20T14:29:02.116Z,1000,42854,19950,0.4655341392,0.753324006,0.751375377,1.614007038,0.5918676831,0.2038495812,0.6827834041,,,,,,,,,,
level_disappears_1000ms,level_failure,classification,lightgbm,9,471092,42854,2026-08-20T14:29:02.116Z,1000,42854,19950,0.4655341392,0.7617358428,0.7653591948,1.64404526,0.5716214538,0.1964098159,0.6955476735,,,,,,,,,,
trade_through_within_500ms,sweep,classification,naive,0,85424,42856,2026-08-18T08:54:52.966Z,500,42856,1974,0.0460612283,0.5,0.0460612283,1,0.1917150486,0.04426195106,0.9539387717,,,,,,,,,,
trade_through_within_500ms,sweep,classification,linear,0,85424,42856,2026-08-18T08:54:52.966Z,500,42856,1974,0.0460612283,0.8890524844,0.4367030042,9.480923986,0.128523728,0.03361741648,0.9599355983,,,,,,,,,,
trade_through_within_500ms,sweep,classification,lightgbm,0,85424,42856,2026-08-18T08:54:52.966Z,500,42856,1974,0.0460612283,0.8828737062,0.4278651333,9.289051748,0.1336090866,0.03398645195,0.9602622737,,,,,,,,,,
trade_through_within_500ms,sweep,classification,naive,1,128280,42856,2026-08-18T14:52:00.649Z,500,42856,1531,0.03572428598,0.5,0.03572428598,1,0.1541529998,0.03445099488,0.964275714,,,,,,,,,,
