grouping,queue_cell,eligible_opportunities,filled,fill_rate,markout_100ms_observed,markout_100ms_mean,markout_100ms_median,markout_100ms_std,markout_100ms_p1,markout_100ms_p5,markout_100ms_p10,markout_100ms_p25,markout_100ms_p50,markout_100ms_p75,markout_100ms_p90,markout_100ms_p95,markout_100ms_p99,markout_100ms_frac_favourable,markout_500ms_observed,markout_500ms_mean,markout_500ms_median,markout_500ms_std,markout_500ms_p1,markout_500ms_p5,markout_500ms_p10,markout_500ms_p25,markout_500ms_p50,markout_500ms_p75,markout_500ms_p90,markout_500ms_p95,markout_500ms_p99,markout_500ms_frac_favourable,markout_1000ms_observed,markout_1000ms_mean,markout_1000ms_median,markout_1000ms_std,markout_1000ms_p1,markout_1000ms_p5,markout_1000ms_p10,markout_1000ms_p25,markout_1000ms_p50,markout_1000ms_p75,markout_1000ms_p90,markout_1000ms_p95,markout_1000ms_p99,markout_1000ms_frac_favourable,markout_5000ms_observed,markout_5000ms_mean,markout_5000ms_median,markout_5000ms_std,markout_5000ms_p1,markout_5000ms_p5,markout_5000ms_p10,markout_5000ms_p25,markout_5000ms_p50,markout_5000ms_p75,markout_5000ms_p90,markout_5000ms_p95,markout_5000ms_p99,markout_5000ms_frac_favourable,catastrophic_10_rate,catastrophic_25_rate,catastrophic_50_rate,catastrophic_100_rate,side,lifecycle_class,episode_close_reason
all,conservative,297285,253387,0.852336983,253387,-30.47480139,-24.5,125.4634153,-219.5,-107.5,-80.5,-48.5,-24.5,-4.5,0.5,24.5,124.5,0.1758061779,253385,-44.81588689,-35.5,158.8861958,-371.5,-193.5,-140.5,-79.5,-35.5,-5.5,31.5,85.5,252.5,0.199376443,253373,-48.2097836,-39.5,190.5490753,-471.5,-241.5,-172.5,-94.5,-39.5,-1.5,63.5,133.5,350.5,0.2330003592,253347,-55.61967578,-47.5,370.3206056,-955.5,-459.5,-317.5,-157.5,-47.5,42.5,202.5,346.5,829.04,0.3389264527,0.6968540452,0.5973367328,0.4354094556,0.2322031156,,,
all,midpoint,297285,258351,0.8690347646,258351,-25.18153984,-17.5,123.6755261,-207.5,-101.5,-75.5,-43.5,-17.5,0.5,0.5,27.5,125.75,0.2903336933,258349,-38.32785109,-28.5,156.891978,-356.5,-185.5,-132.5,-72.5,-28.5,0.5,35.5,89.5,254.5,0.279621752,258336,-41.70059148,-32.5,188.2598791,-461.5,-232.5,-164.5,-87.5,-32.5,0.5,67.5,136.5,352.5,0.2958666233,258309,-48.68122481,-40.5,367.1093237,-939.42,-449.5,-308.5,-149.5,-40.5,48.5,206.5,350.5,831.96,0.3655273335,0.6389934039,0.5468382262,0.3981984702,0.212370711,,,
all,optimistic,297285,281985,0.9485342348,281985,-9.2071174,0.5,116.7089011,-166.5,-76.5,-51.5,-18.5,0.5,0.5,12.5,43.5,124.5,0.6268453996,281983,-13.77968353,0.5,148.5427671,-308.5,-147.5,-98.5,-40.5,0.5,0.5,60.5,108.5,262.5,0.5497104435,281971,-15.04513407,0.5,179.518099,-411.5,-193.5,-128.5,-54.5,0.5,14.5,91.5,156.5,360.5,0.5212273603,281943,-17.72374735,-6.5,355.2321357,-880.5,-403.5,-268.4,-113.5,-6.5,77.5,231.5,370.5,837.08,0.4802637413,0.4326225037,0.3673923914,0.265030801,0.1398441684,,,
by_side,conservative,148623,126420,0.8506085868,126420,-30.00630834,-23.5,86.62682628,-215.5,-105.5,-79,-47.5,-23.5,-4.5,0.5,24.5,125.5,0.177582661,126419,-42.97686661,-35.5,121.5191765,-343.5,-187.5,-137.5,-77.5,-35.5,-4.5,32.5,85.5,261.5,0.2015045207,126410,-45.93215331,-38.5,151.9407317,-454.5,-235.5,-169.5,-92.5,-38.5,-1.5,65.5,134.5,361.5,0.2353057511,126408,-43.76794981,-43.5,362.8697937,-894.5,-446.5,-312.5,-153.5,-43.5,48.5,208.5,355.5,874.5,0.3486013543,0.6928961316,0.5924531287,0.4297365715,0.2287635472,0,,
by_side,conservative,148662,126967,0.8540649258,126967,-30.94127608,-25.5,154.7324516,-223.5,-110.5,-82.5,-49.5,-25.5,-5.5,0.5,24.5,123.5,0.1740373483,126966,-46.64698423,-36.5,188.8678716,-393.5,-200.5,-144.5,-80.5,-36.5,-5.5,31.5,85.5,244.5,0.1972575335,126963,-50.47749344,-39.5,222.4057064,-493.5,-247.5,-175.5,-95.5,-39.5,-2.5,61.5,131.5,339.5,0.2307050085,126939,-67.42182466,-50.5,377.2257605,-1016.5,-470.5,-322.5,-161.5,-50.5,37.5,196.5,339.5,795.5,0.3292920222,0.7007947197,0.6021990659,0.441057631,0.2356277026,1,,
by_side,midpoint,148623,128936,0.867537326,128936,-24.78276432,-16.5,85.14779072,-204.5,-99.5,-73.5,-41.5,-16.5,0.5,0.5,27.5,126.5,0.295410126,128936,-36.64658435,-28.5,119.9791146,-333.5,-179.5,-129.5,-70.5,-28.5,0.5,36.5,89.5,263.5,0.2833111001,128925,-39.52090363,-31.5,150.3124524,-445.26,-227.5,-161.5,-85.5,-31.5,0.5,68.5,137.5,363.5,0.2989412449,128923,-37.02783832,-37.5,360.2654352,-885.5,-436.5,-303.5,-145.5,-37.5,53.5,212.5,358.5,877.28,0.3752472406,0.6346402947,0.5418654256,0.3926236184,0.2088113244,0,,
by_side,midpoint,148662,129415,0.8705318104,129415,-25.57883939,-18.5,152.6798886,-210.5,-103.5,-76.5,-44.5,-18.5,0.5,0.5,27.5,125.5,0.2852760499,129413,-40.00292088,-29.5,186.5263931,-381.5,-191.5,-136.5,-73.5,-29.5,0.5,35.5,88.5,246.5,0.2759460023,129411,-43.87209356,-33.5,219.6185453,-478.5,-238.5,-167.5,-88.5,-33.5,0.5,66.5,135.5,341.5,0.2928035484,129386,-60.29291036,-43.5,373.4439802,-998.5,-460.5,-314.5,-153.5,-43.5,42.5,200.5,342.5,793.8,0.3558422086,0.6433301651,0.5517923515,0.4037523858,0.2159167304,1,,
by_side,optimistic,148623,140882,0.9479151948,140882,-9.383430814,0.5,79.66294098,-168.5,-75.5,-50.5,-18.5,0.5,0.5,13.5,43.5,126,0.6288951037,140881,-13.22477126,0.5,113.7041104,-297.5,-145,-97.5,-40.5,0.5,0.5,60.5,108.5,272.1,0.5490307423,140873,-14.03097471,0.5,143.6034907,-392.5,-190.5,-127.5,-54.5,0.5,14,91.5,157.5,371.5,0.5202629319,140862,-7.679388338,-3.5,349.1702998,-830.89,-395.5,-264.5,-110.5,-3.5,81.5,235.5,377.5,882.5,0.487562295,0.4328721615,0.3674444358,0.264387072,0.1391891988,0,,
by_side,optimistic,148662,141103,0.9491531124,141103,-9.031080133,0.5,144.5143295,-165.5,-77.5,-51.5,-19.5,0.5,0.5,12.5,42.5,122.5,0.6247989058,141102,-14.33372667,0.5,176.5970407,-322.5,-149.5,-98.5,-41.5,0.5,0.5,60.5,109.5,252.5,0.5503890802,141098,-16.05767623,0.5,209.3112608,-425.515,-195.5,-129.5,-54.5,0.5,14.5,91.5,155.5,348.5,0.5221902507,141081,-27.75251451,-9.5,360.9055253,-934.5,-413.5,-271.5,-116.5,-9.5,72.5,227.5,362.5,798.7,0.472976517,0.4323732441,0.3673404301,0.2656735035,0.1404980935,1,,
by_lifecycle_class,conservative,25828,25175,0.974717361,25175,-35.11616683,-26.5,44.54111093,-182.5,-107.5,-83.5,-52.5,-26.5,-3.5,0.5,0.5,22.76,0.1965044687,25175,-52.97171797,-39.5,83.06018609,-315.76,-189.5,-141.5,-82.5,-39.5,-9.5,0.5,44.5,150.76,0.1621449851,25175,-57.55626614,-45.5,110.5908885,-393.5,-230.5,-172.5,-99.5,-45.5,-9.5,37.5,94.5,236.76,0.1811717974,25173,-67.95993723,-56.5,251.4376026,-803.78,-438.9,-322,-170.5,-56.5,33.5,181.5,298.9,611.78,0.3150200612,0.7460973188,0.6446871897,0.4743992056,0.2465541212,,consumed_mainly_by_prints,
by_lifecycle_class,conservative,154915,137271,0.8861052835,137271,-29.0832878,-24.5,162.7841629,-279.5,-115.5,-84.5,-49.5,-24.5,-5.5,12.5,51.5,181.5,0.1613887857,137271,-42.03890844,-35.5,201.8908959,-451.15,-215.5,-152.5,-83.5,-35.5,-4.5,61.5,125.5,336.5,0.2054039091,137262,-45.14025732,-39.5,239.7153449,-557.89,-274.5,-191.5,-100.5,-39.5,-0.5,96.5,180.5,456.5,0.2498943626,137251,-52.1149427,-46.5,461.733854,-1141.5,-549.5,-366.5,-173.5,-46.5,69.5,263.5,444.5,1022,0.3627660272,0.6838309219,0.5876207545,0.4419577159,0.2515699902,,died_within_250ms,
by_lifecycle_class,conservative,43907,35933,0.8183888674,35933,-33.43579718,-26.5,63.3933557,-181.5,-102.5,-78.5,-48.5,-26.5,-8.5,0.5,0.5,56.18,0.1217265466,35933,-48.62165697,-38.5,94.99003005,-313.5,-179.5,-135.5,-78.5,-38.5,-10.5,13.5,55.5,161.5,0.1515041884,35933,-51.9521888,-41.5,125.4361922,-384.5,-224.5,-166.5,-94.5,-41.5,-7.5,49.5,102.5,247.18,0.1946121949,35929,-58.47464444,-49.5,253.7442066,-756.5,-413.5,-303.5,-160.5,-49.5,42.5,180.5,292.5,620.5,0.3373597929,0.7301366432,0.6232710879,0.4472490468,0.2309854451,,other,
by_lifecycle_class,conservative,9782,8150,0.8331629524,8150,-32.30368098,-27.5,101.9224558,-158.5,-94.5,-72.5,-48.5,-27.5,-9.5,0.5,0.5,28.255,0.1083435583,8149,-47.31433305,-38.5,112.9894033,-248.54,-155.5,-116.5,-71.5,-38.5,-13.5,0.5,4.5,97.5,0.1207510124,8149,-51.70284698,-41.5,138.0952207,-299.5,-185.5,-140.5,-84.5,-41.5,-12.5,0.5,48.5,156.02,0.1392808934,8149,-62.55785986,-52.5,254.822074,-558.06,-332.5,-248.5,-137.5,-52.5,0.5,111.5,193.5,408.5,0.2627316235,0.7732237084,0.6545588416,0.4361271322,0.1931525341,,persisted_over_1s,
by_lifecycle_class,conservative,62853,46858,0.7455173182,46858,-29.46889539,-21.5,38.89805561,-153.5,-94.5,-72.5,-44.5,-21.5,0.5,0.5,0.5,6.5,0.2601263392,46857,-45.21631773,-31.5,64.72422725,-253.5,-157.5,-118.5,-69.5,-31.5,0.5,0.5,0.5,78.5,0.2521074759,46854,-48.7026081,-34.5,77.22821536,-295.5,-182.5,-136.5,-78.5,-34.5,0.5,0.5,27.5,132.97,0.2570965126,46845,-55.86028392,-42.5,149.1301287,-495.5,-297.5,-217.5,-118.5,-42.5,0.5,91.5,167.5,349.5,0.2963816843,0.6697400435,0.5705169249,0.3860716268,0.1754812823,,repeatedly_replenished,
by_lifecycle_class,midpoint,25828,25480,0.9865262506,25480,-24.98259419,-8.5,40.54230532,-164.71,-96.5,-72.5,-41.5,-8.5,0.5,0.5,0.5,34.71,0.4243720565,25480,-43.42488226,-32.5,80.12586103,-297.5,-174.5,-128.5,-73.5,-32.5,0.5,7.5,56.5,162.5,0.2540816327,25480,-49.49707614,-39.5,109.7133579,-383.5,-217.55,-162.5,-91.5,-39.5,-2.5,51.5,105.5,260.5,0.2226452119,25478,-59.95855248,-52.5,251.8846625,-782.73,-425.65,-315.5,-163.5,-52.5,40.5,192.5,317.5,633.73,0.3286757202,0.7054945055,0.6057692308,0.4394427002,0.223822606,,consumed_mainly_by_prints,
by_lifecycle_class,midpoint,154915,137677,0.8887260756,137677,-27.51916805,-23.5,162.2421268,-271,-113.5,-82.5,-48.5,-23.5,-4.5,15.5,54.5,186.5,0.1802842886,137677,-40.33835717,-34.5,201.5603567,-444.62,-212.6,-150.5,-81.5,-34.5,-3.5,64.5,128.5,339.5,0.2148143844,137668,-43.46499186,-38.5,239.0927663,-553.5,-272.5,-189.5,-99.5,-38.5,0.5,99.5,184.5,460.5,0.2573873377,137657,-50.12309944,-45.5,461.1947036,-1136.5,-545.5,-364.5,-172.5,-45.5,70.5,266.5,447.5,1023.5,0.3659530572,0.676395386,0.5809846878,0.4366010983,0.247937066,,died_within_250ms,
by_lifecycle_class,midpoint,43907,36320,0.8272029517,36320,-29.24482379,-21.5,62.81855957,-175,-98.5,-73.5,-44.5,-21.5,-2.5,0.5,0.5,69.31,0.205589207,36320,-43.75313877,-34.5,94.50933734,-304.5,-174.5,-130.5,-74.5,-34.5,-5.5,25.5,65.5,168.5,0.1915748899,36319,-46.8042347,-38.5,124.8292299,-373.5,-218.5,-161.5,-90.5,-38.5,-2.5,57.5,110.5,255.5,0.2234643024,36315,-52.80521823,-45.5,253.2776541,-737.5,-405.5,-296.5,-155.5,-45.5,47.5,187.5,299.5,639.5,0.3496076002,0.7018365043,0.5974283433,0.4269390677,0.2183705498,,other,
by_lifecycle_class,midpoint,9782,8269,0.8453281538,8269,-24.61422179,-17.5,99.10013595,-146.5,-87.5,-65.5,-40.5,-17.5,0.5,0.5,0.5,34.5,0.2879429193,8268,-39.57801161,-31.5,111.9872967,-236.5,-144.5,-108.5,-64.75,-31.5,-1.5,0.5,23.5,103.5,0.221093372,8268,-44.34585148,-37.5,137.3369591,-285.49,-173.5,-132.5,-77.5,-37.5,-6.5,16.5,66.15,172.5,0.1932752782,8268,-55.3701016,-48.5,255.366494,-542.16,-323.5,-240.5,-131.5,-48.5,8.5,125.5,206.5,421.83,0.2819303338,0.7204886309,0.6055878084,0.3962264151,0.1705370102,,persisted_over_1s,
by_lifecycle_class,midpoint,62853,50605,0.805132611,50605,-16.0983302,0.5,33.18285184,-128.5,-75.9,-55.5,-26.5,0.5,0.5,0.5,0.5,11.5,0.5834601324,50604,-26.19332464,0.5,57.02353549,-218.5,-127.5,-91.5,-41.5,0.5,0.5,0.5,0.5,81.5,0.5415579796,50601,-28.87898461,0.5,69.75856206,-260.5,-150.5,-106.5,-50.5,0.5,0.5,0.5,40.5,138.5,0.5061560048,50591,-35.0251527,-22.5,142.9280732,-454.5,-263.5,-189.5,-95.5,-22.5,5.5,109.5,185.5,368.5,0.4080172363,0.4453271674,0.3783522065,0.2526432284,0.1123693208,,repeatedly_replenished,
by_lifecycle_class,optimistic,25828,25827,0.9999612823,25827,-4.461590583,0.5,19.02531145,-84.5,-39.5,-14.5,0.5,0.5,0.5,0.5,0.5,0.5,0.871220041,25827,-22.50193596,0.5,61.09519773,-220.5,-123.5,-87.5,-42.5,0.5,0.5,0.5,45.5,139.5,0.5054013242,25827,-35.20029427,-27.5,95.74243699,-322.5,-184.5,-134.5,-73.5,-27.5,0.5,52.5,106.5,245.5,0.3190846788,25825,-51.33883833,-47.5,247.8191959,-744.02,-409.5,-299.5,-153.5,-47.5,47.5,198.5,320.5,641.26,0.342303969,0.6112595346,0.5157393425,0.3582684787,0.1648662253,,consumed_mainly_by_prints,
by_lifecycle_class,optimistic,154915,142459,0.9195946164,142459,-16.60134144,-13.5,159.7578817,-247.5,-101.5,-72.5,-39.5,-13.5,0.5,39.5,69.5,186.5,0.341010396,142459,-24.43619568,-24.5,200.0693644,-414.92,-194.5,-135.5,-70.5,-24.5,19.5,91.5,151.5,348.92,0.316210278,142449,-26.52575659,-27.5,237.4413879,-531.5,-252.5,-173.5,-86.5,-27.5,31.5,125.5,206.5,471.5,0.3400445072,142438,-30.88223297,-31.5,458.1920329,-1109.5,-520.5,-344.5,-156.5,-31.5,93.5,292.5,471.5,1042.5,0.4078335837,0.5996181089,0.513467978,0.3823754467,0.214343379,,died_within_250ms,
by_lifecycle_class,optimistic,43907,41819,0.9524449404,41819,-3.161374017,0.5,50.45092027,-96.5,-43.5,-21.7,0.5,0.5,0.5,0.5,14.5,67.5,0.8333532605,41817,3.879259631,0.5,83.31693668,-191.5,-99.5,-66.5,-23.5,0.5,33.5,74.5,107.5,197.5,0.6392376306,41817,7.864289643,6.5,118.7408726,-276.34,-147.5,-99.5,-42.5,6.5,56.5,117.5,165.5,302.34,0.5503264223,41811,9.609014374,4.5,247.6720627,-651.4,-332.5,-229.5,-95.5,4.5,114.5,254.5,361.5,684.5,0.5209633828,0.4020135352,0.3332615922,0.2209149389,0.09878757443,,other,
by_lifecycle_class,optimistic,9782,9613,0.9827233695,9613,0.3208675752,0.5,86.01914093,-46.38,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9577655259,9613,-0.3515031728,0.5,90.30172223,-93.5,-27.5,0.5,0.5,0.5,0.5,0.5,0.5,69.5,0.9206283158,9612,2.345869746,0.5,116.0274536,-140.5,-72.5,-47.5,-1.75,0.5,1.5,51.5,80.5,153.39,0.7384519351,9612,-1.199022056,-7.5,241.8714899,-437.17,-246.5,-181.5,-83.5,-7.5,77.5,181.5,252.5,457.95,0.4684769039,0.2244069913,0.1786308781,0.09467332501,0.02413649605,,persisted_over_1s,
by_lifecycle_class,optimistic,62853,62267,0.9906766582,62267,0.2102558337,0.5,5.370532194,-1.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9896574429,62267,0.2864599226,0.5,12.25858574,-27.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,14.5,0.9849197809,62266,1.509403206,0.5,21.61625683,-64.5,0.5,0.5,0.5,0.5,0.5,0.5,8.5,80.5,0.9664985706,62257,5.41794497,0.5,116.230693,-334.94,-172.5,-110.5,-29.5,0.5,40.5,125.5,191.5,358.5,0.6776908621,0.02918125462,0.02373687084,0.01382777118,0.004464715896,,repeatedly_replenished,
